,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
22,Accelerate Parent Corp.,,,Common Equity/Interests - Common Stock,,,N/A,,N/A,,,"1,664,046 Shares",,,1714,,,,250,,,(13)(19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Arlington Industries Group Limited,,,First Lien Secured Debt,,,"5.75% (1M E+525, 0.50% Floor)",,03/29/24,,€,3189,,,3572,,,,3309,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,First Lien Secured Debt,,,"5.87% (1M GBPL+525, 0.50% Floor)",,03/29/24,,£,7818,,,9972,,,,9204,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,First Lien Secured Debt - Unfunded Revolver,,,1.25% Unfunded,,03/29/24,,£,2700,,,(57),,,,(191),,,(8)(9)(17)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,03/29/24,,£,1300,,,(28),,,,(77),,,(8)(9)(17)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,13459,,,,12245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Vari-Form Group, LLC",,,First Lien Secured Debt,,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,5859,,,937,,,,762,,,(9)(13)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Vari-Form Inc.,,,First Lien Secured Debt,,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2110,,,391,,,,274,,,(9)(13)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,1328,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"K&N Parent, Inc.",,,Second Lien Secured Debt,,,"9.82% (3M L+875, 1.00% Floor)",,10/21/24,,23765,,,23489,,,,22220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Truck-Lite Co., LLC",,,First Lien Secured Debt,,,"7.32% (6M L+625, 1.00% Floor)",,12/14/26,,25148,,,24573,,,,24446,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,First Lien Secured Debt - Revolver,,,"7.25% (1M L+625, 1.00% Floor)",,12/13/24,,1308,,,1308,,,,1277,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,First Lien Secured Debt - Revolver,,,"7.32% (6M L+625, 1.00% Floor)",,12/13/24,,654,,,654,,,,638,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,12/13/24,,1005,,,(67),,,,(24),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,First Lien Secured Debt - Letters of Credit,,,7.25%,,11/30/20 - 12/21/20,,,85,,,-,,,,(2),,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,12/14/26,,3707,,,(84),,,,(103),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"TL Lighting Holdings, LLC",,,Common Equity/Interests - Class A Common Units,,,N/A,,N/A,,,350 Shares,,,350,,,,241,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,26734,,,,26473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Total Automotive,,,,,,,,,,,,66724,,,,,62224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Merx Aviation Finance, LLC (5)",,,First Lien Secured Debt - Revolver,,,12.00%,,10/31/23,,,305300,,,,305300,,,,,305300,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,First Lien Secured Debt - Letter of Credit,,,2.25%,,07/13/20,,177,,,-,,,,-,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Common Equity/Interests - Membership Interests,,,N/A,,N/A,,,N/A,,,15000,,,,28447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,320300,,,,333747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PrimeFlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"PrimeFlight Aviation Services, Inc.",,,First Lien Secured Debt,,,"6.50% (1M L+550, 1.00% Floor)",,05/09/24,,13367,,,13184,,,,12790,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,First Lien Secured Debt,,,"7.02% (1M L+550, 1.00% Floor)",,05/09/24,,1375,,,1362,,,,1316,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,First Lien Secured Debt - Unfunded Delayed Draw,,,0.50% Unfunded,,05/09/24,,2842,,,(85),,,,(122),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,14461,,,,13984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Total Aviation and Consumer Transport,,,,,,,,,,,,334761,,,,,347731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Wm. Bolthouse Farms, Inc.",,,Common Equity/Interests - Common Stock,,,N/A,,N/A,,,"1,000,000 Shares",,,,1000,,,,,940,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,
61,Eagle Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Eagle Foods Family Group, LLC",,,First Lien Secured Debt,,,"8.68% (6M L+675, 1.00% Floor)",,06/14/24,,,24562,,,24369,,,,23703,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,First Lien Secured Debt - Revolver,,,"7.75% (1M L+675, 1.00% Floor)",,06/14/23,,167,,,167,,,,161,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,First Lien Secured Debt - Revolver,,,"7.75% (3M L+675, 1.00% Floor)",,06/14/23,,333,,,333,,,,322,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,First Lien Secured Debt - Revolver,,,"7.95% (3M L+675, 1.00% Floor)",,06/14/23,,167,,,167,,,,161,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,First Lien Secured Debt - Revolver,,,"8.36% (6M L+675, 1.00% Floor)",,06/14/23,,667,,,667,,,,643,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,06/14/23,,2417,,,(27),,,,(85),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,25676,,,,24905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Florida Food Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Florida Food Products, Inc.",,,First Lien Secured Debt,,,"8.20% (3M L+675, 1.00% Floor)",,09/08/25,,22938,,,22492,,,,22594,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Florida Food Products, LLC",,,First Lien Secured Debt - Revolver,,,"7.75% (1M L+675, 1.00% Floor)",,09/06/23,,240,,,240,,,,236,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,First Lien Secured Debt - Revolver,,,"8.20% (3M L+675, 1.00% Floor)",,09/06/23,,1473,,,1443,,,,1450,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,24175,,,,24280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Butterfly Fighter Co-Invest, L.P.",,,Common Equity/Interests - Membership Interests,,,N/A,,N/A,,,"1,000,000 Shares",,,1000,,,,1000,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,TNT Crust LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TNT Crust LLC,,,First Lien Secured Debt,,,"7.75% (1M L+675, 1.00% Floor)",,11/06/23,,20618,,,20318,,,,20102,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,First Lien Secured Debt,,,"8.01% (1M L+675, 1.00% Floor)",,11/06/23,,4878,,,4785,,,,4756,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,First Lien Secured Debt - Revolver,,,"7.75% (1M L+675, 1.00% Floor)",,11/06/23,,748,,,748,,,,729,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,11/06/23,,2504,,,(50),,,,(63),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,11/06/23,,976,,,(43),,,,(24),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Common Equity/Interests - Series A Units,,,N/A,,N/A,,,244 Shares,,,30,,,,275,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,25788,,,,25775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,IC Holdings LLC,,,Common Equity/Interests - Series A Units,,,N/A,,N/A,,,169 Shares,,,169,,,,153,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,THLP CO. LLC,,,First Lien Secured Debt,,,"6.50% (1M L+550, 1.00% Floor)",,05/30/25,,19562,,,19225,,,,19268,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,First Lien Secured Debt - Revolver,,,7.75% (P+450),,05/31/24,,2247,,,2247,,,,2213,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,05/31/24,,2247,,,(75),,,,(34),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,05/30/25,,5618,,,(33),,,,(84),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,21533,,,,21516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Total Beverage, Food & Tobacco",,,,,,,,,,,,99172,,,,,98416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Access CIG, LLC",,,Second Lien Secured Debt,,,9.53% (3M L+775),,02/27/26,,,15900,,,,15789,,,,,15299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Ambrosia Buyer Corp.,,,Second Lien Secured Debt,,,"9.08% (3M L+800, 1.00% Floor)",,08/28/25,,21429,,,21066,,,,17751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Claritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Claritas, LLC",,,First Lien Secured Debt,,,"7.45% (3M L+600, 1.00% Floor)",,12/21/23,,3845,,,3815,,,,3787,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,First Lien Secured Debt - Revolver,,,"7.00% (1M L+600, 1.00% Floor)",,12/21/23,,619,,,619,,,,609,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,First Lien Secured Debt - Revolver,,,"7.26% (1M L+600, 1.00% Floor)",,12/21/23,,129,,,129,,,,127,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,12/21/23,,284,,,(8),,,,(4),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,4555,,,,4519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Continuum Global Solutions, LLC",,,First Lien Secured Debt - Revolver,,,"7.08% (1M L+550, 1.00% Floor)",,02/15/22,,8791,,,8791,,,,8527,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,02/15/22,,11209,,,(304),,,,(336),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,775 Shares,,,78,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,8565,,,,8269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"CT Technologies Intermediate Holdings, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"CT Technologies Intermediate Holdings, Inc",,,Second Lien Secured Debt,,,"10.45% (3M L+900, 1.00% Floor)",,12/01/22,,31253,,,30803,,,,27815,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Education Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Education Personnel,,,First Lien Secured Debt,,,"5.42% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,4076,,,5190,,,,4790,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,First Lien Secured Debt - Revolver,,,"5.42% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,1471,,,1873,,,,1727,,,(9)(17)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,7063,,,,6517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Electro Rent Corporation,,,Second Lien Secured Debt,,,"10.64% (3M L+900, 1.00% Floor)",,01/31/25,,34235,,,33546,,,,33208,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,TGG TS Acquisition Company,,,First Lien Secured Debt - Revolver,,,7.40% (3M L+650),,12/14/23,,500,,,500,,,,480,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,12/14/23,,1250,,,-,,,,(50),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,500,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"EHL Merger Sub, LLC",,,First Lien Secured Debt - Revolver,,,6.00% (P+275),,08/01/24,,1662,,,1662,,,,1512,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,First Lien Secured Debt - Unfunded Revolver,,,0.25% Unfunded,,08/01/24,,2493,,,(330),,,,(224),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,1332,,,,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Jacent Strategic Merchandising,,,First Lien Secured Debt,,,"7.36% (3M L+575, 1.00% Floor)",,04/23/24,,22579,,,22304,,,,21315,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,First Lien Secured Debt - Revolver,,,"7.36% (3M L+575, 1.00% Floor)",,04/23/24,,1400,,,1400,,,,1320,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,First Lien Secured Debt - Revolver,,,"6.82% (3M L+575, 1.00% Floor)",,04/23/24,,467,,,467,,,,440,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,First Lien Secured Debt - Revolver,,,"7.53% (3M L+575, 1.00% Floor)",,04/23/24,,700,,,700,,,,660,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,First Lien Secured Debt - Revolver,,,"6.75% (3M L+575, 1.00% Floor)",,04/23/24,,933,,,891,,,,880,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Common Equity - Common Stock,,,N/A,,N/A,,,"5,000 Shares",,,500,,,,204,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,26262,,,,24819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"JF Acquisition, LLC",,,First Lien Secured Debt,,,"6.77% (3M L+550, 1.00% Floor)",,07/31/24,,5272,,,5179,,,,5087,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,First Lien Secured Debt,,,"7.28% (3M L+550, 1.00% Floor)",,07/31/24,,8118,,,7977,,,,7832,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,First Lien Secured Debt - Revolver,,,"6.50% (1M L+550, 1.00% Floor)",,07/31/24,,628,,,600,,,,605,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,,"7.28% (3M L+550, 1.00% Floor)",,07/31/24,,188,,,188,,,,182,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,First Lien Secured Debt - Revolver,,,7.75% (P+450),,07/31/24,,753,,,753,,,,726,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,14697,,,,14432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,MAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Trident Bidco Limited,,,First Lien Secured Debt,,,"7.25% (1M L+625, 1.00% Floor)",,11/08/25,,35000,,,34019,,,,33649,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,McLarens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Margaux Acquisition Inc.,,,First Lien Secured Debt,,,"7.41% (3M L+550, 1.00% Floor)",,12/19/24,,18800,,,18526,,,,17800,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,First Lien Secured Debt - Revolver,,,"6.50% (1M L+550, 1.00% Floor)",,12/19/24,,1601,,,1576,,,,1516,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,12/19/24,,4461,,,(92),,,,(236),,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Margaux UK Finance Limited,,,First Lien Secured Debt,,,"6.50% (3M GBPL+550, 1.00% Floor)",,12/19/24,,£,5896,,,7332,,,,6930,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,First Lien Secured Debt - Revolver,,,"6.50% (1M GBPL+550, 1.00% Floor)",,12/19/24,,£,538,,,632,,,,631,,,(9)(17)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,First Lien Secured Debt - Unfunded Revolver,,,0.50% Unfunded,,12/19/24,,£,4,,,(11),,,,-,,,(8)(9)(17)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,First Lien Secured Debt - Unfunded Delayed Draw,,,1.00% Unfunded,,12/19/24,,£,1353,,,(27),,,,(89),,,(8)(9)(17)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,27936,,,,26552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Ministry Brands, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Ministry Brands, LLC",,,Second Lien Secured Debt,,,"10.51% (2M L+925, 1.00% Floor)",,06/02/23,,10000,,,9925,,,,9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Newscycle Solutions, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Newscycle Solutions, Inc.",,,First Lien Secured Debt,,,"8.45% (3M L+700, 1.00% Floor)",,12/29/22,,14641,,,14434,,,,14202,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt,,,"8.58% (3M L+700, 1.00% Floor)",,12/29/22,,1131,,,1121,,,,1097,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,First Lien Secured Debt - Revolver,,,"8.00% (1M L+700, 1.00% Floor)",,12/29/22,,40,,,33,,,,39,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
