,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
24,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Vari-Form Group, LLC",,First Lien Secured Debt,,11.00 (7.00 Cash plus 4.00 PIK),,02/02/23,,5860,,901,,,,293,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Vari-Form Inc.,,First Lien Secured Debt,,11.00 (7.00 Cash plus 4.00 PIK),,02/02/23,,2110,,391,,,,105,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,1292,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"K&N Parent, Inc.",,Second Lien Secured Debt,,"L+875, 1.00 Floor",,10/21/24,,23765,,23573,,,,22220,,,(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"TL Lighting Holdings, LLC",,Common Equity - Equity,,N/A,,N/A,,350 Shares,,350,,,,382,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"L+625, 1.00 Floor",,12/14/26,,28440,,27930,,,,28367,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,First Lien Secured Debt - Revolver,,"L+625, 1.00 Floor",,12/13/24,,3052,,(40),,,,(2),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,28240,,,,28747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,Total Automotive,,,70562,,,,,68786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,10.00,,10/31/23,,,275177,,,,275000,,,,,275000,,,(20)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Common Equity - Membership Interests,,N/A,,N/A,,N/A,,35800,,,,39820,,,(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,310800,,,,314820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (36),,,Fair Value (1)(37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,"L+625, 1.00 Floor",,05/09/24,,17416,,17202,,,,17267,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,Total Aviation and Consumer Transport,,,328002,,,,,332087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,"L+650, 1.00 Floor",,07/30/27,,,31119,,,,30431,,,,,30807,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,First Lien Secured Debt - Revolver,,"L+650, 1.00 Floor",,07/30/26,,2881,,513,,,,547,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,30944,,,,31354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Wm. Bolthouse Farms, Inc.",,Common Equity - Common Stock,,N/A,,N/A,,"1,000,000 Shares",,1001,,,,1170,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Florida Food Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Florida Food Products, Inc.",,First Lien Secured Debt,,"L+650, 1.00 Floor",,09/08/25,,22589,,22268,,,,22589,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,First Lien Secured Debt,,"L+725, 1.00 Floor",,09/08/25,,2963,,,2799,,,,2963,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"L+650, 1.00 Floor",,09/06/23,,1712,,326,,,,342,,,(9)(23)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,25393,,,,25894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Stock,,N/A,,N/A,,589 Shares,,448,,,,448,,,(9)(13)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Common Equity - Common Stock,,N/A,,N/A,,589 Shares,,3,,,3,,(9)(13)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Hive Intermediate, LLC",,First Lien Secured Debt,,"L+600, 1.00 Floor",,09/22/27,,17209,,16879,,,,17037,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,First Lien Secured Debt - Revolver,,"L+600, 1.00 Floor",,09/22/27,,2326,,420,,,,442,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,17750,,,,17930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,N/A,,N/A,,"1,000,000 Shares",,1005,,,,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,"L+625, 1.00 Floor",,08/13/27,,26757,,26102,,,,26088,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,First Lien Secured Debt - Revolver,,"L+625, 1.00 Floor",,08/13/27,,3243,,448,,,,446,,,(9)(20)(21)  (23)(28)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,26550,,,,26534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,TNT Crust LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,TNT Crust LLC,,First Lien Secured Debt,,"L+675, 1.00 Floor",,11/06/23,,21606,,21322,,,,21174,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,First Lien Secured Debt - Revolver,,"L+675, 1.00 Floor",,11/06/23,,3252,,,1925,,,,1886,,,(9)(21)(23)  (28)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Common Equity - Series A Units,,N/A,,N/A,,244 Shares,,30,,,,168,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,23277,,,,23228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,IC Holdings LLC,,Common Equity - Series A Units,,N/A,,N/A,,169 Shares,,169,,,,324,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,THLP CO. LLC,,First Lien Secured Debt,,"L+600, 1.00 Floor",,05/31/25,,25138,,,24809,,,,24509,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,First Lien Secured Debt - Revolver,,"P+500, 1.00 Floor",,05/31/24,,4494,,401,,,,337,,,(9)(20)(21)  (23)(34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,25379,,,,25170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,"Total Beverage, Food & Tobacco",,,151299,,,,,152315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (36),,,Fair Value (1)(37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Access CIG, LLC",,Second Lien Secured Debt,,"L+775, 0.00 Floor",,02/27/26,,,15900,,,,15817,,,,,15739,,,(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,9.00,,08/28/25,,21429,,,19555,,,,9272,,,(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Gabriel Partners, LLC",,First Lien Secured Debt,,"L+625, 1.00 Floor",,09/21/26,,31610,,,30999,,,,30940,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,First Lien Secured Debt - Revolver,,"L+625, 1.00 Floor",,09/21/26,,665,,,(15),,,,(14),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,30984,,,,30926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Claritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Claritas, LLC",,First Lien Secured Debt,,"L+575, 1.00 Floor",,12/21/23,,3696,,,3679,,,,3659,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,12/21/23,,1031,,,73,,,,67,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,3752,,,,3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Continuum Global Solutions, LLC",,First Lien Secured Debt - Revolver,,"L+550, 1.00 Floor",,02/15/22,,20000,,,2998,,,,2677,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Preferred Equity - Preferred Equity,,N/A,,N/A,,775 Shares,,78,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,3076,,,,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Electro Rent Corporation,,Second Lien Secured Debt,,"L+900, 1.00 Floor",,01/31/25,,34235,,,33731,,,,34064,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,"L+650, 0.00 Floor",,12/14/23,,1750,,,0,,,,(35),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,"L+325, 0.00 Floor",,08/01/24,,4155,,,(217),,,,(130),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Jacent Strategic Merchandising,,First Lien Secured Debt,,"L+575, 1.00 Floor",,04/23/24,,22199,,,22024,,,,21804,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,04/23/24,,3500,,,2539,,,,2504,,,(9)(23)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Common Equity - Common Stock,,N/A,,N/A,,"5,000 Shares",,500,,,,158,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,N/A,,N/A,,114 Shares,,11,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,25074,,,,24477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"JF Acquisition, LLC",,First Lien Secured Debt,,"L+550, 1.00 Floor",,07/31/24,,13268,,,13116,,,,13106,,,(9)(28)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,First Lien Secured Debt - Revolver,,"L+550, 1.00 Floor",,07/31/24,,1569,,,924,,,,922,,,(9)(21)(23)  (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,14040,,,,14028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,MAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Trident Bidco Limited,,First Lien Secured Debt,,"L+550, 1.00 Floor",,11/08/25,,34125,,,33420,,,,33854,,,(9)(17)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,McLarens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Margaux Acquisition Inc.,,First Lien Secured Debt,,"L+550, 1.00 Floor",,12/19/24,,22936,,,22687,,,,22922,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,First Lien Secured Debt - Revolver,,"P+450, 1.00 Floor",,12/19/24,,1601,,,212,,,,228,,,(9)(21)(23)  (34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Margaux UK Finance Limited,,First Lien Secured Debt,,"GBPL+550, 1.00 Floor",,12/19/24,,£,7146,,,8938,,,,9579,,,(9)(17)(31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,First Lien Secured Debt - Revolver,,"GBPL+550, 1.00 Floor",,12/19/24,,£,541,,,(7),,,,(4),,,(8)(9)(17)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,31830,,,,32725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (36),,,Fair Value (1)(37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,"L+700, 1.00 Floor",,12/29/22,,12244,,,12140,,,,12184,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,First Lien Secured Debt - Revolver,,"L+700, 1.00 Floor",,12/29/22,,500,,,277,,,,278,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,12417,,,,12462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,"L+575, 1.00 Floor",,08/10/27,,5836,,,5721,,,,5720,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,First Lien Secured Debt,,"L+575, 1.00 Floor",,08/10/27,,2613,,,(25),,,,(26),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,08/10/27,,1307,,,(26),,,,(26),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"Graffiti Parent, LP",,Common Equity - Common Stock,,N/A,,N/A,,"2,439 Shares",,244,,,,244,,,(9)(13)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,5914,,,,5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,"L+575, 1.00 Floor",,10/19/26,,32371,,,31893,,,,31286,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,First Lien Secured Debt,,"L+575, 1.00 Floor",,10/19/26,,2388,,,(17),,,,(80),,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,10/20/25,,2985,,,2942,,,,2899,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,34818,,,,34105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Soliant Health, Inc.",,Common Equity - Membership Interests,,N/A,,N/A,,300 Shares,,300,,,,757,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Transplace Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Transplace Holdings, Inc.",,Second Lien Secured Debt,,"L+875, 1.00 Floor",,10/06/25,,8599,,,8487,,,,8599,,,(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,N/A,,N/A,,"631,972 Shares",,632,,,,752,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"USLS Acquisition, Inc.",,First Lien Secured Debt,,"L+575, 1.00 Floor",,12/02/24,,24126,,,23864,,,,23484,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,12/02/24,,1608,,,(17),,,,(43),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,24479,,,,24193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,Total Business Services,,,297477,,,,,287429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,N/A,,N/A,,"2,354 Shares",,,46295,,,,,45234,,,(3)(13)(16)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Carbonfree Chemicals SA LLC (4),,Common Equity - Class B Units,,N/A,,N/A,,"3,152 Shares",,32434,,,,0,,,(3)(13)(16)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,78729,,,,45234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Westfall Technik, Inc.",,First Lien Secured Debt,,"L+575, 1.00 Floor",,09/13/24,,15697,,,15533,,,,15333,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,First Lien Secured Debt,,"L+625, 1.00 Floor",,09/13/24,,5667,,,5568,,,,5554,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,09/13/24,,1885,,,1731,,,,1706,,,(9)(23)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt - Revolver,,"P+475, 1.00 Floor",,09/13/24,,134,,,133,,,,131,,,(9)(23)(34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,22965,,,,22724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,"Total Chemicals, Plastics & Rubber",,,101694,,,,,67958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (36),,,Fair Value (1)(37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Gutter Buyer, Inc.",,First Lien Secured Debt,,"L+575, 1.00 Floor",,03/06/25,,,28539,,,,28191,,,,,27971,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,First Lien Secured Debt - Revolver,,"L+575, 1.00 Floor",,03/06/24,,2727,,,(33),,,,(54),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Gutter Holdings, LP",,Common Equity - Common Stock,,N/A,,N/A,,500 Shares,,500,,,,1105,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,Total Construction & Building,,,28658,,,,,29022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Consumer Goods – Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
