,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,"Arysta Lifescience Corporation, L+700, 11/22/20 ‡",,Chemicals,,,17874,,,,17704,,,,17863,
38,"Avaya, Inc., 10.50%, 3/1/21   ̈",,Telecommunications,,,16577,,,,15866,,,,13386,
39,"Brock Holdings III, Inc., L+825, 3/16/18",,Environmental  Services,,,25000,,,,24641,,,,25250,
40,"Confie Seguros II, L+900, 5/8/19",,Insurance,,,27344,,,,27077,,,,27566,
41,"Deltek, Inc., L+875, 6/30/20",,Business Services,,,27273,,,,27006,,,,27546,
42,"Garden Fresh Restaurant Corp., L+1175  PIK, 12/11/13",,Restaurants,,,48955,,,,49853,,,,45528,
43,"GCA Services Group, Inc., L+800, 10/31/20",,Diversified Service,,,28547,,,,28602,,,,29047,
44,"GETCO Financing Escrow LLC (Knight Capital Group), 8.25%, 6/15/18   ̈",,Financial Services,,,41033,,,,40220,,,,40828,
45,"Grocery Outlet Inc., L+925 6/17/19",,Grocery,,,8674,,,,8515,,,,8815,
46,"HD Vest Inc., L+800, 6/18/19 ‡",,Financial Services,,,9396,,,,9285,,,,9302,
47,"Healogics, Inc., L+800, 2/5/20",,Healthcare,,,10000,,,,10117,,,,10225,
48,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",,Consumer Products,,,15448,,,,15220,,,,15680,
49,"IPC Systems, Inc., L+525, 5/31/15",,Telecommunications,,,39250,,,,38067,,,,33461,
50,"Kronos, Inc., L+850, 4/26/20",,Business Services,,,61358,,,,60556,,,,63698,
51,"Ranpak Corp., L+725, 4/23/20",,Packaging,,,22000,,,,21789,,,,22440,
52,"Sedgwick Holdings, Inc., L+700, 12/12/18",,Business Services,,,15225,,,,15151,,,,15501,
53,"SESAC Holdco II LLC, L+875, 8/8/19",,Broadcasting &  Entertainment,,,10750,,,,10887,,,,11019,
54,"Smart & Final Stores LLC, L+925, 11/8/20",,Grocery,,,12392,,,,12046,,,,12640,
55,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19",,"Containers,  Packaging, and  Glass",,,13500,,,,13239,,,,13613,
56,"SquareTwo Financial Corp. (Collect America), 11.625%, 4/1/17 ‡",,Financial Services,,,51079,,,,49617,,,,53888,
57,"Transfirst Holdings Inc., L+975, 6/20/18",,Financial Services,,,64750,,,,63195,,,,66045,
58,"TriNet HR Corporation, L+775, 2/12/21",,Business Services,,,7130,,,,6988,,,,6961,
59,"U.S. Renal Care, Inc., L+900, 1/3/20†",,Healthcare,,,11927,,,,11984,,,,12158,
60,"U.S. Renal Care, Inc., L+750, 7/3/20†",,Healthcare,,,10100,,,,9899,,,,10151,
61,"Valerus Compression Services, LP, 11.50%, 3/26/18",,Manufacturing,,,40000,,,,40000,,,,40800,
62,"Venoco, Inc., 8.875%, 2/15/19",,Oil & Gas,,,13050,,,,13294,,,,13104,
63,"Vertafore, Inc., L+825, 10/29/17",,Business Services,,,49260,,,,48933,,,,50153,
64,Total 2nd Lien Secured Debt,,,,,,,,,743033,,,,751267,
65,INVESTMENTS IN NON-CONTROLLED/  NON-AFFILIATED  INVESTMENTS -136.1%,,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,
66,Unfunded Revolver Obligations- (0.4)%,,,,,,,,,,,,,,
67,"Advantage Sales & Marketing, Inc., (Revolver) L+400, 12/17/15 (9)",,Grocery,,,5500,,,,-,,,,(413,
68,"Avaya, Inc., (Revolver) L+275, 10/26/16 (9)",,Telecommunications,,,26185,,,,"(4,398",,,,"(4,255",
69,"BMC Software Inc., (Revolver), L+400, 8/9/18 (9)",,Business Services,,,24000,,,,"(2,861",,,,"(1,800",
70,"Confie Seguros II, (Revolver), L+525, 11/9/17 (9)",,Insurance,,,4500,,,,(450,,,,(405,
71,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",,Telecommunications,,,9500,,,,-,,,,-,
72,Total Unfunded Revolver Obligations,,,,,,,,,"(7,709",,,,"(6,873",
73,TOTAL SECURED DEBT,,,,,,,,,1403828,,,,1419737,
74,UNSECURED DEBT-52.8%,,,,,,,,,,,,,,
75,"Allied Nevada Gold Corp., 8.75%, 6/2/19   ̈  ‡",,"Diversified Natural  Resources, Precious  Metals and Minerals",,,"CAD 25,357",,,,22924,,,,17638,
76,"Altegrity, Inc., 0.00%, 8/2/16   ̈  †",,Diversified Service,,,3545,,,,2506,,,,1489,
77,"Altegrity, Inc., 11.75%, 5/1/16   ̈  †",,Diversified Service,,,14639,,,,12291,,,,11034,
78,"Altegrity, Inc., 12.00%, 11/1/15   ̈  †",,Diversified Service,,,44000,,,,44000,,,,39160,
79,"American Tire Distributors, Inc., 11.50%, 6/1/18   ̈",,Distribution,,,25000,,,,25000,,,,25450,
80,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",,Transportation,,£,20948,,,,33112,,,,33329,
81,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",,Transportation,,€,12721,,,,17458,,,,16918,
82,"Ceridian Corp., 12.25% Cash or 13.00% PIK, 11/15/15 †",,Diversified Service,,,14420,,,,14417,,,,14612,
83,"Ceridian Corp., 11.25%, 11/15/15 †",,Diversified Service,,,35800,,,,35803,,,,36248,
84,"Ceridian Corp., 11.00%, 3/15/21 †   ̈",,Diversified Service,,,34000,,,,34000,,,,39468,
85,"CRC Health Corp., 10.75%, 2/1/16",,Healthcare,,,13000,,,,13099,,,,13138,
86,"Delta Educational Systems, Inc., 16.00% (10.00% Cash/ 6.00% PIK), 5/12/17",,Education,,,21043,,,,20672,,,,19833,
87,"Denver Parent Corp.(Venoco), 12.25%, 8/15/18   ̈",,Oil & Gas,,,25000,,,,24338,,,,24813,
88,"Energy & Exploration Partners, Inc., 15.00%, 04/08/18",,Oil & Gas,,,25000,,,,22200,,,,22250,
89,"Exova Limited, 10.50%, 10/15/18   ̈  ‡ †",,Business Services,,£,18000,,,,27142,,,,31408,
90,"Exova Limited, 10.50%, 10/15/18 ‡ †",,Business Services,,,4655,,,,6153,,,,8123,
91,"First Data Corp., 11.25%, 1/15/21 †   ̈",,Financial Services,,,67000,,,,66976,,,,69736,
92,"First Data Corp., 10.625%, 6/15/21 †   ̈",,Financial Services,,,10000,,,,10000,,,,10163,
93,INVESTMENTS IN NON-CONTROLLED/  NON-AFFILIATED  INVESTMENTS -136.1%,,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,
94,"First Data Corp., 11.75% 8/15/21 †   ̈",,Financial Services,,,27000,,,,27030,,,,25920,
95,"First Data Corp., 11.25%, 3/31/16 †",,Financial Services,,,41862,,,,38983,,,,41914,
96,"First Data Corp., 12.625%, 1/15/21 †",,Financial Services,,,5000,,,,5644,,,,5507,
97,"inVentiv Health, Inc., 11.00%, 8/15/18   ̈",,Healthcare,,,150000,,,,150000,,,,119625,
98,"Lonestar Intermediate Super Holdings, LLC (Asurion), L+950, 9/2/19",,Insurance,,,55125,,,,55645,,,,57881,
99,"Niacet Corporation, 13.00%, 8/28/18",,Chemicals,,,12500,,,,12500,,,,12500,
100,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625%, 2/1/20 ‡   ̈",,Oil & Gas,,,66082,,,,66960,,,,64485,
101,"Symbion Inc., 11.00%, 8/23/15",,Healthcare,,,5483,,,,5483,,,,5490,
102,"U.S. Security Associates Holdings, Inc., 11.00%, 7/28/18",,Business Services,,,135000,,,,135000,,,,137565,
103,"Univar Inc., 10.50%, 6/30/18",,Distribution,,,20000,,,,20000,,,,19940,
104,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",,Distribution,,€,11574,,,,15104,,,,16090,
105,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",,Distribution,,,22204,,,,21871,,,,22804,
106,"Wind Acquisition Holdings, 12.25%, 7/15/17   ̈  ‡",,Telecommunications,,,20000,,,,20918,,,,19875,
107,TOTAL UNSECURED DEBT,,,,,,,,,1007229,,,,984406,
108,TOTAL CORPORATE DEBT,,,,,,,,,2411057,,,,2404143,
109,STRUCTURED PRODUCTS AND OTHER-3.0%,,,,,,,,,,,,,,
110,"Craft CLO Ltd., L+925, 4/17/20 ‡",,Diversified  Investment Vehicle,,,20000,,,,20000,,,,20000,
111,"Dark Castle Holdings, LLC",,Media,,,33450,,,,10343,,,,10492,
112,"Renaissance Umiat, LLC, ACES, Tax Receivable ** **** ‡",,Oil & Gas,,,-,,,,14844,,,,15073,
113,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20   ̈  ‡",,Diversified  Investment Vehicle,,,11000,,,,7508,,,,10203,
114,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,,,52695,,,,55768,
115,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS-136.1%,,Industry,,Shares,,,Cost,,,Fair  Value (1),,,,
116,PREFERRED EQUITY-0.7%,,,,,,,,,,,,,,
117,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",,Financial Services,,,7961,,,,788,,,,1592,
118,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50% PIK, ***",,Education,,,12360,,,,27686,,,,8707,
119,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50% PIK ***",,Education,,,332500,,,,6863,,,,-,
120,"Varietal Distribution Holdings, LLC, Class A, 8.00% PIK",,Distribution,,,3097,,,,5083,,,,2852,
121,TOTAL PREFERRED EQUITY,,,,,,,,,40420,,,,13151,
122,EQUITY-3.5%,,,,,,,,,,,,,,
123,Common Equity/Interests-2.8%,,,,,,,,,,,,,,
124,Accelerate Parent Corp. (American Tire Distributors) **,,Distribution,,,3125000,,,,3125,,,,3910,
125,"AHC Mezzanine, LLC (Advanstar) **",,Media,,,-,,,,1063,,,,820,
126,Altegrity Holding Corp. **,,Diversified Service,,,353399,,,,13797,,,,731,
127,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",,Financial Services,,,25000,,,,2500,,,,2245,
128,"CA Holding, Inc. (Collect America, Ltd.) Series AA ** ‡",,Financial Services,,,4294,,,,429,,,,859,
129,"Caza Petroleum, Inc., Net Profits Interest **",,Oil & Gas,,,-,,,,679,,,,607,
130,"Caza Petroleum, Inc., Overriding Royalty Interest **",,Oil & Gas,,,-,,,,191,,,,223,
131,"Clothesline Holdings, Inc. (Angelica Corporation) **",,Healthcare,,,6000,,,,6000,,,,3628,
132,"Explorer Coinvest, LLC (Booz Allen) ** ‡",,Business Services,,,430,,,,3292,,,,7726,
133,"Garden Fresh Restaurant Holding, LLC **",,Restaurants,,,50000,,,,5000,,,,-,
134,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",,Education,,,17500,,,,175,,,,-,
135,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",,Manufacturing,,,-,,,,-,,,,135,
136,"JV Note Holdco, LLC (DSI Renal Inc.) **",,Healthcare,,,9303,,,,85,,,,-,
137,"Pelican Energy, LLC, Net Profits Interest ** ‡",,Oil & Gas,,,-,,,,375,,,,293,
138,"Penton Business Media Holdings, LLC **",,Printing  &Publishing,,,124,,,,4950,,,,15000,
139,"RC Coinvestment, LLC (Ranpak Corp.) **",,Packaging,,,50000,,,,5000,,,,6311,
140,"Sorenson Communications Holdings, LLC, Class A **",,Consumer Products,,,454828,,,,45,,,,290,
141,"Univar, Inc. **",,Distribution,,,900000,,,,9000,,,,9570,
142,"Varietal Distribution Holdings, LLC, Class A **",,Distribution,,,28028,,,,28,,,,-,
143,Total Common Equity/Interests,,,,,,,,,55734,,,,52348,
144,INVESTMENTS IN NON-CONTROLLED/ NON-AFFILIATED  INVESTMENTS-136.1%,,Industry,,Warrants,,,Cost,,,Fair  Value (1),,,,
145,Warrants-0.7%,,,,,,,,,,,,,,
146,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",,Financial Services,,,7961,,,,8,,,,-,
147,"Energy & Exploration Partners, Inc., Common **",,Oil & Gas,,,48077,,,,2232,,,,2232,
148,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) ** ‡",,Electronics,,,24862,,,,250,,,,6101,
149,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",,Education,,,9820,,,,98,,,,-,
150,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",,Education,,,45947,,,,459,,,,-,
151,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",,Education,,,104314,,,,1043,,,,-,
152,"Osage Exploration & Development, Inc., Common ** ‡",,Oil & Gas,,,1496843,,,,-,,,,1458,
153,"Spotted Hawk Development LLC, Common ** ‡",,Oil & Gas,,,54545,,,,852,,,,2733,
154,Total Warrants,,,,,,,,,4942,,,,12524,
155,TOTAL EQUITY,,,,,,,,,60676,,,,64872,
156,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,,,,,,,2564848,,,,2537934,
157,INVESTMENTS IN NON-CONTROLLED/ AFFILIATED  INVESTMENTS-7.6% (4),,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,
158,CORPORATE DEBT-0.8%,,,,,,,,,,,,,,
159,SECURED DEBT-0.8%,,,,,,,,,,,,,,
160,1st Lien Secured Debt-0.8%,,,,,,,,,,,,,,
161,"Aventine Renewable Energy Holdings, Inc., 15.00% (12.00% Cash/3.00% PIK), 9/24/16 †",,Chemicals,,,4000,,,,3884,,,,3404,
162,"Aventine Renewable Energy Holdings, Inc., 10.50% Cash or 15.00% PIK, 9/24/17 †",,Chemicals,,,13059,,,,16577,,,,7724,
163,"Aventine Renewable Energy Holdings, Inc., 25.00% PIK, 9/24/16 †",,Chemicals,,,4818,,,,4818,,,,4818,
164,Total 1st Lien Secured Debt,,,,,,,,,25279,,,,15946,
165,TOTAL CORPORATE DEBT,,,,,,,,,25279,,,,15946,
166,STRUCTURED PRODUCTS AND OTHER-6.7%,,,,,,,,,,,,,,
167,Highbridge Loan Ltd. Preference Shares ‡ ** ¢,,Diversified  Investment Vehicle,,,11226,,,,11226,,,,11177,
168,"Jamestown CLO I LTD, Class D, L+550, 11/5/24 † ‡ ¢",,Diversified  Investment Vehicle,,,3800,,,,3385,,,,3613,
169,"Jamestown CLO I LTD, Class C, L+400, 11/5/24 † ‡ ¢",,Diversified  Investment Vehicle,,,1120,,,,1027,,,,1108,
170,"Jamestown CLO I LTD, Subordinated  Notes, 11/5/24 † ‡ ¢",,Diversified  Investment Vehicle,,,15075,,,,12784,,,,13010,
171,"Kirkwood Fund II LLC, Common Interests ‡ ¢",,Diversified  Investment Vehicle,,,-,,,,38188,,,,37149,
172,"MCF CLO I LLC, Class E, L+575, 4/20/23 † ‡ ¢",,Diversified  Investment Vehicle,,,13000,,,,12304,,,,12194,
173,"MCF CLO I LLC, Membership Interests † ‡ ¢",,Diversified  Investment Vehicle,,,38918,,,,38918,,,,39457,
174,"Slater Mill Loan Fund LTD, Preference Shares ‡ ¢",,Diversified  Investment Vehicle,,,8375,,,,6529,,,,6964,
175,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,,,124361,,,,124672,
176,,,,,Shares,,,,,,,,,,
177,EQUITY-0.1%,,,,,,,,,,,,,,
178,Common Equity/Interests-0.0%,,,,,,,,,,,,,,
179,"Aventine Renewable Energy Holdings, Inc. **",,Chemicals,,,262036,,,,688,,,,207,
180,Total Common Equity/Interests,,,,,,,,,688,,,,207,
181,,,,,Warrants,,,,,,,,,,
182,Warrants-0.1%,,,,,,,,,,,,,,
183,"Aventine Renewable Energy Holdings, Inc., Common **",,Chemicals,,,1521193,,,,3995,,,,1199,
184,Total Warrants,,,,,,,,,3995,,,,1199,
185,TOTAL EQUITY,,,,,,,,,4683,,,,1406,
186,Total Investments in Non-Controlled/Affiliated Investments,,,,,,,,,154323,,,,142024,
187,INVESTMENTS IN CONTROLLED INVESTMENTS-18.8% (5),,Industry,,Par  Amount*,,,Cost,,,Fair  Value (1),,,,
188,CORPORATE DEBT-10.2%,,,,,,,,,,,,,,
189,SECURED DEBT-7.6%,,,,,,,,,,,,,,
190,1st Lien Secured Debt -7.0%,,,,,,,,,,,,,,
191,"Merx Aviation Finance Holdings, LLC, 12.00%, 1/9/21",,Aviation,,,91072,,,,91072,,,,91072,
192,"Merx Aviation Finance Holdings, LLC, 12.00%, 2/1/21",,Aviation,,,5303,,,,5303,,,,5303,
193,"Merx Aviation Finance Holdings, LLC, 12.00%, 3/28/21",,Aviation,,,4684,,,,4684,,,,4684,
194,"Merx Aviation Finance Holdings, LLC, 12.00%, 6/25/21",,Aviation,,,13500,,,,13500,,,,13500,
195,"Merx Aviation Finance Holdings, LLC, 12.00%, 7/25/21",,Aviation,,,7525,,,,7525,,,,7525,
196,"Merx Aviation Finance Holdings, LLC, 12.00%, 8/19/21",,Aviation,,,4000,,,,4000,,,,4000,
197,"Merx Aviation Finance Holdings, LLC, 12.00%, 9/12/21",,Aviation,,,4600,,,,4600,,,,4600,
198,Total 1st Lien Secured Debt,,,,,,,,,130684,,,,130684,
199,2nd Lien Secured Debt-0.6%,,,,,,,,,,,,,,
200,"LVI Services, Inc., 12.50%, 3/6/18",,Environmental  Services,,,10000,,,,9828,,,,10000,
201,Total 2nd Lien Secured Debt,,,,,,,,,9828,,,,10000,
202,TOTAL SECURED DEBT,,,,,,,,,140512,,,,140684,
203,UNSECURED DEBT-2.6%,,,,,,,,,,,,,,
204,"Playpower Holdings, Inc., 14.00% PIK, 12/15/15 †",,Leisure,,€,20425,,,,27092,,,,27648,
205,"Playpower, Inc., 12.50% PIK, 12/31/15 †",,Leisure,,£,13093,,,,20187,,,,21203,
206,TOTAL UNSECURED DEBT,,,,,,,,,47279,,,,48851,
207,TOTAL CORPORATE DEBT,,,,,,,,,187791,,,,189535,
208,STRUCTURED PRODUCTS AND OTHER-0.0%,,,,,,,,,,,,,,
209,"AIC Credit Opportunity Fund, LLC (8)",,Diversified  Investment Vehicle,,,-,,,,-,,,,13,
210,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,,,-,,,,13,
211,,,,,Shares,,,,,,,,,,
212,EQUITY-8.6%,,,,,,,,,,,,,,
213,Common Equity/Interests-8.6%,,,,,,,,,,,,,,
214,"Generation Brands Holdings, Inc. (Quality Home Brands) **",,Home and Office  Furnishings and  Durable Consumer  Products,,,9007,,,,-,,,,1426,
215,"Generation Brands Holdings, Inc. Series H (Quality Home Brands) **",,Home and Office  Furnishings and  Durable Consumer  Products,,,7500,,,,2297,,,,1188,
216,INVESTMENTS IN CONTROLLED INVESTMENTS-18.8% (5),,Industry,,Shares,,,Cost,,,Fair  Value (1),,,,
217,"Generation Brands Holdings, Inc. Series 2L (Quality Home Brands) **",,Home and  Office  Furnishings  and Durable  Consumer  Products,,,36700,,,,11243,,,,5812,
218,"LVI Parent Corp. (LVI Services, Inc.) **",,Environmental  Services,,,14981,,,,16096,,,,34504,
219,"Merx Aviation Finance Holdings, LLC **",,Aviation,,,689,,,,66582,,,,71443,
220,"Playpower Holdings, Inc. **",,Leisure,,,1000,,,,77722,,,,45827,
221,Total Common Equity/Interests,,,,,,,,,173940,,,,160200,
222,TOTAL EQUITY,,,,,,,,,173940,,,,160200,
223,Total Investments in Controlled Investments,,,,,,,,,361731,,,,349748,
224,"Total Investments-162.5% (6,7)",,,,,,,,,3080902,,,,3029706,
225,Liabilities in Excess of Other Assets-(62.5%),,,,,,,,,,,,,"(1,165,062",
226,Net Assets-100.0%,,,,,,,,,,,,,1864644,
227,(1),Fair value is determined in good faith by or under the direction of the Board of Directors of the Company (see Note 2).,,,,,,,,,,,,,
228,(5),"Denotes investments in which we are deemed to exercise a controlling influence over the management or policies of a company, as defined in the 1940 Act, due to beneficially owning, either directly or through one or more controlled companies, more than 25% of the outstanding voting securities of the investment. Fair value as of March 31, 2013 and September 30, 2013 along with transactions during the six months ended September 30, 2013 in these Controlled investments are as follows:",,,,,,,,,,,,,
229,(6),"Aggregate gross unrealized appreciation for federal income tax purposes is $119,163; aggregate gross unrealized depreciation for federal income tax purposes is $267,156. Net unrealized depreciation is $147,993 based on a tax cost of $3,177,698.",,,,,,,,,,,,,
230,Industry Classification,,"Percentage of Total  Investments (at  fair value) as of  September 30,  2013",,,,,,,,,,,,
231,Business Services,,12.5%,,,,,,,,,,,,
232,Oil & Gas,,11.4%,,,,,,,,,,,,
233,Financial Services,,11.1%,,,,,,,,,,,,
234,Healthcare,,8.4%,,,,,,,,,,,,
235,Aviation,,6.7%,,,,,,,,,,,,
236,Telecommunications,,5.7%,,,,,,,,,,,,
237,Diversified Service,,5.7%,,,,,,,,,,,,
238,Diversified Investment Vehicle,,5.1%,,,,,,,,,,,,
239,Chemicals,,4.7%,,,,,,,,,,,,
240,Distribution,,3.3%,,,,,,,,,,,,
241,Leisure,,3.1%,,,,,,,,,,,,
242,Insurance,,2.8%,,,,,,,,,,,,
243,Environmental Services,,2.3%,,,,,,,,,,,,
244,Mining,,1.7%,,,,,,,,,,,,
245,"Diversified Natural Resources, Precious Metals and Minerals",,1.7%,,,,,,,,,,,,
246,Transportation,,1.7%,,,,,,,,,,,,
247,"Containers, Packaging, and Glass",,1.6%,,,,,,,,,,,,
248,Restaurants,,1.6%,,,,,,,,,,,,
249,Energy,,1.5%,,,,,,,,,,,,
250,Manufacturing,,1.4%,,,,,,,,,,,,
251,Education,,1.1%,,,,,,,,,,,,
252,Printing & Publishing,,1.0%,,,,,,,,,,,,
253,Packaging,,0.9%,,,,,,,,,,,,
254,Grocery,,0.7%,,,,,,,,,,,,
255,Consumer Products,,0.5%,,,,,,,,,,,,
256,"Hotels, Motels, Inns, and Gaming",,0.5%,,,,,,,,,,,,
257,Media,,0.4%,,,,,,,,,,,,
258,Broadcasting & Entertainment,,0.4%,,,,,,,,,,,,
259,Home and Office Furnishings and Durable Consumer Products,,0.3%,,,,,,,,,,,,
260,Electronics,,0.2%,,,,,,,,,,,,
261,Total Investments,,100.0%,,,,,,,,,,,,
