,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
44,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,"8.10% (3M L+760, 0.50% Floor)",,2/1/21,,8571,,,8547,,,8529,,,,
45,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,2/1/21,,6429,,,(31,,,(32,,,,
46,"Aventine Renewable Energy Holdings, Inc.",,"Chemicals, Plastics & Rubber",,10.50% Cash (15.00% PIK Toggle),,9/24/17,,7399,,,7648,,,6842,,,,
47,ChyronHego Corporation (18),,High Tech Industries,,"6.93% (3M L+593, 1.00% Floor)",,3/9/20,,36786,,,36192,,,36050,,,,
48,"Delta Educational Systems, Inc. (14)(16)",,Education,,"16.00% (3M L+1400 PIK, 2.00% Floor)",,12/11/16,,7334,,,7049,,,-,,,,
49,Dodge Data & Analytics LLC,,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/31/19,,52368,,,51667,,,50928,,,,
50,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"9.50% (3M L+850, 1.00% Floor)",,6/12/21,,11128,,,10992,,,10961,,,,
51,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"9.50% (6M L+850, 1.00% Floor)",,6/12/21,,11128,,,10992,,,10961,,,,
52,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"10.50% (1M L+900, 1.50% Floor)",,7/3/18,,2500,,,2500,,,2500,,,,
53,LabVantage Solutions Inc.,,High Tech Industries,,"9.00% (3M L+800, 1.00% Floor)",,12/29/20,,14719,,,14311,,,14424,,,,
54,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00% (3M E+800, 1.00% Floor)",,12/29/20,,€,13484,,,14082,,,14850,,,
55,"Magnetation, LLC (14)",,Metals & Mining,,12.00% PIK,,10/14/16,,14296,,,12427,,,43,,,,
56,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00%,,12/31/18,,59305,,,59305,,,53668,,,,
57,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,28035,,,28035,,,27755,,,,
58,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,7972,,,7972,,,7892,,,,
59,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,789,,,-,,,(8,,,,
60,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,3115,,,3115,,,3084,,,,
61,"My Alarm Center, LLC, Unfunded Term Loan C (8)(16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,997,,,-,,,(10,,,,
62,"Nextech Systems, LLC (18)",,High Tech Industries,,"8.25% (3M L+725, 1.00% Floor)",,6/22/21,,22500,,,21968,,,22050,,,,
63,"Saba Software, Inc. (18)",,High Tech Industries,,"9.75% (1M L+875, 1.00% Floor)",,3/30/21,,9875,,,9875,,,9727,,,,
64,"SCM Insurance Services, Inc. (17)",,Business Services,,9.25%,,8/22/19,,C$,39480,,,33205,,,25228,,,
65,"Spotted Hawk Development, LLC (14)",,Energy – Oil & Gas,,19.00% (13.00% Cash plus 6.00% PIK),,12/31/19,,88292,,,84380,,,63661,,,,
66,Telestream Holdings Corporation (18),,High Tech Industries,,"7.77% (3M L+677, 1.00% Floor)",,1/15/20,,30699,,,30699,,,30085,,,,
67,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
68,UniTek Global Services Inc. (16),,Telecommunications,,"9.50% (3M L+750 Cash plus 1.00% PIK, 1.00% Floor)",,1/13/19,,,11650,,,,11651,,,,11651,
69,UniTek Global Services Inc. (16),,Telecommunications,,"8.50% (3M L+750, 1.00% Floor)",,1/13/19,,32367,,,32367,,,31881,,,,
70,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)-29.4% (10),,,509302,,,,453067,,,,,,,,,,,
71,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,
72,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50% Unfunded,,8/14/20,,,14794,,,,"(1,322",,,,"(1,272",
73,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,10/3/16,,8,,,-,,,(1,,,,
74,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,11/30/16,,56,,,-,,,(5,,,,
75,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,4/24/17,,37,,,-,,,(3,,,,
76,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,5/4/17,,8,,,-,,,(1,,,,
77,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,6/30/17,,17,,,-,,,(2,,,,
78,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,7/29/17,,80,,,-,,,(7,,,,
79,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,296,,,296,,,296,,,,
80,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,711,,,711,,,711,,,,
81,"American Media, Inc., Unfunded Revolver (16)(21)(23)",,"Advertising, Printing & Publishing",,0.50% Unfunded,,8/24/20,,565,,,(52,,,-,,,,
82,"American Media, Inc., Letter of Credit (16)(23)",,"Advertising, Printing & Publishing",,7.50%,,8/24/20,,206,,,-,,,-,,,,
83,"Avaya, Inc., Revolver",,Telecommunications,,5.25% (P+175),,10/26/16,,3303,,,3303,,,3303,,,,
84,"Confie Seguros Holding II Co., Revolver (16)(23)",,Insurance,,7.00% (P+350),,11/9/17,,615,,,615,,,606,,,,
85,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50% Unfunded,,11/9/17,,3724,,,(131,,,(56,,,,
86,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",,Insurance,,4.50%,,1/13/17,,161,,,-,,,(2,,,,
87,"Endologix, Inc., Revolver (9)(16)(17)(23)",,Healthcare & Pharmaceuticals,,"4.60% (1M L+410, 0.50% Floor)",,7/29/20,,56,,,56,,,55,,,,
88,"Endologix, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,7/29/20,,4944,,,(24,,,(24,,,,
89,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/29/20,,€,3435,,,(102,,,(77,,,
90,"My Alarm Center, LLC, Revolver (16)(23)",,Business Services,,11.00% (P+700),,1/9/19,,750,,,750,,,750,,,,
91,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,5500,,,-,,,-,,,,
92,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/5/19,,6000,,,(38,,,"(1,200",,,,
93,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",,Telecommunications,,0.50% Unfunded,,1/13/19,,5000,,,-,,,-,,,,
94,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50%,,1/13/19,,8812,,,-,,,-,,,,
95,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50%,,1/13/19,,1850,,,-,,,-,,,,
96,Total Revolvers and Letters of Credit-0.2% (10),,,,,,,,,4062,,,,3071,,,,,
97,Total First Lien Secured Debt-29.6% (10),,,,,,,,,513364,,,,456138,,,,,
98,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
99,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,
100,1A Smart Start LLC,,Consumer Services,,"9.50% (3M L+850, 1.00% Floor)",,8/22/22,,,35000,,,,34384,,,,34370,
101,"Access CIG, LLC (16)",,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/17/22,,35755,,,34268,,,34878,,,,
102,"Access CIG, LLC (16)",,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/17/22,,15215,,,14659,,,14841,,,,
103,"Active Network, Inc. (16)",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,11/15/21,,19672,,,19601,,,19475,,,,
104,"Active Network, Inc. (16)",,Business Services,,"10.50% (3M L+950, 1.00% Floor)",,11/15/21,,6006,,,5886,,,5931,,,,
105,"Appriss Holdings, Inc.",,Business Services,,"10.25% (3M L+925, 1.00% Floor)",,5/21/21,,23309,,,23032,,,23309,,,,
106,Armor Holding II LLC,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"10.25% (3M L+900, 1.25% Floor)",,12/26/20,,8000,,,7895,,,7830,,,,
107,Asurion Corporation,,Insurance,,"8.50% (3M L+750, 1.00% Floor)",,3/3/21,,39590,,,39385,,,39458,,,,
108,Confie Seguros Holding II Co. (16),,Insurance,,"10.25% (1M L+900, 1.25% Floor)",,5/8/19,,22344,,,22262,,,22567,,,,
109,"Delta Educational Systems, Inc. (14)(16)",,Education,,16.00% PIK,,5/12/17,,7759,,,7460,,,-,,,,
110,"Delta Educational Systems, Inc. (14)(16)",,Education,,35.00% PIK,,6/10/18,,1538,,,1328,,,-,,,,
111,"Deltek, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,6/26/23,,15086,,,14906,,,15303,,,,
112,"Elements Behavioral Health, Inc.",,Healthcare & Pharmaceuticals,,"13.00% (3M L+1200 PIK, 1.00% Floor)",,2/11/20,,10477,,,10418,,,8591,,,,
113,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"7.75% (3M L+625 PIK, 1.50% Floor)",,1/1/19,,9282,,,7746,,,-,,,,
114,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"15.00% (3M L+1350 PIK, 1.50% Floor)",,1/1/19,,49986,,,45904,,,-,,,,
115,"GCA Services Group, Inc.",,Business Services,,"10.00% (3M L+900, 1.00% Floor)",,3/1/24,,10000,,,9761,,,9975,,,,
116,"Grocery Outlet, Inc.",,Food & Grocery,,"9.25% (3M L+825, 1.00% Floor)",,10/21/22,,25000,,,24693,,,25000,,,,
117,"Infiltrator Systems Integrated, LLC",,"Manufacturing, Capital Equipment",,"9.75% (3M L+875, 1.00% Floor)",,5/26/23,,13889,,,13645,,,13958,,,,
118,"Institutional Shareholder Services, Inc.",,Business Services,,"8.50% (3M L+750, 1.00% Floor)",,4/30/22,,6640,,,6589,,,6375,,,,
119,"Kronos, Inc.",,Business Services,,"9.75% (3M L+850, 1.25% Floor)",,4/30/20,,9981,,,10094,,,10187,,,,
120,"Lanai Holdings III, Inc.",,Healthcare & Pharmaceuticals,,"9.50% (3M L+850, 1.00% Floor)",,8/28/23,,17391,,,16878,,,16956,,,,
121,"Landslide Holdings, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,9/21/23,,18510,,,18140,,,18441,,,,
122,MSC Software Corp. (17),,High Tech Industries,,"8.50% (3M L+750, 1.00% Floor)",,5/31/21,,13448,,,13350,,,13179,,,,
123,"MW Industries, Inc.",,"Manufacturing, Capital Equipment",,"10.25% (3M L+925, 1.00% Floor)",,12/28/20,,20000,,,19522,,,19900,,,,
124,"Poseidon Merger Sub, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,8/15/23,,18000,,,17535,,,17640,,,,
125,River Cree Enterprises LP (11)(17),,"Hotel, Gaming, Leisure, Restaurants",,11.00%,,1/20/21,,C$,19000,,,17913,,,14005,,,
126,"Sequential Brands Group, Inc. (17)",,Consumer Goods – Durable,,9.52% (1M L+900),,7/1/22,,17600,,,17388,,,17389,,,,
127,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
128,"SiTV, Inc. (11)",,Broadcasting & Subscription,,10.375%,,7/1/19,,,2219,,,,2219,,,,1530,
129,SMG,,"Hotel, Gaming, Leisure, Restaurants",,"9.25% (3M L+825, 1.00% Floor)",,2/27/21,,19649,,,19649,,,19453,,,,
130,"Sprint Industrial Holdings, LLC",,"Containers, Packaging & Glass",,"11.25% (3M L+1000, 1.25% Floor)",,11/14/19,,16163,,,15586,,,9617,,,,
131,"Sterling Holdings Ultimate Parent, Inc.",,Business Services,,"9.25% (3M L+825, 1.00% Floor)",,6/19/23,,20000,,,19814,,,19600,,,,
132,"STG-Fairway Acquisitions, Inc.",,Business Services,,"10.25% (3M L+925, 1.00% Floor)",,6/30/23,,15000,,,14666,,,14250,,,,
133,"TMK Hawk Parent, Corp.",,"Transportation – Cargo, Distribution",,"8.50% (3M L+750, 1.00% Floor)",,10/1/22,,34000,,,33726,,,33660,,,,
134,"Velocity Technology Solutions, Inc.",,Business Services,,"9.50% (3M L+825, 1.25% Floor)",,9/28/20,,16500,,,16274,,,16088,,,,
135,"Wave Holdco Merger Sub, Inc.",,Telecommunications,,"10.25% (3M L+925, 1.00% Floor)",,5/27/23,,10000,,,9754,,,9750,,,,
136,Total Second Lien Secured Debt-34.6% (10),,,,,,,,,606330,,,,533506,,,,,
137,Total Secured Debt-64.2% (10),,,,,,,,,1119694,,,,989644,,,,,
138,Unsecured Debt,,,,,,,,,,,,,,,,,,
139,"American Tire Distributors, Inc. (11)",,"Transportation – Cargo, Distribution",,10.25%,,3/1/22,,,14741,,,,14814,,,,13580,
140,Canacol Energy Ltd. (17),,Energy – Oil & Gas,,"9.50% (3M L+850, 1.00% Floor)",,12/31/19,,75000,,,73602,,,72825,,,,
141,"Delta Educational Systems, Inc. (14)(16)",,Education,,16.00% PIK,,5/12/17,,22811,,,20665,,,-,,,,
142,"Lonestar Intermediate Super Holdings, LLC",,Insurance,,"10.00% Cash (3M L+900 Cash, 1.00% Floor) (3M L+975 PIK Toggle, 1.00% Floor)",,8/10/21,,4865,,,4817,,,4842,,,,
143,"Sorenson Holdings, LLC (11)",,Consumer Goods – Durable,,13.85% Cash (13.85% PIK Toggle),,10/31/21,,52,,,35,,,46,,,,
144,"U.S. Security Associates Holdings, Inc.",,Business Services,,11.00%,,7/28/18,,135000,,,135000,,,135000,,,,
145,UniTek Global Services Inc. (16),,Telecommunications,,15.00% PIK,,7/13/19,,7934,,,7933,,,8013,,,,
146,Total Unsecured Debt-15.2% (10),,,,,,,,,256866,,,,234306,,,,,
147,Total Corporate Debt-79.4% (10),,,,,,,,,1376560,,,,1223950,,,,,
148,Structured Products and Other,,,,,,,,,,,,,,,,,,
149,Asset Repackaging Trust Six B.V. (11)(17)(19),,Utilities – Electric,,13.87%,,5/18/27,,,58411,,,,25460,,,,32161,
150,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.93% (3M L+925),,4/17/22,,25000,,,25049,,,24500,,,,
151,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.93% (3M L+925),,4/17/22,,7625,,,7713,,,7472,,,,
152,"Craft 2014-1A, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.47% (3M L+965),,5/15/21,,42500,,,42413,,,41650,,,,
153,"Craft 2015-2, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.93% (3M L+925),,1/16/24,,26000,,,25870,,,24700,,,,
154,"Dark Castle Holdings, LLC",,Media – Diversified & Production,,12.77%,,N/A,,24395,,,1189,,,2244,,,,
155,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,6.21% (3M L+550),,4/23/26,,5000,,,4702,,,4251,,,,
156,Total Structured Products and Other-8.9% (10),,,,,,,,,132396,,,,136978,,,,,
157,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
158,Equity,,,,,,,,,,,,,,,,,,
159,Preferred Equity,,,,,,Shares,,,,,,,,,,,,
160,"Crowley Holdings, Inc., Series A Preferred Stock (11)",,"Transportation – Cargo, Distribution",,12.00% (10.00% Cash plus 2.00% PIK),,N/A,,32500,,,,34344,,,,34344,,
161,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,12.50% PIK,,N/A,,332500,,,6863,,,-,,,,
162,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,13.50% PIK,,N/A,,12360,,,27686,,,-,,,,
163,"Sungevity Inc., Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,114678899,,,4396,,,4260,,,,
164,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,"Transportation – Cargo, Distribution",,4.00% PIK,,N/A,,2594,,,2607,,,2607,,,,
165,Total Preferred Equity-2.7% (10),,,,,,,,,75896,,,,41211,,,,,
166,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,
167,"Accelerate Parent Corp., Common Stock (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,1664046,,,,1714,,,,1460,,
168,"Clothesline Holdings, Inc., Common Stock (13)",,Healthcare & Pharmaceuticals,,N/A,,N/A,,6000,,,6000,,,-,,,,
169,"Explorer Coinvest, LLC, Common Stock (17)",,Business Services,,N/A,,N/A,,N/A,,,574,,,2203,,,,
170,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)",,"Hotel, Gaming, Leisure, Restaurants",,N/A,,N/A,,50000,,,5000,,,-,,,,
171,"Gryphon Colleges Corp., Common Stock (13)",,Education,,N/A,,N/A,,17500,,,175,,,-,,,,
172,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,Business Services,,N/A,,N/A,,4500000,,,4500,,,4500,,,,
173,"Sorenson Holdings, LLC, Membership Interests (13)",,Consumer Goods – Durable,,N/A,,N/A,,587,,,-,,,143,,,,
174,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,28028,,,28,,,253,,,,
175,Total Common Equity/Interests-0.5% (10),,,,,,,,,17991,,,,8559,,,,,
176,Warrants,,,,,,Warrants,,,,,,,,,,,,
177,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,45947,,,,460,,,,-,,
178,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,104314,,,1043,,,-,,,,
179,"Gryphon Colleges Corp., Common Stock Warrants (13)",,Education,,N/A,,N/A,,9820,,,98,,,-,,,,
180,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",,Energy – Oil & Gas,,N/A,,N/A,,54545,,,852,,,-,,,,
181,Total Warrants-0.0% (10),,,,,,,,,2453,,,,-,,,,,
182,Total Equity-3.3% (10),,,,,,,,,96340,,,,49770,,,,,
183,Total Non-Controlled/Non-Affiliated Investments-91.5% (10),,,,,,,1605296,,,,1410698,,,,,,,
184,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
185,Non-Controlled/Affiliated Investments (4),,,,,,,,,,,,,,,,,,
186,Corporate Debt,,,,,,,,,,,,,,,,,,
187,Secured Debt,,,,,,,,,,,,,,,,,,
188,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
189,"Pelican Energy, LLC (14)(17)",,Energy – Oil & Gas,,10.00% PIK Toggle (10.00% Cash),,12/31/18,,,29624,,,,26665,,,,14864,
190,Total First Lien Secured Debt-1.0% (10),,,,,26665,,,,14864,,,,,,,,,
191,Total Secured Debt-1.0% (10),,,,,,,,,26665,,,,14864,,,,,
192,Unsecured Debt,,,,,,,,,,,,,,,,,,
193,"Venoco, Inc.",,Energy – Oil & Gas,,10.00% PIK,,7/25/17,,,338,,,,338,,,,338,
194,Total Unsecured Debt-0.0% (10),,,,,,,,,338,,,,338,,,,,
195,Total Corporate Debt-1.0% (10),,,,,,,,,27003,,,,15202,,,,,
196,Structured Products and Other,,,,,,,,,,,,,,,,,,
197,"Golden Bear Warehouse LLC, Membership Interests (3)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,N/A,,N/A,,,40446,,,,40446,,,,73457,
198,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,16.70%,,10/18/25,,12500,,,9588,,,9462,,,,
199,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,14.03%,,7/18/27,,14000,,,11557,,,10863,,,,
200,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,13.85%,,4/20/23,,38918,,,31151,,,32530,,,,
201,"MCF CLO III, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.07% (3M L+445),,1/20/24,,12750,,,11630,,,10487,,,,
202,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,20.40%,,1/20/24,,41900,,,32706,,,33276,,,,
203,Total Structured Products and Other - 11.0% (10),,,,,,,,,137078,,,,170075,,,,,
204,Equity,,,,,,,,,,,,,,,,,,
205,Preferred Equity,,,,,,Shares,,,,,,,,,,,,
206,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,1505868,,,,8343,,,,20458,,
207,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,436689,,,5568,,,5933,,,,
208,Total Preferred Equity-1.7% (10),,,,,,,,,13911,,,,26391,,,,,
209,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,
210,"AIC SPV Holdings I, LLC, Membership Interests (15)(17)(23)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,N/A,,N/A,,N/A,,,,68702,,,,25327,,
211,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",,Energy – Electricity,,N/A,,N/A,,243646,,,10000,,,890,,,,
212,"LVI Group Investments, LLC, Common Units (3)(13)",,Environmental Industries,,N/A,,N/A,,212460,,,17505,,,10951,,,,
213,"Pelican Energy, LLC, Membership Interests (13)(17)",,Energy – Oil & Gas,,N/A,,N/A,,1228,,,1099,,,-,,,,
214,"Venoco, Inc., LLC Units (13)",,Energy – Oil & Gas,,N/A,,N/A,,192177,,,40517,,,36321,,,,
215,Total Common Equity/Interests-4.8% (10),,,,,,,,,137823,,,,73489,,,,,
216,Warrants,,,,,,Warrants,,,,,,,,,,,,
217,"Venoco, Inc., Series A Warrants (13)",,Energy – Oil & Gas,,N/A,,N/A,,23125,,,,48170,,,,2412,,
218,Total Warrants-0.2% (10),,,,,,,,,48170,,,,2412,,,,,
219,Total Equity-6.7% (10),,,,,,,,,199904,,,,102292,,,,,
220,Total Non-Controlled/Affiliated Investments-18.7% (10),,,,,,,,,363985,,,,287569,,,,,
221,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
222,Controlled Investments (5),,,,,,,,,,,,,,,,,,
223,Corporate Debt,,,,,,,,,,,,,,,,,,
224,Secured Debt,,,,,,,,,,,,,,,,,,
225,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
226,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
