,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
58,LabVantage Solutions Inc.,,High Tech Industries,,"9.30% (3M L+800, 1.00% Floor)",,12/29/20,,14250,,,13924,,,14108,,,,,,,
59,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00% (3M E+800, 1.00% Floor)",,12/29/20,,€,13054,,,13714,,,14740,,,,,,
60,"Magnetation, LLC (14)",,Metals & Mining,,9.15% (3M L+800 Cash (PIK Toggle)),,12/31/19,,2081,,,2050,,,717,,,,,,,
61,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,5.22% PIK,,12/31/18,,59305,,,59305,,,50053,,,,,,,
62,"My Alarm Center, LLC, Term Loan A (16)(23)",,Business Services,,"9.05% (1M L+800, 1.00% Floor)",,1/9/19,,28035,,,28035,,,28035,,,,,,,
63,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.23% (1M L+800, 1.00% Floor)",,1/9/19,,8320,,,8320,,,8320,,,,,,,
64,"My Alarm Center, LLC, Unfunded Term Loan B (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,441,,,-,,,-,,,,,,,
65,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,"9.23% (1M L+800, 1.00% Floor)",,1/9/19,,3554,,,3554,,,3554,,,,,,,
66,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
67,"My Alarm Center, LLC, Unfunded Term Loan C (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,558,,,-,,,-,,,,,,,
68,"Nextech Systems, LLC (18)",,High Tech Industries,,"8.40% (3M L+725, 1.00% Floor)",,6/22/21,,21575,,,21145,,,21144,,,,,,,
69,Novadaq Technologies Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"8.25% (1M L+720, 0.50% Floor)",,1/1/22,,3333,,,3332,,,3510,,,,,,,
70,"Novadaq Technologies Inc., Unfunded Delayed Draw (9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,1/1/22,,6667,,,(30,,,-,,,,,,,
71,"Oxford Immunotec, Inc. (9)(16)(17)",,Healthcare & Pharmaceuticals,,8.65% (1M L+760),,10/1/21,,9750,,,9793,,,9824,,,,,,,
72,"PSI Services, LLC (9)(16)",,Business Services,,"6.22% (1M L+500, 1.00% Floor)",,1/20/23,,4142,,,4046,,,4067,,,,,,,
73,"PSI Services, LLC (9)(16)",,Business Services,,8.25% (P+425),,1/20/23,,10,,,10,,,10,,,,,,,
74,"PTC Therapeutics, Inc (9)(16)(17)",,Healthcare & Pharmaceuticals,,"7.20% (1M L+615, 1.00% Floor)",,5/1/21,,12667,,,12606,,,12603,,,,,,,
75,"PTC Therapeutics, Inc, Unfunded Delayed Draw (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.00% Unfunded,,5/1/21,,6333,,,-,,,(32,,,,,,,
76,"SCM Insurance Services, Inc. (17)",,Business Services,,9.25%,,8/22/19,,C$,39480,,,33483,,,27254,,,,,,
77,"SunEdison, Inc.",,Utilities – Electric,,"8.72% (1M L+750, 1.00% Floor)",,5/2/18,,14339,,,14263,,,14375,,,,,,,
78,Telestream Holdings Corporation (18),,High Tech Industries,,"7.61% (3M L +6.45%, 1.00% Floor)",,3/24/22,,37026,,,36670,,,36285,,,,,,,
79,UniTek Global Services Inc. (16),,Telecommunications,,"9.80% (3M L+750 Cash plus 1.00% PIK, 1.00% Floor)",,1/13/19,,1936,,,1936,,,1936,,,,,,,
80,UniTek Global Services Inc. (16),,Telecommunications,,"9.80% (3M L+850, 1.00% Floor)",,1/13/19,,32367,,,32367,,,33014,,,,,,,
81,Westinghouse Electric Co LLC (9)(16),,Energy – Electricity,,"7.50% (1M L+625, 1.00% Floor)",,3/31/18,,40000,,,39175,,,40000,,,,,,,
82,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)-31.5% (10),,,480168,,,,464862,,,,,,,,,,,,,,
83,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,,,,
84,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,4/23/18,,,37,,,,-,,,,(2,,,,
85,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,5/4/17,,8,,,-,,,-,,,,,,,
86,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,7/29/17,,80,,,-,,,(4,,,,,,,
87,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,10/3/17,,8,,,-,,,-,,,,,,,
88,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,11/30/17,,37,,,-,,,(2,,,,,,,
89,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",,Insurance,,4.52% (1M L+350),,8/14/20,,1125,,,1125,,,1076,,,,,,,
90,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50% Unfunded,,8/14/20,,13705,,,"(1,068",,,(603,,,,,,,
91,"Altasciences / 9360-1367 Quebec Inc., Revolver (9)(16)(17)(23)",,Healthcare & Pharmaceuticals,,"7.55% (1M L+625, 1.00% Floor)",,6/9/23,,143,,,143,,,139,,,,,,,
92,"Altasciences US Acquistion, Inc., Revolver (9)(16)(23)",,Healthcare & Pharmaceuticals,,"7.55% (1M L+625, 1.00% Floor)",,6/9/23,,143,,,143,,,139,,,,,,,
93,"Altasciences US Acquistion, Inc., Unfunded Revolver (8)(9)(16)(21)(23)(28)",,Healthcare & Pharmaceuticals,,0.25% Unfunded,,6/9/23,,1141,,,(32,,,(26,,,,,,,
94,"American Media, Inc., Letter of Credit (16)(23)",,"Advertising, Printing & Publishing",,7.50%,,8/24/20,,153,,,-,,,-,,,,,,,
95,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,"8.80% (3M L+750, 1.00% Floor)",,8/24/20,,652,,,652,,,652,,,,,,,
96,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
97,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,10.75% (L+750),,8/24/20,,593,,,592,,,593,,,,,,,
98,"American Media, Inc., Unfunded Revolver (16)(21)(23)",,"Advertising, Printing & Publishing",,0.50% Unfunded,,8/24/20,,380,,,(42,,,-,,,,,,,
99,"Avantor Performance Materials Holdings, LLC, Letter of Credit (8)(16)(23)",,"Chemicals, Plastics & Rubber",,4.00%,,3/10/18,,72,,,-,,,-,,,,,,,
100,"Avantor Performance Materials Holdings, LLC, Unfunded Revolver (8)(16)(21)(23)",,"Chemicals, Plastics & Rubber",,0.50% Unfunded,,3/10/22,,4928,,,(586,,,(27,,,,,,,
101,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,4/1/18,,277,,,-,,,(4,,,,,,,
102,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,10/31/17,,73,,,-,,,(1,,,,,,,
103,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,11/28/17,,670,,,-,,,(10,,,,,,,
104,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,7/11/17,,7,,,-,,,-,,,,,,,
105,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,10/17/17,,178,,,-,,,(3,,,,,,,
106,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,9/28/17,,14,,,-,,,-,,,,,,,
107,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,6/25/18,,3,,,-,,,-,,,,,,,
108,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,11/7/17,,20,,,-,,,-,,,,,,,
109,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",,Aerospace & Defense,,7.50%,,12/31/17,,180,,,-,,,(3,,,,,,,
110,"Erickson Inc., Revolver (9)(16)(23)",,Aerospace & Defense,,8.67% (3M L+750),,4/28/22,,23973,,,23636,,,23614,,,,,,,
111,"Erickson Inc., Unfunded Revolver (8)(9)(16)(21)(23)",,Aerospace & Defense,,0.50% Unfunded,,4/28/22,,19605,,,(213,,,(294,,,,,,,
112,"Invuity, Inc., Revolver (9)(16)(23)",,Healthcare & Pharmaceuticals,,"4.75% (1M L+325, 1.00% Floor)",,3/1/22,,850,,,850,,,846,,,,,,,
113,"Invuity, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,3/1/22,,1150,,,(9,,,(6,,,,,,,
114,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/29/20,,€,3435,,,(83,,,(39,,,,,,
115,"My Alarm Center, LLC, Revolver (16)(23)",,Business Services,,11.25% (P+900),,1/9/19,,5083,,,5083,,,5083,,,,,,,
116,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,1167,,,-,,,-,,,,,,,
117,"Novadaq Technologies Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,1/1/22,,3000,,,(14,,,(2,,,,,,,
118,"Oxford Immunotec, Inc., Unfunded Revolver (9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,10/1/21,,1000,,,(4,,,-,,,,,,,
119,"PSI Services, LLC, Revolver (9)(16)(23)",,Business Services,,"6.22% (1M L+500, 1.00% Floor)",,1/20/22,,198,,,198,,,195,,,,,,,
120,"PSI Services, LLC, Unfunded Revolver (8)(9)(16)(21)(23)",,Business Services,,0.50% Unfunded,,1/20/22,,198,,,(9,,,(4,,,,,,,
121,"PSI Services, LLC, Unfunded Revolver (9)(16)(21)(23)",,Business Services,,0.50% Unfunded,,1/20/22,,£,47,,,-,,,-,,,,,,
122,"SESAC Holdco II LLC, Unfunded Revolver (8)(16)(21)(23)",,Media – Diversified & Production,,0.50% Unfunded,,2/23/22,,587,,,(49,,,(44,,,,,,,
123,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/5/19,,6000,,,(29,,,(840,,,,,,,
124,"TricorBraun Holdings, Inc., Revolver (16)(23)",,"Containers, Packaging & Glass",,6.25% (P+225),,11/30/21,,1410,,,1410,,,1412,,,,,,,
125,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
126,"TricorBraun Holdings, Inc., Unfunded Revolver (16)(21)(23)",,"Containers, Packaging & Glass",,0.50% Unfunded,,11/30/21,,4215,,,(447,,,-,,,,,,,
127,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50%,,1/13/19,,7762,,,-,,,-,,,,,,,
128,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",,Telecommunications,,0.50% Unfunded,,1/13/19,,5000,,,-,,,-,,,,,,,
129,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)",,Healthcare & Pharmaceuticals,,"5.48% (1M L+425, 0.75% Floor)",,12/23/21,,7667,,,7667,,,7590,,,,,,,
130,"Wright Medical Group, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,12/23/21,,42333,,,(448,,,(423,,,,,,,
131,Total Revolvers and Letters of Credit-2.6% (10),,,,,,,,,38466,,,,39002,,,,,,,,
132,Total First Lien Secured Debt-34.1% (10),,,,,,,,,518634,,,,503864,,,,,,,,
133,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,,,,
134,"Access CIG, LLC (16)",,Business Services,,"9.92% (1M L+875, 1.00% Floor)",,10/17/22,,,50970,,,,49277,,,,50589,,,,
135,"Active Network, LLC",,Business Services,,"10.73% (1M L+950, 1.00% Floor)",,11/15/21,,17875,,,17720,,,17853,,,,,,,
136,A-L Parent LLC,,"Advertising, Printing & Publishing",,"8.48% (1M L+725, 1.00% Floor)",,12/2/24,,10048,,,9954,,,10098,,,,,,,
137,"Almonde, Inc (17)",,Business Services,,"8.25% (3M L+725, 1.00% Floor)",,6/13/25,,2316,,,2293,,,2360,,,,,,,
138,"Appriss Holdings, Inc.",,Business Services,,"10.55% (3M L+925, 1.00% Floor)",,5/21/21,,23309,,,23090,,,23309,,,,,,,
139,"Aptean, Inc.",,Business Services,,"10.80% (1M L+950, 1.00% Floor)",,12/20/23,,9548,,,9414,,,9577,,,,,,,
140,Armor Holding II LLC,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"10.30% (3M L+900, 1.25% Floor)",,12/26/20,,8000,,,7925,,,8080,,,,,,,
141,Asurion Corporation,,Insurance,,"8.73% (1M L+750, 1.00% Floor)",,3/3/21,,39590,,,39426,,,39837,,,,,,,
142,"ATS Consolidated, Inc.",,"Manufacturing, Capital Equipment",,"9.50% (3M L+850, 1.00% Floor)",,5/30/25,,15000,,,14701,,,14963,,,,,,,
143,"Avantor Performance Materials Holdings, LLC (16)",,"Chemicals, Plastics & Rubber",,"9.48% (3M L+825, 1.00% Floor)",,3/10/25,,1629,,,1613,,,1641,,,,,,,
144,"BioClinica Holding I, LP",,Healthcare & Pharmaceuticals,,"9.56% (3M L+825, 1.00% Floor)",,10/21/24,,24612,,,24159,,,24120,,,,,,,
145,Confie Seguros Holding II Co.,,Insurance,,"11.05% (3M L+975, 1.25% Floor)",,5/8/19,,22344,,,22283,,,22009,,,,,,,
146,"CT Technologies Intermediate Holdings, Inc. (9)",,Business Services,,"10.22% (1M L+900, 1.00% Floor)",,12/1/22,,31253,,,30347,,,30315,,,,,,,
147,Electro Rent Corporation (9),,Business Services,,"10.23% (1M L+900, 1.00% Floor)",,1/31/25,,18333,,,17812,,,17967,,,,,,,
148,"Elements Behavioral Health, Inc.",,Healthcare & Pharmaceuticals,,"13.18% (3M L+1200 PIK, 1.00% Floor)",,2/11/20,,11557,,,11515,,,9477,,,,,,,
149,"Erie Acquisition Holdings, Inc.",,Business Services,,"10.20% (3M L+900, 1.00% Floor)",,3/1/24,,16250,,,16039,,,16189,,,,,,,
150,"Grocery Outlet, Inc.",,Food & Grocery,,"9.55% (3M L+825, 1.00% Floor)",,10/21/22,,25000,,,24749,,,25250,,,,,,,
151,"Hare Bidco, Inc.",,"Chemicals, Plastics & Rubber",,"9.75% (3M L+875, 1.00% Floor)",,8/1/24,,€,13574,,,14391,,,15171,,,,,,
152,"Institutional Shareholder Services, Inc.",,Business Services,,"9.72% (3M L+850, 1.00% Floor)",,4/30/22,,8232,,,8169,,,8273,,,,,,,
153,"K&N Parent, Inc.",,Automotive,,"9.98% (1M L+875, 1.00% Floor)",,10/21/24,,30000,,,29444,,,29925,,,,,,,
154,"Lanai Holdings III, Inc.",,Healthcare & Pharmaceuticals,,"9.73% (1M L+850, 1.00% Floor)",,8/28/23,,17391,,,16936,,,17043,,,,,,,
155,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
156,MedPlast Holdings Inc.,,"Manufacturing, Capital Equipment",,"9.88% (3M L+875, 1.00% Floor)",,6/6/23,,8000,,,7808,,,7800,,,,,,,
157,"Ministry Brands, LLC (16)",,Business Services,,"10.48% (1M L+925, 1.00% Floor)",,6/2/23,,10000,,,9863,,,9854,,,,,,,
158,"MW Industries, Inc.",,"Manufacturing, Capital Equipment",,"10.55% (3M L+925, 1.00% Floor)",,12/28/20,,20000,,,19610,,,20100,,,,,,,
159,PAE Holding Corporation,,Aerospace & Defense,,"10.73% (1M L+950, 1.00% Floor)",,10/20/23,,28097,,,27334,,,28378,,,,,,,
160,"Parfums Holding Company, Inc.",,Retail,,"9.75% (3M L+875, 1.00% Floor)",,6/30/25,,8000,,,7760,,,7840,,,,,,,
161,"Poseidon Merger Sub, Inc.",,Business Services,,"9.67% (3M L+850, 1.00% Floor)",,8/15/23,,18000,,,17585,,,18000,,,,,,,
162,"Power Products, LLC (9)",,"Manufacturing, Capital Equipment",,"10.34% (6M L+900, 1.00% Floor)",,12/20/23,,32500,,,31448,,,32009,,,,,,,
163,"PSI Services, LLC (9)(16)",,Business Services,,"10.22% (1M L+900, 1.00% Floor)",,1/20/24,,25714,,,24991,,,25119,,,,,,,
164,"Securus Technologies Holdings, Inc.",,Telecommunications,,"9.25% (1M L+825, 1.00% Floor)",,6/20/25,,12878,,,12749,,,12991,,,,,,,
165,"Sequential Brands Group, Inc. (17)",,Consumer Goods – Durable,,10.09% (1M L+900),,7/1/22,,17424,,,17241,,,17174,,,,,,,
166,SESAC Holdco II LLC (16),,Media – Diversified & Production,,"8.37% (3M L+725, 1.00% Floor)",,2/24/25,,3241,,,3210,,,3254,,,,,,,
167,SMG,,"Hotel, Gaming, Leisure, Restaurants",,"9.55% (3M L+825, 1.00% Floor)",,2/27/21,,19649,,,19649,,,19625,,,,,,,
168,"Smokey Merger Sub, Inc. (9)",,High Tech Industries,,"9.75% (3M L+875, 1.00% Floor)",,5/24/24,,30000,,,29113,,,29100,,,,,,,
169,"Sprint Industrial Holdings, LLC (16)(30)",,"Containers, Packaging & Glass",,13.5% PIK,,11/14/19,,16163,,,15733,,,6700,,,,,,,
170,"Sprint Industrial Holdings, LLC (16)(31)",,"Containers, Packaging & Glass",,13.5% PIK,,11/14/19,,1106,,,1106,,,1106,,,,,,,
171,"STG-Fairway Acquisitions, Inc.",,Business Services,,"10.45% (3M L+925, 1.00% Floor)",,6/30/23,,15000,,,14718,,,13200,,,,,,,
172,"TMK Hawk Parent, Corp.",,"Transportation – Cargo, Distribution",,"8.73% (1M L+750, 1.00% Floor)",,10/1/22,,34000,,,33776,,,34000,,,,,,,
173,"Velocity Technology Solutions, Inc.",,Business Services,,"9.55% (3M L+825, 1.25% Floor)",,9/28/20,,16500,,,16335,,,16459,,,,,,,
174,"Wave Holdco Merger Sub, Inc.",,Telecommunications,,"10.48% (1M L+925, 1.00% Floor)",,5/27/23,,10000,,,9783,,,9877,,,,,,,
175,Total Second Lien Secured Debt-47.8% (10),,,,,,,,,711069,,,,706632,,,,,,,,
176,Total Secured Debt-81.9% (10),,,,,,,,,1229703,,,,1210496,,,,,,,,
177,Unsecured Debt,,,,,,,,,,,,,,,,,,,,,
178,"American Tire Distributors, Inc. (11)",,"Transportation – Cargo, Distribution",,10.25%,,3/1/22,,,14741,,,,14806,,,,15337,,,,
179,"Sorenson Holdings, LLC (11)",,Consumer Goods – Durable,,13.85% Cash (13.85% PIK Toggle),,10/31/21,,52,,,35,,,49,,,,,,,
180,"U.S. Security Associates Holdings, Inc.",,Business Services,,11.00%,,7/28/18,,135000,,,135000,,,135000,,,,,,,
181,UniTek Global Services Inc. (16),,Telecommunications,,15.00% PIK,,7/13/19,,8867,,,8867,,,9044,,,,,,,
182,Total Unsecured Debt-10.8% (10),,,,,,,,,158708,,,,159430,,,,,,,,
183,Total Corporate Debt-92.7% (10),,,,,,,,,1388411,,,,1369926,,,,,,,,
184,Structured Products and Other,,,,,,,,,,,,,,,,,,,,,
185,Asset Repackaging Trust Six B.V. (11)(17)(19),,Utilities – Electric,,13.11%,,5/18/27,,,58411,,,,25730,,,,31979,,,,
186,"Craft 2014-1A, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,11.26% (3M L+965),,5/15/21,,42500,,,42345,,,41939,,,,,,,
187,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,,
188,"Craft 2015-2, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.57% (3M L+925),,1/16/24,,26000,,,25827,,,24893,,,,,,,
189,Total Structured Products and Other-6.7% (10),,,,,,,,,93902,,,,98811,,,,,,,,
190,Equity,,,,,,,,,,,,,,,,,,,,,
191,Preferred Equity,,,,,,Shares,,,,,,,,,,,,,,,
192,"Sungevity Inc., Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,114678899,,,,4408,,,,-,,,,,
193,Total Preferred Equity-0.0% (10),,,,,,,,,4408,,,,-,,,,,,,,
194,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,,,
195,"Accelerate Parent Corp., Common Stock (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,1664045,,,,1714,,,,1930,,,,,
196,"GFRC Holdings LLC, Membership Interests (13)",,"Hotel, Gaming, Leisure, Restaurants",,N/A,,N/A,,2500000,,,-,,,-,,,,,,,
197,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,Business Services,,N/A,,N/A,,4500000,,,4500,,,4500,,,,,,,
198,"Sorenson Holdings, LLC, Membership Interests (13)",,Consumer Goods – Durable,,N/A,,N/A,,586,,,-,,,433,,,,,,,
199,Total Common Equity/Interests-0.5% (10),,,,,,,,,6214,,,,6863,,,,,,,,
200,Warrants,,,,,,Warrants,,,,,,,,,,,,,,,
