,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KL Charlie Acquisition Company,,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,12/30/26,,,,30702,,,,,23175,,,,,23119,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt - Revolver,,,"L+  675  ,  1.00   Floor",,12/30/26,,,,1962,,,,,(  27,,,,,(  29,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
37,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,,N/A,,N/A,,,"218,978  Shares",,,,,219,,,,,298,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,23367,,,,,23388,,,,,,,,,,,,,,,,,,,,,,,
39,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,11/18/28,,,,27087,,,,,19021,,,,,18900,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
41,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,11/18/26,,,,2298,,,,,1408,,,,,1402,,,(9)(20)(21)  (23)(26),,,,,,,,,,,,,,,,,,,,
42,,,First Lien Secured Debt - Revolver,,,P+  500,,11/18/26,,,,255,,,,,251,,,,,250,,,(9)(23)(25),,,,,,,,,,,,,,,,,,,,
43,HRO Holdings I LP,,Common Equity - Common Stock,,,N/A,,N/A,,,213  Shares,,,,,213,,,,,173,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,20893,,,,,20725,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,"Total Advertising, Printing & Publishing",,,,,44260,,,,,44113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Erickson Inc,,First Lien Secured Debt - Revolver,,,"SOFR+  800  ,  1.00   Floor",,05/20/24,,,,32250,,,,,24354,,,,,24069,,,(9)(20)(21)  (23)(31),,,,,,,,,,,,,,,,,,,,
49,,,,,,Total Aerospace & Defense,,,,,24354,,,,,24069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,29808,,,,,27115,,,,,26676,,,(9)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
53,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,2438,,,,,(  34,,,,,(  71,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,27081,,,,,26605,,,,,,,,,,,,,,,,,,,,,,,
55,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Vari-Form Group, LLC",,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,5860,,,,,893,,,,,264,,,(9)(14)(28),,,,,,,,,,,,,,,,,,,,
57,Vari-Form Inc.,,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,2110,,,,,391,,,,,95,,,(9)(14)(28),,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,1284,,,,,359,,,,,,,,,,,,,,,,,,,,,,,
59,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"K&N Parent, Inc.",,Second Lien Secured Debt,,,8.75,,10/21/24,,,,23765,,,,,23621,,,,,14235,,,(14)(28),,,,,,,,,,,,,,,,,,,,
61,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"TL Lighting Holdings, LLC",,Common Equity - Equity,,,N/A,,N/A,,,350  Shares,,,,,350,,,,,379,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
63,"Truck-Lite Co., LLC",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,12/14/26,,,,31816,,,,,31333,,,,,31114,,,(9)(33),,,,,,,,,,,,,,,,,,,,
64,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,12/13/24,,,,3052,,,,,217,,,,,181,,,(9)(20)(21)  (23)(31),,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,31900,,,,,31674,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,Total Automotive,,,,,83886,,,,,72873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,,10.00,,10/31/23,,,,204677,,,,,150000,,,,,150000,,,(20)(23),,,,,,,,,,,,,,,,,,,,
70,,,Common Equity - Membership Interests,,,N/A,,N/A,,,,,,,,146500,,,,,115609,,,(24),,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,296500,,,,,265609,,,,,,,,,,,,,,,,,,,,,,,
72,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,05/09/24,,,,17290,,,,,17147,,,,,17204,,,(9)(28),,,,,,,,,,,,,,,,,,,,
75,,,,,,Total Aviation and Consumer Transport,,,,,313647,,,,,282813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,07/30/27,,,,30807,,,,,30228,,,,,30653,,,(9)(28),,,,,,,,,,,,,,,,,,,,
79,,,First Lien Secured Debt - Revolver,,,P+  450,,07/30/26,,,,1008,,,,,990,,,,,1003,,,(9)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,
80,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,07/30/26,,,,1873,,,,,544,,,,,567,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,31762,,,,,32223,,,,,,,,,,,,,,,,,,,,,,,
82,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,,N/A,,N/A,,,"1,086,122  Shares",,,,,1147,,,,,1292,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
84,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,589  Shares,,,,,448,,,,,339,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
86,,,Common Equity - Common Stock,,,N/A,,N/A,,,589  Shares,,,,,3,,,,,0,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
87,"Hive Intermediate, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,09/22/27,,,,17037,,,,,16759,,,,,16356,,,(9)(26),,,,,,,,,,,,,,,,,,,,
88,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,09/22/27,,,,2326,,,,,(  37,,,,,(  93,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,17173,,,,,16602,,,,,,,,,,,,,,,,,,,,,,,
90,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,,N/A,,N/A,,,"490,000  Shares",,,,,90,,,,,902,,,,,,,,,,,,,,,,,,,,,,,,
92,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,08/13/27,,,,26556,,,,,26001,,,,,25600,,,(9)(28),,,,,,,,,,,,,,,,,,,,
94,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,08/13/27,,,,3243,,,,,2203,,,,,2153,,,(9)(20)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,28204,,,,,27753,,,,,,,,,,,,,,,,,,,,,,,
96,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,IC Holdings LLC,,Common Equity - Series A Units,,,N/A,,N/A,,,169  Shares,,,,,169,,,,,133,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
98,THLP CO. LLC,,First Lien Secured Debt,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/25,,,,25343,,,,,25093,,,,,24836,,,(9)(28),,,,,,,,,,,,,,,,,,,,
99,,,First Lien Secured Debt - Revolver,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/24,,,,4494,,,,,1903,,,,,1841,,,(9)(20)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,27165,,,,,26810,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,"Total Beverage, Food & Tobacco",,,,,105541,,,,,105582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Access CIG, LLC",,Second Lien Secured Debt,,,"L+  775  ,  0.00   Floor",,02/27/26,,,,15900,,,,,15834,,,,,15662,,,(28),,,,,,,,,,,,,,,,,,,,
105,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Alpinex Opco, LLC",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/27/27,,,,16353,,,,,16058,,,,,15825,,,(9)(32),,,,,,,,,,,,,,,,,,,,
107,,,First Lien Secured Debt,,,"SOFR+  600  ,  1.00   Floor",,12/27/27,,,,5213,,,,,5069,,,,,5082,,,(9)(32),,,,,,,,,,,,,,,,,,,,
108,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,12/27/27,,,,1489,,,,,563,,,,,573,,,(9)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,21690,,,,,21480,,,,,,,,,,,,,,,,,,,,,,,
110,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,,8.00,,08/28/25,,,,21429,,,,,17722,,,,,7048,,,(14),,,,,,,,,,,,,,,,,,,,
112,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Gabriel Partners, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,09/21/26,,,,31293,,,,,30791,,,,,30504,,,(9)(26),,,,,,,,,,,,,,,,,,,,
115,,,First Lien Secured Debt - Revolver,,,P+  500,,09/21/26,,,,665,,,,,121,,,,,113,,,(9)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,30912,,,,,30617,,,,,,,,,,,,,,,,,,,,,,,
117,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,775  Shares,,,,,78,,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
119,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Electro Rent Corporation,,Second Lien Secured Debt,,,"L+  900  ,  1.00   Floor",,01/31/25,,,,34235,,,,,33869,,,,,34064,,,(9)(28),,,,,,,,,,,,,,,,,,,,
121,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00   Floor",,12/14/23,,,,1750,,,,,0,,,,,(  26,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
123,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,,"L+  325  ,  0.00   Floor",,08/01/24,,,,4155,,,,,(  142,,,,,(  187,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
125,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,,"SOFR+  600  ,  1.00   Floor",,03/08/28,,,,8141,,,,,7990,,,,,7937,,,(9)(32),,,,,,,,,,,,,,,,,,,,
127,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,03/08/27,,,,1705,,,,,(  30,,,,,(  43,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
128,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,114  Shares,,,,,114,,,,,130,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,8074,,,,,8024,,,,,,,,,,,,,,,,,,,,,,,
130,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Jacent Strategic Merchandising,,First Lien Secured Debt,,,"L+  675  ,  1.00   Floor",,04/23/24,,,,22115,,,,,22005,,,,,21036,,,(9)(28),,,,,,,,,,,,,,,,,,,,
132,,,First Lien Secured Debt - Revolver,,,"L+  675  ,  1.00   Floor",,04/23/24,,,,3500,,,,,3476,,,,,3326,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
133,,,Common Equity - Common Stock,,,N/A,,N/A,,,"5,000  Shares",,,,,500,,,,,0,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
134,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,,N/A,,N/A,,,114  Shares,,,,,11,,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,25992,,,,,24373,,,,,,,,,,,,,,,,,,,,,,,
136,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"JF Acquisition, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,07/31/26,,,,13133,,,,,13007,,,,,12792,,,(9)(26),,,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,07/31/26,,,,1569,,,,,738,,,,,712,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,13745,,,,,13504,,,,,,,,,,,,,,,,,,,,,,,
140,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,12/29/22,,,,13329,,,,,13294,,,,,13329,,,(9)(28),,,,,,,,,,,,,,,,,,,,
142,,,First Lien Secured Debt - Revolver,,,"L+  700  ,  1.00   Floor",,12/29/22,,,,336,,,,,279,,,,,280,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,
143,,,First Lien Secured Debt - Revolver,,,P+  700,,12/29/22,,,,164,,,,,164,,,,,164,,,(9)(23)(25),,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,13737,,,,,13773,,,,,,,,,,,,,,,,,,,,,,,
145,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,5778,,,,,5678,,,,,5662,,,(9)(28),,,,,,,,,,,,,,,,,,,,
147,,,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,08/10/27,,,,2613,,,,,(  16,,,,,(  52,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
148,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,1133,,,,,439,,,,,435,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
149,,,First Lien Secured Debt - Revolver,,,P+  450,,08/10/27,,,,174,,,,,171,,,,,170,,,(9)(23)(25),,,,,,,,,,,,,,,,,,,,
150,"Graffiti Parent, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,"2,439  Shares",,,,,244,,,,,216,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,6516,,,,,6431,,,,,,,,,,,,,,,,,,,,,,,
152,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,10/19/26,,,,33801,,,,,33397,,,,,32034,,,(9)(28),,,,,,,,,,,,,,,,,,,,
155,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,10/20/25,,,,2985,,,,,2951,,,,,2853,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,36348,,,,,34887,,,,,,,,,,,,,,,,,,,,,,,
157,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Soliant Health, Inc.",,Common Equity - Membership Interests,,,N/A,,N/A,,,300  Shares,,,,,300,,,,,1226,,,(9),,,,,,,,,,,,,,,,,,,,,
159,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Trench Plate Rental Co.,,First Lien Secured Debt,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,18136,,,,,17883,,,,,17864,,,(9)(32),,,,,,,,,,,,,,,,,,,,
161,,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,1818,,,,,566,,,,,564,,,(9)(20)(21)  (23)(32),,,,,,,,,,,,,,,,,,,,
162,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,331  Shares,,,,,50,,,,,44,,,(9)(24),,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,18499,,,,,18472,,,,,,,,,,,,,,,,,,,,,,,
164,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,,N/A,,N/A,,,"631,972  Shares",,,,,632,,,,,872,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
166,"USLS Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/02/24,,,,23879,,,,,23690,,,,,23514,,,(9)(32),,,,,,,,,,,,,,,,,,,,
167,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/02/24,,,,1608,,,,,536,,,,,538,,,(9)(20)(21)  (23)(32),,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,24858,,,,,24924,,,,,,,,,,,,,,,,,,,,,,,
169,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Owl Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  525  ,  1.00   Floor",,02/04/28,,,,9875,,,,,9690,,,,,9678,,,(9)(33),,,,,,,,,,,,,,,,,,,,
171,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,100  Shares,,,,,100,,,,,138,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,9790,,,,,9816,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,Total Business Services,,,,,277822,,,,,264166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,,N/A,,N/A,,,"2,491  Shares",,,,,78729,,,,,40979,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
177,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Westfall Technik, Inc.",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,09/13/24,,,,21357,,,,,21187,,,,,20712,,,(9)(32),,,,,,,,,,,,,,,,,,,,
179,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,09/13/24,,,,2039,,,,,2025,,,,,1977,,,(9)(23)(32),,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,23212,,,,,22689,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,"Total Chemicals, Plastics & Rubber",,,,,101941,,,,,63668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
