,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
26,Total Funded and Unfunded Revolver Obligations,,,23069,,,,22005,,,,,,,,,,,
27,Letters of Credit0 (0.0),,,,,,,,,,,,,,,,,,
28,"Confie Seguros Holding II Co., Letter of Credit (8)(16)",,4.500,,10/27/15,,Insurance,,,1078,,,,0,,,,(119,
29,"Laureate Education, Inc., Letter of Credit (8)(16)(17)",,3.750,,6/16/16,,Education,,101,,,0,,,(4,,,,
30,"Transfirst Holdings, Inc., Letter of Credit (8)(16)",,3.750,,11/12/19,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,57,,,0,,,(2,,,,
31,"UniTek Global Services Inc., Letter of Credit (16)",,7.500,,1/13/19,,Telecommunications,,15711,,,0,,,0,,,,
32,"UniTek Global Services Inc., Letter of Credit (16)",,7.500,,1/13/19,,Telecommunications,,1850,,,0,,,0,,,,
33,Total Letters of Credit,,,0,,,,(125,,,,,,,,,,,
34,Total 1st Lien Secured Debt,,,896268,,,,846045,,,,,,,,,,,
35,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
36,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
37,2nd Lien Secured Debt048.1,,,,,,,,,,,,,,,,,,
38,"Access CIG, LLC",,"9.750 (L+875, 1.00 Floor)",,10/17/22,,Business Services,,,35755,,,,34055,,,,34861,
39,"Active Network, Inc.",,"9.500 (L+850, 1.00 Floor)",,11/15/21,,Business Services,,19672,,,19588,,,18861,,,,
40,American Energy - Woodford LLC/AEW Finance Corp (11),,12.000,,12/30/20,,Energy – Oil & Gas,,3500,,,2382,,,2485,,,,
41,"Appriss Holdings, Inc.",,"9.250 (L+825, 1.00 Floor)",,5/21/21,,Business Services,,25000,,,24652,,,25000,,,,
42,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",,"10.250 (L+900, 1.25 Floor)",,12/26/20,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,8000,,,7872,,,8040,,,,
43,Asurion Corporation,,"8.500 (L+750, 1.00 Floor)",,3/3/21,,Insurance,,43973,,,44006,,,44811,,,,
44,Confie Seguros Holding II Co.,,"10.250 (L+900, 1.25 Floor)",,5/8/19,,Insurance,,33844,,,33665,,,33823,,,,
45,"Delta Educational Systems, Inc.",,35.000 PIK,,6/10/18,,Education,,1000,,,1000,,,1488,,,,
46,"Deltek, Inc.",,"9.500 (L+850, 1.00 Floor)",,6/23/23,,Business Services,,33736,,,33400,,,33989,,,,
47,"Elements Behavioral Health, Inc.",,"9.750 (L+875, 1.00 Floor)",,2/11/20,,Healthcare & Pharmaceuticals,,9500,,,9423,,,9438,,,,
48,"Extraction Oil & Gas Holdings, LLC",,11.000 & 10.000,,5/29/19,,Energy – Oil & Gas,,52633,,,51965,,,52264,,,,
49,Garden Fresh Restaurant Corp. (16),,"7.750 (L+625 PIK, 1.50 Floor)",,1/1/19,,"Hotel, Gaming, Leisure, Restaurants",,8420,,,6780,,,6063,,,,
50,Garden Fresh Restaurant Corp. (16),,"15.000 (L+1350 PIK, 1.50 Floor)",,1/1/19,,"Hotel, Gaming, Leisure, Restaurants",,41466,,,39701,,,36905,,,,
51,"GCA Services Group, Inc.",,"9.250 (L+800, 1.25 Floor)",,11/1/20,,Business Services,,19333,,,19469,,,19381,,,,
52,"Grocery Outlet, Inc.",,"9.250 (L+825, 1.00 Floor)",,10/21/22,,Food & Grocery,,28000,,,27604,,,27930,,,,
53,"GTCR Valor Companies, Inc.",,"9.500 (L+850, 1.00 Floor)",,11/30/21,,Business Services,,35000,,,34675,,,34037,,,,
54,"Infiltrator Systems Integrated, LLC",,"9.750 (L+875, 1.00 Floor)",,5/19/23,,"Manufacturing, Capital Equipment",,13889,,,13613,,,13854,,,,
55,"Institutional Shareholder Services, Inc.",,"8.500 (L+750, 1.00 Floor)",,4/30/22,,Business Services,,6640,,,6580,,,6507,,,,
56,"Kronos, Inc.",,"9.750 (L+850, 1.25 Floor)",,4/30/20,,Business Services,,13525,,,13468,,,13982,,,,
57,"Miller Energy Resources, Inc. (17)",,"14.750 (L+975 Cash / 2.000 PIK, 3.00 Floor)",,2/3/18,,Energy – Oil & Gas,,88568,,,88568,,,75150,,,,
58,MSC Software Corp. (17),,"8.500 (L+750, 1.00 Floor)",,5/31/21,,High Tech Industries,,13448,,,13329,,,13213,,,,
59,"Novolex Holdings, Inc.",,"9.750 (L+875, 1.00 Floor)",,6/5/22,,"Containers, Packaging & Glass",,42045,,,41039,,,42676,,,,
60,Pabst Brewing Company,,"9.250 (L+825, 1.00 Floor)",,11/14/22,,Consumer Goods – Durable,,27000,,,26679,,,26933,,,,
61,"Premier Trailer Leasing, Inc.",,"10.000 (L+900, 1.00 Floor)",,9/24/20,,"Transportation – Cargo, Distribution",,52000,,,51063,,,53040,,,,
62,River Cree Enterprises LP (11)(17),,11.000,,1/20/21,,"Hotel, Gaming, Leisure, Restaurants",,C$,23000,,,21683,,,19091,,,
63,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
64,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
65,2nd Lien Secured Debt048.1 (continued),,,,,,,,,,,,,,,,,,
66,"SiTV, Inc. (11)",,10.375,,7/1/19,,Broadcasting & Subscription,,,2219,,,,2219,,,,1844,
67,SMG,,"9.250 (L+825, 1.00 Floor)",,2/27/21,,"Hotel, Gaming, Leisure, Restaurants",,19900,,,19900,,,20000,,,,
68,"Sprint Industrial Holdings, LLC",,"11.250 (L+1000, 1.25 Floor)",,11/14/19,,"Containers, Packaging & Glass",,16163,,,15395,,,12849,,,,
69,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",,11.625,,4/1/17,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,65152,,,64415,,,48131,,,,
70,"STG-Fairway Acquisitions, Inc.",,"9.250 (L+825, 1.00 Floor)",,6/26/23,,Business Services,,15000,,,14625,,,14625,,,,
71,"TASC, Inc.",,12.000,,5/21/21,,Aerospace & Defense,,21815,,,21050,,,22742,,,,
72,"TMK Hawk Parent, Corp.",,"8.500 (L+750, 1.00 Floor)",,10/1/22,,"Transportation – Cargo, Distribution",,34000,,,33683,,,34340,,,,
73,"Transfirst Holdings, Inc.",,"9.000 (L+800, 1.00 Floor)",,11/11/22,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,21840,,,21747,,,21936,,,,
74,"Velocity Technology Solutions, Inc.",,"9.000 (L+775, 1.25 Floor)",,9/28/20,,Business Services,,16500,,,16219,,,16005,,,,
75,"Venoco, Inc.",,8.875 (12.000 PIK Toggle),,2/15/19,,Energy – Oil & Gas,,34810,,,44256,,,29588,,,,
76,"Vertafore, Inc.",,"9.750 (L+825, 1.50 Floor)",,10/27/17,,Business Services,,36436,,,36307,,,36937,,,,
77,Total 2nd Lien Secured Debt,,,956075,,,,912819,,,,,,,,,,,
78,TOTAL SECURED DEBT,,,1852343,,,,1758864,,,,,,,,,,,
79,UNSECURED DEBT017.0,,,,,,,,,,,,,,,,,,
80,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)",,"9.500 (L+850, 1.00 Floor)",,4/18/22,,Aerospace & Defense,,,19000,,,,19000,,,,19000,
81,"American Tire Distributors, Inc. (11)",,10.250,,3/1/22,,"Transportation – Cargo, Distribution",,24281,,,24281,,,26056,,,,
82,Artsonig Pty Ltd (11)(17),,11.500 (12.000 PIK Toggle),,4/1/19,,"Transportation – Cargo, Distribution",,22500,,,22260,,,9167,,,,
83,Canacol Energy Ltd. (17),,"9.500 (L+850, 1.00 Floor)",,12/31/19,,Energy – Oil & Gas,,75000,,,73175,,,72263,,,,
84,"Delta Educational Systems, Inc.",,16.000 PIK,,5/12/17,,Education,,25115,,,24897,,,19590,,,,
85,Denver Parent Corp. (Venoco) (13)(14)(16),,12.250 (13.000 PIK Toggle),,8/15/18,,Energy – Oil & Gas,,9572,,,9411,,,933,,,,
86,"My Alarm Center, LLC",,16.250 (13.000 Cash / 3.250 PIK),,7/9/18,,Business Services,,4319,,,4319,,,4319,,,,
87,"Radio One, Inc. (11)",,9.250,,2/15/20,,Broadcasting & Subscription,,15804,,,15713,,,14559,,,,
88,"Sorenson Holdings, LLC (11)",,13.000 PIK,,10/31/21,,Consumer Goods – Durable,,68,,,45,,,70,,,,
89,Tibco Software Inc. (11),,11.375,,12/1/21,,High Tech Industries,,11389,,,11077,,,11318,,,,
90,"U.S. Security Associates Holdings, Inc.",,11.000,,7/28/18,,Business Services,,135000,,,135000,,,137700,,,,
91,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
92,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
93,UNSECURED DEBT017.0 (continued),,,,,,,,,,,,,,,,,,
94,UniTek Global Services Inc.,,15.000,,7/13/19,,Telecommunications,,,6814,,,,6814,,,,6814,
95,"Venoco, Inc. (16)",,8.875,,2/15/19,,Energy – Oil & Gas,,3708,,,3664,,,1233,,,,
96,TOTAL UNSECURED DEBT,,,349656,,,,323022,,,,,,,,,,,
97,TOTAL CORPORATE DEBT,,,2201999,,,,2081886,,,,,,,,,,,
98,STRUCTURED PRODUCTS AND OTHER010.4,,,,,,,,,,,,,,,,,,
99,Asset Repackaging Trust Six B.V. (11)(17)(19),,N/A,,5/18/27,,Utilities – Electric,,,58411,,,,25065,,,,32680,
100,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,9.503 (L+925),,4/17/22,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,25000,,,25079,,,24435,,,,
101,"Craft 2013-1, Credit-Linked Note (16)(17)",,9.503 (L+925),,4/17/22,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,7625,,,7742,,,7456,,,,
102,"Craft 2014-1A, Credit-Linked Note (11)(17)",,9.908 (L+965),,5/15/21,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,42500,,,42443,,,41971,,,,
103,"Craft 2015-2, Credit-Linked Note (11)(17)",,9.589 (L+925),,7/16/24,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,26000,,,26000,,,25864,,,,
104,"Dark Castle Holdings, LLC",,N/A,,N/A,,Media – Diversified & Production,,24395,,,1189,,,2425,,,,
105,"JP Morgan Chase & Co., Credit-Linked Note (17)",,12.520 (L+1225),,12/20/21,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,43250,,,41868,,,42861,,,,
106,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",,5.757 (L+550),,4/23/26,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5000,,,4675,,,4388,,,,
107,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",,N/A,,N/A,,Energy – Oil & Gas,,0,,,14842,,,14862,,,,
108,TOTAL STRUCTURED PRODUCTS AND OTHER,,,188903,,,,196942,,,,,,,,,,,
109,PREFERRED EQUITY01.5,,Shares,,,,,,,,,,,,,,,,
110,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,32961,,,,788,,,,0,,
111,"Crowley Holdings, Series A Preferred Stock (11)",,12.000 (10.000 Cash/2.000 PIK),,N/A,,"Transportation – Cargo, Distribution",,22500,,,23194,,,23681,,,,
112,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",,12.500 PIK,,N/A,,Education,,332500,,,6863,,,0,,,,
113,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",,13.500 PIK,,5/12/18,,Education,,12360,,,27686,,,163,,,,
114,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,8.000 PIK,,N/A,,"Transportation – Cargo, Distribution",,3097,,,4746,,,4883,,,,
115,TOTAL PREFERRED EQUITY,,,63277,,,,28727,,,,,,,,,,,
116,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
117,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
118,EQUITY01.5,,,,,,,,,,,,,,,,,,
119,Common Equity/Interests01.2,,,,,,,,Shares,,,,,,,,,,
120,"ATD Corporation (Accelerate Parent Corp), Common Stock",,N/A,,N/A,,"Transportation – Cargo, Distribution",,1664046,,,,1714,,,,2660,,
121,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,25000,,,2500,,,0,,,,
122,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,4294,,,429,,,0,,,,
123,"Caza Petroleum Inc., Net Profits Interest (13)",,N/A,,N/A,,Energy – Oil & Gas,,0,,,1202,,,1959,,,,
124,"Caza Petroleum Inc., Overriding Royalty Interest",,N/A,,N/A,,Energy – Oil & Gas,,0,,,339,,,176,,,,
125,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",,N/A,,N/A,,Healthcare & Pharmaceuticals,,6000,,,6000,,,1449,,,,
126,"Explorer Coinvest, LLC (Booz Allen), Common Stock (17)",,N/A,,N/A,,Business Services,,192,,,1468,,,4502,,,,
127,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",,N/A,,N/A,,"Hotel, Gaming, Leisure, Restaurants",,50000,,,5000,,,0,,,,
128,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",,N/A,,N/A,,Education,,17500,,,175,,,0,,,,
129,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",,N/A,,N/A,,Healthcare & Pharmaceuticals,,9303,,,85,,,0,,,,
130,"Pelican Energy, LLC, Net Profits Interest (13)(17)",,N/A,,N/A,,Energy – Oil & Gas,,0,,,1100,,,186,,,,
131,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,N/A,,N/A,,Business Services,,4500,,,4500,,,4500,,,,
132,"Sorenson Holdings, LLC, Membership Interests (13)",,N/A,,N/A,,Consumer Goods – Durable,,587,,,0,,,112,,,,
133,"Univar, Inc., Common Stock (13)",,N/A,,N/A,,Wholesale,,290015,,,5755,,,7549,,,,
134,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",,N/A,,N/A,,"Transportation – Cargo, Distribution",,28028,,,28,,,214,,,,
135,Total Common Equity/Interests,,,30295,,,,23307,,,,,,,,,,,
136,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except warrants)",,,,,,,,,,,,,,,,,,
137,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0123.2(10),,Interest Rate,,Maturity Date,,Industry (9),,Warrants,,Cost,,Fair  Value (1),,,,,,
138,Warrants00.3,,,,,,,,,,,,,,,,,,
139,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,12255,,,,8,,,,0,,
140,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",,N/A,,N/A,,Energy – Oil & Gas,,60778,,,2374,,,58,,,,
141,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",,N/A,,N/A,,High Tech Industries,,18113,,,182,,,4098,,,,
142,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,45947,,,459,,,0,,,,
143,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,104314,,,1043,,,0,,,,
144,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",,N/A,,N/A,,Education,,9820,,,98,,,0,,,,
145,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",,N/A,,N/A,,Energy – Oil & Gas,,1496843,,,0,,,129,,,,
146,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",,N/A,,N/A,,Energy – Oil & Gas,,54545,,,852,,,1288,,,,
147,Total Warrants,,,5016,,,,5573,,,,,,,,,,,
148,TOTAL EQUITY,,,35311,,,,28880,,,,,,,,,,,
149,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2489490,,,,2336435,,,,,,,,,,,
150,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares and warrants)",,,,,,,,,,,,,,,,,,
151,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS020.2(4)(10),,Interest Rate,,Maturity Date,,Industry (9),,Par  Amount(12),,Cost,,Fair  Value (1),,,,,,
152,CORPORATE DEBT00.2,,,,,,,,,,,,,,,,,,
153,SECURED DEBT00.2,,,,,,,,,,,,,,,,,,
154,1st Lien Secured Debt00.2,,,,,,,,,,,,,,,,,,
155,"Renewable Funding Group, Inc. (13)(16)",,0.000,,9/30/15,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,1000,,,,1000,,,,1000,
156,"Renewable Funding Group, Inc. (16)",,8.000,,5/19/16,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,2015,,,2015,,,2015,,,,
157,Total 1st Lien Secured Debt,,,3015,,,,3015,,,,,,,,,,,
158,TOTAL SECURED DEBT,,,3015,,,,3015,,,,,,,,,,,
159,TOTAL CORPORATE DEBT,,,3015,,,,3015,,,,,,,,,,,
160,STRUCTURED PRODUCTS AND OTHER011.4,,,,,,,,,,,,,,,,,,
161,"Golden Bear Warehouse LLC, Equity (3)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,11318,,,,11318,,,,16524,
162,"Golden Hill CLO I, LLC, Equity (3)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,70944,,,71478,,,73091,,,,
163,"Highbridge Loan Management 3-2014, Ltd, Subordinated Notes (3)(11)(17)",,N/A,,1/18/25,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,8163,,,6274,,,6244,,,,
164,"Ivy Hill Middle Market Credit Fund IX, Ltd, Subordinated Notes (3)(11)(17)",,N/A,,10/18/25,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,12500,,,11031,,,10518,,,,
165,"Ivy Hill Middle Market Credit Fund X, Ltd, Subordinated Notes (3)(11)(17)",,N/A,,7/18/27,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,14000,,,12457,,,12457,,,,
166,"Jamestown CLO I LTD, Subordinated Notes (3)(11)(17)",,N/A,,11/5/24,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,4325,,,3363,,,3633,,,,
167,"MCF CLO I, LLC, Membership Interests (3)(4)(11)(17)",,N/A,,4/20/23,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,38918,,,34599,,,37851,,,,
168,"MCF CLO III, LLC, Class E Notes (3)(11)(17)",,4.707 (L+445),,1/20/24,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,12750,,,11484,,,10870,,,,
169,"MCF CLO III, LLC, Membership Interests (3)(11)(17)",,N/A,,1/20/24,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,41900,,,36204,,,37731,,,,
170,"Slater Mill Loan Fund LP, LP Certificates (3)(17)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,8375,,,5651,,,6703,,,,
171,TOTAL STRUCTURED PRODUCTS AND OTHER,,,203859,,,,215622,,,,,,,,,,,
172,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares and warrants)",,,,,,,,,,,,,,,,,,
173,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS020.2(4)(10),,Interest Rate,,Maturity Date,,Industry (9),,Shares,,Cost,,Fair  Value (1),,,,,,
174,PREFERRED EQUITY05.2,,,,,,,,,,,,,,,,,,
175,"AMP Solar (UK) Limited, Class A Preference Shares (2)(17)",,8.500,,10/31/49,,Energy - Electricity,,56989952,,,,87167,,,,90106,,
176,"Renewable Funding Group, Inc., Series B Preferred Stock (13)",,N/A,,N/A,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,1505868,,,7343,,,9469,,,,
177,Total Preferred Equity,,,94510,,,,99575,,,,,,,,,,,
178,Common Equity/Interests03.4,,,,,,,,,,,,,,,,,,
179,"AMP Solar Group, Inc., Class A Common Unit (3)(13)(17)",,N/A,,N/A,,Energy - Electricity,,140688,,,,6000,,,,6000,,
180,"Generation Brands Holdings, Inc., Basic Common Stock (3)(13)",,N/A,,N/A,,Consumer Goods – Durable,,9007,,,0,,,8224,,,,
181,"Generation Brands Holdings, Inc., Series 2L Common Stock (3)(13)",,N/A,,N/A,,Consumer Goods – Durable,,36700,,,11242,,,33509,,,,
182,"Generation Brands Holdings, Inc., Series H Common Stock (3)(13)",,N/A,,N/A,,Consumer Goods – Durable,,7500,,,2298,,,6848,,,,
183,"LVI Group Investments, LLC, Common Units (3)(13)",,N/A,,N/A,,Environmental Industries,,212460,,,17505,,,10723,,,,
184,Total Common Equity/Interests,,,37045,,,,65304,,,,,,,,,,,
185,TOTAL EQUITY,,,37045,,,,65304,,,,,,,,,,,
186,Total Investments in Non-Controlled/Affiliated Investments,,,338429,,,,383516,,,,,,,,,,,
187,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2015  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
188,INVESTMENTS IN CONTROLLED INVESTMENTS031.3(5)(10),,Interest Rate,,Maturity Date,,Industry (9),,Par  Amount(12),,Cost,,Fair  Value (1),,,,,,
189,CORPORATE DEBT018.6,,,,,,,,,,,,,,,,,,
190,SECURED DEBT018.6,,,,,,,,,,,,,,,,,,
191,1st Lien Secured Debt018.6,,,,,,,,,,,,,,,,,,
192,"Merx Aviation Finance Holdings II, LLC, (Revolver) (5)(16)",,12.000 Funded,,10/31/18,,Aviation and Consumer Transport,,,352084,,,,352084,,,,352084,
193,Total 1st Lien Secured Debt,,,352084,,,,352084,,,,,,,,,,,
194,Unfunded Revolver Obligation00.0,,,,,,,,,,,,,,,,,,
195,"Merx Aviation Finance Holdings II, LLC, (Unfunded Revolver) (5)(13)(16)",,0.000 Unfunded,,10/31/18,,Aviation and Consumer Transport,,,47916,,,,0,,,,0,
196,Total Unfunded Revolver Obligation,,,0,,,,0,,,,,,,,,,,
197,Letters of Credit00.0,,,,,,,,,,,,,,,,,,
198,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (5)(16)",,2.250,,9/30/15,,Aviation and Consumer Transport,,,1800,,,,0,,,,0,
