,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,Accrued administrative services expense,2158,,,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,7284,,,6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Total Liabilities,,1811032,,,,1846743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,997943,,,,1024315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $0.001 par value (130,000,000 shares authorized; 65,259,176 and 65,259,176 shares issued and outstanding, respectively)",,65,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,2099876,,,2099876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,"(1,101,998)",,,"(1,075,626)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,997943,,,,1024315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,15.29,,,,15.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (29),,,Fair Value (1)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Learfield Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A-L Parent LLC,,Second Lien Secured Debt,,"8.25% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5505,,,,,4307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"6.75% (3M L+575, 1.00% Floor)",,08/02/25,,38732,,,38121,,,,37291,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,First Lien Secured Debt - Revolver,,"6.75% (3M L+575, 1.00% Floor)",,08/02/25,,1200,,,1200,,,,1155,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/02/25,,1200,,,(47),,,,(45),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,39274,,,,38401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Total Advertising, Printing & Publishing",,,,,,,,,,,44779,,,,,42708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.00% (3M L+750, 1.50% Floor)",,04/28/22,,,32479,,,,32479,,,,,31748,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/28/22,,4274,,,(178),,,,(96),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,First Lien Secured Debt - Letters of Credit,,7.50%,,07/04/20 - 07/15/22,,2247,,,1,,,,(50),,,(8)(9)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Total Aerospace & Defense,,,,,,,,,,,32302,,,,,31602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Accelerate Parent Corp. (American Tire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Accelerate Parent Corp.,,Common Equity - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,1714,,,,,-,,,(13)(19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Arlington Industries Group Limited,,First Lien Secured Debt,,"5.75% (1M E+525, 0.50% Floor)",,03/29/24,,€,2653,,,2975,,,,2793,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,First Lien Secured Debt,,"5.75% (1M GBPL+525, 0.50% Floor)",,03/29/24,,£,3627,,,4601,,,,4201,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,7576,,,,6994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Vari-Form Group, LLC",,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,5859,,,901,,,,762,,,(9)(13)  (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Vari-Form Inc.,,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2110,,,391,,,,274,,,(9)(13)  (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,1292,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"K&N Parent, Inc.",,Second Lien Secured Debt,,"9.82% (6M L+875, 1.00% Floor)",,10/21/24,,23765,,,23504,,,,21388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"7.32% (6M L+625, 1.00% Floor)",,12/14/26,,25085,,,24532,,,,24558,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,First Lien Secured Debt - Revolver,,"7.32% (6M L+625, 1.00% Floor)",,12/13/24,,654,,,654,,,,643,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,First Lien Secured Debt - Revolver,,"7.25% (6M L+625, 1.00% Floor)",,12/13/24,,436,,,436,,,,429,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/13/24,,1868,,,(64),,,,(31),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,First Lien Secured Debt - Letters of Credit,,6.25%,,11/30/20 - 12/21/20,,94,,,-,,,,(2),,,(8)(9)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/14/26,,3707,,,(80),,,,(78),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"TL Lighting Holdings, LLC",,Common Equity - Equity,,N/A,,N/A,,350 Shares,,350,,,,321,,,(9)(13)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,25828,,,,25840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Total Automotive,,,,,,,,,,,59914,,,,,55258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (29),,,Fair Value (1)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,10.00%,,10/31/23,,,200000,,,,200000,,,,,200000,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,First Lien Secured Debt - Letter of Credit,,2.25%,,07/13/20,,177,,,-,,,,-,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Common Equity - Membership Interests,,N/A,,N/A,,N/A,,120300,,,,129481,,,(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,320300,,,,329481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,"6.50% (1M L+550, 1.00% Floor)",,05/09/24,,14731,,,14549,,,,14177,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,05/09/24,,2842,,,(93),,,,(107),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,14456,,,,14070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Total Aviation and Consumer Transport,,,,,,,,,,,334756,,,,,343551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Wm. Bolthouse Farms, Inc.",,Common Equity - Common Stock,,N/A,,N/A,,"1,000,000 Shares",,,1000,,,,,940,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Eagle Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Eagle Foods Family Group, LLC",,First Lien Secured Debt,,"7.75% (3M L+675, 1.00% Floor)",,06/14/24,,24501,,,24318,,,,23765,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,First Lien Secured Debt - Revolver,,"7.75% (1M L+675, 1.00% Floor)",,06/14/23,,167,,,167,,,,162,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,First Lien Secured Debt - Revolver,,"7.75% (3M L+675, 1.00% Floor)",,06/14/23,,1167,,,1167,,,,1132,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/14/23,,2417,,,(25),,,,(73),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,25627,,,,24986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Florida Food Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Florida Food Products, Inc.",,First Lien Secured Debt,,"7.75% (3M L+675, 1.00% Floor)",,09/08/25,,22880,,,22455,,,,22651,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"7.75% (3M L+675, 1.00% Floor)",,09/06/23,,1712,,,1685,,,,1695,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,24140,,,,24346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,N/A,,N/A,,"1,000,000 Shares",,1000,,,,1026,,,(13)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,TNT Crust LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,TNT Crust LLC,,First Lien Secured Debt,,"7.75% (1M L+675, 1.00% Floor)",,11/06/23,,26408,,,26003,,,,25747,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,First Lien Secured Debt - Revolver,,"7.75% (1M L+675, 1.00% Floor)",,11/06/23,,260,,,260,,,,254,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,11/06/23,,2992,,,(47),,,,(75),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Common Equity - Series A Units,,N/A,,N/A,,244 Shares,,30,,,,280,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,26246,,,,26206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,IC Holdings LLC,,Common Equity - Series A Units,,N/A,,N/A,,169 Shares,,169,,,,233,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,THLP CO. LLC,,First Lien Secured Debt,,"6.50% (1M L+550, 1.00% Floor)",,05/30/25,,19562,,,19241,,,,19366,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,First Lien Secured Debt,,7.75% (P+450),,05/30/25,,22,,,22,,,,22,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (29),,,Fair Value (1)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,First Lien Secured Debt,,"6.50% (12M L+550, 1.00% Floor)",,05/30/25,,2786,,,2759,,,,2759,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,05/31/24,,4494,,,(70),,,,(45),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,05/30/25,,2809,,,(46),,,,(28),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,22075,,,,22307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Total Beverage, Food & Tobacco",,,,,,,,,,,100088,,,,,99811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Access CIG, LLC",,Second Lien Secured Debt,,7.92% (1M L+775),,02/27/26,,,15900,,,,15794,,,,,15542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,"9.08% (6M L+800, 1.00% Floor)",,08/28/25,,21429,,,21082,,,,16815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Claritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Claritas, LLC",,First Lien Secured Debt,,"7.00% (3M L+600, 1.00% Floor)",,12/21/23,,3820,,,3792,,,,3763,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,First Lien Secured Debt - Revolver,,"7.00% (1M L+600, 1.00% Floor)",,12/21/23,,258,,,258,,,,254,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,First Lien Secured Debt - Revolver,,"7.00% (3M L+600, 1.00% Floor)",,12/21/23,,232,,,232,,,,228,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,First Lien Secured Debt - Revolver,,"7.00% (2M L+600, 1.00% Floor)",,12/21/23,,258,,,258,,,,254,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/21/23,,284,,,(7),,,,(4),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,4533,,,,4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Continuum Global Solutions, LLC",,First Lien Secured Debt - Revolver,,"6.50% (1M L+550, 1.00% Floor)",,02/15/22,,2851,,,2851,,,,2766,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,02/15/22,,17149,,,(264),,,,(514),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,Preferred Equity - Preferred Equity,,N/A,,N/A,,775 Shares,,78,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,2665,,,,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"CT Technologies Intermediate Holdings, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"CT Technologies Intermediate Holdings, Inc",,Second Lien Secured Debt,,"10.00% (3M L+900, 1.00% Floor)",,12/01/22,,31253,,,30845,,,,28753,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Education Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Education Personnel,,First Lien Secured Debt,,"5.25% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,4076,,,5196,,,,4805,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,First Lien Secured Debt - Revolver,,"5.25% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,1471,,,1875,,,,1732,,,(9)(17)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,7071,,,,6537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Electro Rent Corporation,,Second Lien Secured Debt,,"10.00% (3M L+900, 1.00% Floor)",,01/31/25,,34235,,,33576,,,,33208,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,TGG TS Acquisition Company,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/14/23,,1750,,,-,,,,(65),,,(8)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,5.50% (P+225),,08/01/24,,1662,,,1662,,,,1569,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,First Lien Secured Debt - Unfunded Revolver,,0.25% Unfunded,,08/01/24,,2493,,,(311),,,,(140),,,(8)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,1351,,,,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (29),,,Fair Value (1)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Jacent Strategic Merchandising,,First Lien Secured Debt,,"6.75% (3M L+575, 1.00% Floor)",,04/23/24,,22522,,,22264,,,,21217,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,First Lien Secured Debt - Revolver,,"6.82% (3M L+575, 1.00% Floor)",,04/23/24,,467,,,467,,,,439,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,First Lien Secured Debt - Revolver,,"6.75% (3M L+575, 1.00% Floor)",,04/23/24,,2100,,,2100,,,,1976,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/23/24,,933,,,(40),,,,(55),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,Common Equity - Common Stock,,N/A,,N/A,,"5,000 Shares",,500,,,,150,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,N/A,,N/A,,114 Shares,,11,,,,11,,,(9)(13)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,25302,,,,23738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"JF Acquisition, LLC",,First Lien Secured Debt,,"6.50% (12M L+550, 1.00% Floor)",,07/31/24,,13139,,,12923,,,,12772,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,First Lien Secured Debt,,"6.50% (3M L+550, 1.00% Floor)",,07/31/24,,231,,,227,,,,224,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt - Revolver,,"6.50% (12M L+550, 1.00% Floor)",,07/31/24,,628,,,628,,,,610,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,07/31/24,,941,,,(26),,,,(27),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,13752,,,,13579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,MAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Trident Bidco Limited,,First Lien Secured Debt,,"7.25% (1M L+625, 1.00% Floor)",,11/08/25,,35000,,,34062,,,,33887,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,McLarens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Margaux Acquisition Inc.,,First Lien Secured Debt,,"6.50% (3M L+550, 1.00% Floor)",,12/19/24,,3157,,,3157,,,,3072,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,First Lien Secured Debt,,"6.64% (3M L+550, 1.00% Floor)",,12/19/24,,423,,,423,,,,412,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,First Lien Secured Debt,,"6.93% (3M L+550, 1.00% Floor)",,12/19/24,,18753,,,18494,,,,18247,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,First Lien Secured Debt - Revolver,,"6.50% (1M L+550, 1.00% Floor)",,12/19/24,,1601,,,1577,,,,1560,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
