,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
75,Consolidated Precision Products Corp.,,"8.75% (L+775, 1.00% Floor)",,4/30/21,,Aerospace and Defense,,1940,,,1931,,,1853,,,,
76,"Deltek, Inc.",,"10.00% (L+875, 1.25% Floor)",,10/10/19,,Business Services,,17273,,,17118,,,17403,,,,
77,"Elements Behavioral Health, Inc.",,"9.25% (L+825, 1.00% Floor)",,2/11/20,,Healthcare,,9500,,,9416,,,9441,,,,
78,Garden Fresh Restaurant Corp. (16),,"14.50% (L+1300 PIK, 1.50% Floor)",,1/1/19,,Restaurants,,38448,,,36504,,,34219,,,,
79,Garden Fresh Restaurant Corp. (16),,"7.25% (L+575 PIK, 1.50% Floor)",,1/1/19,,Restaurants,,8090,,,6279,,,5501,,,,
80,"GCA Services Group, Inc.",,"9.25% (L+800, 1.25% Floor)",,11/1/20,,Diversified Service,,22838,,,22930,,,22609,,,,
81,"Grocery Outlet, Inc.",,"9.25% (L+825, 1.00% Floor)",,10/21/22,,Grocery,,30000,,,29555,,,29663,,,,
82,"GTCR Valor Companies, Inc.",,"9.50% (L+850, 1.00% Floor)",,11/30/21,,Business Services,,35000,,,34657,,,33950,,,,
83,"Institutional Shareholder Services, Inc.",,"8.50% (L+750, 1.00% Floor)",,4/30/22,,Financial Services,,6640,,,6577,,,6540,,,,
84,"Kronos, Inc.",,"9.75% (L+850, 1.25% Floor)",,4/30/20,,Business Services,,51123,,,50727,,,52082,,,,
85,"Miller Energy Resources, Inc. (17)",,"12.75% (L+975, 3.00% Floor)",,2/3/18,,Oil and Gas,,87500,,,86076,,,85750,,,,
86,MSC Software Corp. (17),,"8.50% (L+750, 1.00% Floor)",,5/28/21,,Business Services,,18448,,,18275,,,18079,,,,
87,"Novolex Holdings, Inc.",,"9.75% (L+875, 1.00% Floor)",,6/5/22,,Packing,,40000,,,39005,,,39200,,,,
88,Pabst Brewing Company,,"10.50 (P+725, 3.25% Floor) / 9.25 (L+825, 1.00% Floor)",,11/14/22,,Consumer Products,,32000,,,31601,,,31600,,,,
89,"Premier Trailer Leasing, Inc.",,"10.00% (L+900, 1.00% Floor)",,9/24/20,,Financial Services,,52000,,,50996,,,50960,,,,
90,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
91,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
92,2nd Lien Secured Debt-45.7% (continued),,,,,,,,,,,,,,,,,,
93,"RegionalCare Hospital Partners, Inc.",,"10.50% (L+950, 1.00% Floor)",,10/23/19,,Healthcare,,,4000,,,,3796,,,,3990,
94,River Cree Enterprises LP (11)(17),,11.000%,,1/20/21,,"Hotels, Motels, Inns and Gaming",,CAD,33000,,,31111,,,30307,,,
95,"SiTV, Inc. (11)",,10.375%,,7/1/19,,Cable Television,,,2219,,,2219,,,2065,,,
96,"Sprint Industrial Holdings, LLC",,"11.25% (L+1000, 1.25% Floor)",,11/14/19,,"Containers, Packaging, and Glass",,14163,,,13951,,,13880,,,,
97,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",,11.625%,,4/1/17,,Financial Services,,65152,,,64219,,,64012,,,,
98,Stadium Management Corp.,,"9.25% (L+825, 1.00% Floor)",,2/27/21,,Business Services,,19900,,,19900,,,19999,,,,
99,"TASC, Inc.",,12.000%,,5/21/21,,Aerospace and Defense,,21815,,,21011,,,22306,,,,
100,TMK Hawk Parent Corp.,,"8.50% (L+750, 1.00% Floor)",,10/1/22,,Distribution,,34000,,,33667,,,33830,,,,
101,"Transfirst Holdings, Inc.",,"9.00% (L+800, 1.00% Floor)",,11/11/22,,Financial Services,,21740,,,21525,,,21532,,,,
102,"U.S. Renal Care, Inc.",,"10.25% (L+900, 1.25% Floor)",,1/3/20,,Healthcare,,11927,,,11975,,,11957,,,,
103,"Velocity Technology Solutions, Inc.",,"9.00% (L+775, 1.25% Floor)",,9/28/20,,Business Services,,16500,,,16199,,,16170,,,,
104,"Vertafore, Inc.",,"9.75% (L+825, 1.50% Floor)",,10/27/17,,Business Services,,36436,,,36263,,,36618,,,,
105,"Walter Energy, Inc. (11)(17)",,11.000%,,4/1/20,,Mining,,22554,,,21227,,,7499,,,,
106,Total 2nd Lien Secured Debt,,,926947,,,,911324,,,,,,,,,,,
107,TOTAL SECURED DEBT,,,1849728,,,,1796082,,,,,,,,,,,
108,UNSECURED DEBT-26.3%,,,,,,,,,,,,,,,,,,
109,American Energy - Woodford LLC/AEW Finance Corp. (11),,9.000%,,9/15/22,,Oil and Gas,,,5000,,,,4800,,,,3275,
110,"American Tire Distributors, Inc. (11)(16)",,11.500%,,6/1/18,,Distribution,,25000,,,25000,,,25500,,,,
111,"American Tire Distributors, Inc. (11)(16)",,11.500%,,6/1/18,,Distribution,,40000,,,39420,,,40800,,,,
112,Artsonig Pty Ltd. (11)(17),,11.50% (12.00% PIK Toggle),,4/1/19,,Transportation,,21227,,,20962,,,18839,,,,
113,BCA Osprey II Limited (British Car Auctions) (16)(17),,12.500% PIK,,8/17/17,,Transportation,,£,23566,,,37671,,,37848,,,
114,BCA Osprey II Limited (British Car Auctions) (16)(17),,12.500% PIK,,8/17/17,,Transportation,,€,14333,,,19764,,,17864,,,
115,Canacol Energy Ltd. (17),,"9.50% (L+850, 1.00% Floor)",,12/31/19,,Oil and Gas,,,50000,,,48539,,,48500,,,
116,Ceridian Corp. (11),,11.000%,,3/15/21,,Diversified Service,,31760,,,31760,,,34896,,,,
117,"Delta Educational Systems, Inc.",,16.00% PIK or 10.00% Cash / 6.00% PIK,,5/12/17,,Education,,23235,,,22969,,,22224,,,,
118,Denver Parent Corp. (Venoco),,12.25% (13.00% PIK Toggle),,8/15/18,,Oil and Gas,,8988,,,8821,,,3707,,,,
119,"My Alarm Center, LLC",,16.25% (12.00% Cash / 4.25% PIK),,7/9/18,,Business Services,,4145,,,4145,,,4145,,,,
120,Niacet Corporation,,13.000%,,8/28/18,,Chemicals,,12500,,,12500,,,12625,,,,
121,PetroBakken Energy Ltd. (11)(17),,8.625%,,2/1/20,,Oil and Gas,,39300,,,40455,,,27903,,,,
122,"Radio One, Inc. (11)(17)",,9.250%,,2/15/20,,Broadcasting & Entertainment,,14804,,,14804,,,12954,,,,
123,"Sorenson Holdings, LLC (11)",,13.00% PIK,,10/31/21,,Consumer Products,,68,,,46,,,68,,,,
124,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
125,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
126,UNSECURED DEBT-26.3% (continued),,,,,,,,,,,,,,,,,,
127,Tibco Software Inc. (11),,11.375%,,12/1/21,,Business Services,,,26924,,,,26149,,,,26217,
128,"U.S. Security Associates Holdings, Inc.",,11.000%,,7/28/18,,Business Services,,135000,,,135000,,,137700,,,,
129,"Univar, Inc.",,10.500%,,6/30/18,,Distribution,,20000,,,20000,,,19780,,,,
130,"Venoco, Inc.",,8.875%,,2/15/19,,Oil and Gas,,54996,,,55026,,,30523,,,,
131,TOTAL UNSECURED DEBT,,,567831,,,,525368,,,,,,,,,,,
132,TOTAL CORPORATE DEBT,,,2417559,,,,2321450,,,,,,,,,,,
133,STRUCTURED PRODUCTS AND OTHER-8.6%,,,,,,,,,,,,,,,,,,
134,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)",,N/A,,5/15/27,,Utilities,,,58411,,,,24925,,,,32785,
135,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,9.483% (L+925),,4/17/22,,Diversified Investment Vehicle,,25000,,,25092,,,24503,,,,
136,"Craft 2013-1, Credit-Linked Note (16)(17)",,9.483% (L+925),,4/17/22,,Diversified Investment Vehicle,,7625,,,7753,,,7476,,,,
137,"Craft 2014-1A, Credit-Linked Note (11)(17)",,9.884% (L+965),,5/15/21,,Diversified Investment Vehicle,,42500,,,42497,,,41995,,,,
138,"Dark Castle Holdings, LLC",,N/A,,N/A,,Media,,24395,,,1190,,,2748,,,,
139,"JP Morgan Chase & Co., Credit-Linked Note (17)",,12.483% (L+1225),,12/20/21,,Diversified Investment Vehicle,,43250,,,42318,,,43560,,,,
140,"NXT Capital CLO 2014-1, LLC (11)(17)",,5.731% (L+550),,4/23/26,,Diversified Investment Vehicle,,5000,,,4665,,,4250,,,,
141,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",,N/A,,N/A,,Oil and Gas,,-,,,13014,,,14003,,,,
142,TOTAL STRUCTURED PRODUCTS AND OTHER,,,161454,,,,171320,,,,,,,,,,,
143,PREFERRED EQUITY-2.0%,,Shares,,,,,,,,,,,,,,,,
144,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",,N/A,,N/A,,Financial Services,,7961,,,,788,,,,1113,,
145,"Crowley Holdings, Series A Preferred Stock (11)",,12.00% (10.00% Cash / 2.00% PIK),,N/A,,Cargo Transport,,22500,,,22964,,,23518,,,,
146,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",,12.50% PIK,,N/A,,Education,,332500,,,6863,,,-,,,,
147,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",,13.50% PIK,,5/12/18,,Education,,12360,,,27685,,,9954,,,,
148,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,8.00% PIK,,N/A,,Distribution,,3097,,,5613,,,5613,,,,
149,TOTAL PREFERRED EQUITY,,,63913,,,,40198,,,,,,,,,,,
150,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
151,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
152,EQUITY-1.8%,,,,,,,,,,,,,,,,,,
153,Common Equity/Interests-1.5%,,,,,,,,Shares,,,,,,,,,,
154,"ATD Corporation (Accelerate Parent Corp.), Common Stock (11)(13)",,N/A,,N/A,,Distribution,,3225514,,,3276,,,5130,,,,
155,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",,N/A,,N/A,,Financial Services,,25000,,,2500,,,-,,,,
156,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",,N/A,,N/A,,Financial Services,,4294,,,429,,,-,,,,
157,"Caza Petroleum, Inc., Net Profits Interest (13)",,N/A,,N/A,,Oil and Gas,,-,,,1202,,,1036,,,,
158,"Caza Petroleum, Inc., Overriding Royalty Interest",,N/A,,N/A,,Oil and Gas,,-,,,339,,,349,,,,
159,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",,N/A,,N/A,,Healthcare,,6000,,,6000,,,669,,,,
160,"Explorer Coinvest, LLC (Booz Allen), Common Stock (13)(17)",,N/A,,N/A,,Business Services,,246,,,1881,,,6063,,,,
161,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",,N/A,,N/A,,Restaurants,,50000,,,5000,,,-,,,,
162,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",,N/A,,N/A,,Education,,17500,,,175,,,-,,,,
163,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",,N/A,,N/A,,Healthcare,,9303,,,85,,,-,,,,
164,"Pelican Energy, LLC, Net Profits Interest (13)(17)",,N/A,,N/A,,Oil and Gas,,1048811,,,1049,,,332,,,,
165,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,N/A,,N/A,,Printing and Publishing,,5000,,,5000,,,5000,,,,
166,"Sorenson Holdings, LLC, Membership Interests (13)",,N/A,,N/A,,Consumer Products,,587,,,-,,,81,,,,
167,"Univar, Inc., Common Stock (13)",,N/A,,N/A,,Distribution,,900000,,,9000,,,10710,,,,
168,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",,N/A,,N/A,,Distribution,,28028,,,28,,,125,,,,
169,Total Common Equity/Interests,,,35964,,,,29495,,,,,,,,,,,
170,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except warrants)",,,,,,,,,,,,,,,,,,
171,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-128.7% (18),,Interest Rate,,Maturity Date,,Industry,,Warrants,,Cost,,Fair  Value (1),,,,,,
172,Warrants-0.3%,,,,,,,,,,,,,,,,,,
173,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",,N/A,,N/A,,Financial Services,,7961,,,,8,,,,-,,
174,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",,N/A,,N/A,,Oil and Gas,,60778,,,2374,,,58,,,,
175,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",,N/A,,N/A,,Electronics,,18113,,,182,,,4450,,,,
176,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,45947,,,459,,,-,,,,
177,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,104314,,,1043,,,-,,,,
178,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",,N/A,,N/A,,Education,,9820,,,98,,,-,,,,
179,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",,N/A,,N/A,,Oil and Gas,,1496843,,,-,,,365,,,,
180,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",,N/A,,N/A,,Oil and Gas,,54545,,,852,,,1496,,,,
181,Total Warrants,,,5016,,,,6369,,,,,,,,,,,
182,TOTAL EQUITY,,,40980,,,,35864,,,,,,,,,,,
183,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2683906,,,,2568832,,,,,,,,,,,
184,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  December 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
185,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS-9.9%(4)(18),,Interest Rate,,Maturity Date,,Industry,,Par  Amount (12),,Cost,,Fair  Value (1),,,,,,
186,CORPORATE DEBT-0.0%,,,,,,,,,,,,,,,,,,
187,SECURED DEBT-0.0%,,,,,,,,,,,,,,,,,,
188,1st Lien Secured Debt-0.0%,,,,,,,,,,,,,,,,,,
189,"Renewable Funding Group, Inc., (4)(13)",,0.00%,,9/30/15,,Finance,,,1000,,,,1000,,,,1000,
190,Total 1st Lien Secured Debt,,,1000,,,,1000,,,,,,,,,,,
191,TOTAL SECURED DEBT,,,1000,,,,1000,,,,,,,,,,,
192,TOTAL CORPORATE DEBT,,,1000,,,,1000,,,,,,,,,,,
193,STRUCTURED PRODUCTS AND OTHER-9.2%,,,,,,,,,,,,,,,,,,
194,"Golden Bear Warehouse, LLC, Equity (3)(4)(17)",,N/A,,N/A,,Diversified Investment Vehicle,,,1226,,,,1226,,,,951,
195,"Golden Hill CLO I, LLC, Equity (3)(4)(17)",,N/A,,N/A,,Diversified Investment Vehicle,,61285,,,61818,,,62689,,,,
196,"Highbridge Loan Management 3-2014, Ltd., Class E Notes (3)(4)(11)(16)(17)",,6.234% (L+600),,1/18/25,,Diversified Investment Vehicle,,2485,,,2274,,,2145,,,,
197,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(4)(11)(16)(17)",,N/A,,1/18/25,,Diversified Investment Vehicle,,8163,,,6809,,,6759,,,,
198,"Ivy Hill Middle Market Credit Fund IX, Ltd, Subordinated Notes (3)(4)(11)(17)",,N/A,,10/18/25,,Diversified Investment Vehicle,,12500,,,11375,,,11375,,,,
199,"Jamestown CLO I LTD, Subordinated Notes (3)(4)(11)(17)",,N/A,,11/5/24,,Diversified Investment Vehicle,,4325,,,3475,,,3948,,,,
200,"MCF CLO I, LLC, Membership Interests (3)(4)(11)(17)",,N/A,,4/20/23,,Diversified Investment Vehicle,,38918,,,35546,,,38700,,,,
201,"MCF CLO III, LLC, Class E Notes (3)(4)(11)(17)",,4.684% (L+445),,1/20/24,,Diversified Investment Vehicle,,12750,,,11429,,,11220,,,,
202,"MCF CLO III, LLC, Membership Interests (3)(4)(11)(17)",,N/A,,1/20/24,,Diversified Investment Vehicle,,41900,,,37780,,,39684,,,,
203,"Slater Mill Loan Fund LP, LP Certificates (3)(4)(17)",,N/A,,N/A,,Diversified Investment Vehicle,,8375,,,5859,,,7404,,,,
204,TOTAL STRUCTURED PRODUCTS AND OTHER,,,177591,,,,184875,,,,,,,,,,,
205,PREFERRED EQUITY-0.5%,,,,,,,,Shares,,,,,,,,,,
206,"Renewable Funding Group, Inc., Series B Preferred Stock (4)(13)",,N/A,,N/A,,Finance,,1505868,,,,7582,,,,9364,,
