,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
23,Total Liabilities,,,,1495897,,,,,1537410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,,,993368,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $  0.001  par value (  130,000,000  shares authorized;  65,451,359  and  65,451,359  shares issued and outstanding, respectively)",,,,65,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,,,,2107121,,,,,2107120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,,,,"(  1,113,818",,,,,"(  1,119,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,,,993368,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,,,15.18,,,,,15.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (35),,,Fair Value (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KL Charlie Acquisition Company,,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,12/30/26,,,,23460,,,,,23143,,,,,23108,,,(9)(28),,,,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00   Floor",,12/30/26,,,,1000,,,,,701,,,,,706,,,(9)(23)(32),,,,,,,,,,,,,,,,,,,,
37,,,First Lien Secured Debt - Revolver,,,P+  525,,12/30/26,,,,1962,,,,,526,,,,,520,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
38,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,,N/A,,N/A,,,"218,978  Shares",,,,,219,,,,,357,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,24589,,,,,24691,,,,,,,,,,,,,,,,,,,,,,,
40,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,11/18/28,,,,26989,,,,,18971,,,,,18312,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
42,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,11/18/26,,,,2553,,,,,2481,,,,,2422,,,(9)(20)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
43,HRO Holdings I LP,,Common Equity - Common Stock,,,N/A,,N/A,,,213  Shares,,,,,213,,,,,125,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,21665,,,,,20859,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,"Total Advertising, Printing & Publishing",,,,,46254,,,,,45550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,29668,,,,,27377,,,,,27239,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
49,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00   Floor",,06/16/27,,,,2438,,,,,(  31,,,,,(  44,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,27346,,,,,27195,,,,,,,,,,,,,,,,,,,,,,,
51,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Vari-Form Group, LLC",,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,5860,,,,,893,,,,,264,,,(9)(11)(14),,,,,,,,,,,,,,,,,,,,
53,Vari-Form Inc.,,First Lien Secured Debt,,,11.00   (  7.00   Cash plus  4.00   PIK),,02/02/23,,,,2110,,,,,391,,,,,95,,,(9)(11)(14),,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,1284,,,,,359,,,,,,,,,,,,,,,,,,,,,,,
55,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"K&N Holdco, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,"77,622  Shares",,,,,23621,,,,,1423,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
57,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"TL Lighting Holdings, LLC",,Common Equity - Equity,,,N/A,,N/A,,,350  Shares,,,,,350,,,,,403,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
59,"Truck-Lite Co., LLC",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,12/14/26,,,,31653,,,,,31224,,,,,31034,,,(9)(33),,,,,,,,,,,,,,,,,,,,
60,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,12/13/24,,,,3052,,,,,0,,,,,(  31,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,31574,,,,,31406,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,Total Automotive,,,,,83825,,,,,60383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,,10.00,,10/31/23,,,,2004677,,,,,84575,,,,,84575,,,(20)(23),,,,,,,,,,,,,,,,,,,,
66,,,Common Equity - Membership Interests,,,N/A,,N/A,,,,,,,,146500,,,,,112639,,,(24),,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,231075,,,,,197214,,,,,,,,,,,,,,,,,,,,,,,
68,PrimeFlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,05/09/24,,,,13561,,,,,13487,,,,,13493,,,(9)(31)(32),,,,,,,,,,,,,,,,,,,,
70,,,,,,,Total Aviation and Consumer Transport,,,,,244562,,,,,210707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (35),,,Fair Value (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,07/30/27,,,,30652,,,,,30135,,,,,29273,,,(9)(28),,,,,,,,,,,,,,,,,,,,
75,,,First Lien Secured Debt - Revolver,,,P+  450,,07/30/26,,,,1008,,,,,980,,,,,926,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
76,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,07/30/26,,,,1873,,,,,560,,,,,529,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,31675,,,,,30728,,,,,,,,,,,,,,,,,,,,,,,
78,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,,N/A,,N/A,,,"1,086,122  Shares",,,,,1147,,,,,1151,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
80,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,589  Shares,,,,,448,,,,,220,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
82,,,Common Equity - Common Stock,,,N/A,,N/A,,,589  Shares,,,,,3,,,,,0,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
83,"Hive Intermediate, LLC",,First Lien Secured Debt,,,"SOFR+  400  Cash plus  2.00   PIK,  1.00   Floor",,09/22/27,,,,15866,,,,,15633,,,,,15232,,,(9)(31),,,,,,,,,,,,,,,,,,,,
84,,,First Lien Secured Debt - Revolver,,,"SOFR+  400  Cash plus  2.00   PIK,  1.00   Floor",,09/22/27,,,,2326,,,,,589,,,,,530,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,16673,,,,,15982,,,,,,,,,,,,,,,,,,,,,,,
86,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,,N/A,,N/A,,,"490,000  Shares",,,,,90,,,,,913,,,,,,,,,,,,,,,,,,,,,,,,
88,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,08/13/27,,,,26422,,,,,25925,,,,,25566,,,(9)(31),,,,,,,,,,,,,,,,,,,,
90,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00   Floor",,08/13/27,,,,3243,,,,,345,,,,,300,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,26270,,,,,25866,,,,,,,,,,,,,,,,,,,,,,,
92,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,IC Holdings LLC,,Common Equity - Series A Units,,,N/A,,N/A,,,169  Shares,,,,,169,,,,,177,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
94,THLP CO. LLC,,First Lien Secured Debt,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/25,,,,25570,,,,,25369,,,,,25314,,,(9)(29),,,,,,,,,,,,,,,,,,,,
95,,,First Lien Secured Debt - Revolver,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/24,,,,3231,,,,,1939,,,,,1923,,,(9)(20)(21)(23)(29),,,,,,,,,,,,,,,,,,,,
96,,,First Lien Secured Debt - Revolver,,,P+  500,,05/31/24,,,,1263,,,,,1256,,,,,1246,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,28733,,,,,28660,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,"Total Beverage, Food & Tobacco",,,,,104588,,,,,103300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Accelerate Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Eagle Purchaser, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00   Floor",,03/22/30,,,,4342,,,,,3305,,,,,3304,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
102,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00   Floor",,03/22/29,,,,658,,,,,112,,,,,112,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,3417,,,,,3416,,,,,,,,,,,,,,,,,,,,,,,
104,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Access CIG, LLC",,Second Lien Secured Debt,,,"L+  775  ,  0.00   Floor",,02/27/26,,,,15900,,,,,15850,,,,,15662,,,(28),,,,,,,,,,,,,,,,,,,,
106,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Alpinex Opco, LLC",,First Lien Secured Debt,,,"SOFR+  626  ,  1.00   Floor",,12/27/27,,,,21435,,,,,21043,,,,,21162,,,(9)(32),,,,,,,,,,,,,,,,,,,,
108,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,12/27/27,,,,1489,,,,,563,,,,,588,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,21606,,,,,21750,,,,,,,,,,,,,,,,,,,,,,,
110,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (35),,,Fair Value (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,,8.00,,08/28/25,,,,21429,,,,,17307,,,,,6129,,,(14),,,,,,,,,,,,,,,,,,,,
113,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Gabriel Partners, LLC",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,09/21/26,,,,31134,,,,,30698,,,,,30506,,,(9)(31),,,,,,,,,,,,,,,,,,,,
115,,,First Lien Secured Debt - Revolver,,,P+  475,,09/21/26,,,,665,,,,,123,,,,,116,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,30821,,,,,30622,,,,,,,,,,,,,,,,,,,,,,,
117,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,775  Shares,,,,,78,,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
119,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Electro Rent Corporation,,Second Lien Secured Debt,,,"L+  900  ,  1.00   Floor",,01/31/25,,,,34235,,,,,33957,,,,,34064,,,(9)(28),,,,,,,,,,,,,,,,,,,,
121,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00   Floor",,12/14/23,,,,1750,,,,,0,,,,,(  17,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
123,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,,"L+  325  ,  0.00   Floor",,08/01/24,,,,4155,,,,,(  103,,,,,(  125,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
125,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Health Management Associates Superholdings, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,03/30/29,,,,4716,,,,,3863,,,,,3863,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
127,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00   Floor",,03/30/29,,,,284,,,,,(  9,,,,,(  9,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,3854,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,
129,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,03/08/28,,,,10117,,,,,9932,,,,,9814,,,(9)(32),,,,,,,,,,,,,,,,,,,,
131,,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00   Floor",,03/08/28,,,,1000,,,,,970,,,,,970,,,(9)(32),,,,,,,,,,,,,,,,,,,,
132,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00   Floor",,03/08/28,,,,1705,,,,,540,,,,,517,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
133,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,134  Shares,,,,,145,,,,,234,,,(9),,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,11587,,,,,11535,,,,,,,,,,,,,,,,,,,,,,,
135,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Jacent Strategic Merchandising,,First Lien Secured Debt,,,"L+  725  ,  1.00   Floor",,04/23/24,,,,22186,,,,,22115,,,,,21421,,,(9)(26),,,,,,,,,,,,,,,,,,,,
137,,,First Lien Secured Debt - Revolver,,,"L+  725  ,  1.00   Floor",,04/23/24,,,,3500,,,,,3447,,,,,3373,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
138,,,Common Equity - Common Stock,,,N/A,,N/A,,,"5,000  Shares",,,,,500,,,,,4,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
139,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,,N/A,,N/A,,,114  Shares,,,,,11,,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,26073,,,,,24809,,,,,,,,,,,,,,,,,,,,,,,
141,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"JF Acquisition, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,07/31/26,,,,13066,,,,,12957,,,,,12767,,,(9)(26),,,,,,,,,,,,,,,,,,,,
143,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,07/31/26,,,,1569,,,,,1367,,,,,1345,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,14324,,,,,14112,,,,,,,,,,,,,,,,,,,,,,,
145,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,,"SOFR+  700  ,  1.00   Floor",,12/29/23,,,,13262,,,,,13206,,,,,13262,,,(9)(32),,,,,,,,,,,,,,,,,,,,
147,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00   Floor",,12/29/23,,,,500,,,,,443,,,,,444,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,13649,,,,,13706,,,,,,,,,,,,,,,,,,,,,,,
149,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (35),,,Fair Value (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,8359,,,,,6307,,,,,6288,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
152,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,1067,,,,,513,,,,,513,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
153,,,First Lien Secured Debt - Revolver,,,P+  450,,08/10/27,,,,240,,,,,234,,,,,233,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
154,"Graffiti Parent, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,"2,439  Shares",,,,,244,,,,,307,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,7298,,,,,7341,,,,,,,,,,,,,,,,,,,,,,,
156,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,10/19/26,,,,33628,,,,,33276,,,,,32077,,,(9)(28),,,,,,,,,,,,,,,,,,,,
158,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,10/20/25,,,,2985,,,,,2956,,,,,2874,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,36232,,,,,34951,,,,,,,,,,,,,,,,,,,,,,,
160,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Soliant Health, Inc.",,Common Equity - Membership Interests,,,N/A,,N/A,,,300  Shares,,,,,300,,,,,1412,,,(9),,,,,,,,,,,,,,,,,,,,,
162,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Trench Plate Rental Co.,,First Lien Secured Debt,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,18045,,,,,17813,,,,,17775,,,(9)(32),,,,,,,,,,,,,,,,,,,,
164,,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,1818,,,,,460,,,,,455,,,(9)(20)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
165,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,331  Shares,,,,,50,,,,,43,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,18323,,,,,18273,,,,,,,,,,,,,,,,,,,,,,,
167,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,,N/A,,N/A,,,"631,972  Shares",,,,,632,,,,,720,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
169,"USLS Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/02/24,,,,19245,,,,,19118,,,,,18941,,,(9)(31),,,,,,,,,,,,,,,,,,,,
170,,,First Lien Secured Debt,,,"SOFR+  585  ,  1.00   Floor",,12/02/24,,,,4510,,,,,4476,,,,,4439,,,(9)(31),,,,,,,,,,,,,,,,,,,,
171,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00   Floor",,12/02/24,,,,1608,,,,,1024,,,,,1020,,,(9)(20)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,25250,,,,,25120,,,,,,,,,,,,,,,,,,,,,,,
173,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Owl Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  525  ,  1.00   Floor",,02/04/28,,,,9635,,,,,9473,,,,,9538,,,(9)(31),,,,,,,,,,,,,,,,,,,,
175,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,100  Shares,,,,,100,,,,,175,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,9573,,,,,9713,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,Total Business Services,,,,,289396,,,,,276405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,,N/A,,N/A,,,"1,246  Shares",,,,,56505,,,,,19478,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
