,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
41,Class C Shares (535 shares),-,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",8689,301431,42938,335680,1.3%,9.8%,3.7%,9946.0,,0.3%,,,,,,,
42,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",18250,301431,18250,335680,18250,9.8%,0.5%,9946.0,,0.3%,,,,,,,
43,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(4)(6)(30)",16442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",16442,301431,16442,335680,0.5%,9.8%,0.5%,9946.0,,0.3%,,,,,,,
44,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(32)",7200,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",7200,301431,5555,335680,0.2%,9.8%,0.5%,9946.0,,0.3%,,,,,,,
45,"Common Stock (42,053 shares)",-,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",6849,301431,17376,335680,0.5%,9.8%,0.5%,9946.0,,0.3%,,,,,,,
46,"Common Stock (42,053 shares)",-,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",6849,48741,17376,57623,0.5%,1.7%,0.5%,9946.0,,0.3%,,,,,,,
47,National Property REIT Corp.(18),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",140061,48741,140061,57623,140061,1.7%,4.1%,9946.0,,0.3%,,,,,,,
48,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(30)",158079,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",158079,48741,158079,57623,4.6%,1.7%,4.1%,9946.0,,0.3%,,,,,,,
49,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(30)(32)",113131,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",113131,48741,113131,57623,3.3%,1.7%,4.1%,9946.0,,0.3%,,,,,,,
50,"Common Stock (1,000,451 shares)",-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",114794,48741,130439,57623,3.8%,1.7%,4.1%,9946.0,,0.3%,,,,,,,
51,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,48741,36833,57623,1.1%,1.7%,4.1%,9946.0,,0.3%,,,,,,,
52,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,526065,36833,578543,1.1%,16.9%,4.1%,9946.0,,0.3%,,,,,,,
53,Nationwide Loan Company LLC(19),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(32)",16696,526065,16696,578543,16696,16.9%,0.5%,9946.0,,0.3%,,,,,,,
54,"Class A Shares (30,192,535 shares)(32)",-,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(32)",16201,526065,17502,578543,0.5%,16.9%,0.5%,9946.0,,0.3%,,,,,,,
55,"Class A Shares (30,192,535 shares)(32)",-,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(32)",16201,32897,17502,34198,0.5%,1.0%,0.5%,9946.0,,0.3%,,,,,,,
56,"NMMB, Inc.(20)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,32897,3714,34198,3714,1.0%,0.1%,9946.0,,0.3%,,,,,,,
57,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",7000,32897,7000,34198,0.2%,1.0%,0.1%,9946.0,,0.3%,,,,,,,
58,"Series A Preferred Stock (7,200 shares)",-,"Senior Secured Note (14.00%, due 5/6/2021)",7200,32897,2556,34198,0.1%,1.0%,0.1%,9946.0,,0.3%,,,,,,,
59,"Series B Preferred Stock (5,669 shares)",-,"Senior Secured Note (14.00%, due 5/6/2021)",5669,32897,-,34198,-%,1.0%,0.1%,9946.0,,0.3%,,,,,,,
60,"Series B Preferred Stock (5,669 shares)",-,"Senior Secured Note (14.00%, due 5/6/2021)",5669,23583,-,13270,-%,0.4%,0.1%,9946.0,,0.3%,,,,,,,
61,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(30)",28622,23583,28622,13270,28622,0.4%,0.8%,9946.0,,0.3%,,,,,,,
62,"Common Stock (545,107 shares)",-,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(30)",5087,23583,4891,13270,0.1%,0.4%,0.8%,9946.0,,0.3%,,,,,,,
63,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",-,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(30)",1682,23583,1794,13270,0.1%,0.4%,0.8%,9946.0,,0.3%,,,,,,,
64,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",-,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(30)",1682,35391,1794,35307,0.1%,1.0%,0.8%,9946.0,,0.3%,,,,,,,
65,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,0.1%,1.0%,0.8%,9946.0,,0.3%,,,,,,,
66,United Property REIT Corp.(21),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",Principal Value,67252,Fair  Value(2),% of Net Assets,67252,1.0%,0.8%,67252.0,,2.0%,,,,,,,
67,"Common Stock (83,470 shares)",-,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",15907,67252,20734,% of Net Assets,0.6%,1.0%,0.8%,67252.0,,2.0%,,,,,,,
68,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,67252,17646,% of Net Assets,0.5%,1.0%,0.8%,67252.0,,2.0%,,,,,,,
69,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,83159,17646,105632,0.5%,3.1%,0.8%,67252.0,,2.0%,,,,,,,
70,"Valley Electric Company, Inc.(22)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(30)",10430,83159,10430,105632,10430,3.1%,0.3%,67252.0,,2.0%,,,,,,,
71,"Senior Secured Note (10.00% plus 8.50% PIK, due 12/31/2018)(6)",23601,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(30)",23601,83159,20929,105632,0.6%,3.1%,0.3%,67252.0,,2.0%,,,,,,,
72,"Common Stock (50,000 shares)",-,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(30)",26204,83159,-,105632,-%,3.1%,0.3%,67252.0,,2.0%,,,,,,,
73,"Common Stock (50,000 shares)",-,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(30)",26204,60235,-,31359,-%,0.9%,0.3%,67252.0,,2.0%,,,,,,,
74,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",35050,60235,-,31359,674,0.9%,-%,67252.0,,2.0%,,,,,,,
75,Membership Interest (100%),-,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",-,60235,-,31359,-%,0.9%,-%,67252.0,,2.0%,,,,,,,
76,Net Profits Interest (8% of Equity Distributions)(7),-,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",-,60235,19,31359,-%,0.9%,-%,67252.0,,2.0%,,,,,,,
77,Net Profits Interest (8% of Equity Distributions)(7),-,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",-,-,19,693,-%,-%,-%,67252.0,,2.0%,,,,,,,
78,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,-%,-%,-%,67252.0,,2.0%,,,,,,,
79,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,-,Fair  Value(2),% of Net Assets,349,-%,-%,482.0,,-%,,,,,,,
80,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,349,Fair  Value(2),482,349,-%,-%,482.0,,-%,,,,,,,
81,Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,-,349,4160,482,3061,-%,0.1%,482.0,,-%,,,,,,,
82,Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,-,4160,4160,3061,3061,0.1%,0.1%,482.0,,-%,,,,,,,
83,"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable(42),-,4160,1264,3061,2312,0.1%,0.1%,482.0,,-%,,,,,,,
84,"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable(42),-,1264,1264,2312,2312,0.1%,0.1%,482.0,,-%,,,,,,,
85,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(27)(30)",11771,1264,11620,2312,11771,0.1%,0.3%,482.0,,-%,,,,,,,
86,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(27)(30)",11771,11620,11620,11771,11771,0.3%,0.3%,482.0,,-%,,,,,,,
87,American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (1.93%)(36),-,11620,-,11771,-,0.3%,-%,482.0,,-%,,,,,,,
88,American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (1.93%)(36),-,-,-,-,-,-%,-%,482.0,,-%,,,,,,,
89,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.56%)(24)(32)",23525,-,20097,-,19490,-%,0.6%,482.0,,-%,,,,,,,
90,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.56%)(24)(32)",23525,20097,20097,19490,19490,0.6%,0.6%,482.0,,-%,,,,,,,
91,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.94%)(24)(32)",38340,20097,30111,19490,25358,0.6%,0.7%,482.0,,-%,,,,,,,
92,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.94%)(24)(32)",38340,30111,30111,25358,25358,0.7%,0.7%,482.0,,-%,,,,,,,
93,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.55%)(24)(32)",44063,30111,35179,25358,29742,0.7%,0.9%,482.0,,-%,,,,,,,
94,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.55%)(24)(32)",44063,35179,35179,29742,29742,0.9%,0.9%,482.0,,-%,,,,,,,
95,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.42%)(24)(32)",36515,35179,31908,29742,24179,0.9%,0.7%,482.0,,-%,,,,,,,
96,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.42%)(24)(32)",36515,31908,31908,24179,24179,0.7%,0.7%,482.0,,-%,,,,,,,
97,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.61%)(24)(25)(32)",31350,31908,27868,24179,24461,0.7%,0.7%,482.0,,-%,,,,,,,
98,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.61%)(24)(25)(32)",31350,27868,27868,24461,24461,0.7%,0.7%,482.0,,-%,,,,,,,
99,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(30)",150000,27868,150000,24461,145015,0.7%,4.2%,482.0,,-%,,,,,,,
100,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(30)",150000,150000,150000,145015,145015,4.2%,4.2%,482.0,,-%,,,,,,,
101,"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",21322,150000,21322,145015,14781,4.2%,0.4%,482.0,,-%,,,,,,,
102,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",23239,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",23239,150000,-,145015,-%,4.2%,0.4%,482.0,,-%,,,,,,,
103,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",23239,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",23239,44561,-,14781,-%,0.4%,0.4%,482.0,,-%,,,,,,,
104,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(4)(27)(30)",7000,44561,6901,14781,6913,0.4%,0.2%,482.0,,-%,,,,,,,
105,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(4)(27)(30)",7000,6901,6901,6913,6913,0.2%,0.2%,482.0,,-%,,,,,,,
106,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,6913,0.2%,0.2%,482.0,,-%,,,,,,,
107,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(4)(30)(33)",Principal Value,2350,Fair  Value(2),% of Net Assets,2350,0.2%,0.2%,2350.0,,0.1%,,,,,,,
108,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)(30)",38265,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(4)(30)(33)",38265,2350,38008,% of Net Assets,1.1%,0.2%,0.2%,2350.0,,0.1%,,,,,,,
109,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)(30)",38265,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(4)(30)(33)",38265,40615,38008,40358,1.1%,1.2%,0.2%,2350.0,,0.1%,,,,,,,
110,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.71%)(24)(25)(32)",52250,40615,44678,40358,38113,1.2%,1.1%,2350.0,,0.1%,,,,,,,
111,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.71%)(24)(25)(32)",52250,44678,44678,38113,38113,1.1%,1.1%,2350.0,,0.1%,,,,,,,
