,0,1,2,3,4,5,6,7,8,9,10,11,12,13
62,,MITY Holdings of Delaware Inc.  (17),,Utah / Durable Consumer Products,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 9/19/2019)  (4)",,22968,,22968,,22968,,0.7%
63,,,,,,"Senior Secured Note (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)  (3), (4)",,18250,,18250,,18250,,0.6%
64,,,,,,Common Stock (100 shares),,,,6943,,6943,,0.2%
65,,,,,,,,,,48161,,48161,,1.5%
66,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
67,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
68,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
69,,"Nationwide Acceptance Holdings, LLC  (22), (36)",,Illinois / Consumer Finance,,"Senior Secured Revolving Credit Facility - $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)  (4), (25)",,"$ 21,308",,"$ 21,308",,"$ 21,308",,0.7%
70,,,,,,Membership Units (100 shares),,,,3843,,3843,,0.1%
71,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,1739,,0.1%
72,,,,,,,,,,25151,,26890,,0.9%
73,,"NMMB Holdings, Inc.  (24)",,New York / Media,,"Senior Secured Note (14.00%, due 5/6/2016)",,10714,,10714,,10714,,0.3%
74,,,,,,"Series A Preferred Stock (8,086 shares)",,,,12486,,453,,0.0%
75,,,,,,,,,,23200,,11167,,0.3%
76,,"NPH Property Holdings, LLC  (40)",,Texas / Real Estate,,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,88109,,88109,,88109,,2.7%
77,,,,,,Membership Units (100 shares),,,,18135,,18135,,0.6%
78,,,,,,,,,,106244,,106244,,3.3%
79,,"R-V Industries, Inc.",,Pennsylvania / Manufacturing,,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)  (3), (4)",,32750,,32750,,32750,,1.0%
80,,,,,,"Warrants (200,000 warrants, expiring 6/30/2017)",,,,1682,,6692,,0.2%
81,,,,,,"Common Stock (545,107 shares)",,,,5087,,18238,,0.6%
82,,,,,,,,,,39519,,57680,,1.8%
83,,"UPH Property Holdings, LLC  (41)",,Georgia / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,18855,,18855,,18855,,0.6%
84,,,,,,Membership Units (100 shares),,,,3707,,3707,,0.1%
85,,,,,,,,,,22562,,22562,,0.7%
86,,"Valley Electric Holdings I, Inc.  (35)",,Washington / Construction & Engineering,,"Senior Secured Note (9.00% (LIBOR + 6.00%, with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)  (4)",,35648,,35648,,28163,,0.9%
87,,,,,,"Senior Secured Note (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)  (3),(4)",,10054,,10054,,10054,,0.3%
88,,,,,,"Common Stock (50,000 shares)",,,,9526,,-,,0.0%
89,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,724,,0.0%
90,,,,,,,,,,55228,,38941,,1.2%
91,,"Wolf Energy Holdings,  Inc.  (12), (37)",,Kansas / Oil & Gas Production,,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",,22000,,-,,4043,,0.1%
92,,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status effective 1/19/2010, past due)",,2753,,2000,,-,,0.0%
93,,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status, past due)",,54,,50,,-,,0.0%
94,,,,,,"Coalbed, LLC - Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)  (6)",,8258,,5991,,-,,0.0%
95,,,,,,Common Stock (100 shares),,,,-,,-,,0.0%
96,,,,,,Net Profits Interest (8.00% payable on Equity distributions)  (7),,,,-,,520,,0.0%
97,,,,,,,,,,8041,,4563,,0.1%
98,,,,,,Total Control Investments,,1236286,,1163300,,36.0%,,
99,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
100,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
101,,Affiliate Investments (5.00% to 24.99% voting control)  (43),,,,,,,,,,,,
102,,BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),,Michigan / Healthcare,,"Senior Secured Note (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 12/17/2017)  (3),(4)",,"$ 29,250",,"$ 29,250",,"$ 29,250",,0.9%
103,,,,,,"Preferred Stock Series A (9,925.455 shares)  (13)",,,,2300,,1869,,0.1%
104,,,,,,"Preferred Stock Series B (1,753.64 shares)  (13)",,,,579,,405,,0.0%
105,,,,,,,,,,32129,,31524,,1.0%
106,,Boxercraft Incorporated  (20),,Georgia / Textiles & Leather,,"Senior Secured Term Loan A (10.00% plus 1.00% PIK, due 9/15/2015)",,1621,,1621,,1621,,0.0%
107,,,,,,"Senior Secured Term Loan B (10.00% plus 1.00% PIK, due 9/15/2015)",,4918,,4918,,3990,,0.1%
108,,,,,,"Senior Secured Term Loan C (10.00% plus 1.00% PIK, due 9/15/2015)",,2383,,2383,,-,,0.0%
109,,,,,,"Senior Secured Term Loan (10.00% plus 1.00% PIK, due 9/15/2015)",,8368,,8227,,-,,0.0%
110,,,,,,"Preferred Stock (1,000,000 shares)",,,,-,,-,,0.0%
111,,,,,,"Common Stock (10,000 shares)",,,,-,,-,,0.0%
112,,,,,,"Warrants (1 warrant, expiring 8/31/2022)",,,,-,,-,,0.0%
113,,,,,,,,,,17149,,5611,,0.1%
114,,"Smart, LLC  (14)",,New York / Diversified / Conglomerate Service,,Membership Interest,,,,-,,1745,,0.1%
115,,,,,,,,,,-,,1745,,0.1%
116,,,,,,Total Affiliate Investments,,49278,,38880,,1.2%,,
117,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
118,,"Aderant North America, Inc.",,Georgia / Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)  (4)",,7000,,6907,,7000,,0.2%
119,,,,,,,,,,6907,,7000,,0.2%
120,,"Aircraft Fasteners International, LLC",,California / Machinery,,"Convertible Preferred Stock (32,500 units)",,,,396,,571,,0.0%
121,,,,,,,,,,396,,571,,0.0%
122,,"ALG USA Holdings, LLC",,"Pennsylvania / Hotels, Restaurants & Leisure",,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)  (4)",,12000,,11778,,12000,,0.4%
123,,,,,,,,,,11778,,12000,,0.4%
124,,"Allied Defense Group, Inc.",,Virginia / Aerospace & Defense,,"Common Stock (10,000 shares)",,,,5,,-,,0.0%
125,,,,,,,,,,5,,-,,0.0%
126,,"American Broadband Holding Company and Cameron Holdings of NC, Inc",,North Carolina / Telecommunication Services,,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)  (3), (4)",,75000,,75000,,75000,,2.3%
127,,,,,,,,,,75000,,75000,,2.3%
128,,American Gilsonite Company,,Utah / Specialty Minerals,,"Second Lien Term Loan (11.50%, due 9/1/2017)",,38500,,38500,,38500,,1.2%
129,,"Membership Interest in AGC/PEP, LLC (99.9999%)  (15)",,,,-,,1988,,0.1%,,,,
130,,,,,,,,,,38500,,40488,,1.3%
131,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
132,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
133,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
134,,"Apidos CLO IX, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 20,525",,"$ 18,932",,"$ 20,196",,0.6%
135,,,,,,,,,,18932,,20196,,0.6%
136,,"Apidos CLO XI, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,38340,,35440,,38755,,1.2%
137,,,,,,,,,,35440,,38755,,1.2%
138,,"Apidos CLO XII, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,44063,,42873,,41681,,1.3%
139,,,,,,,,,,42873,,41681,,1.3%
140,,"Apidos CLO XV, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,36515,,37111,,36326,,1.1%
141,,,,,,,,,,37111,,36326,,1.1%
142,,"Arctic Glacier U.S.A, Inc.  (3) ,(4)",,Minnesota / Food Products,,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor), due 11/10/2019)",,150000,,150000,,150000,,4.6%
143,,,,,,,,,,150000,,150000,,4.6%
144,,Armor Holding II LLC  (16),,New York / Diversified Financial Services,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)  (3), (4)",,7000,,6867,,6867,,0.2%
145,,,,,,,,,,6867,,6867,,0.2%
146,,"Atlantis Healthcare Group (Puerto Rico), Inc.  (4)",,Puerto Rico / Healthcare,,"Revolving Line of Credit - $7,000 Commitment (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2014)  (25),(26)",,2000,,2000,,2000,,0.1%
147,,,,,,"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)  (3)",,39155,,39155,,33589,,1.0%
148,,,,,,,,,,41155,,35589,,1.1%
149,,Babson CLO Ltd 2011-I  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35000,,34723,,35978,,1.1%
150,,,,,,,,,,34723,,35978,,1.1%
151,,Babson CLO Ltd 2012-IA  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,29075,,24535,,28339,,0.9%
152,,,,,,,,,,24535,,28339,,0.9%
153,,Babson CLO Ltd 2012-IIA  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,27850,,27963,,28758,,0.9%
154,,,,,,,,,,27963,,28758,,0.9%
155,,"Blue Coat Systems, Inc.  (16)",,Massachusetts / Software & Computer Services,,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)  (3), (4)",,11000,,10896,,11000,,0.3%
156,,,,,,,,,,10896,,11000,,0.3%
157,,"Broder Bros., Co.",,"Pennsylvania / Textiles, Apparel & Luxury Goods",,"Senior Secured Notes (10.75% (LIBOR + 9.00% with 1.75% LIBOR floor), due 6/27/2018)  (3),(4)",,98500,,98500,,98500,,3.0%
158,,,,,,,,,,98500,,98500,,3.0%
159,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
160,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
161,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
162,,Brookside Mill CLO Ltd.  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 26,000",,"$ 23,291",,"$ 25,347",,0.8%
163,,,,,,,,,,23291,,25347,,0.8%
164,,Byrider Systems Acquisition Corp  (22),,Indiana / Auto Finance,,"Senior Subordinated Notes (12.00% plus 2.00% PIK, due 11/3/2016)  (3)",,11027,,11027,,10972,,0.3%
165,,,,,,,,,,11027,,10972,,0.3%
166,,"Caleel + Hayden, LLC  (14), (31)",,Colorado / Personal & Nondurable Consumer,,"Membership Units (13,220 shares)",,,,-,,119,,0.0%
167,,,,Products,,Escrow Receivable,,,,-,,91,,0.0%
168,,,,,,,,,,-,,210,,0.0%
169,,"Capstone Logistics, LLC  (4)",,Georgia / Commercial Services,,"Senior Secured Term Loan A (6.50% (LIBOR + 5.00% with 1.50% LIBOR floor), due 9/16/2016)",,95466,,95466,,95466,,3.0%
170,,,,,,"Senior Secured Term Loan B (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 9/16/2016)  (3)",,100000,,100000,,100000,,3.1%
171,,,,,,,,,,195466,,195466,,6.1%
172,,"Cargo Airport Services USA, LLC",,New York / Transportation,,Common Equity (1.6 units),,,,1639,,1971,,0.1%
173,,,,,,,,,,1639,,1971,,0.1%
174,,Cent CLO 17 Limited  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,24870,,23120,,25977,,0.8%
175,,,,,,,,,,23120,,25977,,0.8%
176,,Cent CLO 20 Limited  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,40275,,39876,,39731,,1.2%
177,,,,,,,,,,39876,,39731,,1.2%
178,,"CIFC Funding 2011-I, Ltd.  (4), (22)",,Cayman Islands / Diversified Financial,,"Secured Class D Notes (5.24% (LIBOR + 5.00%), due 1/19/2023)",,19000,,15165,,18202,,0.6%
179,,,,Services,,"Unsecured Class E Notes (7.24% (LIBOR + 7.00%), due 1/19/2023)",,15400,,12724,,15264,,0.5%
180,,,,,,,,,,27889,,33466,,1.1%
181,,"CIFC Funding 2013-III, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,44100,,42374,,43178,,1.3%
182,,,,,,,,,,42374,,43178,,1.3%
183,,"CIFC Funding 2013-IV, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,45500,,40899,,40497,,1.3%
184,,,,,,,,,,40899,,40497,,1.3%
185,,"Cinedigm DC Holdings, LLC  (4)",,New York / Software & Computer Services,,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)",,69150,,69150,,69150,,2.1%
186,,,,,,,,,,69150,,69150,,2.1%
187,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
188,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
189,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
190,,"The Copernicus Group, Inc.",,North Carolina / Healthcare,,Escrow Receivable,,,,$ -,,$ 134,,0.0%
191,,,,,,,,,,-,,134,,0.0%
192,,"Correctional Healthcare Holding Company, Inc.",,Colorado / Healthcare,,"Second Lien Term Loan (11.25%, due 1/11/2020)  (3)",,"$ 27,100",,27100,,27100,,0.8%
193,,,,,,,,,,27100,,27100,,0.8%
194,,"Coverall North America, Inc.",,Florida / Commercial Services,,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)  (3) ,(4)",,43841,,43841,,43841,,1.4%
195,,,,,,,,,,43841,,43841,,1.4%
196,,Crosman Corporation,,New York / Manufacturing,,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/30/2019)  (4)",,40000,,40000,,40000,,1.2%
197,,,,,,,,,,40000,,40000,,1.2%
198,,"CRT MIDCO, LLC",,Wisconsin / Media,,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)  (3), (4)",,70356,,70356,,70356,,2.2%
199,,,,,,,,,,70356,,70356,,2.2%
200,,"Deltek, Inc.",,Virginia / Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)  (3), (4)",,12000,,11842,,12000,,0.4%
201,,,,,,,,,,11842,,12000,,0.4%
202,,"Diamondback Operating, LP",,Oklahoma / Oil & Gas Production,,Net Profits Interest (15.00% payable on Equity distributions)  (7),,,,-,,-,,0.0%
203,,,,,,,,,,-,,-,,0.0%
204,,"Edmentum, Inc. (f/k/a Archipelago Learning, Inc.)  (4)",,Minnesota / Consumer Services,,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)  (3)",,50000,,48326,,50000,,1.6%
205,,,,,,,,,,48326,,50000,,1.6%
206,,"Empire Today, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Note (11.375%, due 2/1/2017)",,15700,,15374,,15700,,0.5%
207,,,,,,,,,,15374,,15700,,0.5%
208,,EXL Acquisition Corp.,,South Carolina / Biotechnology,,Escrow Receivable,,,,-,,15,,0.0%
209,,,,,,,,,,-,,15,,0.0%
210,,"Fischbein, LLC",,North Carolina / Machinery,,Escrow Receivable,,,,-,,233,,0.0%
211,,,,,,,,,,-,,233,,0.0%
212,,"Focus Brands, Inc.  (4)",,Georgia / Consumer Services,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)",,18000,,17753,,18000,,0.6%
213,,,,,,,,,,17753,,18000,,0.6%
214,,"FPG, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Term Loan (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 1/20/2017)  (4)",,20573,,20573,,20341,,0.6%
215,,,,,,"Common Stock (5,638 shares)",,,,27,,16,,0.0%
216,,,,,,,,,,20600,,20357,,0.6%
217,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
218,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
219,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
220,,"Galaxy XII CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 22,000",,"$ 20,230",,"$ 20,436",,0.6%
221,,,,,,,,,,20230,,20436,,0.6%
222,,"Galaxy XV CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35025,,30880,,32067,,1.0%
223,,,,,,,,,,30880,,32067,,1.0%
224,,"Galaxy XVI CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,22575,,21118,,20410,,0.6%
225,,,,,,,,,,21118,,20410,,0.6%
226,,"Grocery Outlet, Inc.",,California / Retail,,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 6/17/2019)  (4)",,14456,,14146,,14456,,0.5%
227,,,,,,,,,,14146,,14456,,0.5%
228,,"GTP Operations, LLC (f/k/a CI (Transplace) Holdings, LLC)  (4)",,Texas / Software & Computer Services,,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 6/11/2019)  (3), (10)",,114138,,114138,,114138,,3.5%
229,,,,,,,,,,114138,,114138,,3.5%
230,,"Halcyon Loan Advisors Funding 2012-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,23188,,21328,,23749,,0.7%
231,,,,,,,,,,21328,,23749,,0.7%
232,,"Halcyon Loan Advisors Funding 2013-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,40400,,41027,,39773,,1.2%
233,,,,,,,,,,41027,,39773,,1.2%
234,,"Harley Marine Services, Inc.",,Washington/ Transportation,,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)  (4)",,9000,,8820,,8820,,0.3%
235,,,,,,,,,,8820,,8820,,0.3%
236,,"Hoffmaster Group, Inc.  (3), (4)",,Wisconsin / Personal & Nondurable Consumer Products,,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 1/3/2019)",,20000,,19842,,19842,,0.6%
237,,,,,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 1/3/2019)",,1000,,992,,992,,0.0%
238,,,,,,,,,,20834,,20834,,0.6%
239,,"ICON Health & Fitness, Inc.",,Utah / Durable Consumer Products,,"Senior Secured Note (11.875%, due 10/15/2016)  (3)",,43100,,43283,,38790,,1.2%
240,,,,,,,,,,43283,,38790,,1.2%
241,,"IDQ Holdings, Inc.",,Texas / Automobile,,"Senior Secured Note (11.50%, due 4/1/2017)",,12500,,12322,,12500,,0.4%
242,,,,,,,,,,12322,,12500,,0.4%
243,,"ING IM CLO 2012-II, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,38070,,32550,,38832,,1.2%
244,,,,,,,,,,32550,,38832,,1.2%
