,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
62,"Common Stock (10,000 units)(16)",12/10/2018,,,-,,-,,-%,,,,,,,,,,,,
63,,,,,,63375,,30777,,0.9%,,,,,,,,,,,
64,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",3/31/2014,43134,,35101,,14631,,0.4%,,,,,,,,,,
65,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",3/31/2014,53796,,35568,,-,,-%,,,,,,,,,,,,
66,"Common Stock (268,962 shares)(16)",6/15/2016,,,-,,-,,-%,,,,,,,,,,,,
67,,,,,,,70669,,14631,,0.4%,,,,,,,,,,
68,"Valley Electric Company, Inc.(31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",12/31/2012,10430,,10430,,10430,,0.3%,,,,,,,,,,
69,"Senior Secured Note (8.00% plus 10.00% PIK, due 6/23/2024)(46)",6/24/2014,32881,,32881,,32881,,1.0%,,,,,,,,,,,,
70,Consolidated Revenue Interest (2.0%)(38),6/22/2018,,,-,,3095,,0.1%,,,,,,,,,,,,
71,"Common Stock (50,000 shares)",12/31/2012,,,26204,,83115,,2.5%,,,,,,,,,,,,
72,,,,,,,69515,,129521,,3.9%,,,,,,,,,,
73,"Wolf Energy, LLC(32)",Energy Equipment & Services,Membership Interest (100%)(16),7/1/2014,,,-,,-,,-%,,,,,,,,,,
74,"Membership Interest in Wolf Energy Services Company, LLC (100%)(16)",3/14/2017,,,3896,,-,,-%,,,,,,,,,,,,
75,Net Profits Interest (8% of Equity Distributions)(4)(16),4/15/2013,,,-,,14,,-%,,,,,,,,,,,,
76,,,,,,,3896,,14,,-%,,,,,,,,,,
77,Total Control Investments (Level 3),,,2331616,,,2394716,,71.9%,,,,,,,,,,,,
78,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
79,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
80,Affiliate Investments (5.00% to 24.99% voting control)(48),,,,,,,,,,,,,,,,,,,,
81,"Edmentum Ultimate Holdings, LLC(22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00% PIK, due 12/9/2021)(15)(46)",6/9/2015,,7608,,,7608,,,7608.0,,0.2%,,,,,,,
82,"Unsecured Senior PIK Note (8.50% PIK, due 12/9/2021)(46)",6/9/2015,8020,,8020,,8020,,0.2%,,,,,,,,,,,,
83,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 12/9/2021)",6/9/2015,37997,,23829,,18402,,0.6%,,,,,,,,,,,,
84,"Class A Units (370,964 units)(16)",6/9/2015,,,6577,,-,,-%,,,,,,,,,,,,
85,,,,,,46034,,34030,,1.0%,,,,,,,,,,,
86,"Nixon, Inc.(39)","Textiles, Apparel & Luxury Goods",Common Stock (857 units)(16),5/12/2017,,,-,,-,,-%,,,,,,,,,,
87,,,,,,-,,-,,-%,,,,,,,,,,,
88,Targus Cayman HoldCo Limited(33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",5/24/2011,,,7154,,21315,,0.6%,,,,,,,,,,
89,,,,,,7154,,21315,,0.6%,,,,,,,,,,,
90,"United Sporting Companies, Inc.(18)",Distributors,"Second Lien Term Loan (13.49% (LIBOR + 11.00% with 1.75% LIBOR floor) plus 2.00% PIK, in non-accrual status effective 4/1/2017, due 11/16/2019)(13)",9/28/2012,160922,,127091,,35697,,1.1%,,,,,,,,,,
91,"Common Stock (218,941 shares)(16)",5/2/2017,,,-,,-,,-%,,,,,,,,,,,,
92,,,,,,127091,,35697,,1.1%,,,,,,,,,,,
93,Total Affiliate Investments (Level 3),,,180279,,,91042,,2.7%,,,,,,,,,,,,
94,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
95,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
96,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,
97,"8TH Avenue Food & Provisions, Inc.",Food Products,"Second Lien Term Loan (10.24% (LIBOR + 7.75%), due 10/1/2026)(3)(8)(13)",10/10/2018,,25000,,,24823,,,24823.0,,0.7%,,,,,,,
98,,,,,,24823,,24823,,0.7%,,,,,,,,,,,
99,"ACE Cash Express, Inc.",Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",12/15/2017,18000,,17778,,17005,,0.5%,,,,,,,,,,
100,,,,,,17778,,17005,,0.5%,,,,,,,,,,,
101,"AgaMatrix, Inc.",Health Care Equipment & Supplies,"Senior Secured Term Loan (11.61% (LIBOR + 9.00% with 1.25% LIBOR floor), due 9/29/2022)(3)(11)",9/29/2017,34510,,34510,,33260,,1.0%,,,,,,,,,,
102,,,,,,34510,,33260,,1.0%,,,,,,,,,,,
103,Apidos CLO IX,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",7/11/2012,23525,,21,,26,,-%,,,,,,,,,,
104,,,,,,21,,26,,-%,,,,,,,,,,,
105,Apidos CLO XI,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.24%, due 10/17/2028)(5)(14)",1/17/2013,40500,,33471,,27599,,0.8%,,,,,,,,,,
106,,,,,,33471,,27599,,0.8%,,,,,,,,,,,
107,Apidos CLO XII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.94%, due 4/15/2031)(5)(14)",4/18/2013,52203,,35616,,27792,,0.8%,,,,,,,,,,
108,,,,,,35616,,27792,,0.8%,,,,,,,,,,,
109,Apidos CLO XV,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.08%, due 4/21/2031)(5)(14)",10/16/2013,48515,,37036,,27059,,0.8%,,,,,,,,,,
110,,,,,,37036,,27059,,0.8%,,,,,,,,,,,
111,Apidos CLO XXII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 10.49%, due 10/20/2027)(5)(6)(14)",10/14/2015,31350,,28444,,24756,,0.7%,,,,,,,,,,
112,,,,,,28444,,24756,,0.7%,,,,,,,,,,,
113,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,,-,,-,,-%,,,,,,,,,,
114,,,,,,-,,-,,-%,,,,,,,,,,,
115,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit – $6,000 Commitment (11.55% (LIBOR + 8.75% with 2.00% LIBOR floor), due 2/21/2020)(11)(15)",2/21/2013,4000,,4000,,3948,,0.1%,,,,,,,,,,
116,"Senior Term Loan (11.55% (LIBOR + 8.75% with 2.00% LIBOR floor), due 2/21/2020)(3)(11)",2/21/2013,75332,,75332,,74349,,2.2%,,,,,,,,,,,,
117,,,,,,79332,,78297,,2.3%,,,,,,,,,,,
118,"Autodata, Inc./ Autodata Solutions, Inc.(9)",Software,"Second Lien Term Loan (9.75% (LIBOR + 7.25%), due 12/12/2025)(3)(8)(13)",12/14/2017,6000,,5975,,6000,,0.2%,,,,,,,,,,
119,,,,,,5975,,6000,,0.2%,,,,,,,,,,,
120,Barings CLO 2018-III (f/k/a Babson CLO Ltd. 2014-III),Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.42%, due 7/20/2029)(5)(6)(14)",6/14/2018,83098,,50992,,42441,,1.3%,,,,,,,,,,
121,,,,,,50992,,42441,,1.3%,,,,,,,,,,,
122,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods","Senior Secured Note (11.11% (LIBOR + 8.50% with 1.25% LIBOR floor), due 12/02/2022)(3)(11)",12/4/2017,194226,,194226,,194226,,5.8%,,,,,,,,,,
123,,,,,,194226,,194226,,5.8%,,,,,,,,,,,
124,Brookside Mill CLO Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.69%, due 1/17/2028)(5)(14)",5/23/2013,36300,,18690,,13968,,0.4%,,,,,,,,,,
125,,,,,,,18690,,13968,,0.4%,,,,,,,,,,
126,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
127,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
128,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,
129,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.07%, due 10/16/2028)(5)(14)",5/8/2012,,58915,,,41754,,,34054.0,,1.0%,,,,,,,
130,,,,,,,41754,,34054,,1.0%,,,,,,,,,,
131,"Candle-Lite Company, LLC",Household Products,"Senior Secured Term Loan A (8.13% (LIBOR + 5.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12250,,12250,,12189,,0.4%,,,,,,,,,,
132,"Senior Secured Term Loan B (12.13% (LIBOR + 9.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12500,,12500,,12500,,0.4%,,,,,,,,,,,,
133,,,,,,,24750,,24689,,0.8%,,,,,,,,,,
134,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,"Second Lien Term Loan (10.75% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(13)",10/7/2014,101030,,100732,,101030,,3.0%,,,,,,,,,,
135,,,,,,,100732,,101030,,3.0%,,,,,,,,,,
136,Carlyle C17 CLO Limited (f/k/a Cent CLO 17 Limited),Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 21.77%, due 4/30/2031)(5)(14)",5/10/2018,24870,,14423,,12709,,0.4%,,,,,,,,,,
137,,,,,,,14423,,12709,,0.4%,,,,,,,,,,
138,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 22.15%, due 7/15/2030)(5)(6)(14)",6/29/2018,25534,,16941,,18770,,0.6%,,,,,,,,,,
139,,,,,,,16941,,18770,,0.6%,,,,,,,,,,
140,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 16.72%, due 10/20/2029)(5)(6)(14)",9/13/2016,32200,,33708,,28846,,0.9%,,,,,,,,,,
141,,,,,,,33708,,28846,,0.9%,,,,,,,,,,
142,CCPI Inc.(19),"Electronic Equipment, Instruments & Components",Escrow Receivable,2/28/2019,,,-,,2192,,0.1%,,,,,,,,,,
143,,,,,,,-,,2192,,0.1%,,,,,,,,,,
144,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,"Second Lien Term Loan (11.50% (LIBOR + 9.00%), due 10/1/2026)(3)(8)(13)",10/12/2018,35000,,34340,,33688,,1.0%,,,,,,,,,,
145,,,,,,,34340,,33688,,1.0%,,,,,,,,,,
146,Cent CLO 21 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 17.44%, due 7/27/2030)(5)(6)(14)",6/18/2014,49552,,37983,,30930,,0.9%,,,,,,,,,,
147,,,,,,,37983,,30930,,0.9%,,,,,,,,,,
148,Cent CLO 21 Limited,Structured Finance,"Rated Secured Structured Note (11.92% (LIBOR + 8.65%), due 7/27/2030)(6)(11)(14)(37)",7/27/2018,10591,,9999,,10750,,0.3%,,,,,,,,,,
149,,,,,,,9999,,10750,,0.3%,,,,,,,,,,
150,Centerfield Media Holding Company(35),IT Services,"Senior Secured Term Loan A (9.81% (LIBOR + 7.00% with 2.00% LIBOR floor), due 1/17/2022)(3)(11)",1/17/2017,74451,,74451,,74451,,2.2%,,,,,,,,,,
151,"Senior Secured Term Loan B (15.31% (LIBOR + 12.50% with 2.00% LIBOR floor), due 1/17/2022)(11)",1/17/2017,78100,,78100,,78100,,2.4%,,,,,,,,,,,,
152,,,,,,,152551,,152551,,4.6%,,,,,,,,,,
153,"CIFC Funding 2013-III-R, Ltd. (f/k/a CIFC Funding 2013-III, Ltd.)",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 15.38%, due 4/24/2031)(5)(14)",4/5/2018,44100,,29369,,25437,,0.8%,,,,,,,,,,
154,,,,,,,29369,,25437,,0.8%,,,,,,,,,,
155,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
156,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
157,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,
158,"CIFC Funding 2013-IV, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 17.09%, due 4/28/2031)(5)(14)",11/14/2013,,45500,,,32365,,,27655.0,,0.8%,,,,,,,
159,,,,,,,32365,,27655,,0.8%,,,,,,,,,,
160,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.88%, due 10/17/2030)(5)(6)(14)",9/3/2014,44467,,30424,,24138,,0.7%,,,,,,,,,,
161,,,,,,,30424,,24138,,0.7%,,,,,,,,,,
162,"CIFC Funding 2014-V, Ltd.",Structured Finance,"Rated Secured Structured Note (11.31% (LIBOR + 8.50%), due 10/17/2031)(6)(11)(14)(37)",9/27/2018,10250,,9962,,10349,,0.3%,,,,,,,,,,
163,,,,,,,9962,,10349,,0.3%,,,,,,,,,,
164,"CIFC Funding 2016-I, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.50%, due 10/21/2028)(5)(6)(14)",12/21/2016,34000,,31258,,29384,,0.9%,,,,,,,,,,
165,,,,,,,31258,,29384,,0.9%,,,,,,,,,,
166,"Cinedigm DC Holdings, LLC",Entertainment,"Senior Secured Term Loan (11.63% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(46)",2/28/2013,20627,,20577,,20627,,0.6%,,,,,,,,,,
167,,,,,,,20577,,20627,,0.6%,,,,,,,,,,
168,"Class Valuation, LLC (f/k/a Class Appraisal, LLC)",Real Estate Management & Development,"Revolving Line of Credit – $1,500 Commitment (10.86% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/12/2020)(11)(15)",3/12/2018,-,,-,,-,,-%,,,,,,,,,,
169,"Senior Secured Term Loan (10.86% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/10/2023)(3)(11)",3/12/2018,41160,,41160,,41160,,1.2%,,,,,,,,,,,,
170,,,,,,,41160,,41160,,1.2%,,,,,,,,,,
171,Columbia Cent CLO 27 Limited,Structured Finance,"Rated Secured Structured Note (11.12% (LIBOR + 8.29%), due 10/25/2028)(11)(14)(37)",10/25/2018,7450,,7237,,7480,,0.2%,,,,,,,,,,
172,,,,,,,7237,,7480,,0.2%,,,,,,,,,,
173,Columbia Cent CLO 27 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 18.68%, due10/25/2028)(5)(14)",1/15/2014,40275,,22735,,25977,,0.8%,,,,,,,,,,
174,,,,,,,22735,,25977,,0.8%,,,,,,,,,,
175,"Coverall North America, Inc.",Commercial Services & Supplies,"Senior Secured Term Loan A (8.81% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",11/2/2015,11787,,11787,,11787,,0.4%,,,,,,,,,,
176,"Senior Secured Term Loan B (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",11/2/2015,23813,,23813,,23813,,0.7%,,,,,,,,,,,,
177,,,,,,,35600,,35600,,1.1%,,,,,,,,,,
178,CP VI Bella Midco,IT Services,"Second Lien Term Loan (9.25% (LIBOR + 6.75%), due 12/29/2025)(3)(8)(13)",12/28/2017,11500,,11487,,11487,,0.3%,,,,,,,,,,
179,,,,,,,11487,,11487,,0.3%,,,,,,,,,,
180,"Digital Room, LLC",Commercial Services & Supplies,"First Lien Term Loan (7.50% (LIBOR + 5.00% with 1.00% LIBOR floor), due 12/29/2023)(3)(8)(13)",2/9/2018,9875,,9795,,9875,,0.3%,,,,,,,,,,
181,"Second Lien Term Loan (11.25% (LIBOR + 8.75% with 1.00% LIBOR floor), due 12/29/2024)(3)(8)(13)",2/8/2018,57100,,56389,,57100,,1.7%,,,,,,,,,,,,
182,,,,,,66184,,66975,,2.0%,,,,,,,,,,,
183,"Dunn Paper, Inc.",Paper & Forest Products,"Second Lien Term Loan (11.25% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(13)",10/7/2016,11500,,11353,,11353,,0.3%,,,,,,,,,,
184,,,,,,11353,,11353,,0.3%,,,,,,,,,,,
185,"Dynatrace, LLC",Software,"Second Lien Term Loan (9.50% (LIBOR + 7.00%), due 8/23/2026)(3)(8)(13)",8/23/2018,2735,,2728,,2734,,0.1%,,,,,,,,,,
186,,,,,,2728,,2734,,0.1%,,,,,,,,,,,
187,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
188,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
189,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,
190,"Easy Gardener Products, Inc.",Household Durables,"Senior Secured Term Loan (12.81% (LIBOR + 10.00% with 0.25% LIBOR floor), due 09/30/2020)(3)(11)",10/2/2015,,16056,,,16056,,,14765.0,,0.4%,,,,,,,
191,,,,,,16056,,14765,,0.4%,,,,,,,,,,,
192,"Engine Group, Inc.(7)",Media,"Senior Secured Term Loan (7.60% (LIBOR + 5.00% with 1.00% LIBOR floor), due 9/15/2022)(8)(11)",9/25/2017,4391,,4391,,3954,,0.1%,,,,,,,,,,
193,"Second Lien Term Loan (11.60% (LIBOR + 9.00% with 1.00% LIBOR floor), due 9/15/2023)(3)(8)(11)",9/25/2017,35000,,35000,,28407,,0.9%,,,,,,,,,,,,
194,,,,,,39391,,32361,,1.0%,,,,,,,,,,,
195,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals","Second Lien Term Loan (10.31% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(3)(8)(11)",12/5/2017,12500,,12396,,12396,,0.4%,,,,,,,,,,
196,,,,,,12396,,12396,,0.4%,,,,,,,,,,,
