,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
50,,,,,32897,,35813,,1.0%,,,,,,,,,,,,,,
51,"NMMB, Inc.(29)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3442,,0.1%,,,,,,,,,,,,,
52,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,6487,,0.2%,,,,,,,,,,,,,,,
53,"Series A Preferred Stock (7,200 shares)",,,7200,,44,,-%,,,,,,,,,,,,,,,
54,"Series B Preferred Stock (5,669 shares)",,,5669,,34,,-%,,,,,,,,,,,,,,,
55,,,,,23583,,10007,,0.3%,,,,,,,,,,,,,,
56,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(11)(13)",28622,,28622,,28622,,0.8%,,,,,,,,,,,,,
57,"Common Stock (545,107 shares)",,,5087,,6039,,0.2%,,,,,,,,,,,,,,,
58,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,,1682,,2216,,0.1%,,,,,,,,,,,,,,,
59,,,,,35391,,36877,,1.1%,,,,,,,,,,,,,,
60,USES Corp. (31),Texas / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor) plus 2.00% default interest, in non-accrual status effective 4/1/2016, due 3/31/2019)(11)(13)",26300,,26158,,26300,,0.8%,,,,,,,,,,,,,
61,"Senior Secured Term Loan B (13.50% (LIBOR + 12.50% with 1.00% LIBOR floor) plus 2.00% default interest, in non-accrual status effective 4/1/2016, due 3/31/2019)(11)(13)",36000,,35568,,13986,,0.4%,,,,,,,,,,,,,,,
62,"Common Stock (268,962 shares)",,,-,,-,,-%,,,,,,,,,,,,,,,
63,,,,,61726,,40286,,1.2%,,,,,,,,,,,,,,
64,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
65,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
66,Control Investments (greater than 25.00% voting control)(48),,,,,,,,,,,,,,,,,,,,,,
67,"Valley Electric Company, Inc.(32)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(11)(13)(47)",,10430,,,10430,,,10430.0,,0.3%,,,,,,,,,,
68,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(47)",23802,,23802,,20661,,0.6%,,,,,,,,,,,,,,,
69,"Common Stock (50,000 shares)",,,26204,,-,,-%,,,,,,,,,,,,,,,
70,,,,,60436,,31091,,0.9%,,,,,,,,,,,,,,
71,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",38257,,-,,659,,-%,,,,,,,,,,,,,
72,Membership Interest (100%),,,-,,-,,-%,,,,,,,,,,,,,,,
73,Net Profits Interest (8% of Equity Distributions)(4),,,-,,19,,-%,,,,,,,,,,,,,,,
74,,,,,-,,678,,-%,,,,,,,,,,,,,,
75,,,,1768220,,,1752449,,51.0%,,,,,,,,,,,,,,
76,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
77,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
78,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,
79,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",,,,330,,,511,,-%,,,,,,,,,,,
80,,,,,330,,511,,-%,,,,,,,,,,,,,,
81,Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,,,3916,,3900,,0.1%,,,,,,,,,,,,,
82,,,,,3916,,3900,,0.1%,,,,,,,,,,,,,,
83,"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,,,-,,608,,-%,,,,,,,,,,,,,
84,,,,,-,,608,,-%,,,,,,,,,,,,,,
85,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(9)(11)(13)",11771,,11630,,11771,,0.3%,,,,,,,,,,,,,
86,,,,,11630,,11771,,0.3%,,,,,,,,,,,,,,
87,American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (1.93%)(34),,,-,,-,,-%,,,,,,,,,,,,,
88,,,,,-,,-,,-%,,,,,,,,,,,,,,
89,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.98%)(6)(15)",23525,,19997,,19966,,0.6%,,,,,,,,,,,,,
90,,,,,19997,,19966,,0.6%,,,,,,,,,,,,,,
91,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.95%)(6)(15)",38340,,29763,,26057,,0.8%,,,,,,,,,,,,,
92,,,,,29763,,26057,,0.8%,,,,,,,,,,,,,,
93,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.39%)(6)(15)",44063,,34598,,30638,,0.9%,,,,,,,,,,,,,
94,,,,,34598,,30638,,0.9%,,,,,,,,,,,,,,
95,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.72%)(6)(15)",36515,,31479,,25335,,0.7%,,,,,,,,,,,,,
96,,,,,31479,,25335,,0.7%,,,,,,,,,,,,,,
97,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.29%)(6)(7)(15)",31350,,26948,,25369,,0.7%,,,,,,,,,,,,,
98,,,,,26948,,25369,,0.7%,,,,,,,,,,,,,,
99,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(11)(13)",150000,,150000,,145546,,4.2%,,,,,,,,,,,,,
100,,,,,150000,,145546,,4.2%,,,,,,,,,,,,,,
101,"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(11)(14)",21322,,21088,,11779,,0.3%,,,,,,,,,,,,,
102,"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(11)(14)",23981,,23239,,-,,-%,,,,,,,,,,,,,,,
103,,,,,44327,,11779,,0.3%,,,,,,,,,,,,,,
104,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(9)(11)(13)",7000,,6907,,6907,,0.2%,,,,,,,,,,,,,
105,,,,,6907,,6907,,0.2%,,,,,,,,,,,,,,
106,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
107,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
108,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,
109,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(11)(13)(16)",,2350,,,2350,,,2350.0,,0.1%,,,,,,,,,,
110,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(11)(13)",38166,,38166,,38166,,1.1%,,,,,,,,,,,,,,,
111,,,,,40516,,40516,,1.2%,,,,,,,,,,,,,,
112,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.25%)(6)(7)(15)",52250,,44075,,40312,,1.2%,,,,,,,,,,,,,
113,,,,,44075,,40312,,1.2%,,,,,,,,,,,,,,
114,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(11)(14)",120737,,120737,,120737,,3.5%,,,,,,,,,,,,,
115,"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(11)(14)",121475,,121475,,121475,,3.5%,,,,,,,,,,,,,,,
116,,,,,242212,,242212,,7.0%,,,,,,,,,,,,,,
117,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.44%)(6)(15)",26000,,19875,,18990,,0.6%,,,,,,,,,,,,,
118,,,,,19875,,18990,,0.6%,,,,,,,,,,,,,,
119,"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(9)(11)(14)",101828,,101298,,97752,,2.8%,,,,,,,,,,,,,
120,,,,,101298,,97752,,2.8%,,,,,,,,,,,,,,
121,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.64%)(6)(15)",24870,,18839,,16695,,0.5%,,,,,,,,,,,,,
122,,,,,18839,,16695,,0.5%,,,,,,,,,,,,,,
123,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.19%)(6)(15)",40275,,32835,,26501,,0.8%,,,,,,,,,,,,,
124,,,,,32835,,26501,,0.8%,,,,,,,,,,,,,,
125,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.64%)(6)(7)(15)",48528,,38125,,31467,,0.9%,,,,,,,,,,,,,
126,,,,,38125,,31467,,0.9%,,,,,,,,,,,,,,
127,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.72%)(6)(15)",44100,,32338,,29634,,0.9%,,,,,,,,,,,,,
128,,,,,32338,,29634,,0.9%,,,,,,,,,,,,,,
129,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.13%)(6)(15)",45500,,33414,,32752,,0.9%,,,,,,,,,,,,,
130,,,,,33414,,32752,,0.9%,,,,,,,,,,,,,,
131,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 15.05%)(6)(7)(15)",41500,,31729,,30378,,0.9%,,,,,,,,,,,,,
132,,,,,31729,,30378,,0.9%,,,,,,,,,,,,,,
133,"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(13)(47)",65990,,65940,,65990,,1.9%,,,,,,,,,,,,,
134,,,,,65940,,65990,,1.9%,,,,,,,,,,,,,,
135,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
136,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
137,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,
138,"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)(13)",,24250,,,24250,,,24250.0,,0.7%,,,,,,,,,,
139,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)(13)",25000,,25000,,25000,,0.7%,,,,,,,,,,,,,,,
140,,,,,49250,,49250,,1.4%,,,,,,,,,,,,,,
141,Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.16% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(11)(14)(47)",54185,,54185,,53935,,1.6%,,,,,,,,,,,,,
142,"Senior Secured Term Loan B (16.16% (LIBOR + 15.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(11)(14)(47)",41284,,41284,,40458,,1.1%,,,,,,,,,,,,,,,
143,,,,,95469,,94393,,2.7%,,,,,,,,,,,,,,
144,CURO Group Holdings Corp (f/k/a Speedy Cash Holdings Corp.),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)(9)(15)",15000,,15000,,8081,,0.2%,,,,,,,,,,,,,
145,,,,,15000,,8081,,0.2%,,,,,,,,,,,,,,
146,"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.63% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(11)(13)",17369,,17369,,17369,,0.5%,,,,,,,,,,,,,
147,,,,,17369,,17369,,0.5%,,,,,,,,,,,,,,
148,"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(9)",50426,,49988,,49938,,1.4%,,,,,,,,,,,,,
149,,,,,49988,,49938,,1.4%,,,,,,,,,,,,,,
150,"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(11)(13)",23402,,23402,,23402,,0.7%,,,,,,,,,,,,,
151,"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(11)(16)",-,,-,,-,,-%,,,,,,,,,,,,,,,
152,,,,,23402,,23402,,0.7%,,,,,,,,,,,,,,
153,"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(9)(11)(14)",18000,,17876,,18000,,0.5%,,,,,,,,,,,,,
154,,,,,17876,,18000,,0.5%,,,,,,,,,,,,,,
155,"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.19%)(6)(15)",39275,,29037,,30452,,0.9%,,,,,,,,,,,,,
156,,,,,29037,,30452,,0.9%,,,,,,,,,,,,,,
157,"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.22%)(6)(15)",24575,,19195,,18925,,0.5%,,,,,,,,,,,,,
158,,,,,19195,,18925,,0.5%,,,,,,,,,,,,,,
159,"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.77%)(6)(7)(15)",39905,,31077,,29820,,0.9%,,,,,,,,,,,,,
160,,,,,31077,,29820,,0.9%,,,,,,,,,,,,,,
161,"Generation Brands Holdings, Inc.",Illinois / Durable Consumer Products,"Subordinated Secured Term Loan (11.00% (LIBOR + 10.00% with 1.00% LIBOR floor), due 12/10/2022)(9)(11)(13)",19000,,18437,,19000,,0.6%,,,,,,,,,,,,,
162,,,,,18437,,19000,,0.6%,,,,,,,,,,,,,,
163,"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(11)(14)",49312,,49312,,49312,,1.4%,,,,,,,,,,,,,
164,,,,,49312,,49312,,1.4%,,,,,,,,,,,,,,
165,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
166,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
167,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,
168,Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.90%)(6)(15)",,23188,,,18245,,,18140.0,,0.5%,,,,,,,,,,
169,,,,,18245,,18140,,0.5%,,,,,,,,,,,,,,
170,Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.01%)(6)(15)",40400,,31897,,32212,,0.9%,,,,,,,,,,,,,
171,,,,,31897,,32212,,0.9%,,,,,,,,,,,,,,
172,Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.66%)(6)(15)",24500,,18255,,17076,,0.5%,,,,,,,,,,,,,
173,,,,,18255,,17076,,0.5%,,,,,,,,,,,,,,
174,Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.91%)(6)(7)(15)",41164,,30795,,30532,,0.9%,,,,,,,,,,,,,
175,,,,,30795,,30532,,0.9%,,,,,,,,,,,,,,
176,Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.86%)(6)(7)(15)",39598,,36746,,35202,,1.0%,,,,,,,,,,,,,
177,,,,,36746,,35202,,1.0%,,,,,,,,,,,,,,
178,"Harbortouch Payments, LLC",Pennsylvania / Business Services,"Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor) plus 3.00% PIK, due 5/31/2023)(11)(13)(47)",27500,,27500,,27500,,0.8%,,,,,,,,,,,,,
179,Escrow Receivable,,,-,,1602,,-%,,,,,,,,,,,,,,,
180,,,,,27500,,29102,,0.8%,,,,,,,,,,,,,,
181,"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.35%)(6)(7)(15)",19025,,14454,,13005,,0.4%,,,,,,,,,,,,,
182,,,,,14454,,13005,,0.4%,,,,,,,,,,,,,,
183,"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(9)(11)(13)",9000,,8886,,8886,,0.3%,,,,,,,,,,,,,
184,,,,,8886,,8886,,0.3%,,,,,,,,,,,,,,
185,"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(11)(14)",21860,,21860,,21098,,0.6%,,,,,,,,,,,,,
186,,,,,21860,,21098,,0.6%,,,,,,,,,,,,,,
187,"ICV-CAS Holdings, LLC",New York / Transportation,Escrow Receivable,,,-,,6,,-%,,,,,,,,,,,,,
188,,,,,,-,,6,,-%,,,,,,,,,,,,,
189,Inpatient Care Management Company LLC,Florida / Healthcare,"Senior Secured Term Loan (11.50% (LIBOR + 10.50% with 1.00% LIBOR floor), due 6/8/2021(9)(11)(14)",17000,,17000,,17000,,0.5%,,,,,,,,,,,,,
190,,,,,17000,,17000,,0.5%,,,,,,,,,,,,,,
191,"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(11)(13)",122943,,122943,,122943,,3.6%,,,,,,,,,,,,,
192,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 3/28/2019)(3)(11)(13)",158100,,158100,,158100,,4.6%,,,,,,,,,,,,,,,
193,"Senior Secured Term Loan C-1 (12.75% (LIBOR + 11.75% with 1.00% LIBOR floor), due 3/28/2019)(11)(13)",27000,,27000,,27000,,0.8%,,,,,,,,,,,,,,,
194,"Senior Secured Term Loan C-2 (13.50% (LIBOR + 12.50% with 1.00% LIBOR floor), due 3/28/2019)(11)(13)",25000,,25000,,25000,,0.7%,,,,,,,,,,,,,,,
195,,,,,333043,,333043,,9.7%,,,,,,,,,,,,,,
196,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
197,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
198,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,
199,"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(11)(14)",,79538,,,79538,,,79538.0,,2.3%,,,,,,,,,,
200,"Senior Secured Term Loan B (11.25% (LIBOR + 10.50% with 0.75% LIBOR floor), due 8/3/2017)(3)(11)(14)",131125,,131125,,130582,,3.8%,,,,,,,,,,,,,,,
201,,,,,210663,,210120,,6.1%,,,,,,,,,,,,,,
202,JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(9)",2868,,2868,,2868,,0.1%,,,,,,,,,,,,,
203,,,,,2868,,2868,,0.1%,,,,,,,,,,,,,,
