0,1,2,3,4,5,6,7,8,9,10,11
"Senior Term Loan (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 2/21/2020)(3)(10)(11)",79560,"Revolving Line of Credit – $7,000 Commitment (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",79560,83410,79560,83410,2.4%,2.5%,0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.01%, due 1/15/2026)(5)(6)(14)",52250,83410,42101,83410,39001,0,1.2%,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.01%, due 1/15/2026)(5)(6)(14)",52250,42101,42101,39001,39001,1.2%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.05% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(11)",110876,42101,110876,39001,110876,0,3.3%,0,0
"Senior Secured Term Loan B (13.55% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(10)(11)",114901,"Senior Secured Term Loan A (7.05% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(11)",114901,225777,114901,225777,3.4%,6.7%,0,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.29%, due 4/17/2025)(5)(14)",26000,225777,17178,225777,14022,0,0.4%,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.29%, due 4/17/2025)(5)(14)",26000,17178,17178,14022,14022,0.4%,0,0,0
California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 13.82%, due 10/16/2028)(5)(14)",Principal Value,58915,Fair  Value(2),% of Net Assets,40792,0,0,35758.0,1.1%
California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 13.82%, due 10/16/2028)(5)(14)",Principal Value,40792,Fair  Value(2),35758,40792,1.1%,0,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.48% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,40792,101071,35758,98468,0,2.9%,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.48% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,101071,101071,98468,98468,2.9%,0,0,0
"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.61%, due 10/15/2026)(5)(6)(14)",25534,101071,19494,98468,19757,0,0.6%,0,0
"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.61%, due 10/15/2026)(5)(6)(14)",25534,19494,19494,19757,19757,0.6%,0,0,0
"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.04%, due 10/20/2029)(5)(6)(14)",32200,19494,31449,19757,26745,0,0.8%,0,0
"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.04%, due 10/20/2029)(5)(6)(14)",32200,31449,31449,26745,26745,0.8%,0,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.00%, due 1/30/2025)(5)(14)",24870,31449,18100,26745,16708,0,0.5%,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.00%, due 1/30/2025)(5)(14)",24870,18100,18100,16708,16708,0.5%,0,0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.81%, due 1/25/2026)(5)(14)",40275,18100,32105,16708,32148,0,1.0%,0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.81%, due 1/25/2026)(5)(14)",40275,32105,32105,32148,32148,1.0%,0,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.47%, due 7/27/2026)(5)(6)(14)",48528,32105,36659,32148,36178,0,1.1%,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.47%, due 7/27/2026)(5)(6)(14)",48528,36659,36659,36178,36178,1.1%,0,0,0
Centerfield Media Holding Company(35),California / Internet Software and Services,"Senior Secured Term Loan A (8.30% (LIBOR + 7.00% with 1.00% LIBOR floor), due 1/17/2022)(3)(8)(10)(11)",67320,36659,67320,36178,67320,0,2.0%,0,0
"Senior Secured Term Loan B (13.80% (LIBOR + 12.50% with 1.00% LIBOR floor), due 1/17/2022)(8)(10)(11)",68000,"Senior Secured Term Loan A (8.30% (LIBOR + 7.00% with 1.00% LIBOR floor), due 1/17/2022)(3)(8)(10)(11)",68000,135320,68000,135320,2.0%,4.0%,0,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.42%, due 10/24/2025)(5)(14)",44100,135320,31233,135320,30265,0,0.9%,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.42%, due 10/24/2025)(5)(14)",44100,31233,31233,30265,30265,0.9%,0,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.16%, due 11/27/2024)(5)(14)",45500,31233,32859,30265,32708,0,1.0%,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.16%, due 11/27/2024)(5)(14)",45500,32859,32859,32708,32708,1.0%,0,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.85%, due 10/17/2026)(5)(6)(14)",41500,32859,30002,32708,29139,0,0.9%,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.85%, due 10/17/2026)(5)(6)(14)",41500,30002,30002,29139,29139,0.9%,0,0,0
"CIFC Funding 2016-I, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.33%, due 10/21/2028)(5)(6)(14)",34000,30002,31780,29139,29513,0,0.9%,0,0
"CIFC Funding 2016-I, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.33%, due 10/21/2028)(5)(6)(14)",34000,31780,31780,29513,29513,0.9%,0,0,0
"Cinedigm DC Holdings, LLC",New York / Media,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(48)",49156,31780,49106,29513,49156,0,1.5%,0,0
"Cinedigm DC Holdings, LLC",New York / Media,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(48)",49156,49106,49106,49156,49156,1.5%,0,0,0
"Coverall North America, Inc.",Florida / Commercial Services & Supplies,"Senior Secured Term Loan A (7.30% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",Principal Value,22658,Fair  Value(2),% of Net Assets,22658,0,0,22658.0,0.7%
"Senior Secured Term Loan B (12.30% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",24938,"Senior Secured Term Loan A (7.30% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",24938,47596,24938,47596,0.7%,1.4%,0,0,0
CURO Financial Technologies Corp.,Canada / Consumer Finance,"Senior Secured Notes (12.00%, due 3/1/2022)(8)(14)",10000,47596,9831,47596,10000,0,0.3%,0,0
CURO Financial Technologies Corp.,Canada / Consumer Finance,"Senior Secured Notes (12.00%, due 3/1/2022)(8)(14)",10000,9831,9831,10000,10000,0.3%,0,0,0
Digital Room LLC,California / Commercial Services & Supplies,"Second Lien Term Loan (11.23% (LIBOR + 10.00% with 1.00% LIBOR floor), due 5/21/2023)(3)(8)(10)(13)",34000,9831,33389,10000,33389,0,1.0%,0,0
Digital Room LLC,California / Commercial Services & Supplies,"Second Lien Term Loan (11.23% (LIBOR + 10.00% with 1.00% LIBOR floor), due 5/21/2023)(3)(8)(10)(13)",34000,33389,33389,33389,33389,1.0%,0,0,0
"Dunn Paper, Inc.",Georgia / Paper & Forest Products,"Second Lien Term Loan (9.98% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(10)(13)",11500,33389,11295,33389,11500,0,0.3%,0,0
"Dunn Paper, Inc.",Georgia / Paper & Forest Products,"Second Lien Term Loan (9.98% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(10)(13)",11500,11295,11295,11500,11500,0.3%,0,0,0
"Easy Gardener Products, Inc.",Texas / Household Durables,"Senior Secured Term Loan (11.30% (LIBOR + 10.00% with .25% LIBOR floor), due 9/30/2020)(3)(10)(11)",17194,11295,17194,11500,17066,0,0.5%,0,0
"Easy Gardener Products, Inc.",Texas / Household Durables,"Senior Secured Term Loan (11.30% (LIBOR + 10.00% with .25% LIBOR floor), due 9/30/2020)(3)(10)(11)",17194,17194,17194,17066,17066,0.5%,0,0,0
"EZShield Parent, Inc.",Maryland / Internet Software & Services,"Senior Secured Term Loan A (7.98% (LIBOR + 6.75% with 1.00% LIBOR floor), due 2/26/2021)(3)(10)(13)",14963,17194,14963,17066,14963,0,0.4%,0,0
"Senior Secured Term Loan B (12.98% (LIBOR + 11.75% with 1.00% LIBOR floor), due 2/26/2021)(3)(10)(13)",15000,"Senior Secured Term Loan A (7.98% (LIBOR + 6.75% with 1.00% LIBOR floor), due 2/26/2021)(3)(10)(13)",15000,29963,15000,29963,0.5%,0.9%,0,0,0
"Fleetwash, Inc.",New Jersey / Commercial Services & Supplies,"Senior Secured Term Loan B (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 4/30/2022)(3)(10)(11)",21544,29963,21544,29963,21544,0,0.6%,0,0
"Delayed Draw Term Loan – $15,000 Commitment (9.80% (LIBOR + 8.50% with 1.00% LIBOR floor)expires 4/30/2022)(10)(11)(15)",-,"Senior Secured Term Loan B (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 4/30/2022)(3)(10)(11)",-,21544,-,21544,-%,0.6%,0,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.14%, due 4/15/2025)(5)(14)",50525,21544,33887,21544,33794,0,1.0%,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.14%, due 4/15/2025)(5)(14)",50525,33887,33887,33794,33794,1.0%,0,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.71%, due 11/16/2025)(5)(14)",24575,33887,17854,33794,16611,0,0.5%,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.71%, due 11/16/2025)(5)(14)",24575,17854,17854,16611,16611,0.5%,0,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.14%, due 7/15/2026)(5)(6)(14)",39905,17854,29502,16611,26833,0,0.8%,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.14%, due 7/15/2026)(5)(6)(14)",39905,29502,29502,26833,26833,0.8%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Professional Services,"Senior Secured Term Loan (10.48% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(10)(13)",48131,29502,48131,26833,48131,0,1.4%,0,0
"Global Employment Solutions, Inc.",Colorado / Professional Services,"Senior Secured Term Loan (10.48% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(10)(13)",48131,48131,48131,48131,48131,1.4%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",23188,48131,5086,48131,5086,0,0.2%,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",23188,5086,5086,5086,5086,0.2%,0,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.76%, due 4/15/2025)(5)(14)",40400,5086,26949,5086,23937,0,0.7%,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.76%, due 4/15/2025)(5)(14)",40400,26949,26949,23937,23937,0.7%,0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.70%, due 4/18/2026)(5)(14)",Principal Value,24500,Fair  Value(2),% of Net Assets,15982,0,0,15984.0,0.5%
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.70%, due 4/18/2026)(5)(14)",Principal Value,15982,Fair  Value(2),15984,15982,0.5%,0,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.39%, due 4/28/2025)(5)(6)(14)",41164,15982,27617,15984,27869,0,0.8%,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.39%, due 4/28/2025)(5)(6)(14)",41164,27617,27617,27869,27869,0.8%,0,0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.09%, due 10/18/2027)(5)(6)(14)",39598,27617,34205,27869,34938,0,1.0%,0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.09%, due 10/18/2027)(5)(6)(14)",39598,34205,34205,34938,34938,1.0%,0,0,0
"Harbortouch Payments, LLC",Pennsylvania / Commercial Services & Supplies,Escrow Receivable,39598,-,34205,864,34938,-%,0,0,0
"Harbortouch Payments, LLC",Pennsylvania / Commercial Services & Supplies,Escrow Receivable,39598,-,34205,864,34938,-%,0,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.25%, due 11/18/2026)(5)(6)(14)",19025,-,14955,864,14047,0,0.4%,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.25%, due 11/18/2026)(5)(6)(14)",19025,14955,14955,14047,14047,0.4%,0,0,0
"Harley Marine Services, Inc.",Washington / Marine,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,14955,8919,14047,8800,0,0.3%,0,0
"Harley Marine Services, Inc.",Washington / Marine,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,8919,8919,8800,8800,0.3%,0,0,0
"Inpatient Care Management Company, LLC",Florida / Health Care Providers & Services,"Senior Secured Term Loan (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/8/2021(3)(10)(11)",25467,8919,25467,8800,25467,0,0.8%,0,0
"Inpatient Care Management Company, LLC",Florida / Health Care Providers & Services,"Senior Secured Term Loan (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/8/2021(3)(10)(11)",25467,25467,25467,25467,25467,0.8%,0,0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.80% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",120948,25467,120948,25467,120948,0,3.6%,0,0
"Senior Secured Term Loan C-2 (13.80% (LIBOR + 12.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",25000,"Senior Secured Term Loan A (5.80% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",25000,331048,25000,331048,0.8%,9.9%,0,0,0
"InterDent, Inc.",California / Health Care Providers & Services,"Senior Secured Term Loan A (6.73% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(10)(13)",78656,331048,78656,331048,78656,0,2.3%,0,0
"Senior Secured Term Loan B (11.73% (LIBOR + 10.50% with 0.75% LIBOR floor), due 8/3/2017)(3)(10)(13)",131125,"Senior Secured Term Loan A (6.73% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(10)(13)",131125,209781,129857,208513,3.9%,6.2%,0,0,0
JD Power and Associates,California / Capital Markets,"Second Lien Term Loan (9.80% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(3)(8)(10)(11)",15000,209781,14796,208513,15000,0,0.4%,0,0
JD Power and Associates,California / Capital Markets,"Second Lien Term Loan (9.80% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(3)(8)(10)(11)",15000,14796,14796,15000,15000,0.4%,0,0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.45%, due 7/20/2027)(5)(6)(14)",19500,14796,16501,15000,13507,0,0.4%,0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.45%, due 7/20/2027)(5)(6)(14)",19500,16501,16501,13507,13507,0.4%,0,0,0
"K&N Parent, Inc.",California / Auto Components,"Second Lien Term Loan (9.98% (LIBOR + 8.75% with 1.00% LIBOR floor), due 10/20/2024)(3)(8)(10)(13)",13000,16501,12762,13507,13000,0,0.4%,0,0
