,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
19,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,,-,,,-,,43892,,12351,,0.4%,(16),,,,,,,,,
20,,,,,,,,,,43892,,12351,,0.4%,,,,,,,,,,,
21,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,7.05% (1ML+ 5.05%),2.00,,9/5/2020,14249,,14249,,14249,,0.5%,(10)(45),,,,,,,,,
22,Senior Secured Term Loan A,8/3/2012,6.25% (1ML+ 5.50%),0.75,,9/5/2020,79242,,79242,,79242,,2.6%,(10)(45),,,,,,,,,,,
23,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,,9/5/2020,128443,,128443,,128443,,4.2%,(45),,,,,,,,,,,
24,Senior Secured Term Loan C,3/22/2018,18.00% PIK,-,,9/5/2020,48929,,35767,,8823,,0.3%,(9),,,,,,,,,,,
25,Senior Secured Term Loan D,9/19/2018,1.00% PIK,-,,9/5/2020,9458,,9351,,-,,-%,(9),,,,,,,,,,,
26,"Common Stock (99,900 shares)",5/3/2019,,-,,,-,,1,,-,,-%,(16),,,,,,,,,,,
27,,,,,,,,,267053,,230757,,7.6%,,,,,,,,,,,,
28,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,,-,,,-,,2378,,3286,,0.1%,(16),,,,,,,,,
29,,,,,,,,,,2378,,3286,,0.1%,,,,,,,,,,,
30,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
31,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
32,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
33,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,,4/30/2025,,26250,,,26250,,,26250,,0.9%,(10),,,,,,
34,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,,4/30/2025,33008,,33008,,25655,,0.8%,(10)(45),,,,,,,,,,,
35,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,,1/1/2028,7200,,6350,,-,,-%,(14),,,,,,,,,,,
36,"Common Stock (42,053 shares)",9/19/2013,,-,,,-,,6849,,-,,-%,(16),,,,,,,,,,,
37,,,,,,,,,,72457,,51905,,1.7%,,,,,,,,,,,
38,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,,12/31/2023,302633,,302633,,302633,,9.9%,(10)(45),,,,,,,,,
39,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,,12/31/2023,45950,,45950,,45950,,1.5%,(10)(45),,,,,,,,,,,
40,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,,12/31/2023,79200,,79200,,79200,,2.6%,(10)(45),,,,,,,,,,,
41,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,,12/31/2023,183425,,183425,,183425,,6.0%,(10)(45),,,,,,,,,,,
42,Residual Profit Interest,12/31/2018,,-,,,-,,-,,21461,,0.7%,(37),,,,,,,,,,,
43,"Common Stock (3,254,594 shares)",12/31/2013,,-,,,-,,210,,246064,,8.1%,,,,,,,,,,,,
44,,,,,,,,,,611418,,878733,,28.8%,,,,,,,,,,,
45,Nationwide Loan Company LLC (27),Consumer Finance,Senior Subordinated Term Loan to Nationwide Acceptance LLC,6/18/2014,10.00% plus 10.00% PIK,-,,6/18/2021,20087,,20087,,20087,,0.6%,(14)(45),,,,,,,,,
46,"Class A Units (38,550,460 units)",1/31/2013,,-,,,-,,20462,,17151,,0.6%,(14)(16),,,,,,,,,,,
47,,,,,,,,,,40549,,37238,,1.2%,,,,,,,,,,,
48,"NMMB, Inc. (28)",Media,"Delayed Draw Term Loan - $10,000 Commitment",3/25/2020,10.50% (3ML+ 8.50%),2.00,,12/30/2024,-,,-,,-,,-%,(10)(15),,,,,,,,,
49,Senior Secured Note,12/30/2019,10.50% (3ML+ 8.50%),2.00,,12/30/2024,5025,,5025,,5025,,0.2%,(3)(10),,,,,,,,,,,
50,"Common Stock (21,419 shares)",12/30/2019,,-,,,-,,12869,,28643,,0.9%,,,,,,,,,,,,
51,,,,,,,,,,17894,,33668,,1.1%,,,,,,,,,,,
52,Pacific World Corporation (39),Personal Products,"Revolving Line of Credit - $26,000 Commitment",9/26/2014,8.25% (1ML+ 7.25%),1.00,,9/26/2020,20825,,20825,,20825,,0.7%,(10)(15),,,,,,,,,
53,Senior Secured Term Loan A,12/31/2014,6.25% PIK (1ML+ 5.25%),1.00,,9/26/2020,39082,,39082,,39082,,1.3%,(10)(45),,,,,,,,,,,
54,"Convertible Preferred Equity (247,330 shares)",6/15/2018,,-,,,-,,186795,,-,,-%,(16),,,,,,,,,,,
55,"Common Stock (6,778,414 shares)",9/29/2017,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
56,,,,,,,,,,246702,,59907,,2.0%,,,,,,,,,,,
57,"R-V Industries, Inc.",Machinery,Senior Subordinated Note,6/12/2013,10.00% (3ML+ 9.00%),1.00,,3/31/2022,28622,,28622,,28622,,0.9%,(3)(10),,,,,,,,,
58,"Common Stock (745,107 shares)",6/26/2007,,-,,,-,,6867,,9943,,0.3%,(16),,,,,,,,,,,
59,,,,,,,,,,35489,,38565,,1.2%,,,,,,,,,,,
60,"Universal Turbine Parts, LLC (34)",Trading Companies & Distributors,"Delayed Draw Term Loan - $5,000 Commitment",2/28/2019,10.25% (1ML+ 7.75%),2.50,,7/22/2021,2887,,2887,,2887,,0.1%,(10)(15),,,,,,,,,
61,Senior Secured Term Loan A,7/22/2016,6.75% (3ML+ 5.75%),1.00,,7/22/2021,30063,,30063,,23712,,0.8%,(10),,,,,,,,,,,
62,Senior Secured Term Loan B,7/22/2016,12.75% PIK (3ML+ 11.75%),1.00,,7/22/2021,42941,,32500,,-,,-%,(9)(10),,,,,,,,,,,
63,"Common Stock (10,000 units)",12/10/2018,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
64,,,,,,,,,,65450,,26599,,0.9%,,,,,,,,,,,
65,USES Corp. (30),Commercial Services & Supplies,Senior Secured Term Loan A,3/31/2014,9.00% PIK,-,,7/29/2022,50327,,30651,,17325,,0.6%,(9),,,,,,,,,
66,Senior Secured Term Loan B,3/31/2014,15.50% PIK,-,,7/29/2022,66283,,35568,,-,,-%,(9),,,,,,,,,,,
67,"Common Stock (268,962 shares)",6/15/2016,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
68,,,,,,,,,,66219,,17325,,0.6%,,,,,,,,,,,
69,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
70,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
71,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
72,"Valley Electric Company, Inc. (31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc.",12/31/2012,8.00% (3ML+ 5.00%) plus 2.50% PIK,3.00,,12/31/2024,,10430,,,10430,,,10430.0,,0.3%,(3)(10)(45),,,,,,
73,Senior Secured Note,6/24/2014,8.00% plus 10.00% PIK,-,,6/23/2024,33301,,33301,,33301,,1.1%,(45),,,,,,,,,,,
74,Consolidated Revenue Interest (2.0%),6/22/2018,,-,,,-,,-,,2448,,0.1%,(12),,,,,,,,,,,
75,"Common Stock (50,000 shares)",12/31/2012,,-,,,-,,25143,,83117,,2.7%,,,,,,,,,,,,
76,,,,,,,,,,68874,,129296,,4.2%,,,,,,,,,,,
77,Total Control Investments (Level 3),,,2286725,,,2259292,,73.9%,,,,,,,,,,,,,,,,
78,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
79,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
80,Affiliate Investments (5.00% to 24.99% voting control)(47),,,,,,,,,,,,,,,,,,,,,,,,
81,"Edmentum Ultimate Holdings, LLC (22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. - $7,834 Commitment",6/9/2015,5.00% PIK,-,,12/9/2021,,8539,,,9986,,,8539,,0.2%,(15)(45),,,,,,
82,Unsecured Senior PIK Note,6/9/2015,8.50% PIK,-,,12/9/2021,8920,,8920,,8920,,0.3%,(45),,,,,,,,,,,
83,Unsecured Junior PIK Note,6/9/2015,10.00% PIK,-,,12/9/2021,43048,,28665,,42159,,1.4%,(45),,,,,,,,,,,
84,"Class A Units (370,964 units)",6/9/2015,,-,,,-,,6577,,-,,-%,(16),,,,,,,,,,,
85,,,,,,,,,,54148,,59618,,1.9%,,,,,,,,,,,
86,"Nixon, Inc. (38)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,,-,,,-,,-,,-,,-%,(16),,,,,,,,,
87,,,,,,,,,,-,,-,,-%,,,,,,,,,,,
88,"PGX Holdings, Inc.",Diversified Consumer Services,1.5 Lien Term Loan,5/27/2020,11.50% PIK (3ML+ 10.50%),1.00,,3/29/2024,1981,,1981,,1981,,0.1%,(10)(45),,,,,,,,,
89,Second Lien Term Loan,9/29/2014,15.75% PIK (1ML+ 14.75%),1.00,,9/29/2024,104550,,104550,,98873,,3.2%,(10)(45),,,,,,,,,,,
90,"Common Stock (28,961,715 shares)",5/27/2020,,-,,,-,,-,,5857,,0.2%,(16),,,,,,,,,,,
91,,,,,,,,,,106531,,106711,,3.5%,,,,,,,,,,,
92,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,,-,,,-,,2805,,21208,,0.7%,(16),,,,,,,,,
93,,,,,,,,,,2805,,21208,,0.7%,,,,,,,,,,,
94,Total Affiliate Investments (Level 3),,,163484,,,187537,,6.1%,,,,,,,,,,,,,,,,
95,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
96,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
97,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
98,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.93% (1ML+ 7.75%),-,,10/1/2026,,25000,,,24853,,,25000,,0.8,%,(3)(8)(10),,,,,
99,,,,,,,,,,24853,,25000,,0.8,%,,,,,,,,,,
100,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,,12/15/2022,30000,,28806,,24338,,0.8,%,(8)(14),,,,,,,,
101,,,,,,,,,,28806,,24338,,0.8,%,,,,,,,,,,
102,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (3ML+ 8.50%),1.50,,11/8/2025,70000,,70000,,70000,,2.3,%,(3)(10),,,,,,,,
103,,,,,,,,,,70000,,70000,,2.3,%,,,,,,,,,,
104,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (3ML+ 8.50%),1.00,,3/18/2028,10000,,9806,,9806,,0.3,%,(8)(10),,,,,,,,
105,,,,,,,,,,9806,,9806,,0.3,%,,,,,,,,,,
106,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 8.74%",-,,10/17/2030,40500,,32650,,25211,,0.8,%,(5)(14),,,,,,,,
107,,,,,,,,,,32650,,25211,,0.8,%,,,,,,,,,,
108,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.25%",-,,4/15/2031,52202,,38099,,29275,,1.0,%,(5)(14),,,,,,,,
109,,,,,,,,,,38099,,29275,,1.0,%,,,,,,,,,,
110,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 12.38%",-,,4/21/2031,48515,,39270,,27793,,0.9,%,(5)(14),,,,,,,,
111,,,,,,,,,,39270,,27793,,0.9,%,,,,,,,,,,
112,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 15.58%",-,,4/21/2031,35855,,30035,,24192,,0.8,%,(5)(14),,,,,,,,
113,,,,,,,,,,30035,,24192,,0.8,%,,,,,,,,,,
114,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,-,,,-,,-,,-,,-,%,,,,,,,,,
115,,,,,,,,,,-,,-,,-,%,,,,,,,,,,
116,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit - $3,000 Commitment",2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,-,,-,,-,,-,%,(10)(15),,,,,,,,
117,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,71409,,71409,,71409,,2.3,%,(3)(10),,,,,,,,,,
118,,,,,,,,,,71409,,71409,,2.3,%,,,,,,,,,,
119,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 3.93%",-,,7/20/2029,83098,,48464,,30106,,1.0,%,(5)(14),,,,,,,,
120,,,,,,,,,,48464,,30106,,1.0,%,,,,,,,,,,
121,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,,12/2/2022,166307,,166307,,164656,,5.4,%,(3)(10),,,,,,,,
122,,,,,,,,,,166307,,164656,,5.4,%,,,,,,,,,,
123,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,,1/17/2028,36300,,17033,,11920,,0.4,%,(5)(14)(17),,,,,,,,
124,,,,,,,,,,17033,,11920,,0.4,%,,,,,,,,,,
125,California Street CLO IX Ltd.,Structured Finance,Subordinated Structured Note,4/19/2012,"Residual Interest, current yield 6.69%",-,,7/16/2032,58915,,40994,,27579,,0.9,%,(5)(14),,,,,,,,
126,,,,,,,,,,40994,,27579,,0.9,%,,,,,,,,,,
127,"Candle-Lite Company, LLC",Household Products,Senior Secured Term Loan A,1/23/2018,6.75% (3ML+ 5.50%),1.25,,1/23/2023,11937,,11937,,11937,,0.4,%,(3)(10),,,,,,,,
128,Senior Secured Term Loan B,1/23/2018,10.75% (3ML+ 9.50%),1.25,,1/23/2023,12500,,12500,,12425,,0.4,%,(3)(10),,,,,,,,,,
129,,,,,,,,,,24437,,24362,,0.8,%,,,,,,,,,,
130,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,Second Lien Term Loan,10/7/2014,9.32% (6ML+ 8.25%),1.00,,10/7/2022,98982,,98790,,98982,,3.2,%,(3)(8)(10),,,,,,,,
131,,,,,,,,,,98790,,98982,,3.2,%,,,,,,,,,,
132,Carlyle C17 CLO Limited,Structured Finance,Subordinated Structured Note,1/24/2013,"Residual Interest, current yield 20.31%",-,,4/30/2031,24870,,15391,,13009,,0.4,%,(5)(14),,,,,,,,
133,,,,,,,,,,15391,,13009,,0.4,%,,,,,,,,,,
134,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
135,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
136,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
137,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,Subordinated Structured Note,4/7/2017,"Residual Interest, current yield 17.05%",-,,7/15/2030,,25534,,,18656.0,,,15534,,0.5,%,(5)(14),,,,,
138,,,,,,,,,,18656,,15534,,0.5,%,,,,,,,,,,
139,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,Subordinated Structured Note,8/9/2016,"Residual Interest, current yield 12.42%",-,,10/22/2029,32200,,33536,,25358.0,,0.8,%,(5)(14),,,,,,,,
140,,,,,,,,,,33536,,25358,,0.8,%,,,,,,,,,,
141,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,First Lien Term Loan,5/23/2019,6.57% (6ML+ 5.50%),-,,10/1/2025,6010,,5929,,5929.0,,0.2,%,(3)(8)(10),,,,,,,,
142,First Lien Term Loan,5/23/2019,6.26% (3ML+ 5.50%),-,,10/1/2025,3615,,3566,,3566,,0.1,%,(3)(8)(10),,,,,,,,,,
143,Second Lien Term Loan,10/12/2018,9.76% (3ML+ 9.00%),-,,10/1/2026,37000,,36443,,36443,,1.2,%,(3)(8)(10),,,,,,,,,,
144,,,,,,,,,,45938,,45938,,1.5,%,,,,,,,,,,
145,Cent CLO 21 Limited,Structured Finance,Subordinated Structured Note,5/15/2014,"Residual Interest, current yield 7.80%",-,,7/29/2030,49552,,38806,,26006.0,,0.9,%,(5)(14),,,,,,,,
146,,,,,,,,,,38806,,26006,,0.9,%,,,,,,,,,,
147,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,Subordinated Structured Note,8/2/2013,"Residual Interest, current yield 10.23%",-,,4/24/2031,44100,,29717,,21373.0,,0.7,%,(5)(14),,,,,,,,
148,,,,,,,,,,29717,,21373,,0.7,%,,,,,,,,,,
149,"CIFC Funding 2013-IV, Ltd.",Structured Finance,Subordinated Structured Note,10/22/2013,"Residual Interest, current yield 13.44%",-,,4/28/2031,45500,,33090,,27518.0,,0.9,%,(5)(14),,,,,,,,
150,,,,,,,,,,33090,,27518,,0.9,%,,,,,,,,,,
151,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,Subordinated Structured Note,8/5/2014,"Residual Interest, current yield 9.49%",-,,10/17/2030,44467,,31238,,22711.0,,0.7,%,(5)(14),,,,,,,,
152,,,,,,,,,,31238,,22711,,0.7,%,,,,,,,,,,
153,"CIFC Funding 2016-I, Ltd.",Structured Finance,Subordinated Structured Note,12/9/2016,"Residual Interest, current yield 9.57%",-,,10/21/2031,34000,,30096,,26209.0,,0.9,%,(5)(14),,,,,,,,
154,,,,,,,,,,30096,,26209,,0.9,%,,,,,,,,,,
155,"Cinedigm DC Holdings, LLC",Entertainment,Senior Secured Term Loan,2/28/2013,11.00% (3ML+ 9.00%) plus 2.50% PIK,2.00,,3/31/2021,12107,,12057,,12107.0,,0.4,%,(10)(45),,,,,,,,
156,,,,,,,,,,12057,,12107,,0.4,%,,,,,,,,,,
157,"Class Valuation, LLC",Real Estate Management & Development,Senior Secured Term Loan,3/12/2018,9.75% (3ML+ 8.25%),1.50,,3/10/2023,31747,,31747,,31747.0,,1.0,%,(3)(10),,,,,,,,
158,,,,,,,,,,31747,,31747,,1.0,%,,,,,,,,,,
159,"Collections Acquisition Company, Inc.",Diversified Financial Services,Senior Secured Term Loan,12/3/2019,10.15% (3ML+ 7.65%),2.50,,6/3/2024,30165,,30165,,30165.0,,1.0,%,(3)(10),,,,,,,,
160,,,,,,,,,,30165,,30165,,1.0,%,,,,,,,,,,
161,Columbia Cent CLO 27 Limited,Structured Finance,Subordinated Structured Note,12/18/2013,"Residual Interest, current yield 7.78%",-,,10/25/2028,40275,,23099,,18356.0,,0.6,%,(5)(14),,,,,,,,
162,,,,,,,,,,23099,,18356,,0.6,%,,,,,,,,,,
163,"Coverall North America, Inc.",Commercial Services & Supplies,Senior Secured Term Loan A,11/2/2015,7.00% (3ML+ 6.00%),1.00,,5/3/2021,2622,,2622,,2622.0,,0.1,%,(3)(10),,,,,,,,
164,Senior Secured Term Loan B,11/2/2015,12.00% (3ML+ 11.00%),1.00,,5/3/2021,22750,,22750,,22750,,0.7,%,(3)(10),,,,,,,,,,
165,,,,,,,,,,25372,,25372,,0.8,%,,,,,,,,,,
166,CP VI Bella Midco,IT Services,Second Lien Term Loan,2/26/2018,6.93% (1ML+ 6.75%),-,,12/29/2025,15750,,15711,,15750.0,,0.5,%,(3)(8)(10),,,,,,,,
167,,,,,,,,,,15711,,15750,,0.5,%,,,,,,,,,,
168,"Digital Room, LLC",Commercial Services & Supplies,First Lien Term Loan,5/29/2019,6.07% (6ML+ 5.00%),-,,5/21/2026,9900,,9785,,9359.0,,0.3,%,(3)(8)(10),,,,,,,,
169,Second Lien Term Loan,5/30/2019,10.07% (6ML+ 9.00%),-,,5/21/2027,70000,,70000,,66761,,2.2,%,(3)(8)(10),,,,,,,,,,
170,,,,,,,,,,79785,,76120,,2.5,%,,,,,,,,,,
171,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
172,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
173,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
174,"Dunn Paper, Inc.",Paper & Forest Products,First Lien Term Loan,11/27/2019,5.75% (1ML+ 4.75%),1.00,,8/26/2022,,4488,,,4393,,,4393,,0.1,%,(3)(8)(10),,,,,
175,Second Lien Term Loan,10/7/2016,9.75% (1ML+ 8.75%),1.00,,8/26/2023,11500,,11395,,11395,,0.4,%,(3)(8)(10),,,,,,,,,,
176,,,,,,,,,,15788,,15788,,0.5,%,,,,,,,,,,
177,"Easy Gardener Products, Inc.",Household Durables,Third Lien Term Loan,6/11/2020,10.31% (3ML+ 10.00%),0.25,,9/30/2024,3990,,3990,,3990,,0.2,%,(10),,,,,,,,
178,"Class A Units of EZG Holdings, LLC (200 units)",6/11/2020,,-,,,-,,313,,781,,-,%,(16),,,,,,,,,,
179,"Class B Units of EZG Holdings, LLC (12,525 units)",6/11/2020,,-,,,-,,1688,,3072,,0.1,%,(16),,,,,,,,,,
180,,,,,,,,,,5991,,7843,,0.3,%,,,,,,,,,,
181,EDSCO Holding Company LLC,Machinery,Senior Secured Term Loan,1/10/2020,7.50% (1ML+ 6.00%),1.50,,1/10/2025,19875,,19875,,19875,,0.7,%,(3)(10),,,,,,,,
182,,,,,,,,,,19875,,19875,,0.7,%,,,,,,,,,,
183,"Engine Group, Inc. (7)",Media,Senior Secured Term Loan,9/25/2017,6.00% (1ML+ 5.00%),1.00,,9/15/2022,4220,,4220,,3760,,0.1,%,(8)(9)(10),,,,,,,,
184,Second Lien Term Loan,9/25/2017,10.00% (1ML+ 9.00%),1.00,,9/15/2023,35000,,35000,,2754,,0.1,%,(8)(9)(10),,,,,,,,,,
185,,,,,,,,,,39220,,6514,,0.2,%,,,,,,,,,,
186,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals",Second Lien Term Loan,12/5/2017,8.94% (3ML+ 7.50%),1.00,,12/1/2025,12500,,12415,,12318,,0.4,%,(3)(8)(10),,,,,,,,
187,,,,,,,,,,12415,,12318,,0.4,%,,,,,,,,,,
188,"Galaxy XV CLO, Ltd.",Structured Finance,Subordinated Structured Note,2/13/2013,"Residual Interest, current yield 11.47%",-,,10/15/2030,50525,,35451,,24637,,0.8,%,(5)(14),,,,,,,,
189,,,,,,,,,,35451,,24637,,0.8,%,,,,,,,,,,
190,"Galaxy XXVII CLO, Ltd.",Structured Finance,Subordinated Structured Note,9/30/2013,"Residual Interest, current yield 10.18%",-,,5/16/2031,24575,,16647,,11093,,0.4,%,(5)(14),,,,,,,,
191,,,,,,,,,,16647,,11093,,0.4,%,,,,,,,,,,
192,"Galaxy XXVIII CLO, Ltd.",Structured Finance,Subordinated Structured Note,5/30/2014,"Residual Interest, current yield 9.89%",-,,7/15/2031,39905,,28584,,16973,,0.6,%,(5)(14),,,,,,,,
193,,,,,,,,,,28584,,16973,,0.6,%,,,,,,,,,,
194,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit - $3,621 Commitment",12/12/2019,7.88% (1ML+ 6.25%),1.63,,10/25/2024,769,,769,,767,,-,%,(10)(15),,,,,,,,
195,First Lien Term Loan,12/12/2019,7.88% (1ML+ 6.25%),1.63,,10/25/2024,31223,,31068,,31124,,1.0,%,(3)(10),,,,,,,,,,
196,,,,,,,,,,31837,,31891,,1.0,%,,,,,,,,,,
