,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
42,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",17410,,17410,,17410,,0.5%,,,,,,,,
43,"Class A Units (32,456,159 units)(14)(16)",-,,21962,,13580,,0.4%,,,,,,,,,,
44,,,,,,39372,,30990,,0.9%,,,,,,,,
45,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,,3714,,3714,,0.1%,,,,,,,,
46,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6900,,6900,,6900,,0.2%,,,,,,,,,,
47,"Series A Preferred Stock (7,200 shares)(16)",-,,7200,,5503,,0.2%,,,,,,,,,,
48,"Series B Preferred Stock (5,669 shares)(16)",-,,5669,,4332,,0.1%,,,,,,,,,,
49,,,,,,23483,,20449,,0.6%,,,,,,,,
50,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (11.31% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",28622,,28622,,28622,,0.8%,,,,,,,,
51,"Common Stock (745,107 shares)(16)",-,,6866,,2403,,0.1%,,,,,,,,,,
52,,,,,,35488,,31025,,0.9%,,,,,,,,
53,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,,-,,1011,,-%,,,,,,,,
54,Common Stock (100 shares)(16),-,,-,,-,,-%,,,,,,,,,,
55,,,,,,-,,1011,,-%,,,,,,,,
56,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",36127,,31601,,9672,,0.3%,,,,,,,,
57,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",46019,,35568,,-,,-%,,,,,,,,,,
58,"Common Stock (268,962 shares)(16)",-,,-,,-,,-%,,,,,,,,,,
59,,,,,,67169,,9672,,0.3%,,,,,,,,
60,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",10430,,10430,,10430,,0.3%,,,,,,,,
61,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2024)(46)",27292,,27292,,27292,,0.8%,,,,,,,,,,
62,"Common Stock (50,000 shares)(16)",-,,26204,,4740,,0.2%,,,,,,,,,,
63,,,,,,63926,,42462,,1.3%,,,,,,,,
64,"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),-,,-,,-,,-%,,,,,,,,
65,"Membership Interest in Wolf Energy Services Company, LLC (100%)(16)",-,,3871,,537,,-%,,,,,,,,,,
66,Net Profits Interest (8% of Equity Distributions)(4)(16),-,,-,,11,,-%,,,,,,,,,,
67,,,,,,3871,,548,,-%,,,,,,,,
68,Total Control Investments (Level 3),,,1857698,,,1986984,,59.4%,,,,,,,,,
69,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
70,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
71,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,
72,Ability Network Inc.,Minnesota / Health Care Technology,"Second Lien Term Loan (9.54%. (LIBOR + 7.75% with 0.00% LIBOR floor), due 12/13/2025)(8)(13)",,15000,,,14928,,,15300.0,,0.5%,,,,,
73,,,,,14928,,15300,,0.5%,,,,,,,,,
74,"ACE Cash Express, Inc.",Texas / Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",20000,,19717,,22400,,0.7%,,,,,,,,
75,,,,,19717,,22400,,0.7%,,,,,,,,,
76,"AgaMatrix, Inc.",New Hampshire / Healthcare Equipment and Supplies,"Senior Secured Term Loan (11.06% (LIBOR + 8.75% with 1.25% LIBOR floor), due 9/29/2022)(3)(11)",31250,,31250,,31250,,0.9%,,,,,,,,
77,,,,,31250,,31250,,0.9%,,,,,,,,,
78,American Gilsonite Company(34),Utah / Chemicals,"Membership Interest (0.05%, 131 shares)(16)",-,,-,,-,,-%,,,,,,,,
79,,,,,-,,-,,-%,,,,,,,,,
80,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,,21,,74,,-%,,,,,,,,
81,,,,,21,,74,,-%,,,,,,,,,
82,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.54%, due 10/17/2028)(5)(14)",40500,,31872,,25091,,0.8%,,,,,,,,
83,,,,,31872,,25091,,0.8%,,,,,,,,,
84,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.49%, due 4/15/2031)(5)(14)",52203,,33708,,26824,,0.8%,,,,,,,,
85,,,,,33708,,26824,,0.8%,,,,,,,,,
86,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.56%, due 4/20/2031)(5)(14)",48515,,35161,,27452,,0.8%,,,,,,,,
87,,,,,35161,,27452,,0.8%,,,,,,,,,
88,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.40%, due 10/20/2027)(5)(6)(14)",31350,,27638,,25150,,0.8%,,,,,,,,
89,,,,,27638,,25150,,0.8%,,,,,,,,,
90,"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (14.50% (LIBOR + 13.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(13)",25595,,1145,,787,,-%,,,,,,,,
91,,,,,1145,,787,,-%,,,,,,,,,
92,Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (11.30% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(11)",7000,,6943,,7000,,0.2%,,,,,,,,
93,,,,,6943,,7000,,0.2%,,,,,,,,,
94,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (10.19% (LIBOR + 8.50% with 1.50% LIBOR floor), due 8/21/2019)(11)(15)",7000,,7000,,6934,,0.2%,,,,,,,,
95,"Senior Term Loan (10.19% (LIBOR + 8.50% with 1.50% LIBOR floor), due 2/21/2020)(3)(11)",78949,,78949,,78200,,2.3%,,,,,,,,,,
96,,,,,85949,,85134,,2.5%,,,,,,,,,
97,"ATS Consolidated, Inc.","Arizona / Electronic Equipment, Instruments & Components","Second Lien Term Loan (9.40% (LIBOR + 7.75%, due 2/27/2026)(8)(13)",15000,,14851,,14866,,0.4%,,,,,,,,
98,,,,,14851,,14866,,0.4%,,,,,,,,,
99,"Autodata, Inc./ Autodata Solutions, Inc.(9)",Canada / Software,"Second Lien Term Loan (9.01% (LIBOR + 7.25% with 1.00% LIBOR floor), due 12/14/2025)(8)(13)",6000,,5971,,5971,,0.2%,,,,,,,,
100,,,,,5971,,5971,,0.2%,,,,,,,,,
101,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
102,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
103,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,
104,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.43%, due 1/15/2026)(5)(6)(14)",,52250,,,40709,,,34638.0,,1.0%,,,,,
105,,,,,40709,,34638,,1.0%,,,,,,,,,
106,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Note (10.31% (LIBOR + 8.00% with 1.25% LIBOR floor), due 12/02/2022)(3)(11)",455400,,455400,,455400,,13.6%,,,,,,,,
107,,,,,455400,,455400,,13.6%,,,,,,,,,
108,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.50%, due 1/18/2028)(5)(14)",36300,,18873,,13613,,0.4%,,,,,,,,
109,,,,,18873,,13613,,0.4%,,,,,,,,,
110,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 14.21%, due 10/16/2028)(5)(14)",58915,,41236,,36145,,1.1%,,,,,,,,
111,,,,,41236,,36145,,1.1%,,,,,,,,,
112,"Candle-Lite Company, LLC",Ohio / Household & Personal Products,"Senior Secured Term Loan A (7.48% (LIBOR + 5.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",12500,,12500,,12500,,0.4%,,,,,,,,
113,"Senior Secured Term Loan B (11.48% (LIBOR + 9.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",12500,,12500,,12500,,0.4%,,,,,,,,,,
114,,,,,25000,,25000,,0.8%,,,,,,,,,
115,"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (10.13% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(13)",101517,,101135,,99329,,3.0%,,,,,,,,
116,,,,,101135,,99329,,3.0%,,,,,,,,,
117,"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.22%, due 10/15/2026)(5)(6)(14)",25534,,20031,,19340,,0.6%,,,,,,,,
118,,,,,20031,,19340,,0.6%,,,,,,,,,
119,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.87%, due 10/20/2029)(5)(6)(14)",32200,,32146,,29102,,0.9%,,,,,,,,
120,,,,,32146,,29102,,0.9%,,,,,,,,,
121,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 1/30/2025)(5)(14)(17)",24870,,17644,,15445,,0.5%,,,,,,,,
122,,,,,17644,,15445,,0.5%,,,,,,,,,
123,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.78%, due 1/25/2026)(5)(14)",40275,,31811,,28471,,0.9%,,,,,,,,
124,,,,,31811,,28471,,0.9%,,,,,,,,,
125,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.00%, due 7/27/2026)(5)(6)(14)",48528,,36585,,34166,,1.0%,,,,,,,,
126,,,,,36585,,34166,,1.0%,,,,,,,,,
127,Centerfield Media Holding Company(35),California / Internet Software and Services,"Senior Secured Term Loan A (8.69% (LIBOR + 7.00% with 1.00% LIBOR floor), due 1/17/2022)(3)(8)(11)",66640,,66640,,66640,,2.0%,,,,,,,,
128,"Senior Secured Term Loan B (14.19% (LIBOR + 12.50% with 1.00% LIBOR floor), due 1/17/2022)(8)(11)",68000,,68000,,68000,,2.0%,,,,,,,,,,
129,,,,,134640,,134640,,4.0%,,,,,,,,,
130,"CIFC Funding 2013-III-R, Ltd. (f/k/a CIFC Funding 2013-III, Ltd.)",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.89%, due 4/24/2031)(5)(14)",44100,,29946,,25853,,0.8%,,,,,,,,
131,,,,,29946,,25853,,0.8%,,,,,,,,,
132,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
133,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
134,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,
135,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.34%, due 11/27/2024)(5)(14)",,45500,,,31530,,,28084.0,,0.8%,,,,,
136,,,,,31530,,28084,,0.8%,,,,,,,,,
137,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 7.39%, due 10/17/2026)(5)(6)(14)",41500,,28832,,23982,,0.7%,,,,,,,,
138,,,,,28832,,23982,,0.7%,,,,,,,,,
139,"CIFC Funding 2016-I, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 12.61%, due 10/21/2028)(5)(6)(14)",34000,,31268,,28106,,0.8%,,,,,,,,
140,,,,,31268,,28106,,0.8%,,,,,,,,,
141,"Cinedigm DC Holdings, LLC",New York / Media,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(46)",39710,,39660,,39710,,1.2%,,,,,,,,
142,,,,,39660,,39710,,1.2%,,,,,,,,,
143,"Class Appraisal, LLC",Michigan / Real Estate Management & Development,"Revolving Line of Credit – $1,500 Commitment (5%, due 3/12/2020)(11)(15)",-,,-,,-,,-%,,,,,,,,
144,"Senior Secured Term Loan (10.56% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/10/2023)(11)",42000,,42000,,42000,,1.3%,,,,,,,,,,
145,,,,,42000,,42000,,1.3%,,,,,,,,,
146,"Coverall North America, Inc.",Florida / Commercial Services & Supplies,"Senior Secured Term Loan A (7.69% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",21720,,21720,,21720,,0.7%,,,,,,,,
147,"Senior Secured Term Loan B (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",24875,,24875,,24875,,0.8%,,,,,,,,,,
148,,,,,46595,,46595,,1.5%,,,,,,,,,
149,CP VI Bella Midco,Pennsylvania / IT Services,"Second Lien Term Loan (8.63% (LIBOR + 6.75%, due 12/29/2025)(8)(13)",2000,,1990,,1990,,0.1%,,,,,,,,
150,,,,,1990,,1990,,0.1%,,,,,,,,,
151,CURO Financial Technologies Corp.,Canada / Consumer Finance,"Senior Secured Notes (12.00%, due 3/1/2022)(8)(14)",10896,,10833,,10896,,0.3%,,,,,,,,
152,,,,,10833,,10896,,0.3%,,,,,,,,,
153,"Digital Room, LLC",California / Commercial Services & Supplies,"First Lien Term Loan (6.88% (LIBOR + 5.00% with 1.00% LIBOR floor), due 12/29/2023)(8)(13)",9975,,9878,,9878,,0.3%,,,,,,,,
154,"Second Lien Term Loan (10.63% (LIBOR + 8.75% with 1.00% LIBOR floor), due 12/29/2024)(3)(8)(13)",57100,,56264,,56264,,1.7%,,,,,,,,,,
155,,,,,66142,,66142,,2.0%,,,,,,,,,
156,"Dunn Paper, Inc.",Georgia / Paper & Forest Products,"Second Lien Term Loan (10.63% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(13)",11500,,11320,,11500,,0.3%,,,,,,,,
157,,,,,11320,,11500,,0.3%,,,,,,,,,
158,"Easy Gardener Products, Inc.",Texas / Household Durables,"Senior Secured Term Loan (11.69% (LIBOR + 10.00% with 0.25% LIBOR floor), due 09/30/2020)(3)(11)",17106,,17106,,16155,,0.5%,,,,,,,,
159,,,,,17106,,16155,,0.5%,,,,,,,,,
160,"Engine Group, Inc.(7)",California / Media,"Senior Secured Term Loan (7.05% (LIBOR + 4.75% with 1.00% LIBOR floor), due 9/15/2022)(8)(11)",4875,,4875,,4875,,0.2%,,,,,,,,
161,"Second Lien Term Loan (11.05% (LIBOR + 8.75% with 1.00% LIBOR floor), due 9/15/2023)(3)(8)(11)",35000,,35000,,35000,,1.0%,,,,,,,,,,
162,,,,,39875,,39875,,1.2%,,,,,,,,,
163,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
164,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
165,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,
166,EXC Holdings III Corp.,"Massachusetts / Technology Hardware, Storage & Peripherals","Second Lien Term Loan (9.71% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(8)(10)",,12500,,,12380,,,12500.0,,0.4%,,,,,
167,,,,,12380,,12500,,0.4%,,,,,,,,,
168,"Fleetwash, Inc.",New Jersey / Commercial Services & Supplies,"Senior Secured Term Loan B (10.69% (LIBOR + 9.00% with 1.00% LIBOR floor), due 4/30/2022)(3)(11)",21544,,21544,,21544,,0.6%,,,,,,,,
169,"Delayed Draw Term Loan – $15,000 Commitment (9.84% (LIBOR + 8.00% with 1.00% LIBOR floor), expires 4/30/2022)(11)(15)",-,,-,,-,,-%,,,,,,,,,,
170,,,,,21544,,21544,,0.6%,,,,,,,,,
171,"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.81%, due 10/15/2030)(5)(14)",50525,,34430,,30734,,0.9%,,,,,,,,
172,,,,,34430,,30734,,0.9%,,,,,,,,,
173,"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 4.64%, due 11/16/2025)(5)(14)",24575,,16933,,13965,,0.4%,,,,,,,,
174,,,,,16933,,13965,,0.4%,,,,,,,,,
175,"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.40%, due 7/15/2026)(5)(6)(14)",39905,,27977,,22618,,0.7%,,,,,,,,
176,,,,,27977,,22618,,0.7%,,,,,,,,,
177,Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",23188,,3955,,4680,,0.1%,,,,,,,,
178,,,,,3955,,4680,,0.1%,,,,,,,,,
179,Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",40400,,23045,,16134,,0.5%,,,,,,,,
180,,,,,23045,,16134,,0.5%,,,,,,,,,
181,Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.03%, due 4/18/2026)(5)(14)",24500,,14476,,12075,,0.4%,,,,,,,,
182,,,,,14476,,12075,,0.4%,,,,,,,,,
183,Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.31%, due 4/28/2025)(5)(6)(14)",41164,,25092,,19801,,0.6%,,,,,,,,
184,,,,,25092,,19801,,0.6%,,,,,,,,,
185,Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.19%, due 10/18/2027)(5)(6)(14)",39598,,34934,,32959,,1.0%,,,,,,,,
186,,,,,34934,,32959,,1.0%,,,,,,,,,
187,"Harbortouch Payments, LLC",Pennsylvania / Commercial Services & Supplies,Escrow Receivable,-,,-,,900,,-%,,,,,,,,
188,,,,,-,,900,,-%,,,,,,,,,
189,"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.59%, due 11/18/2026)(5)(6)(14)",19025,,15549,,13823,,0.4%,,,,,,,,
190,,,,,15549,,13823,,0.4%,,,,,,,,,
191,"Harley Marine Services, Inc.",Washington / Marine,"Second Lien Term Loan (12.00% (LIBOR + 10.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(11)",9000,,8943,,8879,,0.3%,,,,,,,,
192,,,,,8943,,8879,,0.3%,,,,,,,,,
193,"Ingenio, LLC",California / Internet Software and Services,"Senior Secured Term Loan (9.50% (LIBOR + 7.50% with 1.25% LIBOR floor), due 9/26/2022)(3)(8)(11)",10000,,10000,,10000,,0.3%,,,,,,,,
194,,,,,10000,,10000,,0.3%,,,,,,,,,
195,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
196,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
197,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,
198,"Inpatient Care Management Company, LLC",Florida / Health Care Providers & Services,"Senior Secured Term Loan (9.69% (LIBOR + 8.00% with 1.00% LIBOR floor), due 6/8/2021)(3)(11)",,24657,,,24657,,,24657.0,,0.7%,,,,,
199,,,,,24657,,24657,,0.7%,,,,,,,,,
200,"InterDent, Inc.",California / Health Care Providers & Services,"Senior Secured Term Loan A (7.39% (LIBOR + 5.50% with 0.75% LIBOR floor), due 12/31/2017, past due)(13)",77994,,77994,,77950,,2.3%,,,,,,,,
201,"Senior Secured Term Loan B (12.39% (LIBOR + 10.50% with 0.75% LIBOR floor), due 12/31/2017, past due)(13)",131125,,131125,,128039,,3.8%,,,,,,,,,,
202,"Senior Secured Term Loan C (18.00% PIK, due on demand)(46)",3012,,3012,,2560,,0.1%,,,,,,,,,,
203,"Warrants (to purchase 4,900 shares of Common Stock, expires 3/22/2030)",-,,-,,-,,-%,,,,,,,,,,
204,,,,,212131,,208549,,6.2%,,,,,,,,,
205,"Janus International Group, LLC",Georgia / Building Products,"Second Lien Term Loan (9.49% (LIBOR + 7.75% with 1.00% LIBOR floor), due 2/12/2026)(13)",10000,,9902,,10000,,0.3%,,,,,,,,
206,,,,,9902,,10000,,0.3%,,,,,,,,,
207,JD Power and Associates,California / Capital Markets,"Second Lien Term Loan (10.38% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(3)(8)(13)",20000,,19792,,20000,,0.6%,,,,,,,,
208,,,,,19792,,20000,,0.6%,,,,,,,,,
209,Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.70%, due 7/20/2027)(5)(6)(14)",19500,,16286,,12489,,0.4%,,,,,,,,
210,,,,,16286,,12489,,0.4%,,,,,,,,,
211,"K&N Parent, Inc.",California / Auto Components,"Second Lien Term Loan (10.63% (LIBOR + 8.75% with 1.00% LIBOR floor), due 10/21/2024)(3)(8)(13)",13000,,12786,,12948,,0.4%,,,,,,,,
