0,1,2,3,4,5,6,7,8,9,10,11
"Class A Shares (30,192,535 shares)(22)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(22)",14794,31490,16016,32712,0.5%,1.0%,0,0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,31490,3714,32712,3714,0,0.1%,0,0
"Series B Preferred Stock (5,669 shares)",7000,"Senior Secured Note (14.00%, due 5/6/2016)",5669,23583,-,13495,-%,0.4%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(20)",29237,23583,29237,13495,29237,0,0.9%,0,0
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(20)",1682,36006,1581,35127,-%,1.0%,0,0,0
United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",Principal Value,67252,Fair  Value(2),% of Net Assets,67252,0,0,67252.0,2.0%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",-,81106,10698,92402,0.3%,2.7%,0,0,0
"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(20)",10430,81106,10430,92402,10430,0,0.3%,0,0
"Common Stock (50,000 shares)",23251,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(20)",26204,59885,4897,38578,0.1%,1.1%,0,0,0
"Wolf Energy, LLC(37)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",35050,59885,-,38578,854,0,-%,0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",-,-,19,873,-%,-%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,-,Fair  Value(2),% of Net Assets,361,0,0,549.0,-%
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,361,Fair  Value(2),549,361,-%,0,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable(27),-,361,5880,549,3970,0,0.1%,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable(27),-,5880,5880,3970,3970,0.1%,0,0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable(42),-,5880,1264,3970,2259,0,0.1%,0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable(42),-,1264,1264,2259,2259,0.1%,0,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)(20)",11771,1264,11611,2259,11771,0,0.3%,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)(20)",11771,11611,11611,11771,11771,0.3%,0,0,0
American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (99.9999%)(15),-,11611,-,11771,-,0,-%,0,0
American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (99.9999%)(15),-,-,-,-,-,-%,0,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.17%)(11)(12)(22)",23525,-,20400,-,20618,0,0.6%,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.17%)(11)(12)(22)",23525,20400,20400,20618,20618,0.6%,0,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.58%)(11)(12)(22)",38340,20400,30547,20618,27324,0,0.8%,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.58%)(11)(12)(22)",38340,30547,30547,27324,27324,0.8%,0,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.83%)(11)(12)(22)",44063,30547,36216,27324,32126,0,0.9%,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.83%)(11)(12)(22)",44063,36216,36216,32126,32126,0.9%,0,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.86%)(11)(12)(22)",36515,36216,32554,32126,26304,0,0.8%,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.86%)(11)(12)(22)",36515,32554,32554,26304,26304,0.8%,0,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.02%)(11)(12)(22)(48)",31350,32554,27440,26304,24338,0,0.7%,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.02%)(11)(12)(22)(48)",31350,27440,27440,24338,24338,0.7%,0,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(20)",150000,27440,150000,24338,146373,0,4.3%,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(20)",150000,150000,150000,146373,146373,4.3%,0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(3)(4)(21)",Principal Value,21463,Fair  Value(2),% of Net Assets,21463,0,0,15468.0,0.5%
"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(3)(4)(21)",23391,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(3)(4)(21)",23391,44854,10044,25512,0.3%,0.8%,0,0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)(20)",7000,44854,6897,25512,6869,0,0.2%,0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)(20)",7000,6897,6897,6869,6869,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(20)(25)",2350,6897,2350,6869,2350,0,0.1%,0,0
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)(20)",38364,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(20)(25)",38364,40714,38136,40486,1.1%,1.2%,0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.90%)(11)(12)(22)(48)",52250,40714,45695,40486,41377,0,1.2%,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.90%)(11)(12)(22)(48)",52250,45695,45695,41377,41377,1.2%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(4)(21)",122212,45695,122212,41377,122212,0,3.6%,0,0
"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(4)(21)",122458,"Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(4)(21)",122458,244670,122458,244670,3.6%,7.2%,0,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.64%)(11)(12)(22)",26000,244670,20620,244670,20596,0,0.6%,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.64%)(11)(12)(22)",26000,20620,20620,20596,20596,0.6%,0,0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,20620,266,20596,-%,0,0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,20620,266,20596,-%,0,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)(16)(21)",102500,-,101928,266,98743,0,2.9%,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)(16)(21)",102500,101928,101928,98743,98743,2.9%,0,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.10%)(11)(12)(22)",24870,101928,19561,98743,18240,0,0.5%,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.10%)(11)(12)(22)",24870,19561,19561,18240,18240,0.5%,0,0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.98%)(11)(12)(22)",Principal Value,40275,Fair  Value(2),% of Net Assets,34219,0,0,28675.0,0.8%
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.98%)(11)(12)(22)",Principal Value,34219,Fair  Value(2),28675,34219,0.8%,0,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.91%)(11)(12)(22)(48)",48528,34219,40592,28675,36245,0,1.1%,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.91%)(11)(12)(22)(48)",48528,40592,40592,36245,36245,1.1%,0,0,0
"CIFC Funding 2011-I, Ltd.",Cayman Islands / Structured Finance,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)(9)(22)(20)",19000,40592,15797,36245,17703,0,0.5%,0,0
"Class E Subordinated Notes (7.32% (LIBOR + 7.00%, due 1/19/2023)(4)(9)(22)(20)",15400,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)(9)(22)(20)",13142,28939,13897,31600,0.4%,0.9%,0,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.94%)(11)(12)(22)",44100,28939,33696,31600,29800,0,0.9%,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.94%)(11)(12)(22)",44100,33696,33696,29800,29800,0.9%,0,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.72%)(11)(12)(22)",45500,33696,34608,29800,33242,0,1.0%,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.72%)(11)(12)(22)",45500,34608,34608,33242,33242,1.0%,0,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.37%)(11)(12)(22)(48)",41500,34608,33081,33242,30264,0,0.9%,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.37%)(11)(12)(22)(48)",41500,33081,33081,30264,30264,0.9%,0,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)(6)(20)",66965,33081,66915,30264,66965,0,2.0%,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)(6)(20)",66965,66915,66915,66965,66965,2.0%,0,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(4)",24750,66915,24750,66965,24750,0,0.7%,0,0
"Senior Secured Term Loan B(12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(4)",25000,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(4)",25000,49750,25000,49750,0.7%,1.4%,0,0,0
Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.13% (LIBOR + 8.70% with 0.39% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(21)",Principal Value,53235,Fair  Value(2),% of Net Assets,53235,0,0,53235.0,1.6%
"Senior Secured Term Loan B (16.13% (LIBOR + 15.70% with 0.39% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(4)(6)(21)",40560,"Senior Secured Term Loan A (9.13% (LIBOR + 8.70% with 0.39% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(21)",40560,93795,38910,92145,1.1%,2.7%,0,0,0
"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.61% (LIBOR + 10.00% with 0.25% LIBOR floor), due 09/30/2020)(3)",17456,93795,17456,92145,17456,0,0.5%,0,0
"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.61% (LIBOR + 10.00% with 0.25% LIBOR floor), due 09/30/2020)(3)",17456,17456,17456,17456,17456,0.5%,0,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,17456,15573,17456,14813,0,0.4%,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,15573,15573,14813,14813,0.4%,0,0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(4)(20)",24446,15573,24446,14813,23816,0,0.7%,0,0
"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(25)",New Jersey / Business Services,-,24446,24446,24446,23816,23816,0.7%,0,0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)(21)",18000,24446,17848,23816,18000,0,0.5%,0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)(21)",18000,17848,17848,18000,18000,0.5%,0,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.04%)(11)(12)(22)",39275,17848,29703,18000,28831,0,0.8%,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.04%)(11)(12)(22)",39275,29703,29703,28831,28831,0.8%,0,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.86%)(11)(12)(22)",24575,29703,19763,28831,17885,0,0.5%,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.86%)(11)(12)(22)",24575,19763,19763,17885,17885,0.5%,0,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.11%)(11)(12)(22)(48)",39905,19763,32104,17885,28571,0,0.8%,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.11%)(11)(12)(22)(48)",39905,32104,32104,28571,28571,0.8%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)(21)",49442,32104,49442,28571,49442,0,1.4%,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)(21)",49442,49442,49442,49442,49442,1.4%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.90%)(11)(12)(22)",Principal Value,23188,Fair  Value(2),% of Net Assets,19097.0,0,0,21150.0,0.6%
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.90%)(11)(12)(22)",Principal Value,19097,Fair  Value(2),21150,19097.0,0.6%,0,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.59%)(11)(12)(22)",40400,19097,33466,21150,34394.0,0,1.0%,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.59%)(11)(12)(22)",40400,33466,33466,34394,34394.0,1.0%,0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.63%)(11)(12)(22)",24500,33466,19723,34394,18826.0,0,0.5%,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.63%)(11)(12)(22)",24500,19723,19723,18826,18826.0,0.5%,0,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.49%)(11)(12)(22)(48)",41164,19723,32877,18826,31761.0,0,0.9%,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.49%)(11)(12)(22)(48)",41164,32877,32877,31761,31761.0,0.9%,0,0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.54%)(11)(12)(22)(48)",39598,32877,38786,31761,37099.0,0,1.1%,0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.54%)(11)(12)(22)(48)",39598,38786,38786,37099,37099.0,1.1%,0,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.63%)(11)(12)(22)(48)",19025,38786,14542,37099,13129.0,0,0.4%,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.63%)(11)(12)(22)(48)",19025,14542,14542,13129,13129.0,0.4%,0,0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)(20)",9000,14542,8869,13129,8869.0,0,0.3%,0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)(20)",9000,8869,8869,8869,8869.0,0.3%,0,0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)(20)",22331,8869,22331,8869,21897.0,0,0.6%,0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)(20)",22331,22331,22331,21897,21897.0,0.6%,0,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",10100,22331,10096,21897,9271.0,0,0.3%,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",10100,10096,10096,9271,9271.0,0.3%,0,0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),-,10096,1639,9271,2219.0,0,0.1%,0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),-,1639,1639,2219,2219.0,0.1%,0,0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)(20)",Principal Value,115933,Fair  Value(2),% of Net Assets,115933,0,0,115085.0,3.4%
"Delayed Draw Term Loan – $16,000 Commitment (expires 5/29/2016)(25)",27000,-,27000,293033,27000,292185,0.8%,8.6%,0,0,0
