,0,1,2,3,4,5,6,7,8,9,10,11,12
56,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,1716,,0.1%,
57,,,,,,,,,25151,,25151,,1.0%
58,"NMMB Holdings, Inc.  (24)",New York / Media,,"Senior Term Loan (14.00%, due 5/6/2016)",,16000.0,,16000,,14506,,0.6%,
59,,,,,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",,2800,,2800,,-,,0.0%
60,,,,,"Series A Preferred Stock (4,400 shares)",,,,4400,,-,,0.0%
61,,,,,,,,,23200,,14506,,0.6%
62,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
63,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
64,Control Investments (25.00% or greater of voting control),,,,,,,,,,,,
65,"R-V Industries, Inc.",,Pennsylvania / Manufacturing,,"Senior Subordinated Note (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor,) due 5/30/2018)  (4)",,"$ 9,500",,"$ 9,500",,"$ 9,500",,0.4%
66,,,,,"Warrants (200,000 warrants, expiring 6/30/2017)",,,,1682,,6916,,0.3%
67,,,,,"Common Stock (545,107 shares)",,,,5087,,18850,,0.7%
68,,,,,,,,,16269,,35266,,1.4%
69,"The Healing Staff, Inc.  (9)",,North Carolina / Contracting,,"Secured Promissory Notes (15.00%, in non-accrual status effective 12/22/2010, due 3/21/2012 – 4/10/2013)",,1688,,"$ 1,686",,-,,0.0%
70,,,,,"Senior Demand Note (15.00%, in non-accrual status effective 11/1/2010, past due)",,1170,,1170,,-,,0.0%
71,,,,,"Common Stock (1,000 shares)",,,,975,,-,,0.0%
72,,,,,,,,,3831,,-,,0.0%
73,"Valley Electric Co. of Mt. Vernon, Inc.  (35)",,Washington / Construction & Engineering,,"Senior Secured Note (9.00% (LIBOR + 6.00%, with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)  (4)",,33305,,33305,,33305,,1.3%
74,,,,"Senior Secured Note (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)  (4)",,10013.0,,10013.0,,10013.0,,0.4%,
75,,,,,"Common Stock (50,000 Shares)",,,,9526,,8358,,0.3%
76,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,1168,,0.0%
77,,,,,,,,,52844,,52844,,2.0%
78,"Wolf Energy Holdings, Inc.  (12)",,Kansas / Oil & Gas Production,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status effective 1/19/2010, due 6/21/2013)",,2590,,2000,,202,,0.0%
79,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status due 5/28/2013)",,50,,50,,4,,0.0%
80,,,,,"Coalbed, LLC - Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, due 6/21/2013)  (6)",,7773,,5991,,605,,0.0%
81,,,,,Common Stock (100 Shares),,,,-,,-,,0.0%
82,,,,,,,,,8041,,811,,0.0%
83,,,,,Total Control Investments,,715301,,675305,,26.4%,,
84,Affiliate Investments (5.00% to 24.99% voting control),,,,,,,,,,,,
85,"BNN Holdings Corp., (f/k/a Biotronic NeuroNetwork)",,Michigan / Healthcare,,"Senior Secured Note (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 12/17/2017)  (4)",,29700,,29700,,29700,,1.2%
86,,,,"Preferred Stock Series A (9,925.455 shares)  (13)",,,,2300.0,,2538.0,,0.1%,
87,,,,"Preferred Stock Series B (1,753.64 shares)  (13)",,,,579.0,,639.0,,0.0%,
88,,,,,,,,,32579,,32877,,1.3%
89,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
90,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
91,Affiliate Investments (5.00% to 24.99% voting control),,,,,,,,,,,,
92,Boxercraft Incorporated  (20),,Georgia / Textiles & Leather,,"Senior Secured Term Loan A (10.00% plus 5.00% PIK, due 9/16/2013)",,"$ 1,698",,"$ 1,670",,"$ 1,698",,0.1%
93,,,,,"Senior Secured Term Loan B (10.00% plus 5.00% PIK, due 9/16/2013)",,4851,,4675,,4851,,0.2%
94,,,,,"Senior Secured Term Loan C (10.00% plus 5.00% PIK, due 9/16/2013)",,2351,,2351,,2319,,0.1%
95,,,,,"Senior Secured Term Loan (10.00% plus 5.00% PIK, due 3/16/2014)",,8254,,7674,,-,,0.0%
96,,,,,"Preferred Stock (1,000,000 shares)",,,,-,,-,,0.0%
97,,,,,"Common Stock (10,000 shares)",,,,-,,-,,0.0%
98,,,,,"Warrants (1 warrant, expiring 8/31/2022)",,,,-,,-,,0.0%
99,,,,,,,,,16370,,8868,,0.4%
100,"Smart, LLC  (14)",,New York / Diversified / Conglomerate Service,,Membership Interest,,,,-,,-,,0.0%
101,,,,,,,,,-,,-,,0.0%
102,,,,,Total Affiliate Investments,,48949,,41745,,1.7%,,
103,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
104,"ADAPCO, Inc.",,Florida / Ecological,,"Common Stock (5,000 shares)",,,,141,,306,,0.0%
105,,,,,,,,,141,,306,,0.0%
106,"Aderant North America, Inc.",,Georgia / Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)  (4)",,7000,,6898,,7000,,0.3%
107,,,,,,,,,6898,,7000,,0.3%
108,"Aircraft Fasteners International, LLC",,California / Machinery,,"Convertible Preferred Stock (32,500 units)",,,,396,,539,,0.0%
109,,,,,,,,,396,,539,,0.0%
110,"ALG USA Holdings, LLC",,"Pennsylvania / Hotels, Restaurants & Leisure",,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor,) due 2/28/2020)  (4)",,12000,,11764,,11764,,0.5%
111,,,,,,,,,11764,,11764,,0.5%
112,American Gilsonite Company,,Utah / Specialty Minerals,,"Second Lien Term Loan (11.50%, due 9/1/2017)",,38500,,38500,,38500,,1.5%
113,,,"Membership Interest in AGC/PEP, LLC (99.9999%)  (15)",,,,-,,5038,,0.2%,,
114,,,,,,,,,38500,,43538,,1.7%
115,"Apidos CLO VIII, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,19730,,19681,,20450,,0.8%
116,,,,,,,,,19681,,20450,,0.8%
117,"Apidos CLO IX, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,20525,,19635,,19614,,0.8%
118,,,,,,,,,19635,,19614,,0.8%
119,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
120,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
121,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
122,"Apidos CLO XI, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 38,340",,"$ 38,715",,"$ 38,306",,1.5%
123,,,,,,,,,38715,,38306,,1.5%
124,"Apidos CLO XII, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,44063,,42961,,42957,,1.7%
125,,,,,,,,,42961,,42957,,1.7%
126,"Arctic Glacier U.S.A, Inc.",,Canada / Food Products,,"Subordinated Unsecured (12.00% plus 3.00% PIK , due 7/27/2019)",,86751,,86751,,86751,,3.4%
127,,,,,,,,,86751,,86751,,3.4%
128,"Atlantis Healthcare Group (Puerto Rico), Inc  (4)",,Puerto Rico / Healthcare,,"Revolving Line of Credit - $7,000 Commitment (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2014)  (25), (26)",,-,,-,,-,,0.0%
129,,,,,"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor,) due 2/21/2018)",,39451,,39451,,39451,,1.5%
130,,,,,,,,,39451,,39451,,1.5%
131,Babson CLO Ltd 2011-I.  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35000,,35026,,35991,,1.4%
132,,,,,,,,,35026,,35991,,1.4%
133,Babson CLO Ltd 2012-IA.  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,29075,,26884,,28619,,1.1%
134,,,,,,,,,26884,,28619,,1.1%
135,Babson CLO Ltd 2012-IIA.  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,27850,,29471,,28332,,1.1%
136,,,,,,,,,29471,,28332,,1.1%
137,"Broder Bros., Co.",,"Pennsylvania /Textiles, Apparel & Luxury Goods",,"Senior Secured Notes (10.75% (LIBOR + 9.00% with 1.75% LIBOR floor), due 6/27/2018  (4)",,100000,,100000,,100000,,3.9%
138,,,,,,,,,100000,,100000,,3.9%
139,Byrider Systems Acquisition Corp  (22),,Indiana / Auto Finance,,"Senior Subordinated Notes (12.00% plus 2.00% PIK, due 11/3/2016)  (3)",,15833,,15833,,15176,,0.6%
140,,,,,,,,,15833,,15176,,0.6%
141,"Caleel + Hayden, LLC  (14), (31)",,Colorado / Personal & Nondurable Consumer Products,,"Membership Units (13,220 shares)",,,,-,,129,,0.0%
142,,,Escrow Receivable,,,,-,,103,,0.0%,,
143,,,,,,,,,-,,232,,0.0%
144,"Capstone Logistics, LLC.  (4)",,Georgia / Commercial Services,,"Senior Secured Term Loan A (6.50% (LIBOR + 5.00% with 1.50% LIBOR floor), due 9/16/2016)",,97291,,97291,,97291,,3.8%
145,,,,,"Senior Secured Term Loan B (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 9/16/2016)",,100000,,100000,,100000,,3.9%
146,,,,,,,,,197291,,197291,,7.7%
147,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
148,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
149,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
150,"Cargo Airport Services USA, LLC",,New York / Transportation,,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/31/2016)  (3), (4)",,"$ 45,273",,"$ 45,273",,"$ 45,273",,1.8%
151,,,,,Common Equity (1.6 units),,,,1639,,2259,,0.1%
152,,,,,,,,,46912,,47532,,1.9%
153,Cent 17 CLO Limited  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,24870,,24469,,24293,,1.0%
154,,,,,,,,,24469,,24293,,1.0%
155,"CIFC Funding 2011-I, Ltd.  (4), (22)",,Cayman Islands / Diversified Financial Services,,"Secured Class D Notes (5.30% (LIBOR + 5.00%), due 1/19/2023)",,19000,,14965,,16283,,0.6%
156,,,,"Unsecured Class E Notes (7.30% (LIBOR + 7.00%), due 1/19/2023)",,15400.0,,12597.0,,13561.0,,0.5%,
157,,,,,,,,,27562,,29844,,1.1%
158,"Cinedigm DC Holdings, LLC  (4)",,New York/ Software & Computer Services,,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% floor) plus 2.50% PIK, due 3/31/2021)",,70151,,70151,,70151,,2.7%
159,,,,,,,,,70151,,70151,,2.7%
160,"The Copernicus Group, Inc.",,North Carolina / Healthcare,,Escrow Receivable,,,,-,,320,,0.0%
161,,,,,,,,,-,,320,,0.0%
162,"Correctional Healthcare Holding Company, Inc.",,Colorado / Healthcare,,Second Lien Term Loan (11.25% due 1/11/2020)  (3),,27100,,27100,,27100,,1.1%
163,,,,,,,,,27100,,27100,,1.1%
164,"Coverall North America, Inc.",,Florida / Commercial Services,,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% floor), due 12/17/2017)  (3) ,(4)",,39551,,39551,,39551,,1.5%
165,,,,,,,,,39551,,39551,,1.5%
166,"CP Well Testing, LLC",,Oklahoma / Oil & Gas Products,,"Senior Secured Term Loan (13.50% (LIBOR + 11.00% with 2.50% floor), due 10/03/2017)  (4)",,19935,,19935,,19935,,0.8%
167,,,,,,,,,19935,,19935,,0.8%
168,"CRT MIDCO, LLC",,Wisconsin / Media,,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)  (3), (4)",,72375,,72375,,72376,,2.8%
169,,,,,,,,,72375,,72376,,2.8%
170,"Deltek, Inc.",,Virginia/ Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)  (4)",,12000,,11828,,11828,,0.5%
171,,,,,,,,,11828,,11828,,0.5%
172,"Diamondback Operating, LP",,Oklahoma / Oil & Gas Production,,Net Profits Interest (15.00% payable on Equity distributions)  (7),,,,-,,-,,0.0%
173,,,,,,,,,-,,-,,0.0%
174,"Edmentum, Inc (f/k/a Archipelago Learning, Inc)  (4)",,Minnesota / Consumer Services,,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)",,50000,,48167,,50000,,2.0%
175,,,,,,,,,48167,,50000,,2.0%
176,"Empire Today, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Note (11.375%, due 2/1/2017)",,15699,,15312,,15700,,0.6%
177,,,,,,,,,15312,,15700,,0.6%
178,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
179,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
180,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
181,EIG Investors Corp,,Massachusetts / Software & Computer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% floor), due 5/09/2020)  (4), (16)",,"$ 22,000",,"$ 21,788",,"$ 22,000",,0.9%,
182,,,,,,,,,21788,,22000,,0.9%
183,EXL Acquisition Corp.,,South Carolina / Biotechnology,,Escrow Receivable,,-,,-,,14,,0.0%
184,,,,,,,,,-,,14,,0.0%
185,"Evanta Ventures, Inc.  (11)",,Oregon / Commercial Services,,"Subordinated Unsecured (12.00% plus 1.00% PIK, due 9/28/2018)",,10453,,10453,,10453,,0.4%
186,,,,,,,,,10453,,10453,,0.4%
187,"Fairchild Industrial Products, Co.",,North Carolina / Electronics,,Escrow Receivable,,-,,-,,147,,0.0%
188,,,,,,,,,-,,147,,0.0%
189,"Fischbein, LLC",,North Carolina / Machinery,,Escrow Receivable,,,,-,,529,,0.0%
190,,,"Membership Class A (875,000 units)",,,,875,,2771,,0.1%,,
191,,,,,,,,,875,,3300,,0.1%
192,"Focus Brands, Inc.  (4)",,Georgia / Consumer Services,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)",,18000,,17723,,17723,,0.7%
193,,,,,,,,,17723,,17723,,0.7%
194,"FPG, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Term Loan (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 1/20/2017)  (4)",,21677,,21677,,21677,,0.8%
195,,,"Common Stock (5,638 shares)",,,,27,,97,,0.0%,,
196,,,,,,,,,21704,,21774,,0.8%
197,"Galaxy XII CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,22000,,20930,,22739,,0.9%
198,,,,,,,,,20930,,22739,,0.9%
199,"Galaxy XV CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35025,,31713,,31624,,1.2%
200,,,,,,,,,31713,,31624,,1.2%
201,Grocery Outlet Inc.,,California / Retail,,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 6/17/2019)  (4)",,17500,,17161,,17500,,0.7%
202,,,,,,,,,17161,,17500,,0.7%
203,Gulf Coast Machine & Supply Company,,Texas / Manufacturing,,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)  (4)",,41475,,41475,,41475,,1.6%
204,,,,,,,,,41475,,41475,,1.6%
205,"H&M Oil & Gas, LLC",,Texas / Oil & Gas Production,,"Senior Secured Note (13.00% (LIBOR + 7.50% with 5.50% LIBOR floor) plus 3.00% PIK, plus 2.00% default interest, in non-accrual status effective 1/1/2011, past due)  (4)",,64263,,60019,,39677,,1.5%
206,,,,"Senior Secured Note (18.00% PIK, in non-accrual status effective 4/27/2012, past due)",,4823,,4130,,4822,,0.2%,
207,,,,"Senior Secured Note (8.00% PIK, due 3/31/2013)",,133,,130,,133,,0.0%,
208,,,,Net Profits Interest (8.00% payable on Equity distributions)  (7),,,,-,,-,,0.0%,
209,,,,,,,,,64279,,44632,,1.7%
210,Portfolio  Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of  Net  Assets
211,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
212,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
213,"Halcyon Loan Advisors Funding 2012-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 23,188",,"$ 23,032",,"$ 22,944",,0.9%
214,,,,,,,,,23032,,22944,,0.9%
215,"Halcyon Loan Advisors Funding 2013-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,40400,,40289,,40238,,1.6%
216,,,,,,,,,40289,,40238,,1.6%
217,"Hoffmaster Group, Inc.  (4)",,Wisconsin / Durable Consumer Products,,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 1/3/2019)",,20000,,19826,,19826,,0.8%
218,,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 1/3/2019)",,1000,,991,,991,,0.0%,,
219,,,,,,,,,20817,,20817,,0.8%
220,"ICON Health & Fitness, Inc.",,Utah / Durable Consumer Products,,"Senior Secured Note (11.875% , due 10/15/2016)  (3)",,43100,,43323,,37868,,1.5%
221,,,,,,,,,43323,,37868,,1.5%
222,"IDQ Holdings, Inc.",,Texas / Automobile,,"Senior Secured Note (11.50%, due 4/1/2017)",,12500,,12289,,12500,,0.5%
223,,,,,,,,,12289,,12500,,0.5%
224,"ING IM CLO 2012-II, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,38070,,35965,,38297,,1.5%
225,,,,,,,,,35965,,38297,,1.5%
226,"ING IM CLO 2012- III, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,46632,,45736,,47294,,1.9%
227,,,,,,,,,45736,,47294,,1.9%
228,"ING IM CLO 2012- IV, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Income Notes (Residual Interest),,40613,,40597,,41132,,1.6%
229,,,,,,,,,40597,,41132,,1.6%
230,Injured Workers Pharmacy LLC,,Massachusetts / Healthcare,,"Second Lien Debt (12.00% (LIBOR + 7.50% with 4.50% LIBOR floor) plus 1.00% PIK, due 11/4/2017)  (3), (4)",,15215,,15215,,15215,,0.6%
231,,,,,,,,,15215,,15215,,0.6%
232,"Interdent, Inc  (4)",,California / Healthcare,,"Revolving Line of Credit - $10,000 Commitment (10.50% (LIBOR + 8.25% with 2.25% LIBOR floor), due 2/3/2013)  (25)",,8250,,8250,,8250,,0.3%
233,,,,,"Senior Secured Term Loan A (8.00% (LIBOR + 6.50% with 1.50% LIBOR floor), due 8/3/2017)",,53819,,53819,,53819,,2.1%
234,,,,,"Senior Secured Term Loan B (13.00% (LIBOR + 10.00% with 3.00% LIBOR floor), due 8/3/2017)  (3),",,55000,,55000,,55000,,2.2%
235,,,,,,,,,117069,,117069,,4.6%
236,Portfolio  Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of  Net  Assets
237,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
238,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
239,"JHH Holdings, Inc.",,Texas / Healthcare,,"Second Lien Debt (12.00% (LIBOR + 10.00% with 2.00% LIBOR floor) plus 1.50% PIK, due 6/23/2018)  (3), (4)",,"$ 16,041",,"$ 16,041",,"$ 16,041",,0.6%
240,,,,,,,,,16041,,16041,,0.6%
241,"LaserShip, Inc.  (4)",,Virginia / Transportation,,"Revolving Line of Credit - $5,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 12/21/2014)  (25)",,-,,-,,-,,0.0%
242,,,,,"Senior Secured Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 12/21/2017)  (3)",,37266,,37266,,37266,,1.5%
243,,,,,,,,,37266,,37266,,1.5%
244,LHC Holdings Corp.,,Florida / Healthcare,,"Revolving Line of Credit - $750 Commitment (8.50% (LIBOR + 6.00% with 2.50% LIBOR floor), due 5/31/2015)  (4), (25), (26)",,-,,-,,-,,0.0%
245,,,,,"Senior Subordinated Debt (10.50%, due 5/31/2015)  (3)",,3164,,3137,,3137,,0.1%
246,,,,,Membership Interest (125 units),,,,215,,245,,0.0%
247,,,,,,,,,3352,,3382,,0.1%
