0,1,2,3,4,5,6,7,8,9,10,11
"Common Stock of Vets Securing America, Inc. (1 share)",1170,975,1170,3831,-,-,-%,-%,0,0,0
"Wolf Energy, LLC(12)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",29434,3831,-,-,1759,0,-%,0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,-,29434,-,-,1781,1759,-%,0,0,0
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,7000,Fair  Value(2),% of Net Assets,6924,0,0,7000.0,0.2%
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,6924,Fair  Value(2),7000,6924,0.2%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),498,6924,-%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),498,6924,-%,0,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3752,6924,0.1%,0,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3752,6924,0.1%,0,0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,-,Fair  Value(2),1731,6924,-%,0,0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,-,Fair  Value(2),1731,6924,-%,0,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",12000,-,11814,1731,12000,0,0.3%,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",12000,11814,11814,12000,12000,0.3%,0,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,11814,74654,12000,74654,0,2.0%,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,74654,74654,74654,74654,2.0%,0,0,0
American Gilsonite Company,Utah / Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)(16)",38500,74654,38500,74654,34133,0,0.9%,0,0
Membership Interest (99.9999%)(15),Utah / Metal Services & Minerals,-,38500,38500,38500,38109,34133,1.0%,0,0,0
Apidos CLO IX,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 21.95%)(11)(22)",23525,38500,20540,38109,22521,0,0.6%,0,0
Apidos CLO IX,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 21.95%)(11)(22)",23525,20540,20540,22521,22521,0.6%,0,0,0
Apidos CLO XI,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.67%)(11)(22)",38340,20540,32222,22521,33143,0,0.9%,0,0
Apidos CLO XI,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.67%)(11)(22)",38340,32222,32222,33143,33143,0.9%,0,0,0
Apidos CLO XII,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 17.54%)(11)(22)",44063,32222,38864,33143,40105,0,1.1%,0,0
Apidos CLO XII,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 17.54%)(11)(22)",44063,38864,38864,40105,40105,1.1%,0,0,0
Apidos CLO XV,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.97%)(11)(22)",36515,38864,34883,40105,31891,0,0.9%,0,0
Apidos CLO XV,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.97%)(11)(22)",36515,34883,34883,31891,31891,0.9%,0,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,34883,150000,31891,148436,0,4.0%,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,150000,150000,148436,148436,4.0%,0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil and Gas Production,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26325,150000,26325,148436,24497,0,0.7%,0,0
"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26325,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26325,52650,23762,48259,0.6%,1.3%,0,0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,52650,6884,48259,6538,0,0.2%,0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,6884,6884,6538,6538,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(25)(26)",Principal Value,2350,Fair  Value(2),% of Net Assets,2350,0,0,2350.0,0.1%
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)",38660,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(25)(26)",38660,41010,35340,37690,0.9%,1.0%,0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.47%)(11)(22)",52250,41010,51465,37690,49927,0,1.3%,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.47%)(11)(22)",52250,51465,51465,49927,49927,1.3%,0,0,0
"Blue Coat Systems, Inc.",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)(16)",11000,51465,10911,49927,11000,0,0.3%,0,0
"Blue Coat Systems, Inc.",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)(16)",11000,10911,10911,11000,11000,0.3%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",253675,10911,253675,11000,253675,0,6.9%,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",253675,253675,253675,253675,253675,6.9%,0,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.42%)(11)(22)",26000,253675,21956,253675,24131,0,0.7%,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.42%)(11)(22)",26000,21956,21956,24131,24131,0.7%,0,0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,21956,237,24131,-%,0,0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,21956,237,24131,-%,0,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",65000,-,64377,237,64377,0,1.7%,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",65000,64377,64377,64377,64377,1.7%,0,0,0
Cent CLO 17 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.90%)(11)(22)",24870,64377,20642,64377,21432,0,0.6%,0,0
Cent CLO 17 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.90%)(11)(22)",24870,20642,20642,21432,21432,0.6%,0,0,0
Cent CLO 20 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.98%)(11)(22)",40275,20642,36541,21432,36505,0,1.0%,0,0
Cent CLO 20 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.98%)(11)(22)",40275,36541,36541,36505,36505,1.0%,0,0,0
Cent CLO 21 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.80%)(11)(22)",48528,36541,44488,36505,42781,0,1.2%,0,0
Cent CLO 21 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.80%)(11)(22)",48528,44488,44488,42781,42781,1.2%,0,0,0
"CIFC Funding 2011-I, Ltd.",Cayman Islands / Diversified Financial Services,"Class D Senior Secured Notes (5.25% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",19000,44488,15526,42781,18538,0,0.5%,0,0
"Class E Subordinated Notes (7.25% (LIBOR + 7.00%, due 1/19/2023)(4)(22)",15400,"Class D Senior Secured Notes (5.25% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",12959,28485,14420,32958,0.4%,0.9%,0,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.47%)(11)(22)",44100,28485,36654,32958,39473,0,1.1%,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.47%)(11)(22)",44100,36654,36654,39473,39473,1.1%,0,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.38%)(11)(22)",45500,36654,37174,39473,39114,0,1.1%,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.38%)(11)(22)",45500,37174,37174,39114,39114,1.1%,0,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 13.30%)(11)(22)",Principal Value,41500,Fair  Value(2),% of Net Assets,36256,0,0,37237.0,1.0%
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 13.30%)(11)(22)",Principal Value,36256,Fair  Value(2),37237,36256,1.0%,0,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",67967,36256,67917,37237,67967,0,1.8%,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",67967,67917,67917,67967,67967,1.8%,0,0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,67967,-,67917,121,67967,-%,0,0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,67967,-,67917,121,67967,-%,0,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50244,-,50244,121,50244,0,1.4%,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50244,50244,50244,50244,50244,1.4%,0,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,50244,40000,50244,38166,0,1.0%,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,40000,40000,38166,38166,1.0%,0,0,0
"Deltek, Inc.",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)(16)",12000,40000,11868,38166,11868,0,0.3%,0,0
"Deltek, Inc.",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)(16)",12000,11868,11868,11868,11868,0.3%,0,0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11868,-,11868,-%,0,0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11868,-,11868,-%,0,0,0
"Edmentum, Inc.",Minnesota / Consumer Services,"Second Lien Term Loan (12.00% (PRIME + 8.75%), in non-accrual status effective 1/1/2015, due 5/17/2019)(3)(4)(16)",50000,-,48623,-,25329,0,0.7%,0,0
"Edmentum, Inc.",Minnesota / Consumer Services,"Second Lien Term Loan (12.00% (PRIME + 8.75%), in non-accrual status effective 1/1/2015, due 5/17/2019)(3)(4)(16)",50000,48623,48623,25329,25329,0.7%,0,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,48623,15492,25329,13491,0,0.4%,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,15492,15492,13491,13491,0.4%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15492,123,13491,-%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15492,123,13491,-%,0,0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",24625,-,24625,123,24625,0,0.6%,0,0
"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(25)",-,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",-,49625,-,49625,-%,1.3%,0,0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,49625,17810,49625,18000,0,0.5%,0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,17810,17810,18000,18000,0.5%,0,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.33%)(11)(22)",35025,17810,28142,18000,30191,0,0.8%,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.33%)(11)(22)",35025,28142,28142,30191,30191,0.8%,0,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.35%)(11)(22)",22575,28142,19360,30191,19523,0,0.5%,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.35%)(11)(22)",22575,19360,19360,19523,19523,0.5%,0,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.87%)(11)(22)",Principal Value,39905,Fair  Value(2),% of Net Assets,34322,0,0,34222.0,0.9%
"Galaxy XVII CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.87%)(11)(22)",Principal Value,34322,Fair  Value(2),34222,34322,0.9%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28393,34322,28393,34222,28393,0,0.8%,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28393,28393,28393,28393,28393,0.8%,0,0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",119683,28393,119683,28393,119683,0,3.2%,0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",119683,119683,119683,119683,119683,3.2%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 28.96%)(11)(22)",23188,119683,20086,119683,22303,0,0.6%,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 28.96%)(11)(22)",23188,20086,20086,22303,22303,0.6%,0,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 20.69%)(11)(22)",40400,20086,35921,22303,39889,0,1.1%,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 20.69%)(11)(22)",40400,35921,35921,39889,39889,1.1%,0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.99%)(11)(22)",24500,35921,21408,39889,22578,0,0.6%,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.99%)(11)(22)",24500,21408,21408,22578,22578,0.6%,0,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 18.24%)(11)(22)",41164,21408,36035,22578,38777,0,1.0%,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 18.24%)(11)(22)",41164,36035,36035,38777,38777,1.0%,0,0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",9000,36035,8848,38777,8517,0,0.2%,0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",9000,8848,8848,8517,8517,0.2%,0,0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)",22500,8848,22500,8517,22500,0,0.6%,0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)",22500,22500,22500,22500,22500,0.6%,0,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",21850,22500,21945,22500,21632,0,0.6%,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",21850,21945,21945,21632,21632,0.6%,0,0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),21850,1639,21945,2539,21632,0.1%,0,0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),21850,1639,21945,2539,21632,0.1%,0,0,0
"IDQ Holdings, Inc.",Texas / Automobile,"Senior Secured Note (11.50%, due 4/1/2017)(16)",12500,1639,12381,2539,12500,0,0.3%,0,0
"IDQ Holdings, Inc.",Texas / Automobile,"Senior Secured Note (11.50%, due 4/1/2017)(16)",12500,12381,12381,12500,12500,0.3%,0,0,0
"Ikaria, Inc.",New Jersey / Healthcare,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 2/12/2022)(4)(16)",20000,12381,19470,12500,20008,0,0.5%,0,0
