,0,1,2,3,4,5,6,7,8,9,10,11,12,13
31,,CP Holdings of Delaware LLC  (38),,Oklahoma / Oil & Gas Production,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 8/2/2018)  (4)",,75773,,75773,,75773,,2.3%
32,,,,,,"Senior Secured Note (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor), due 8/2/2018)  (4)",,22400,,22400,,22400,,0.7%
33,,,,,,Membership Units (100 shares),,,,15228,,20955,,0.6%
34,,,,,,,,,,113401,,119128,,3.6%
35,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
36,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
37,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
38,,"Credit Central Holdings of Delaware, LLC  (22), (34)",,South Carolina / Consumer Finance,,"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2022)  (4), (25)",,"$ 38,082",,"$ 38,082",,"$ 38,082",,1.2%
39,,,,,,Membership Units (100 shares),,,,9581,,10957,,0.3%
40,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,2207,,0.1%
41,,,,,,,,,,47663,,51246,,1.6%
42,,"Energy Solutions Holdings, Inc.  (8)",,Texas / Energy,,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",,3500,,3500,,3500,,0.1%
43,,,,,,"Senior Secured Debt to Vessel Holdings II, LLC (13.00%, in non-accrual status, due 11/25/2018)",,13000,,13000,,11928,,0.4%
44,,,,,,"Senior Secured Debt to Vessel Holdings III, LLC (13.00%, due 12/3/2018)",,16000,,16000,,14584,,0.5%
45,,,,,,"Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",,1449,,1449,,-,,0.0%
46,,,,,,Common Stock (100 shares),,,,8318,,3539,,0.1%
47,,,,,,,,,,42267,,33551,,1.1%
48,,"First Tower Holdings of Delaware, LLC  (22), (29)",,Mississippi / Consumer Finance,,"Senior Secured Revolving Credit Facility - $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)  (4), (25)",,273260,,273260,,273260,,8.4%
49,,,,,,Membership Units (100 shares),,,,44693,,34648,,1.1%
50,,,,,,Net Revenue Interest (5% of Net Revenue & Distributions),,,,-,,14603,,0.5%
51,,,,,,,,,,317953,,322511,,10.0%
52,,Gulf Coast Machine & Supply Company,,Texas / Manufacturing,,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)  (4)",,17500,,17500,,12414,,0.4%
53,,,,,,"Convertible Preferred Stock - Series A (99,900 shares)",,,,25950,,-,,0.0%
54,,,,,,,,,,43450,,12414,,0.4%
55,,"The Healing Staff, Inc.  (9)",,North Carolina / Contracting,,"Secured Promissory Notes (15.00%, in non-accrual status effective 12/22/2010, past due)",,1688,,1686,,-,,0.0%
56,,,,,,"Senior Demand Note (15.00%, in non-accrual status effective 11/1/2010, past due)",,1170,,1170,,-,,0.0%
57,,,,,,"Common Stock (1,000 shares)",,,,975,,-,,0.0%
58,,,,,,,,,,3831,,-,,0.0%
59,,"Manx Energy, Inc.  (12)",,Kansas / Oil & Gas Production,,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",,225,,225,,-,,0.0%
60,,,,,,"Preferred Stock (6,635 shares)",,,,-,,-,,0.0%
61,,,,,,"Common Stock (17,082 shares)",,,,-,,-,,0.0%
62,,,,,,,,,,225,,-,,0.0%
63,,MITY Holdings of Delaware Inc.  (17),,Utah / Durable Consumer Products,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 9/19/2019)  (4)",,22968,,22968,,22968,,0.7%
64,,,,,,"Senior Secured Note (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)  (3), (4)",,18250,,18250,,18250,,0.6%
65,,,,,,Common Stock (100 shares),,,,6943,,6943,,0.2%
66,,,,,,,,,,48161,,48161,,1.5%
67,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
68,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
69,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
70,,"Nationwide Acceptance Holdings, LLC  (22), (36)",,Illinois / Consumer Finance,,"Senior Secured Revolving Credit Facility - $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)  (4), (25)",,"$ 21,308",,"$ 21,308",,"$ 21,308",,0.7%
71,,,,,,Membership Units (100 shares),,,,3843,,3843,,0.1%
72,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,1739,,0.1%
73,,,,,,,,,,25151,,26890,,0.9%
74,,"NMMB Holdings, Inc.  (24)",,New York / Media,,"Senior Secured Note (14.00%, due 5/6/2016)",,10714,,10714,,10714,,0.3%
75,,,,,,"Series A Preferred Stock (8,086 shares)",,,,12486,,453,,0.0%
76,,,,,,,,,,23200,,11167,,0.3%
77,,"NPH Property Holdings, LLC  (40)",,Texas / Real Estate,,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,88109,,88109,,88109,,2.7%
78,,,,,,Membership Units (100 shares),,,,18135,,18135,,0.6%
79,,,,,,,,,,106244,,106244,,3.3%
80,,"R-V Industries, Inc.",,Pennsylvania / Manufacturing,,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)  (3), (4)",,32750,,32750,,32750,,1.0%
81,,,,,,"Warrants (200,000 warrants, expiring 6/30/2017)",,,,1682,,6692,,0.2%
82,,,,,,"Common Stock (545,107 shares)",,,,5087,,18238,,0.6%
83,,,,,,,,,,39519,,57680,,1.8%
84,,"UPH Property Holdings, LLC  (41)",,Georgia / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,18855,,18855,,18855,,0.6%
85,,,,,,Membership Units (100 shares),,,,3707,,3707,,0.1%
86,,,,,,,,,,22562,,22562,,0.7%
87,,"Valley Electric Holdings I, Inc.  (35)",,Washington / Construction & Engineering,,"Senior Secured Note (9.00% (LIBOR + 6.00%, with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)  (4)",,35648,,35648,,28163,,0.9%
88,,,,,,"Senior Secured Note (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)  (3),(4)",,10054,,10054,,10054,,0.3%
89,,,,,,"Common Stock (50,000 shares)",,,,9526,,-,,0.0%
90,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,724,,0.0%
91,,,,,,,,,,55228,,38941,,1.2%
92,,"Wolf Energy Holdings,  Inc.  (12), (37)",,Kansas / Oil & Gas Production,,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",,22000,,-,,4043,,0.1%
93,,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status effective 1/19/2010, past due)",,2753,,2000,,-,,0.0%
94,,,,,,"Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status, past due)",,54,,50,,-,,0.0%
95,,,,,,"Coalbed, LLC - Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)  (6)",,8258,,5991,,-,,0.0%
96,,,,,,Common Stock (100 shares),,,,-,,-,,0.0%
97,,,,,,Net Profits Interest (8.00% payable on Equity distributions)  (7),,,,-,,520,,0.0%
98,,,,,,,,,,8041,,4563,,0.1%
99,,,,,,Total Control Investments,,1236286,,1163300,,36.0%,,
100,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
101,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
102,,Affiliate Investments (5.00% to 24.99% voting control)  (43),,,,,,,,,,,,
103,,BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),,Michigan / Healthcare,,"Senior Secured Note (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 12/17/2017)  (3),(4)",,"$ 29,250",,"$ 29,250",,"$ 29,250",,0.9%
104,,,,,,"Preferred Stock Series A (9,925.455 shares)  (13)",,,,2300,,1869,,0.1%
105,,,,,,"Preferred Stock Series B (1,753.64 shares)  (13)",,,,579,,405,,0.0%
106,,,,,,,,,,32129,,31524,,1.0%
107,,Boxercraft Incorporated  (20),,Georgia / Textiles & Leather,,"Senior Secured Term Loan A (10.00% plus 1.00% PIK, due 9/15/2015)",,1621,,1621,,1621,,0.0%
108,,,,,,"Senior Secured Term Loan B (10.00% plus 1.00% PIK, due 9/15/2015)",,4918,,4918,,3990,,0.1%
109,,,,,,"Senior Secured Term Loan C (10.00% plus 1.00% PIK, due 9/15/2015)",,2383,,2383,,-,,0.0%
110,,,,,,"Senior Secured Term Loan (10.00% plus 1.00% PIK, due 9/15/2015)",,8368,,8227,,-,,0.0%
111,,,,,,"Preferred Stock (1,000,000 shares)",,,,-,,-,,0.0%
112,,,,,,"Common Stock (10,000 shares)",,,,-,,-,,0.0%
113,,,,,,"Warrants (1 warrant, expiring 8/31/2022)",,,,-,,-,,0.0%
114,,,,,,,,,,17149,,5611,,0.1%
115,,"Smart, LLC  (14)",,New York / Diversified / Conglomerate Service,,Membership Interest,,,,-,,1745,,0.1%
116,,,,,,,,,,-,,1745,,0.1%
117,,,,,,Total Affiliate Investments,,49278,,38880,,1.2%,,
118,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
119,,"Aderant North America, Inc.",,Georgia / Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)  (4)",,7000,,6907,,7000,,0.2%
120,,,,,,,,,,6907,,7000,,0.2%
121,,"Aircraft Fasteners International, LLC",,California / Machinery,,"Convertible Preferred Stock (32,500 units)",,,,396,,571,,0.0%
122,,,,,,,,,,396,,571,,0.0%
123,,"ALG USA Holdings, LLC",,"Pennsylvania / Hotels, Restaurants & Leisure",,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)  (4)",,12000,,11778,,12000,,0.4%
124,,,,,,,,,,11778,,12000,,0.4%
125,,"Allied Defense Group, Inc.",,Virginia / Aerospace & Defense,,"Common Stock (10,000 shares)",,,,5,,-,,0.0%
126,,,,,,,,,,5,,-,,0.0%
127,,"American Broadband Holding Company and Cameron Holdings of NC, Inc",,North Carolina / Telecommunication Services,,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)  (3), (4)",,75000,,75000,,75000,,2.3%
128,,,,,,,,,,75000,,75000,,2.3%
129,,American Gilsonite Company,,Utah / Specialty Minerals,,"Second Lien Term Loan (11.50%, due 9/1/2017)",,38500,,38500,,38500,,1.2%
130,,"Membership Interest in AGC/PEP, LLC (99.9999%)  (15)",,,,-,,1988,,0.1%,,,,
131,,,,,,,,,,38500,,40488,,1.3%
132,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
133,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
134,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
135,,"Apidos CLO IX, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 20,525",,"$ 18,932",,"$ 20,196",,0.6%
136,,,,,,,,,,18932,,20196,,0.6%
137,,"Apidos CLO XI, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,38340,,35440,,38755,,1.2%
138,,,,,,,,,,35440,,38755,,1.2%
139,,"Apidos CLO XII, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,44063,,42873,,41681,,1.3%
140,,,,,,,,,,42873,,41681,,1.3%
141,,"Apidos CLO XV, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,36515,,37111,,36326,,1.1%
142,,,,,,,,,,37111,,36326,,1.1%
143,,"Arctic Glacier U.S.A, Inc.  (3) ,(4)",,Minnesota / Food Products,,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor), due 11/10/2019)",,150000,,150000,,150000,,4.6%
144,,,,,,,,,,150000,,150000,,4.6%
145,,Armor Holding II LLC  (16),,New York / Diversified Financial Services,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)  (3), (4)",,7000,,6867,,6867,,0.2%
146,,,,,,,,,,6867,,6867,,0.2%
147,,"Atlantis Healthcare Group (Puerto Rico), Inc.  (4)",,Puerto Rico / Healthcare,,"Revolving Line of Credit - $7,000 Commitment (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2014)  (25),(26)",,2000,,2000,,2000,,0.1%
148,,,,,,"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)  (3)",,39155,,39155,,33589,,1.0%
149,,,,,,,,,,41155,,35589,,1.1%
150,,Babson CLO Ltd 2011-I  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35000,,34723,,35978,,1.1%
151,,,,,,,,,,34723,,35978,,1.1%
152,,Babson CLO Ltd 2012-IA  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,29075,,24535,,28339,,0.9%
153,,,,,,,,,,24535,,28339,,0.9%
154,,Babson CLO Ltd 2012-IIA  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,27850,,27963,,28758,,0.9%
155,,,,,,,,,,27963,,28758,,0.9%
156,,"Blue Coat Systems, Inc.  (16)",,Massachusetts / Software & Computer Services,,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)  (3), (4)",,11000,,10896,,11000,,0.3%
157,,,,,,,,,,10896,,11000,,0.3%
158,,"Broder Bros., Co.",,"Pennsylvania / Textiles, Apparel & Luxury Goods",,"Senior Secured Notes (10.75% (LIBOR + 9.00% with 1.75% LIBOR floor), due 6/27/2018)  (3),(4)",,98500,,98500,,98500,,3.0%
159,,,,,,,,,,98500,,98500,,3.0%
160,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
161,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
162,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
163,,Brookside Mill CLO Ltd.  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 26,000",,"$ 23,291",,"$ 25,347",,0.8%
164,,,,,,,,,,23291,,25347,,0.8%
165,,Byrider Systems Acquisition Corp  (22),,Indiana / Auto Finance,,"Senior Subordinated Notes (12.00% plus 2.00% PIK, due 11/3/2016)  (3)",,11027,,11027,,10972,,0.3%
166,,,,,,,,,,11027,,10972,,0.3%
167,,"Caleel + Hayden, LLC  (14), (31)",,Colorado / Personal & Nondurable Consumer,,"Membership Units (13,220 shares)",,,,-,,119,,0.0%
168,,,,Products,,Escrow Receivable,,,,-,,91,,0.0%
169,,,,,,,,,,-,,210,,0.0%
170,,"Capstone Logistics, LLC  (4)",,Georgia / Commercial Services,,"Senior Secured Term Loan A (6.50% (LIBOR + 5.00% with 1.50% LIBOR floor), due 9/16/2016)",,95466,,95466,,95466,,3.0%
171,,,,,,"Senior Secured Term Loan B (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 9/16/2016)  (3)",,100000,,100000,,100000,,3.1%
172,,,,,,,,,,195466,,195466,,6.1%
173,,"Cargo Airport Services USA, LLC",,New York / Transportation,,Common Equity (1.6 units),,,,1639,,1971,,0.1%
174,,,,,,,,,,1639,,1971,,0.1%
175,,Cent CLO 17 Limited  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,24870,,23120,,25977,,0.8%
176,,,,,,,,,,23120,,25977,,0.8%
177,,Cent CLO 20 Limited  (22),,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,40275,,39876,,39731,,1.2%
178,,,,,,,,,,39876,,39731,,1.2%
179,,"CIFC Funding 2011-I, Ltd.  (4), (22)",,Cayman Islands / Diversified Financial,,"Secured Class D Notes (5.24% (LIBOR + 5.00%), due 1/19/2023)",,19000,,15165,,18202,,0.6%
180,,,,Services,,"Unsecured Class E Notes (7.24% (LIBOR + 7.00%), due 1/19/2023)",,15400,,12724,,15264,,0.5%
181,,,,,,,,,,27889,,33466,,1.1%
182,,"CIFC Funding 2013-III, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,44100,,42374,,43178,,1.3%
183,,,,,,,,,,42374,,43178,,1.3%
184,,"CIFC Funding 2013-IV, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,45500,,40899,,40497,,1.3%
185,,,,,,,,,,40899,,40497,,1.3%
186,,"Cinedigm DC Holdings, LLC  (4)",,New York / Software & Computer Services,,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)",,69150,,69150,,69150,,2.1%
187,,,,,,,,,,69150,,69150,,2.1%
188,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
189,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
190,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
191,,"The Copernicus Group, Inc.",,North Carolina / Healthcare,,Escrow Receivable,,,,$ -,,$ 134,,0.0%
192,,,,,,,,,,-,,134,,0.0%
193,,"Correctional Healthcare Holding Company, Inc.",,Colorado / Healthcare,,"Second Lien Term Loan (11.25%, due 1/11/2020)  (3)",,"$ 27,100",,27100,,27100,,0.8%
194,,,,,,,,,,27100,,27100,,0.8%
195,,"Coverall North America, Inc.",,Florida / Commercial Services,,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)  (3) ,(4)",,43841,,43841,,43841,,1.4%
196,,,,,,,,,,43841,,43841,,1.4%
197,,Crosman Corporation,,New York / Manufacturing,,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/30/2019)  (4)",,40000,,40000,,40000,,1.2%
198,,,,,,,,,,40000,,40000,,1.2%
199,,"CRT MIDCO, LLC",,Wisconsin / Media,,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)  (3), (4)",,70356,,70356,,70356,,2.2%
200,,,,,,,,,,70356,,70356,,2.2%
201,,"Deltek, Inc.",,Virginia / Software & Computer Services,,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)  (3), (4)",,12000,,11842,,12000,,0.4%
202,,,,,,,,,,11842,,12000,,0.4%
203,,"Diamondback Operating, LP",,Oklahoma / Oil & Gas Production,,Net Profits Interest (15.00% payable on Equity distributions)  (7),,,,-,,-,,0.0%
204,,,,,,,,,,-,,-,,0.0%
205,,"Edmentum, Inc. (f/k/a Archipelago Learning, Inc.)  (4)",,Minnesota / Consumer Services,,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)  (3)",,50000,,48326,,50000,,1.6%
206,,,,,,,,,,48326,,50000,,1.6%
207,,"Empire Today, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Note (11.375%, due 2/1/2017)",,15700,,15374,,15700,,0.5%
208,,,,,,,,,,15374,,15700,,0.5%
209,,EXL Acquisition Corp.,,South Carolina / Biotechnology,,Escrow Receivable,,,,-,,15,,0.0%
210,,,,,,,,,,-,,15,,0.0%
211,,"Fischbein, LLC",,North Carolina / Machinery,,Escrow Receivable,,,,-,,233,,0.0%
212,,,,,,,,,,-,,233,,0.0%
213,,"Focus Brands, Inc.  (4)",,Georgia / Consumer Services,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)",,18000,,17753,,18000,,0.6%
214,,,,,,,,,,17753,,18000,,0.6%
215,,"FPG, LLC",,Illinois / Durable Consumer Products,,"Senior Secured Term Loan (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 1/20/2017)  (4)",,20573,,20573,,20341,,0.6%
216,,,,,,"Common Stock (5,638 shares)",,,,27,,16,,0.0%
217,,,,,,,,,,20600,,20357,,0.6%
218,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
219,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
220,,Non-control/Non-affiliate Investments (less than 5.00% of voting control),,,,,,,,,,,,
221,,"Galaxy XII CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,"$ 22,000",,"$ 20,230",,"$ 20,436",,0.6%
222,,,,,,,,,,20230,,20436,,0.6%
223,,"Galaxy XV CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,35025,,30880,,32067,,1.0%
224,,,,,,,,,,30880,,32067,,1.0%
225,,"Galaxy XVI CLO, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,22575,,21118,,20410,,0.6%
226,,,,,,,,,,21118,,20410,,0.6%
227,,"Grocery Outlet, Inc.",,California / Retail,,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 6/17/2019)  (4)",,14456,,14146,,14456,,0.5%
228,,,,,,,,,,14146,,14456,,0.5%
229,,"GTP Operations, LLC (f/k/a CI (Transplace) Holdings, LLC)  (4)",,Texas / Software & Computer Services,,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 6/11/2019)  (3), (10)",,114138,,114138,,114138,,3.5%
230,,,,,,,,,,114138,,114138,,3.5%
231,,"Halcyon Loan Advisors Funding 2012-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,23188,,21328,,23749,,0.7%
232,,,,,,,,,,21328,,23749,,0.7%
233,,"Halcyon Loan Advisors Funding 2013-I, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,40400,,41027,,39773,,1.2%
234,,,,,,,,,,41027,,39773,,1.2%
235,,"Harley Marine Services, Inc.",,Washington/ Transportation,,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)  (4)",,9000,,8820,,8820,,0.3%
236,,,,,,,,,,8820,,8820,,0.3%
237,,"Hoffmaster Group, Inc.  (3), (4)",,Wisconsin / Personal & Nondurable Consumer Products,,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 1/3/2019)",,20000,,19842,,19842,,0.6%
238,,,,,,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 1/3/2019)",,1000,,992,,992,,0.0%
239,,,,,,,,,,20834,,20834,,0.6%
240,,"ICON Health & Fitness, Inc.",,Utah / Durable Consumer Products,,"Senior Secured Note (11.875%, due 10/15/2016)  (3)",,43100,,43283,,38790,,1.2%
241,,,,,,,,,,43283,,38790,,1.2%
242,,"IDQ Holdings, Inc.",,Texas / Automobile,,"Senior Secured Note (11.50%, due 4/1/2017)",,12500,,12322,,12500,,0.4%
243,,,,,,,,,,12322,,12500,,0.4%
244,,"ING IM CLO 2012-II, Ltd.  (22)",,Cayman Islands / Diversified Financial Services,,Subordinated Notes (Residual Interest),,38070,,32550,,38832,,1.2%
245,,,,,,,,,,32550,,38832,,1.2%
