,0,1,2,3,4,5,6,7,8,9,10,11,12
113,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",119999,,119999,,,119999,,3.5%,,
114,"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(10)(12)",120983,,120983,,120983,,3.5%,,,,,
115,,,,,240982,,240982,,7.0%,,,,
116,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.67%, due 4/17/2025)(5)(13)",26000,,19432,,18083,,0.5%,,,
117,,,,,19432,,18083,,0.5%,,,,
118,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 15.77%, due 4/16/2022)(5)(13)",57000,,37813,,34132,,1.0%,,,
119,,,,,37813,,34132,,1.0%,,,,
120,"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(12)",101828,,101319,,101033,,2.9%,,,
121,,,,,101319,,101033,,2.9%,,,,
122,"Carlyle Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.69%, due 10/20/2029)(5)(6)(13)",32200,,29854,,29717,,0.9%,,,
123,,,,,29854,,29717,,0.9%,,,,
124,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.17%, due 1/30/2025)(5)(13)",24870,,18616,,16504,,0.5%,,,
125,,,,,18616,,16504,,0.5%,,,,
126,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.27%, due 1/25/2026)(5)(13)",40275,,32288,,25591,,0.7%,,,
127,,,,,32288,,25591,,0.7%,,,,
128,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.66%, due 7/27/2026)(5)(6)(13)",48528,,37278,,28947,,0.8%,,,
129,,,,,37278,,28947,,0.8%,,,,
130,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.62%, due 10/24/2025)(5)(13)",44100,,31703,,28775,,0.8%,,,
131,,,,,31703,,28775,,0.8%,,,,
132,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.24%, due 11/27/2024)(5)(13)",45500,,33065,,32209,,0.9%,,,
133,,,,,33065,,32209,,0.9%,,,,
134,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.72%, due 10/17/2026)(5)(6)(13)",41500,,30980,,29141,,0.8%,,,
135,,,,,30980,,29141,,0.8%,,,,
136,"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(39)",65640,,65590,,65640,,1.9%,,,
137,,,,,65590,,65640,,1.9%,,,,
138,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
139,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
140,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
141,"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",,24000,,,24000,,,24000.0,,0.7%
142,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",25000,,25000,,25000,,0.7%,,,,,
143,,,,,49000,,49000,,1.4%,,,,
144,Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.22% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(10)(12)(39)",54673,,54673,,54673,,1.6%,,,
145,"Senior Secured Term Loan B (16.22% (LIBOR + 15.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(10)(12)(39)",41656,,41656,,41656,,1.2%,,,,,
146,,,,,96329,,96329,,2.8%,,,,
147,CURO Group Holdings Corp. (f/k/a Speedy Cash Holdings Corp.),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)(8)(13)",15000,,15000,,7076,,0.2%,,,
148,,,,,15000,,7076,,0.2%,,,,
149,"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.84% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(10)(11)",17325,,17325,,17325,,0.5%,,,
150,,,,,17325,,17325,,0.5%,,,,
151,"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(8)",50426,,50189,,50426,,1.5%,,,
152,,,,,50189,,50426,,1.5%,,,,
153,"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(10)(11)",23402,,23402,,23402,,0.7%,,,
154,"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(10)(14)",-,,-,,-,,-%,,,,,
155,,,,,23402,,23402,,0.7%,,,,
156,"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(8)(10)(12)",18000,,17891,,18000,,0.5%,,,
157,,,,,17891,,18000,,0.5%,,,,
158,"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.76%, due 4/15/2025)(5)(13)",39275,,28658,,29503,,0.9%,,,
159,,,,,28658,,29503,,0.9%,,,,
160,"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.53%, due 11/16/2025)(5)(13)",24575,,18900,,18168,,0.5%,,,
161,,,,,18900,,18168,,0.5%,,,,
162,"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.47%, due 7/15/2026)(5)(6)(13)",39905,,30527,,28779,,0.8%,,,
163,,,,,30527,,28779,,0.8%,,,,
164,"Generation Brands Holdings, Inc.",Illinois / Durable Consumer Products,"Subordinated Secured Term Loan (11.00% (LIBOR + 10.00% with 1.00% LIBOR floor), due 12/10/2022)(8)(10)(11)",19000,,18459,,19000,,0.6%,,,
165,,,,,18459,,19000,,0.6%,,,,
166,"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(10)(12)",49250,,49250,,49250,,1.4%,,,
167,,,,,49250,,49250,,1.4%,,,,
168,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
169,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
170,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
171,Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.13%, due 8/15/2023)(5)(13)",,23188,,,17575,,,16637.0,,0.5%
172,,,,,17575,,16637,,0.5%,,,,
173,Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.26%, due 4/15/2025)(5)(13)",40400,,30747,,26838,,0.8%,,,
174,,,,,30747,,26838,,0.8%,,,,
175,Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.12%, due 4/18/2026)(5)(13)",24500,,17613,,14751,,0.4%,,,
176,,,,,17613,,14751,,0.4%,,,,
177,Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.84%, due 4/28/2025)(5)(6)(13)",41164,,29585,,25007,,0.7%,,,
178,,,,,29585,,25007,,0.7%,,,,
179,Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.37%, due 10/18/2027)(5)(6)(13)",39598,,35736,,31619,,0.9%,,,
180,,,,,35736,,31619,,0.9%,,,,
181,"Harbortouch Payments, LLC",Pennsylvania / Business Services,"Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor) plus 3.00% PIK, due 5/31/2023)(3)(10)(11)(39)",27711,,27711,,28404,,0.9%,,,
182,Escrow Receivable,,-,,1629,,-%,,,,,,
183,,,,,27711,,30033,,0.9%,,,,
184,"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.22%, due 11/18/2026)(5)(6)(13)",19025,,14432,,12806,,0.4%,,,
185,,,,,14432,,12806,,0.4%,,,,
186,"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,,8894,,8352,,0.2%,,,
187,,,,,8894,,8352,,0.2%,,,,
188,"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(10)(12)",21860,,21860,,20293,,0.6%,,,
189,,,,,21860,,20293,,0.6%,,,,
190,Inpatient Care Management Company LLC,Florida / Healthcare,"Senior Secured Term Loan (11.50% (LIBOR + 10.50% with 1.00% LIBOR floor), due 6/8/2021(10)(12)",16830,,16830,,16830,,0.5%,,,
191,,,,,16830,,16830,,0.5%,,,,
192,"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",122444,,122444,,122444,,3.6%,,,
193,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 3/28/2019)(3)(10)(11)",158100,,158100,,158100,,4.6%,,,,,
194,"Senior Secured Term Loan C-1 (12.75% (LIBOR + 11.75% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",27000,,27000,,27000,,0.8%,,,,,
195,"Senior Secured Term Loan C-2 (13.50% (LIBOR + 12.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",25000,,25000,,25000,,0.7%,,,,,
196,,,,,332544,,332544,,9.7%,,,,
197,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
198,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
199,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
200,"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(10)(12)",,79317,,,79317,,,79317.0,,2.3%
201,"Senior Secured Term Loan B (11.25% (LIBOR + 10.50% with 0.75% LIBOR floor), due 8/3/2017)(3)(10)(12)",131125,,131125,,131125,,3.8%,,,,,
202,,,,,210442,,210442,,6.1%,,,,
203,JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(8)",2868,,2868,,2868,,0.1%,,,
204,,,,,2868,,2868,,0.1%,,,,
205,JD Power and Associates,California / Consumer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(8)(10)(11)",15000,,14777,,15000,,0.4%,,,
206,,,,,14777,,15000,,0.4%,,,,
207,Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.47%, due 7/20/2027)(5)(6)(13)",19500,,16821,,13174,,0.4%,,,
208,,,,,16821,,13174,,0.4%,,,,
209,"LaserShip, Inc.",Virginia / Transportation,"Senior Secured Term Loan A (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor) plus 1.00% PIK, due 3/18/2019)(3)(10)(12)(39)",34424,,34424,,33667,,1.0%,,,
210,"Senior Secured Term Loan B (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor) plus 1.00% PIK, due 3/18/2019)(3)(10)(12)(39)",21129,,21129,,20664,,0.6%,,,,,
211,,,,,55553,,54331,,1.6%,,,,
212,LCM XIV Ltd.,Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.10%, due 7/15/2025)(5)(13)",30500,,22359,,21872,,0.6%,,,
213,,,,,22359,,21872,,0.6%,,,,
214,"Madison Park Funding IX, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.72%, due 8/15/2022)(5)(13)",43110,,29343,,28543,,0.8%,,,
215,,,,,29343,,28543,,0.8%,,,,
216,"Matrixx Initiatives, Inc.",New Jersey / Pharmaceuticals,"Senior Secured Term Loan A (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(10)(11)",34490,,34490,,34490,,1.0%,,,
217,"Senior Secured Term Loan B (12.50% (LIBOR + 11.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(10)(11)",45562,,45562,,45562,,1.3%,,,,,
218,,,,,80052,,80052,,2.3%,,,,
219,"Maverick Healthcare Equity, LLC",Arizona / Healthcare,"Preferred Units (1,250,000 units)",,1252,,1990,,0.1%,,,,
220,"Class A Common Units (1,250,000 units)",,-,,204,,-%,,,,,,
221,,,,,1252,,2194,,0.1%,,,,
222,Mineral Fusion Natural Brands(30),Colorado / Personal & Nondurable Consumer Products,Membership Interest (1.43%),,-,,197,,-%,,,,
223,,,,,-,,197,,-%,,,,
224,Mountain View CLO 2013-I Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.27%m due 4/12/2024)(5)(13)",43650,,32078,,29996,,0.9%,,,
225,,,,,32078,,29996,,0.9%,,,,
226,Mountain View CLO IX Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.52%, due 7/15/2027)(5)(6)(13)",47830,,42415,,38431,,1.1%,,,
227,,,,,42415,,38431,,1.1%,,,,
228,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,
229,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,
230,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,
231,NCP Finance Limited Partnership(31),Ohio / Consumer Finance,"Subordinated Secured Term Loan (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(8)(10)(12)(13)",,27119,,,26502,,,25763.0,,0.7%
232,,,,,26502,,25763,,0.7%,,,,
