,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16,Net Revenues Interest (25% of Net Revenues)(14),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",-,,59926,31640,74712,,2.1%,,0.7%,,,,,
17,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",31055,,31055,31640,31055,,0.9%,,0.7%,,,,,
18,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(46)",16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",16044,,16044,31640,0.5%,,0.9%,,0.7%,,,,,
19,Membership Interest (100%)(16),-,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",22738,,29478,31640,0.9%,,0.9%,,0.7%,,,,,
20,Membership Interest (100%)(16),-,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",22738,,69837,31640,76577,,2.3%,,0.7%,,,,,
21,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",5092,,5092,31640,5092,,0.2%,,0.7%,,,,,
22,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(46)",7208,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",7208,,7208,31640,0.2%,,0.2%,,0.7%,,,,,
23,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",33520,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",23828,,19062,31640,0.6%,,0.2%,,0.7%,,,,,
24,"Class A Units (370,964 units)(16)",-,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6577,,-,31640,-%,,0.2%,,0.7%,,,,,
25,"Class A Units (370,964 units)(16)",-,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6577,,42705,31640,31362,,1.0%,,0.7%,,,,,
26,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",258772,,258772,31640,258772,,7.7%,,0.7%,,,,,
27,"Class A Units (93,997,533 units)(14)(16)",-,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",78481,,146258,31640,4.4%,,7.7%,,0.7%,,,,,
28,"Class A Units (93,997,533 units)(14)(16)",-,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",78481,,337253,31640,405030,,12.1%,,0.7%,,,,,
29,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,42812,31640,25266,,0.8%,,0.7%,,,,,
30,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,42812,31640,25266,,0.8%,,0.7%,,,,,
31,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,25266,,0.8%,,0.7%,,,,,
32,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",Principal Value,26250,Fair  Value(2),% of Net Assets,26250,,0.8%,26250.0,0.7%,0.8%,,,,
33,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(46)",24442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",24442,26250,24442,% of Net Assets,0.7%,,0.8%,26250.0,0.7%,0.8%,,,,
34,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(3)(14)",5782,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",7200,26250,5782,% of Net Assets,0.2%,,0.8%,26250.0,0.7%,0.8%,,,,
35,"Common Stock (42,053 shares)(16)",-,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",6849,26250,13008,% of Net Assets,0.5%,,0.8%,26250.0,0.7%,0.8%,,,,
36,"Common Stock (42,053 shares)(16)",-,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",6849,26250,64741,% of Net Assets,69482,,2.2%,26250.0,0.7%,0.8%,,,,
37,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",293203,26250,293203,% of Net Assets,293203,,8.8%,26250.0,0.7%,0.8%,,,,
38,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(46)",113240,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",113240,26250,113240,% of Net Assets,3.4%,,8.8%,26250.0,0.7%,0.8%,,,,
39,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(14)(46)",14274,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",14274,26250,14274,% of Net Assets,0.4%,,8.8%,26250.0,0.7%,0.8%,,,,
40,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(14)(46)",132578,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",132578,26250,132578,% of Net Assets,4.0%,,8.8%,26250.0,0.7%,0.8%,,,,
41,"Common Stock (2,351,247 shares)(16)",-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",290564,26250,400362,% of Net Assets,12.0%,,8.8%,26250.0,0.7%,0.8%,,,,
42,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",-,26250,94718,% of Net Assets,2.8%,,8.8%,26250.0,0.7%,0.8%,,,,
43,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",-,26250,843859,% of Net Assets,1048375,,31.4%,26250.0,0.7%,0.8%,,,,
44,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",17114,26250,17114,% of Net Assets,17114,,0.5%,26250.0,0.7%,0.8%,,,,
45,"Class A Units (32,456,159 units)(14)(16)",-,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",21962,26250,13141,% of Net Assets,0.4%,,0.5%,26250.0,0.7%,0.8%,,,,
46,"Class A Units (32,456,159 units)(14)(16)",-,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",21962,26250,39076,% of Net Assets,30255,,0.9%,26250.0,0.7%,0.8%,,,,
47,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,26250,3714,% of Net Assets,3714,,0.1%,26250.0,0.7%,0.8%,,,,
48,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",6900,26250,6900,% of Net Assets,0.2%,,0.1%,26250.0,0.7%,0.8%,,,,
49,"Series A Preferred Stock (7,200 shares)(3)(16)",-,"Senior Secured Note (14.00%, due 5/6/2021)(3)",12869,26250,10614,% of Net Assets,0.3%,,0.1%,26250.0,0.7%,0.8%,,,,
50,"Series A Preferred Stock (7,200 shares)(3)(16)",-,"Senior Secured Note (14.00%, due 5/6/2021)(3)",12869,26250,23483,% of Net Assets,21228,,0.6%,26250.0,0.7%,0.8%,,,,
51,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.69% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,26250,28622,% of Net Assets,28622,,0.9%,26250.0,0.7%,0.8%,,,,
52,"Common Stock (745,107 shares)(16)",-,"Senior Subordinated Note (10.69% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",6866,26250,2786,% of Net Assets,0.1%,,0.9%,26250.0,0.7%,0.8%,,,,
53,"Common Stock (745,107 shares)(16)",-,"Senior Subordinated Note (10.69% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",6866,26250,35488,% of Net Assets,31408,,1.0%,26250.0,0.7%,0.8%,,,,
54,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,26250,-,% of Net Assets,996,,-%,26250.0,0.7%,0.8%,,,,
55,Common Stock (100 shares)(16),-,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,26250,-,% of Net Assets,-%,,-%,26250.0,0.7%,0.8%,,,,
56,Common Stock (100 shares)(16),-,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,26250,-,% of Net Assets,996,,-%,26250.0,0.7%,0.8%,,,,
57,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,996,,-%,26250.0,0.7%,0.8%,,,,
58,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",Principal Value,35326,Fair  Value(2),% of Net Assets,31602,,-%,6655.0,0.7%,0.2%,,,,
59,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",44281,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",35568,35326,-,% of Net Assets,-%,,-%,6655.0,0.7%,0.2%,,,,
60,"Common Stock (268,962 shares)(16)",-,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",-,35326,-,% of Net Assets,-%,,-%,6655.0,0.7%,0.2%,,,,
61,"Common Stock (268,962 shares)(16)",-,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",-,35326,67170,% of Net Assets,6655,,0.2%,6655.0,0.7%,0.2%,,,,
62,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",10430,35326,10430,% of Net Assets,10430,,0.3%,6655.0,0.7%,0.2%,,,,
63,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2024)(46)",26724,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",26724,35326,26724,% of Net Assets,0.8%,,0.3%,6655.0,0.7%,0.2%,,,,
64,"Common Stock (50,000 shares)(16)",-,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",26204,35326,3777,% of Net Assets,0.1%,,0.3%,6655.0,0.7%,0.2%,,,,
65,"Common Stock (50,000 shares)(16)",-,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",26204,35326,63358,% of Net Assets,40931,,1.2%,6655.0,0.7%,0.2%,,,,
66,"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),-,35326,-,% of Net Assets,-,,-%,6655.0,0.7%,0.2%,,,,
67,"Membership Interest in Wolf Energy Services Company, LLC (100%)(16)",-,Membership Interest (100%)(16),3704,35326,283,% of Net Assets,-%,,-%,6655.0,0.7%,0.2%,,,,
68,Net Profits Interest (8% of Equity Distributions)(4)(16),-,Membership Interest (100%)(16),-,35326,10,% of Net Assets,-%,,-%,6655.0,0.7%,0.2%,,,,
69,Net Profits Interest (8% of Equity Distributions)(4)(16),-,Membership Interest (100%)(16),-,35326,3704,% of Net Assets,293,,-%,6655.0,0.7%,0.2%,,,,
70,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,293,,-%,6655.0,0.7%,0.2%,,,,
71,Ability Network Inc.,Minnesota / Health Care Technology,"Second Lien Term Loan (9.21% (LIBOR + 7.75% with 1.00% LIBOR floor), due 12/13/2025)(8)(10)(11)",Principal Value,15000,Fair  Value(2),% of Net Assets,14926,,-%,14926.0,0.7%,0.4%,,,,
72,Ability Network Inc.,Minnesota / Health Care Technology,"Second Lien Term Loan (9.21% (LIBOR + 7.75% with 1.00% LIBOR floor), due 12/13/2025)(8)(10)(11)",Principal Value,14926,Fair  Value(2),14926,14926,0.4%,-%,14926.0,0.7%,0.4%,,,,
73,"ACE Cash Express, Inc.",Texas / Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",20000,14926,19702,14926,20000,0.4%,0.6%,14926.0,0.7%,0.4%,,,,
74,"ACE Cash Express, Inc.",Texas / Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",20000,19702,19702,20000,20000,0.6%,0.6%,14926.0,0.7%,0.4%,,,,
75,"AgaMatrix, Inc.",New Hampshire / Healthcare Equipment and Supplies,"Senior Secured Term Loan (10.44% (LIBOR + 8.75% with 1.25% LIBOR floor), due 9/29/2022)(3)(10)(11)",31625,19702,31625,20000,31625,0.6%,0.9%,14926.0,0.7%,0.4%,,,,
76,"AgaMatrix, Inc.",New Hampshire / Healthcare Equipment and Supplies,"Senior Secured Term Loan (10.44% (LIBOR + 8.75% with 1.25% LIBOR floor), due 9/29/2022)(3)(10)(11)",31625,31625,31625,31625,31625,0.9%,0.9%,14926.0,0.7%,0.4%,,,,
77,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,31625,66,31625,66,0.9%,-%,14926.0,0.7%,0.4%,,,,
78,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,66,66,66,66,-%,-%,14926.0,0.7%,0.4%,,,,
79,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.89%, due 10/17/28)(5)(14)",40500,66,31379,66,25091,-%,0.7%,14926.0,0.7%,0.4%,,,,
80,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.89%, due 10/17/28)(5)(14)",40500,31379,31379,25091,25091,0.7%,0.7%,14926.0,0.7%,0.4%,,,,
81,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",44063,31379,29043,25091,17865,0.7%,0.5%,14926.0,0.7%,0.4%,,,,
82,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",44063,29043,29043,17865,17865,0.5%,0.5%,14926.0,0.7%,0.4%,,,,
83,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.39%, due 10/20/2025)(5)(14)",36515,29043,28041,17865,20984,0.5%,0.6%,14926.0,0.7%,0.4%,,,,
84,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.39%, due 10/20/2025)(5)(14)",36515,28041,28041,20984,20984,0.6%,0.6%,14926.0,0.7%,0.4%,,,,
85,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.57%, due 10/20/2027)(5)(6)(14)",31350,28041,27293,20984,24907,0.6%,0.7%,14926.0,0.7%,0.4%,,,,
86,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.57%, due 10/20/2027)(5)(6)(14)",31350,27293,27293,24907,24907,0.7%,0.7%,14926.0,0.7%,0.4%,,,,
87,"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (13.19% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",25595,27293,1145,24907,743,0.7%,-%,14926.0,0.7%,0.4%,,,,
88,"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (13.19% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",25595,1145,1145,743,743,-%,-%,14926.0,0.7%,0.4%,,,,
89,Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.70% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,1145,6938,743,7000,-%,0.2%,14926.0,0.7%,0.4%,,,,
90,Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.70% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,6938,6938,7000,7000,0.2%,0.2%,14926.0,0.7%,0.4%,,,,
91,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",7000,6938,7000,7000,6779,0.2%,0.2%,14926.0,0.7%,0.4%,,,,
92,"Senior Term Loan (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 2/21/2020)(10)(11)",79153,"Revolving Line of Credit – $7,000 Commitment (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",79153,6938,76649,7000,2.3%,0.2%,0.2%,14926.0,0.7%,0.4%,,,,
93,"Senior Term Loan (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 2/21/2020)(10)(11)",79153,"Revolving Line of Credit – $7,000 Commitment (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",79153,86153,76649,83428,2.3%,2.5%,0.2%,14926.0,0.7%,0.4%,,,,
94,"Autodata, Inc./ Autodata Solutions, Inc.",Canada / Software,"Second Lien Term Loan (8.82% (LIBOR + 7.25% with 1.00% LIBOR floor), due 12/14/2025)(8)(10)(11)",6000,86153,5970,83428,5970,2.5%,0.2%,14926.0,0.7%,0.4%,,,,
95,"Autodata, Inc./ Autodata Solutions, Inc.",Canada / Software,"Second Lien Term Loan (8.82% (LIBOR + 7.25% with 1.00% LIBOR floor), due 12/14/2025)(8)(10)(11)",6000,5970,5970,5970,5970,-%,0.2%,14926.0,0.7%,0.4%,,,,
96,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.87%, due 1/15/2026)(5)(6)(14)",52250,5970,40909,5970,36185,-%,1.1%,14926.0,0.7%,0.4%,,,,
97,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.87%, due 1/15/2026)(5)(6)(14)",52250,40909,40909,36185,36185,1.1%,1.1%,14926.0,0.7%,0.4%,,,,
98,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Note (9.69% (LIBOR + 8.00% with 1.25% LIBOR floor), due 12/02/2022)(10)(11)",459425,40909,459425,36185,459425,1.1%,13.7%,14926.0,0.7%,0.4%,,,,
99,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Note (9.69% (LIBOR + 8.00% with 1.25% LIBOR floor), due 12/02/2022)(10)(11)",459425,459425,459425,459425,459425,13.7%,13.7%,14926.0,0.7%,0.4%,,,,
100,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,459425,13.7%,13.7%,14926.0,0.7%,0.4%,,,,
101,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/17/2025)(5)(14)(17)",Principal Value,26000,Fair  Value(2),% of Net Assets,15673,13.7%,13.7%,12635.0,0.7%,0.4%,,,,
102,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/17/2025)(5)(14)(17)",Principal Value,15673,Fair  Value(2),12635,15673,0.4%,13.7%,12635.0,0.7%,0.4%,,,,
103,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 14.34%, due 10/16/2028)(5)(14)",58915,15673,41046,12635,36239,0.4%,1.1%,12635.0,0.7%,0.4%,,,,
104,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 14.34%, due 10/16/2028)(5)(14)",58915,41046,41046,36239,36239,1.1%,1.1%,12635.0,0.7%,0.4%,,,,
105,"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.82% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,41046,101113,36239,97457,1.1%,2.9%,12635.0,0.7%,0.4%,,,,
106,"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.82% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,101113,101113,97457,97457,2.9%,2.9%,12635.0,0.7%,0.4%,,,,
107,"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.85%, due 10/15/2026)(5)(6)(14)",25534,101113,19701,97457,19766,2.9%,0.6%,12635.0,0.7%,0.4%,,,,
108,"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.85%, due 10/15/2026)(5)(6)(14)",25534,19701,19701,19766,19766,0.6%,0.6%,12635.0,0.7%,0.4%,,,,
109,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.32%, due 10/20/2029)(5)(6)(14)",32200,19701,31624,19766,28476,0.6%,0.9%,12635.0,0.7%,0.4%,,,,
110,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.32%, due 10/20/2029)(5)(6)(14)",32200,31624,31624,28476,28476,0.9%,0.9%,12635.0,0.7%,0.4%,,,,
