,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
47,"Class A Units (38,550,460 units)",1/31/2013,,-,,,-,,20462,,17151,,0.6%,(14)(16),,,,,,,,,,,
48,,,,,,,,,,40549,,37238,,1.2%,,,,,,,,,,,
49,"NMMB, Inc. (28)",Media,"Delayed Draw Term Loan - $10,000 Commitment",3/25/2020,10.50% (3ML+ 8.50%),2.00,,12/30/2024,-,,-,,-,,-%,(10)(15),,,,,,,,,
50,Senior Secured Note,12/30/2019,10.50% (3ML+ 8.50%),2.00,,12/30/2024,5025,,5025,,5025,,0.2%,(3)(10),,,,,,,,,,,
51,"Common Stock (21,419 shares)",12/30/2019,,-,,,-,,12869,,28643,,0.9%,,,,,,,,,,,,
52,,,,,,,,,,17894,,33668,,1.1%,,,,,,,,,,,
53,Pacific World Corporation (39),Personal Products,"Revolving Line of Credit - $26,000 Commitment",9/26/2014,8.25% (1ML+ 7.25%),1.00,,9/26/2020,20825,,20825,,20825,,0.7%,(10)(15),,,,,,,,,
54,Senior Secured Term Loan A,12/31/2014,6.25% PIK (1ML+ 5.25%),1.00,,9/26/2020,39082,,39082,,39082,,1.3%,(10)(45),,,,,,,,,,,
55,"Convertible Preferred Equity (247,330 shares)",6/15/2018,,-,,,-,,186795,,-,,-%,(16),,,,,,,,,,,
56,"Common Stock (6,778,414 shares)",9/29/2017,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
57,,,,,,,,,,246702,,59907,,2.0%,,,,,,,,,,,
58,"R-V Industries, Inc.",Machinery,Senior Subordinated Note,6/12/2013,10.00% (3ML+ 9.00%),1.00,,3/31/2022,28622,,28622,,28622,,0.9%,(3)(10),,,,,,,,,
59,"Common Stock (745,107 shares)",6/26/2007,,-,,,-,,6867,,9943,,0.3%,(16),,,,,,,,,,,
60,,,,,,,,,,35489,,38565,,1.2%,,,,,,,,,,,
61,"Universal Turbine Parts, LLC (34)",Trading Companies & Distributors,"Delayed Draw Term Loan - $5,000 Commitment",2/28/2019,10.25% (1ML+ 7.75%),2.50,,7/22/2021,2887,,2887,,2887,,0.1%,(10)(15),,,,,,,,,
62,Senior Secured Term Loan A,7/22/2016,6.75% (3ML+ 5.75%),1.00,,7/22/2021,30063,,30063,,23712,,0.8%,(10),,,,,,,,,,,
63,Senior Secured Term Loan B,7/22/2016,12.75% PIK (3ML+ 11.75%),1.00,,7/22/2021,42941,,32500,,-,,-%,(9)(10),,,,,,,,,,,
64,"Common Stock (10,000 units)",12/10/2018,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
65,,,,,,,,,,65450,,26599,,0.9%,,,,,,,,,,,
66,USES Corp. (30),Commercial Services & Supplies,Senior Secured Term Loan A,3/31/2014,9.00% PIK,-,,7/29/2022,50327,,30651,,17325,,0.6%,(9),,,,,,,,,
67,Senior Secured Term Loan B,3/31/2014,15.50% PIK,-,,7/29/2022,66283,,35568,,-,,-%,(9),,,,,,,,,,,
68,"Common Stock (268,962 shares)",6/15/2016,,-,,,-,,-,,-,,-%,(16),,,,,,,,,,,
69,,,,,,,,,,66219,,17325,,0.6%,,,,,,,,,,,
70,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
71,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
72,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
73,"Valley Electric Company, Inc. (31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc.",12/31/2012,8.00% (3ML+ 5.00%) plus 2.50% PIK,3.00,,12/31/2024,,10430,,,10430,,,10430.0,,0.3%,(3)(10)(45),,,,,,
74,Senior Secured Note,6/24/2014,8.00% plus 10.00% PIK,-,,6/23/2024,33301,,33301,,33301,,1.1%,(45),,,,,,,,,,,
75,Consolidated Revenue Interest (2.0%),6/22/2018,,-,,,-,,-,,2448,,0.1%,(12),,,,,,,,,,,
76,"Common Stock (50,000 shares)",12/31/2012,,-,,,-,,25143,,83117,,2.7%,,,,,,,,,,,,
77,,,,,,,,,,68874,,129296,,4.2%,,,,,,,,,,,
78,Total Control Investments (Level 3),,,2286725,,,2259292,,73.9%,,,,,,,,,,,,,,,,
79,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
80,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
81,Affiliate Investments (5.00% to 24.99% voting control)(47),,,,,,,,,,,,,,,,,,,,,,,,
82,"Edmentum Ultimate Holdings, LLC (22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. - $7,834 Commitment",6/9/2015,5.00% PIK,-,,12/9/2021,,8539,,,9986,,,8539,,0.2%,(15)(45),,,,,,
83,Unsecured Senior PIK Note,6/9/2015,8.50% PIK,-,,12/9/2021,8920,,8920,,8920,,0.3%,(45),,,,,,,,,,,
84,Unsecured Junior PIK Note,6/9/2015,10.00% PIK,-,,12/9/2021,43048,,28665,,42159,,1.4%,(45),,,,,,,,,,,
85,"Class A Units (370,964 units)",6/9/2015,,-,,,-,,6577,,-,,-%,(16),,,,,,,,,,,
86,,,,,,,,,,54148,,59618,,1.9%,,,,,,,,,,,
87,"Nixon, Inc. (38)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,,-,,,-,,-,,-,,-%,(16),,,,,,,,,
88,,,,,,,,,,-,,-,,-%,,,,,,,,,,,
89,"PGX Holdings, Inc.",Diversified Consumer Services,1.5 Lien Term Loan,5/27/2020,11.50% PIK (3ML+ 10.50%),1.00,,3/29/2024,1981,,1981,,1981,,0.1%,(10)(45),,,,,,,,,
90,Second Lien Term Loan,9/29/2014,15.75% PIK (1ML+ 14.75%),1.00,,9/29/2024,104550,,104550,,98873,,3.2%,(10)(45),,,,,,,,,,,
91,"Common Stock (28,961,715 shares)",5/27/2020,,-,,,-,,-,,5857,,0.2%,(16),,,,,,,,,,,
92,,,,,,,,,,106531,,106711,,3.5%,,,,,,,,,,,
93,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,,-,,,-,,2805,,21208,,0.7%,(16),,,,,,,,,
94,,,,,,,,,,2805,,21208,,0.7%,,,,,,,,,,,
95,Total Affiliate Investments (Level 3),,,163484,,,187537,,6.1%,,,,,,,,,,,,,,,,
96,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
97,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
98,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
99,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.93% (1ML+ 7.75%),-,,10/1/2026,,25000,,,24853,,,25000,,0.8,%,(3)(8)(10),,,,,
100,,,,,,,,,,24853,,25000,,0.8,%,,,,,,,,,,
101,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,,12/15/2022,30000,,28806,,24338,,0.8,%,(8)(14),,,,,,,,
102,,,,,,,,,,28806,,24338,,0.8,%,,,,,,,,,,
103,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (3ML+ 8.50%),1.50,,11/8/2025,70000,,70000,,70000,,2.3,%,(3)(10),,,,,,,,
104,,,,,,,,,,70000,,70000,,2.3,%,,,,,,,,,,
105,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (3ML+ 8.50%),1.00,,3/18/2028,10000,,9806,,9806,,0.3,%,(8)(10),,,,,,,,
106,,,,,,,,,,9806,,9806,,0.3,%,,,,,,,,,,
107,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 8.74%",-,,10/17/2030,40500,,32650,,25211,,0.8,%,(5)(14),,,,,,,,
108,,,,,,,,,,32650,,25211,,0.8,%,,,,,,,,,,
109,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.25%",-,,4/15/2031,52202,,38099,,29275,,1.0,%,(5)(14),,,,,,,,
110,,,,,,,,,,38099,,29275,,1.0,%,,,,,,,,,,
111,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 12.38%",-,,4/21/2031,48515,,39270,,27793,,0.9,%,(5)(14),,,,,,,,
112,,,,,,,,,,39270,,27793,,0.9,%,,,,,,,,,,
113,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 15.58%",-,,4/21/2031,35855,,30035,,24192,,0.8,%,(5)(14),,,,,,,,
114,,,,,,,,,,30035,,24192,,0.8,%,,,,,,,,,,
115,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,-,,,-,,-,,-,,-,%,,,,,,,,,
116,,,,,,,,,,-,,-,,-,%,,,,,,,,,,
117,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit - $3,000 Commitment",2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,-,,-,,-,,-,%,(10)(15),,,,,,,,
118,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,71409,,71409,,71409,,2.3,%,(3)(10),,,,,,,,,,
119,,,,,,,,,,71409,,71409,,2.3,%,,,,,,,,,,
120,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 3.93%",-,,7/20/2029,83098,,48464,,30106,,1.0,%,(5)(14),,,,,,,,
121,,,,,,,,,,48464,,30106,,1.0,%,,,,,,,,,,
122,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,,12/2/2022,166307,,166307,,164656,,5.4,%,(3)(10),,,,,,,,
123,,,,,,,,,,166307,,164656,,5.4,%,,,,,,,,,,
124,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,,1/17/2028,36300,,17033,,11920,,0.4,%,(5)(14)(17),,,,,,,,
125,,,,,,,,,,17033,,11920,,0.4,%,,,,,,,,,,
126,California Street CLO IX Ltd.,Structured Finance,Subordinated Structured Note,4/19/2012,"Residual Interest, current yield 6.69%",-,,7/16/2032,58915,,40994,,27579,,0.9,%,(5)(14),,,,,,,,
127,,,,,,,,,,40994,,27579,,0.9,%,,,,,,,,,,
128,"Candle-Lite Company, LLC",Household Products,Senior Secured Term Loan A,1/23/2018,6.75% (3ML+ 5.50%),1.25,,1/23/2023,11937,,11937,,11937,,0.4,%,(3)(10),,,,,,,,
129,Senior Secured Term Loan B,1/23/2018,10.75% (3ML+ 9.50%),1.25,,1/23/2023,12500,,12500,,12425,,0.4,%,(3)(10),,,,,,,,,,
130,,,,,,,,,,24437,,24362,,0.8,%,,,,,,,,,,
131,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,Second Lien Term Loan,10/7/2014,9.32% (6ML+ 8.25%),1.00,,10/7/2022,98982,,98790,,98982,,3.2,%,(3)(8)(10),,,,,,,,
132,,,,,,,,,,98790,,98982,,3.2,%,,,,,,,,,,
133,Carlyle C17 CLO Limited,Structured Finance,Subordinated Structured Note,1/24/2013,"Residual Interest, current yield 20.31%",-,,4/30/2031,24870,,15391,,13009,,0.4,%,(5)(14),,,,,,,,
134,,,,,,,,,,15391,,13009,,0.4,%,,,,,,,,,,
135,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
136,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
137,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
138,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,Subordinated Structured Note,4/7/2017,"Residual Interest, current yield 17.05%",-,,7/15/2030,,25534,,,18656.0,,,15534,,0.5,%,(5)(14),,,,,
139,,,,,,,,,,18656,,15534,,0.5,%,,,,,,,,,,
140,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,Subordinated Structured Note,8/9/2016,"Residual Interest, current yield 12.42%",-,,10/22/2029,32200,,33536,,25358.0,,0.8,%,(5)(14),,,,,,,,
141,,,,,,,,,,33536,,25358,,0.8,%,,,,,,,,,,
142,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,First Lien Term Loan,5/23/2019,6.57% (6ML+ 5.50%),-,,10/1/2025,6010,,5929,,5929.0,,0.2,%,(3)(8)(10),,,,,,,,
143,First Lien Term Loan,5/23/2019,6.26% (3ML+ 5.50%),-,,10/1/2025,3615,,3566,,3566,,0.1,%,(3)(8)(10),,,,,,,,,,
144,Second Lien Term Loan,10/12/2018,9.76% (3ML+ 9.00%),-,,10/1/2026,37000,,36443,,36443,,1.2,%,(3)(8)(10),,,,,,,,,,
145,,,,,,,,,,45938,,45938,,1.5,%,,,,,,,,,,
146,Cent CLO 21 Limited,Structured Finance,Subordinated Structured Note,5/15/2014,"Residual Interest, current yield 7.80%",-,,7/29/2030,49552,,38806,,26006.0,,0.9,%,(5)(14),,,,,,,,
147,,,,,,,,,,38806,,26006,,0.9,%,,,,,,,,,,
148,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,Subordinated Structured Note,8/2/2013,"Residual Interest, current yield 10.23%",-,,4/24/2031,44100,,29717,,21373.0,,0.7,%,(5)(14),,,,,,,,
149,,,,,,,,,,29717,,21373,,0.7,%,,,,,,,,,,
150,"CIFC Funding 2013-IV, Ltd.",Structured Finance,Subordinated Structured Note,10/22/2013,"Residual Interest, current yield 13.44%",-,,4/28/2031,45500,,33090,,27518.0,,0.9,%,(5)(14),,,,,,,,
151,,,,,,,,,,33090,,27518,,0.9,%,,,,,,,,,,
152,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,Subordinated Structured Note,8/5/2014,"Residual Interest, current yield 9.49%",-,,10/17/2030,44467,,31238,,22711.0,,0.7,%,(5)(14),,,,,,,,
153,,,,,,,,,,31238,,22711,,0.7,%,,,,,,,,,,
154,"CIFC Funding 2016-I, Ltd.",Structured Finance,Subordinated Structured Note,12/9/2016,"Residual Interest, current yield 9.57%",-,,10/21/2031,34000,,30096,,26209.0,,0.9,%,(5)(14),,,,,,,,
155,,,,,,,,,,30096,,26209,,0.9,%,,,,,,,,,,
156,"Cinedigm DC Holdings, LLC",Entertainment,Senior Secured Term Loan,2/28/2013,11.00% (3ML+ 9.00%) plus 2.50% PIK,2.00,,3/31/2021,12107,,12057,,12107.0,,0.4,%,(10)(45),,,,,,,,
157,,,,,,,,,,12057,,12107,,0.4,%,,,,,,,,,,
158,"Class Valuation, LLC",Real Estate Management & Development,Senior Secured Term Loan,3/12/2018,9.75% (3ML+ 8.25%),1.50,,3/10/2023,31747,,31747,,31747.0,,1.0,%,(3)(10),,,,,,,,
159,,,,,,,,,,31747,,31747,,1.0,%,,,,,,,,,,
160,"Collections Acquisition Company, Inc.",Diversified Financial Services,Senior Secured Term Loan,12/3/2019,10.15% (3ML+ 7.65%),2.50,,6/3/2024,30165,,30165,,30165.0,,1.0,%,(3)(10),,,,,,,,
161,,,,,,,,,,30165,,30165,,1.0,%,,,,,,,,,,
162,Columbia Cent CLO 27 Limited,Structured Finance,Subordinated Structured Note,12/18/2013,"Residual Interest, current yield 7.78%",-,,10/25/2028,40275,,23099,,18356.0,,0.6,%,(5)(14),,,,,,,,
163,,,,,,,,,,23099,,18356,,0.6,%,,,,,,,,,,
164,"Coverall North America, Inc.",Commercial Services & Supplies,Senior Secured Term Loan A,11/2/2015,7.00% (3ML+ 6.00%),1.00,,5/3/2021,2622,,2622,,2622.0,,0.1,%,(3)(10),,,,,,,,
165,Senior Secured Term Loan B,11/2/2015,12.00% (3ML+ 11.00%),1.00,,5/3/2021,22750,,22750,,22750,,0.7,%,(3)(10),,,,,,,,,,
166,,,,,,,,,,25372,,25372,,0.8,%,,,,,,,,,,
167,CP VI Bella Midco,IT Services,Second Lien Term Loan,2/26/2018,6.93% (1ML+ 6.75%),-,,12/29/2025,15750,,15711,,15750.0,,0.5,%,(3)(8)(10),,,,,,,,
168,,,,,,,,,,15711,,15750,,0.5,%,,,,,,,,,,
169,"Digital Room, LLC",Commercial Services & Supplies,First Lien Term Loan,5/29/2019,6.07% (6ML+ 5.00%),-,,5/21/2026,9900,,9785,,9359.0,,0.3,%,(3)(8)(10),,,,,,,,
170,Second Lien Term Loan,5/30/2019,10.07% (6ML+ 9.00%),-,,5/21/2027,70000,,70000,,66761,,2.2,%,(3)(8)(10),,,,,,,,,,
171,,,,,,,,,,79785,,76120,,2.5,%,,,,,,,,,,
172,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,,,,,,,,,,,,,,
173,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
174,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,,
175,"Dunn Paper, Inc.",Paper & Forest Products,First Lien Term Loan,11/27/2019,5.75% (1ML+ 4.75%),1.00,,8/26/2022,,4488,,,4393,,,4393,,0.1,%,(3)(8)(10),,,,,
176,Second Lien Term Loan,10/7/2016,9.75% (1ML+ 8.75%),1.00,,8/26/2023,11500,,11395,,11395,,0.4,%,(3)(8)(10),,,,,,,,,,
177,,,,,,,,,,15788,,15788,,0.5,%,,,,,,,,,,
178,"Easy Gardener Products, Inc.",Household Durables,Third Lien Term Loan,6/11/2020,10.31% (3ML+ 10.00%),0.25,,9/30/2024,3990,,3990,,3990,,0.2,%,(10),,,,,,,,
179,"Class A Units of EZG Holdings, LLC (200 units)",6/11/2020,,-,,,-,,313,,781,,-,%,(16),,,,,,,,,,
180,"Class B Units of EZG Holdings, LLC (12,525 units)",6/11/2020,,-,,,-,,1688,,3072,,0.1,%,(16),,,,,,,,,,
181,,,,,,,,,,5991,,7843,,0.3,%,,,,,,,,,,
182,EDSCO Holding Company LLC,Machinery,Senior Secured Term Loan,1/10/2020,7.50% (1ML+ 6.00%),1.50,,1/10/2025,19875,,19875,,19875,,0.7,%,(3)(10),,,,,,,,
183,,,,,,,,,,19875,,19875,,0.7,%,,,,,,,,,,
184,"Engine Group, Inc. (7)",Media,Senior Secured Term Loan,9/25/2017,6.00% (1ML+ 5.00%),1.00,,9/15/2022,4220,,4220,,3760,,0.1,%,(8)(9)(10),,,,,,,,
185,Second Lien Term Loan,9/25/2017,10.00% (1ML+ 9.00%),1.00,,9/15/2023,35000,,35000,,2754,,0.1,%,(8)(9)(10),,,,,,,,,,
186,,,,,,,,,,39220,,6514,,0.2,%,,,,,,,,,,
187,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals",Second Lien Term Loan,12/5/2017,8.94% (3ML+ 7.50%),1.00,,12/1/2025,12500,,12415,,12318,,0.4,%,(3)(8)(10),,,,,,,,
188,,,,,,,,,,12415,,12318,,0.4,%,,,,,,,,,,
189,"Galaxy XV CLO, Ltd.",Structured Finance,Subordinated Structured Note,2/13/2013,"Residual Interest, current yield 11.47%",-,,10/15/2030,50525,,35451,,24637,,0.8,%,(5)(14),,,,,,,,
190,,,,,,,,,,35451,,24637,,0.8,%,,,,,,,,,,
191,"Galaxy XXVII CLO, Ltd.",Structured Finance,Subordinated Structured Note,9/30/2013,"Residual Interest, current yield 10.18%",-,,5/16/2031,24575,,16647,,11093,,0.4,%,(5)(14),,,,,,,,
192,,,,,,,,,,16647,,11093,,0.4,%,,,,,,,,,,
193,"Galaxy XXVIII CLO, Ltd.",Structured Finance,Subordinated Structured Note,5/30/2014,"Residual Interest, current yield 9.89%",-,,7/15/2031,39905,,28584,,16973,,0.6,%,(5)(14),,,,,,,,
194,,,,,,,,,,28584,,16973,,0.6,%,,,,,,,,,,
195,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit - $3,621 Commitment",12/12/2019,7.88% (1ML+ 6.25%),1.63,,10/25/2024,769,,769,,767,,-,%,(10)(15),,,,,,,,
