,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
22,"Senior Secured Term Loan A (7.30% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.5%,,,,,,,,,,,,,
23,"Senior Secured Term Loan B (10.00% PIK, due 9/5/2020)(46)",8/3/2012,122188,,122188,,104977,,3.3%,,,,,,,,,,,,,
24,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,44763,,35766,,-,,-%,,,,,,,,,,,,,
25,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5065,,5001,,-,,-%,,,,,,,,,,,,,
26,"Common Stock (99,900 shares)(16)",5/3/2019,,,1,,-,,-%,,,,,,,,,,,,,
27,,,,,,,254950,,196971,,6.2%,,,,,,,,,,,
28,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
29,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
30,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,,,,2378,,,4361,,0.1%,,,,,,,,,
31,,,,,,,2378,,4361,,0.1%,,,,,,,,,,,
32,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 6/30/2020)(3)(11)",9/19/2013,,26250,,26250,,26250,,0.8%,,,,,,,,,,
33,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",9/19/2013,31386,,31386,,29936,,1.0%,,,,,,,,,,,,,
34,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5683,,6627,,-,,-%,,,,,,,,,,,,,
35,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-%,,,,,,,,,,,,,
36,,,,,,,71112,,56186,,1.8%,,,,,,,,,,,
37,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,,433553,,433553,,13.6%,,,,,,,,,,,
38,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,79000,,79000,,79000,,2.5%,,,,,,,,,,,,,
39,"Senior Secured Term Loan C (15.00% (LIBOR + 12.00% with 3.00% LIBOR floor) plus 2.25% PIK, due 12/31/2023)(11)(46)",10/31/2019,51428,,51428,,51428,,1.6%,,,,,,,,,,,,,
40,Residual Profit Interest(37),12/31/2018,,,-,,37562,,1.2%,,,,,,,,,,,,,
41,"Common Stock (3,203,927 shares)(52)",12/31/2013,,,176693,,425345,,13.4%,,,,,,,,,,,,,
42,,,,,,,740674,,1026888,,32.3%,,,,,,,,,,,
43,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,19420,,19420,,19420,,0.6%,,,,,,,,,,,
44,"Class A Units (32,456,159 units)(14)",1/31/2013,,,21962,,16807,,0.5%,,,,,,,,,,,,,
45,,,,,,,41382,,36227,,1.1%,,,,,,,,,,,
46,"NMMB, Inc.(28)",Media,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)",12/30/2019,15100,,15100,,15100,,0.5%,,,,,,,,,,,
47,"Common Stock (21,419 shares)(16)",12/30/2019,-,,12869,,22818,,0.7%,,,,,,,,,,,,,
48,,,,,,,27969,,37918,,1.2%,,,,,,,,,,,
49,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.06% (LIBOR + 7.25% with 1.00% LIBOR floor), in non-accrual status effective 10/1/2019, due 9/26/2020)(13)(15)",9/26/2014,20825,,20825,,20825,,0.7%,,,,,,,,,,,
50,"Senior Secured Term Loan A (7.06% PIK (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,105045,,96000,,41785,,1.3%,,,,,,,,,,,,,
51,"Senior Secured Term Loan B (11.06% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,116671,,96500,,-,,-%,,,,,,,,,,,,,
52,"Convertible Preferred Equity (227,330shares)(16)",6/15/2018,,,34100,,-,,-%,,,,,,,,,,,,,
53,"Common Stock (6,778,414 shares)(16)",9/29/2017,,,-,,-,,-%,,,,,,,,,,,,,
54,,,,,,,247425,,62610,,2.0%,,,,,,,,,,,
55,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (10.95% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,,28622,,28622,,0.9%,,,,,,,,,,,
56,"Common Stock (745,107 shares)(16)",6/26/2007,,,6866,,7881,,0.2%,,,,,,,,,,,,,
57,,,,,,,35488,,36503,,1.1%,,,,,,,,,,,
58,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
59,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
60,"Universal Turbine Parts, LLC(34)",Trading Companies & Distributors,"Delayed Draw Term Loan – $5,000 Commitment (10.25% (LIBOR + 7.75% with 2.50% LIBOR floor), due 7/22/2021)(13)(15)",2/28/2019,,998,,,998,,,998.0,,-%,,,,,,,,
61,"Senior Secured Term Loan A (7.70% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(11)",7/22/2016,30388,,30388,,27624,,0.9%,,,,,,,,,,,,,
62,"Senior Secured Term Loan B (13.70% PIK (LIBOR + 11.75% with 1.00% LIBOR floor), in non-accrual status effective 7/1/2018, due 7/22/2021)(11)",7/22/2016,40163,,32500,,-,,-%,,,,,,,,,,,,,
63,"Common Stock (10,000 units)(16)",12/10/2018,,,-,,-,,-%,,,,,,,,,,,,,
64,,,,,,,63886,,28622,,0.9%,,,,,,,,,,,
65,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,42013,,30651,,16101,,0.5%,,,,,,,,,,,
66,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,61318,,35568,,-,,-%,,,,,,,,,,,,,
67,"Common Stock (268,962 shares)(16)",6/15/2016,,,-,,-,,-%,,,,,,,,,,,,,
68,,,,,,,66219,,16101,,0.5%,,,,,,,,,,,
69,"Valley Electric Company, Inc.(31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",12/31/2012,10430,,10430,,10430,,0.3%,,,,,,,,,,,
70,"Senior Secured Note (8.00% plus 10.00% PIK, due 6/23/2024)(46)",6/24/2014,33301,,33301,,33301,,1.0%,,,,,,,,,,,,,
71,Consolidated Revenue Interest (2.0%)(38),6/22/2018,,,-,,2746,,0.1%,,,,,,,,,,,,,
72,"Common Stock (50,000 shares)",12/31/2012,,,22875,,76023,,2.4%,,,,,,,,,,,,,
73,,,,,,,66606,,122500,,3.8%,,,,,,,,,,,
74,Total Control Investments,,,2397025,,,2412260,,75.8%,,,,,,,,,,,,,
75,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
76,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
77,"8th Avenue Food & Provisions, Inc.",Food Products,"Second Lien Term Loan (9.49% (LIBOR + 7.75%), due 10/1/2026)(3)(8)(13)",10/10/2018,,25000,,,24841,,,24841.0,,0.8%,,,,,,,,
78,,,,,,24841,,24841,,0.8%,,,,,,,,,,,,
79,"ACE Cash Express, Inc.",Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(10)(14)",12/15/2017,30000,,28563,,25491,,0.8%,,,,,,,,,,,
80,,,,,,28563,,25491,,0.8%,,,,,,,,,,,,
81,"Ahead Data Blue, LLC",IT Services,"Second Lien Term Loan (10.30% (LIBOR + 8.50% with 1.50% LIBOR floor), due 11/8/2025)(13)",12/13/2019,70000,,70000,,70000,,2.2%,,,,,,,,,,,
82,,,,,,70000,,70000,,2.2%,,,,,,,,,,,,
83,"AmeriLife Group, LLC",Insurance,"Second Lien Term Loan (10.80% (LIBOR + 9.00%), due 6/11/2027)(3)(8)(13)",6/24/2019,10000,,10000,,10000,,0.3%,,,,,,,,,,,
84,,,,,,10000,,10000,,0.3%,,,,,,,,,,,,
85,Apidos CLO XI,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 10.94%, due 10/17/2030)(5)(14)",1/17/2013,40500,,33349,,27462,,0.9%,,,,,,,,,,,
86,,,,,,33349,,27462,,0.9%,,,,,,,,,,,,
87,Apidos CLO XII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 15.64%, due 4/15/2031)(5)(14)",4/18/2013,52203,,37154,,30457,,1.0%,,,,,,,,,,,
88,,,,,,37154,,30457,,1.0%,,,,,,,,,,,,
89,Apidos CLO XV,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 15.00%, due 4/21/2031)(5)(14)",10/16/2013,48515,,38601,,29519,,0.9%,,,,,,,,,,,
90,,,,,,38601,,29519,,0.9%,,,,,,,,,,,,
91,Apidos CLO XXII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.32%, due 10/20/2027)(5)(14)",10/14/2015,31350,,28147,,23446,,0.7%,,,,,,,,,,,
92,,,,,,28147,,23446,,0.7%,,,,,,,,,,,,
93,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,,-,,-,,-%,,,,,,,,,,,
94,,,,,,-,,-,,-%,,,,,,,,,,,,
95,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit – $6,000 Commitment (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 2/21/2020)(11)(15)",2/21/2013,2000,,2000,,2000,,0.1%,,,,,,,,,,,
96,"Senior Secured Term Loan (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 2/21/2020)(3)(11)",2/21/2013,73919,,73919,,73919,,2.3%,,,,,,,,,,,,,
97,,,,,,75919,,75919,,2.4%,,,,,,,,,,,,
98,Barings CLO 2018-III,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.42%, due 7/20/2029)(5)(14)",11/18/2014,83098,,49380,,34711,,1.1%,,,,,,,,,,,
99,,,,,,49380,,34711,,1.1%,,,,,,,,,,,,
100,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods","Senior Secured Note (10.47% (LIBOR + 8.50% with 1.25% LIBOR floor), due 12/02/2022)(3)(11)",12/4/2017,172844,,172844,,172844,,5.4%,,,,,,,,,,,
101,,,,,,172844,,172844,,5.4%,,,,,,,,,,,,
102,Brookside Mill CLO Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 5.43%, due 1/17/2028)(5)(14)",5/23/2013,36300,,18044,,12763,,0.4%,,,,,,,,,,,
103,,,,,,18044,,12763,,0.4%,,,,,,,,,,,,
104,California Street CLO IX Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 10.64%, due 7/16/2032)(5)(14)",5/8/2012,58915,,41473,,31743,,1.0%,,,,,,,,,,,
105,,,,,,41473,,31743,,1.0%,,,,,,,,,,,,
106,"Candle-Lite Company, LLC",Household Products,"Senior Secured Term Loan A (7.42% (LIBOR + 5.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12063,,12063,,12061,,0.4%,,,,,,,,,,,
107,"Senior Secured Term Loan B (11.42% (LIBOR + 9.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12500,,12500,,12500,,0.4%,,,,,,,,,,,,,
108,,,,,,,24563,,24561,,0.8%,,,,,,,,,,,
109,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
110,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
111,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,"Second Lien Term Loan (10.05% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(13)",10/7/2014,,98982,,,98748,,,98982.0,,3.1%,,,,,,,,
112,,,,,,98748,,98982,,3.1%,,,,,,,,,,,,
113,Carlyle C17 CLO Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 20.27%, due 4/30/2031)(5)(14)",2/21/2013,24870,,15023,,12792,,0.4%,,,,,,,,,,,
114,,,,,,15023,,12792,,0.4%,,,,,,,,,,,,
115,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 21.30%, due 7/15/2030)(5)(14)",4/12/2017,25534,,17750,,17577,,0.5%,,,,,,,,,,,
116,,,,,,,17750,,17577,,0.5%,,,,,,,,,,,
117,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 11.59%, due 10/20/2029)(5)(14)",9/13/2016,32200,,34555,,26208,,0.8%,,,,,,,,,,,
118,,,,,,,34555,,26208,,0.8%,,,,,,,,,,,
119,CCPI Inc.(19),"Electronic Equipment, Instruments & Components",Escrow Receivable,2/28/2019,,,-,,2307,,0.1%,,,,,,,,,,,
120,,,,,,,-,,2307,,0.1%,,,,,,,,,,,
121,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,"First Lien Term Loan (7.30% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(13)",5/23/2019,6033,,5945,,5945,,0.2%,,,,,,,,,,,
122,"First Lien Term Loan (7.43% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(11)",5/23/2019,3639,,3586,,3586,,0.1%,,,,,,,,,,,,,
123,"Second Lien Term Loan (10.93% (LIBOR + 9.00%), due 10/1/2026)(3)(8)(11)",10/12/2018,37000,,36399,,36399,,1.1%,,,,,,,,,,,,,
124,,,,,,,45930,,45930,,1.4%,,,,,,,,,,,
125,Cent CLO 21 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.37%, due 7/27/2030)(5)(14)",6/18/2014,49552,,38609,,28433,,0.9%,,,,,,,,,,,
126,,,,,,38609,,28433,,0.9%,,,,,,,,,,,,
127,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 12.15%, due 4/24/2031)(5)(14)",9/12/2013,44100,,29748,,22814,,0.7%,,,,,,,,,,,
128,,,,,,29748,,22814,,0.7%,,,,,,,,,,,,
129,"CIFC Funding 2013-IV, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.09%, due 4/28/2031)(5)(14)",11/14/2013,45500,,32707,,28641,,0.9%,,,,,,,,,,,
130,,,,,,32707,,28641,,0.9%,,,,,,,,,,,,
131,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.42%, due 10/17/2030)(5)(14)",9/3/2014,44467,,30913,,25457,,0.8%,,,,,,,,,,,
132,,,,,,30913,,25457,,0.8%,,,,,,,,,,,,
133,"CIFC Funding 2016-I, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 11.55%, due 10/21/2031)(5)(14)",12/21/2016,34000,,31031,,27479,,0.9%,,,,,,,,,,,
134,,,,,,31031,,27479,,0.9%,,,,,,,,,,,,
135,"Cinedigm DC Holdings, LLC",Entertainment,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(46)",2/28/2013,12559,,12509,,12559,,0.4%,,,,,,,,,,,
136,,,,,,,12509,,12559,,0.4%,,,,,,,,,,,
137,"Class Valuation, LLC",Real Estate Management & Development,"Revolving Line of Credit – $1,500 Commitment (10.20% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/12/2020)(11)(15)",3/12/2018,-,,-,,-,,-%,,,,,,,,,,,
138,"Senior Secured Term Loan (10.20% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/10/2023)(3)(11)",3/12/2018,38432,,38432,,38432,,1.2%,,,,,,,,,,,,,
139,,,,,,,38432,,38432,,1.2%,,,,,,,,,,,
140,"Collections Acquisition Company, Inc.",Diversified Financial Services,"Senior Secured Term Loan (10.15% (LIBOR + 7.65% with 2.50% LIBOR floor), due 6/3/2024)(3)(11)",12/3/2019,30433,,30433,,30433,,1.0%,,,,,,,,,,,
141,,,,,,,30433,,30433,,1.0%,,,,,,,,,,,
142,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
143,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
144,Columbia Cent CLO 27 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 17.36%, due 10/25/2028)(5)(14)",1/15/2014,,40275,,,22646,,,24635.0,,0.8%,,,,,,,,
145,,,,,,,22646,,24635,,0.8%,,,,,,,,,,,
146,"Coverall North America, Inc.",Commercial Services & Supplies,"Senior Secured Term Loan A (7.95% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",11/2/2015,5100,,5100,,5100,,0.2%,,,,,,,,,,,
147,"Senior Secured Term Loan B (12.95% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(11)",11/2/2015,23000,,23000,,23000,,0.7%,,,,,,,,,,,,,
148,,,,,,28100,,28100,,0.9%,,,,,,,,,,,,
149,CP VI Bella Midco,IT Services,"Second Lien Term Loan (8.55% (LIBOR + 6.75%), due 12/29/2025)(3)(8)(13)",2/26/2018,15750,,15707,,15750,,0.5%,,,,,,,,,,,
150,,,,,,15707,,15750,,0.5%,,,,,,,,,,,,
151,"Digital Room, LLC",Commercial Services & Supplies,"First Lien Term Loan (6.80% (LIBOR + 5.00%), due 5/21/2026)(3)(8)(13)",5/29/2019,9950,,9819,,9819,,0.3%,,,,,,,,,,,
152,"Second Lien Term Loan (10.80% (LIBOR + 9.00%), due 5/21/2027)(3)(8)(13)",5/30/2019,70000,,70000,,69477,,2.2%,,,,,,,,,,,,,
153,,,,,,79819,,79296,,2.5%,,,,,,,,,,,,
154,"Dunn Paper, Inc.",Paper & Forest Products,"First Lien Term Loan (6.55% (LIBOR + 4.75% with 1.00% LIBOR floor), due 8/26/2022)(8)(13)",11/27/2019,4488,,4371,,4371,,0.1%,,,,,,,,,,,
155,"Second Lien Term Loan (10.55% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(13)",10/7/2016,11500,,11379,,11379,,0.4%,,,,,,,,,,,,,
156,,,,,,15750,,15750,,0.5%,,,,,,,,,,,,
157,"Easy Gardener Products, Inc.",Household Durables,"Senior Secured Term Loan (11.95% (LIBOR + 10.00% with 0.25% LIBOR floor), in non-accrual status effective 10/1/2019, due 09/30/2020)(11)",10/2/2015,15719,,15719,,4353,,0.1%,,,,,,,,,,,
158,,,,,,15719,,4353,,0.1%,,,,,,,,,,,,
159,"Engine Group, Inc.(7)",Media,"Senior Secured Term Loan (6.94% (LIBOR + 5.00% with 1.00% LIBOR floor), due 9/15/2022)(8)(11)",9/25/2017,4220,,4220,,4031,,0.1%,,,,,,,,,,,
160,"Second Lien Term Loan (10.94% (LIBOR + 9.00% with 1.00% LIBOR floor), due 9/15/2023)(3)(8)(11)",9/25/2017,35000,,35000,,31305,,1.0%,,,,,,,,,,,,,
161,,,,,,39220,,35336,,1.1%,,,,,,,,,,,,
162,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals","Second Lien Term Loan (9.59% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(3)(8)(11)",12/5/2017,12500,,12408,,12408,,0.4%,,,,,,,,,,,
163,,,,,,12408,,12408,,0.4%,,,,,,,,,,,,
164,"Galaxy XV CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.86%, due 10/15/2030)(5)(14)",3/14/2013,50525,,35944,,25468,,0.8%,,,,,,,,,,,
165,,,,,,35944,,25468,,0.8%,,,,,,,,,,,,
166,"Galaxy XXVII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 8.24%, due 5/16/2031)(5)(14)",11/5/2013,24575,,16516,,11463,,0.4%,,,,,,,,,,,
167,,,,,,16516,,11463,,0.4%,,,,,,,,,,,,
168,"Galaxy XXVIII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.75%, due 7/15/2031)(5)(14)",6/27/2014,39905,,28720,,18207,,0.6%,,,,,,,,,,,
169,,,,,,28720,,18207,,0.6%,,,,,,,,,,,,
170,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit – $3,621 Commitment (7.96% (LIBOR+6.25% with 1.63% LIBOR floor), due10/25/2024)(13)(15)",12/12/2019,-,,-,,-,,-%,,,,,,,,,,,
171,"First Lien Term Loan (7.96% (LIBOR+6.25% with 1.63% LIBOR floor), due10/25/2024)(13)",12/12/2019,31379,,31207,,31207,,1.0%,,,,,,,,,,,,,
172,,,,,,31207,,31207,,1.0%,,,,,,,,,,,,
173,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
174,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
175,Global Tel*Link Corporation,Diversified Telecommunication Services,"First Lien Term Loan (6.05% (LIBOR + 4.25%), due 11/29/2025)(3)(8)(13)",8/20/2019,,9950,,,9561,,,9490.0,,0.3%,,,,,,,,
176,"Second Lien Term Loan (10.05% (LIBOR + 8.25%), due 11/29/2026)(3)(8)(13)",12/4/2018,40170,,39334,,38674,,1.2%,,,,,,,,,,,,,
177,,,,,,48895,,48164,,1.5%,,,,,,,,,,,,
178,"GlobalTranz Enterprises, Inc.",Air Freight & Logistics,"Second Lien Term Loan (10.04% (LIBOR + 8.25%), due 5/15/2027)(3)(8)(13)",5/15/2019,12500,,12500,,12385,,0.4%,,,,,,,,,,,
179,,,,,,12500,,12385,,0.4%,,,,,,,,,,,,
180,"H.I.G. ECI Merger Sub, Inc.",IT Services,"Senior Secured Term Loan A (7.45% (LIBOR + 5.50% with 1.50% LIBOR floor), due 5/31/2023)(3)(11)",5/31/2018,44016,,44016,,44016,,1.4%,,,,,,,,,,,
181,"Senior Secured Term Loan B (12.45% (LIBOR + 10.50% with 1.50% LIBOR floor), due 5/31/2023)(3)(11)",5/31/2018,29900,,29900,,29900,,0.9%,,,,,,,,,,,,,
182,,,,,,73916,,73916,,2.3%,,,,,,,,,,,,
183,Halcyon Loan Advisors Funding 2012-1 Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",8/15/2012,23188,,3758,,-,,-%,,,,,,,,,,,
184,,,,,,3758,,-,,-%,,,,,,,,,,,,
185,Halcyon Loan Advisors Funding 2013-1 Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",3/28/2013,40400,,19984,,1347,,-%,,,,,,,,,,,
186,,,,,,19984,,1347,,-%,,,,,,,,,,,,
187,Halcyon Loan Advisors Funding 2014-1 Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 4/18/2026)(5)(14)(17)",3/6/2014,24500,,11822,,1244,,-%,,,,,,,,,,,
188,,,,,,11822,,1244,,-%,,,,,,,,,,,,
