,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
45,"NMMB, Inc.(28)",Media,"Delayed Draw Term Loan – $10,000 Commitment (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)(15)",3/25/2020,-,,-,,-,,-%,,,,,,,,,,,
46,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)",12/30/2019,5062,,5062,,5062,,0.1%,,,,,,,,,,,,,
47,"Common Stock (21,419 shares)",12/30/2019,-,,12869,,31498,,1.1%,,,,,,,,,,,,,
48,,,,,,,17931,,36560,,1.2%,,,,,,,,,,,
49,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (8.25% (LIBOR + 7.25% with 1.00% LIBOR floor), in non-accrual status effective 10/1/2019, due 9/26/2020)(13)(15)",9/26/2014,19625,,19625,,19625,,0.7%,,,,,,,,,,,
50,"Senior Secured Term Loan A (6.25% PIK (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,105045,,92277,,33599,,1.1%,,,,,,,,,,,,,
51,"Senior Secured Term Loan B (11.20% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,119927,,96500,,-,,-%,,,,,,,,,,,,,
52,"Convertible Preferred Equity (247,330 shares)(16)",6/15/2018,,,37100,,-,,-%,,,,,,,,,,,,,
53,"Common Stock (6,778,414 shares)(16)",9/29/2017,,,-,,-,,-%,,,,,,,,,,,,,
54,,,,,,,245502,,53224,,1.8%,,,,,,,,,,,
55,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (10.46% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,,28622,,28622,,1.0%,,,,,,,,,,,
56,"Common Stock (745,107 shares)(16)",6/26/2007,,,6866,,9221,,0.3%,,,,,,,,,,,,,
57,,,,,,,35488,,37843,,1.3%,,,,,,,,,,,
58,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
59,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
60,"Universal Turbine Parts, LLC(34)",Trading Companies & Distributors,"Delayed Draw Term Loan – $5,000 Commitment (10.25% (LIBOR + 7.75% with 2.50% LIBOR floor), due 7/22/2021)(13)(15)",2/28/2019,,2894,,,2894,,,2894.0,,0.1%,,,,,,,,
61,"Senior Secured Term Loan A (7.21% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(11)",7/22/2016,30225,,30225,,25339,,0.9%,,,,,,,,,,,,,
62,"Senior Secured Term Loan B (13.21% PIK (LIBOR + 11.75% with 1.00% LIBOR floor), in non-accrual status effective 7/1/2018, due 7/22/2021)(11)",7/22/2016,41553,,32500,,-,,-%,,,,,,,,,,,,,
63,"Common Stock (10,000 units)(16)",12/10/2018,,,-,,-,,-%,,,,,,,,,,,,,
64,,,,,,,65619,,28233,,1.0%,,,,,,,,,,,
65,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,49199,,30651,,16182,,0.6%,,,,,,,,,,,
66,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,63752,,35568,,-,,-%,,,,,,,,,,,,,
67,"Common Stock (268,962 shares)(16)",6/15/2016,,,-,,-,,-%,,,,,,,,,,,,,
68,,,,,,,66219,,16182,,0.6%,,,,,,,,,,,
69,"Valley Electric Company, Inc.(31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",12/31/2012,10430,,10430,,10430,,0.4%,,,,,,,,,,,
70,"Senior Secured Note (8.00% plus 10.00% PIK, due 6/23/2024)(46)",6/24/2014,33301,,33301,,33301,,1.1%,,,,,,,,,,,,,
71,Consolidated Revenue Interest (2.0%)(38),6/22/2018,,,-,,2616,,0.1%,,,,,,,,,,,,,
72,"Common Stock (50,000 shares)",12/31/2012,,,25143,,75643,,2.6%,,,,,,,,,,,,,
73,,,,,,,68874,,121990,,4.2%,,,,,,,,,,,
74,Total Control Investments,,,2290680,,,2208472,,75.3%,,,,,,,,,,,,,
75,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
76,Affiliate Investments (5.00% to 24.99% voting control)(48),,,,,,,,,,,,,,,,,,,,,
77,"Edmentum Ultimate Holdings, LLC(22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00% PIK, due 12/9/2021)(15)(46)",6/9/2015,,8434,,,8434,,,8434.0,,0.3%,,,,,,,,
78,"Unsecured Senior PIK Note (8.50% PIK, due 12/9/2021)(46)",6/9/2015,8734,,8734,,8734,,0.3%,,,,,,,,,,,,,
79,"Unsecured Junior PIK Note (10.00% PIK, due 12/9/2021)(46)",6/9/2015,41998,,27614,,39529,,1.3%,,,,,,,,,,,,,
80,"Class A Units (370,964 units)(16)",6/9/2015,-,,6577,,-,,-%,,,,,,,,,,,,,
81,,,,,,51359,,56697,,1.9%,,,,,,,,,,,,
82,"Nixon, Inc.(39)","Textiles, Apparel & Luxury Goods",Common Stock (857 units)(16),5/12/2017,-,,-,,-,,-%,,,,,,,,,,,
83,,,,,,-,,-,,-%,,,,,,,,,,,,
84,Targus Cayman HoldCo Limited(33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,-,,2805,,18042,,0.6%,,,,,,,,,,,
85,,,,,,2805,,18042,,0.6%,,,,,,,,,,,,
86,"United Sporting Companies, Inc.(18)",Distributors,"Second Lien Term Loan (13.25% (LIBOR + 11.00% with 1.75% LIBOR floor) plus 2.00% PIK, in non-accrual status effective 4/1/2017, due 11/16/2019)(13)",9/28/2012,147470,,105478,,4716,,0.2%,,,,,,,,,,,
87,"Common Stock (218,941 shares)(16)",5/2/2017,-,,-,,-,,-%,,,,,,,,,,,,,
88,,,,,,105478,,4716,,0.2%,,,,,,,,,,,,
89,Total Affiliate Investments,,,159642,,,79455,,2.7%,,,,,,,,,,,,,
90,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
91,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
92,"8th Avenue Food & Provisions, Inc.",Food Products,"Second Lien Term Loan (8.55% (LIBOR + 7.75%), due 10/1/2026)(3)(8)(13)",10/10/2018,,25000,,,24847,,,25000.0,,0.9%,,,,,,,,
93,,,,,,24847,,25000,,0.9%,,,,,,,,,,,,
94,"ACE Cash Express, Inc.",Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",12/15/2017,30000,,28685,,24651,,0.8%,,,,,,,,,,,
95,,,,,,28685,,24651,,0.8%,,,,,,,,,,,,
96,"Ahead Data Blue, LLC",IT Services,"Second Lien Term Loan (10.00% (LIBOR + 8.50% with 1.50% LIBOR floor), due 11/8/2025)(3)(13)",12/13/2019,70000,,70000,,70000,,2.4%,,,,,,,,,,,
97,,,,,,70000,,70000,,2.4%,,,,,,,,,,,,
98,Apidos CLO XI,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 8.47%, due 10/17/2030)(5)(14)",1/17/2013,40500,,32907,,25004,,0.9%,,,,,,,,,,,
99,,,,,,32907,,25004,,0.9%,,,,,,,,,,,,
100,Apidos CLO XII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.71%, due 4/15/2031)(5)(14)",4/18/2013,52203,,37578,,28408,,1.0%,,,,,,,,,,,
101,,,,,,37578,,28408,,1.0%,,,,,,,,,,,,
102,Apidos CLO XV,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.13%, due 4/21/2031)(5)(14)",10/16/2013,48515,,38910,,27649,,0.9%,,,,,,,,,,,
103,,,,,,38910,,27649,,0.9%,,,,,,,,,,,,
104,Apidos CLO XXII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.15%, due 4/21/2031)(5)(14)",10/14/2015,35855,,29998,,23429,,0.8%,,,,,,,,,,,
105,,,,,,29998,,23429,,0.8%,,,,,,,,,,,,
106,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,,-,,-,,-%,,,,,,,,,,,
107,,,,,,-,,-,,-%,,,,,,,,,,,,
108,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit – $3,000 Commitment (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 4/30/2021)(11)(15)",2/21/2013,2000,,2000,,2000,,0.1%,,,,,,,,,,,
109,"Senior Secured Term Loan (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 4/30/2021)(3)(11)",2/21/2013,72215,,72215,,72215,,2.5%,,,,,,,,,,,,,
110,,,,,,74215,,74215,,2.6%,,,,,,,,,,,,
111,Barings CLO 2018-III,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 5.11%, due 7/20/2029)(5)(14)",11/18/2014,83098,,48635,,30372,,1.0%,,,,,,,,,,,
112,,,,,,48635,,30372,,1.0%,,,,,,,,,,,,
113,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods","Senior Secured Note (9.77% (LIBOR + 8.50% with 1.25% LIBOR floor), due 12/02/2022)(3)(11)",12/4/2017,171927,,171927,,170497,,5.8%,,,,,,,,,,,
114,,,,,,171927,,170497,,5.8%,,,,,,,,,,,,
115,Brookside Mill CLO Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 1/17/2028)(5)(14)(17)",5/23/2013,36300,,17553,,11212,,0.4%,,,,,,,,,,,
116,,,,,,17553,,11212,,0.4%,,,,,,,,,,,,
117,California Street CLO IX Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.41%, due 7/16/2032)(5)(14)",5/8/2012,58915,,41325,,27670,,0.9%,,,,,,,,,,,
118,,,,,,41325,,27670,,0.9%,,,,,,,,,,,,
119,"Candle-Lite Company, LLC",Household Products,"Senior Secured Term Loan A (7.09% (LIBOR + 5.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12000,,12000,,11943,,0.4%,,,,,,,,,,,
120,"Senior Secured Term Loan B (11.09% (LIBOR + 9.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12500,,12500,,11905,,0.4%,,,,,,,,,,,,,
121,,,,,,,24500,,23848,,0.8%,,,,,,,,,,,
122,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
123,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
124,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,"Second Lien Term Loan (9.32% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(53)",10/7/2014,,98982,,,98769,,,98982.0,,3.4%,,,,,,,,
125,,,,,,98769,,98982,,3.4%,,,,,,,,,,,,
126,Carlyle C17 CLO Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 19.27%, due 4/30/2031)(5)(14)",2/21/2013,24870,,15090,,12316,,0.4%,,,,,,,,,,,
127,,,,,,15090,,12316,,0.4%,,,,,,,,,,,,
128,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 19.32%, due 7/15/2030)(5)(14)",4/12/2017,25534,,17885,,15788,,0.5%,,,,,,,,,,,
129,,,,,,,17885,,15788,,0.5%,,,,,,,,,,,
130,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 12.03%, due 10/20/2029)(5)(14)",9/13/2016,32200,,32966,,24910,,0.8%,,,,,,,,,,,
131,,,,,,,32966,,24910,,0.8%,,,,,,,,,,,
132,CCPI Inc.(19),"Electronic Equipment, Instruments & Components",Escrow Receivable,2/28/2019,,,-,,2337,,0.1%,,,,,,,,,,,
133,,,,,,,-,,2337,,0.1%,,,,,,,,,,,
134,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,"First Lien Term Loan (7.28% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(11)",5/23/2019,3639,,3588,,3492,,0.1%,,,,,,,,,,,
135,"First Lien Term Loan (6.57% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(53)",5/23/2019,6009,,5925,,5765,,0.2%,,,,,,,,,,,,,
136,"Second Lien Term Loan (10.78% (LIBOR + 9.00%), due 10/1/2026)(3)(8)(11)",10/12/2018,37000,,36421,,35752,,1.2%,,,,,,,,,,,,,
137,,,,,,,45934,,45009,,1.5%,,,,,,,,,,,
138,Cent CLO 21 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 10.64%, due 7/27/2030)(5)(14)",6/18/2014,49552,,38925,,25563,,0.9%,,,,,,,,,,,
139,,,,,,38925,,25563,,0.9%,,,,,,,,,,,,
140,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.21%, due 4/24/2031)(5)(14)",9/12/2013,44100,,29695,,20909,,0.7%,,,,,,,,,,,
141,,,,,,29695,,20909,,0.7%,,,,,,,,,,,,
142,"CIFC Funding 2013-IV, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 12.90%, due 4/28/2031)(5)(14)",11/14/2013,45500,,32887,,27111,,0.9%,,,,,,,,,,,
143,,,,,,32887,,27111,,0.9%,,,,,,,,,,,,
144,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 15.31%, due 10/17/2030)(5)(14)",9/3/2014,44467,,31251,,22535,,0.8%,,,,,,,,,,,
145,,,,,,31251,,22535,,0.8%,,,,,,,,,,,,
146,"CIFC Funding 2016-I, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.23%, due 10/21/2031)(5)(14)",12/21/2016,34000,,30149,,26028,,0.9%,,,,,,,,,,,
147,,,,,,30149,,26028,,0.9%,,,,,,,,,,,,
148,"Cinedigm DC Holdings, LLC",Entertainment,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(46)",2/28/2013,12205,,12155,,12205,,0.4%,,,,,,,,,,,
149,,,,,,,12155,,12205,,0.4%,,,,,,,,,,,
150,"Class Valuation, LLC",Real Estate Management & Development,"Senior Secured Term Loan (9.75% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/10/2023)(3)(11)",3/12/2018,38222,,38222,,38222,,1.3%,,,,,,,,,,,
151,,,,,,,38222,,38222,,1.3%,,,,,,,,,,,
152,"Collections Acquisition Company, Inc.",Diversified Financial Services,"Senior Secured Term Loan (10.15% (LIBOR + 7.65% with 2.50% LIBOR floor), due 6/3/2024)(3)(11)",12/3/2019,30216,,30216,,30216,,1.0%,,,,,,,,,,,
153,,,,,,,30216,,30216,,1.0%,,,,,,,,,,,
154,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
155,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
156,Columbia Cent CLO 27 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.12%, due 10/25/2028)(5)(14)",1/15/2014,,40275,,,23121,,,20941.0,,0.7%,,,,,,,,
157,,,,,,,23121,,20941,,0.7%,,,,,,,,,,,
158,"Coverall North America, Inc.",Commercial Services & Supplies,"Senior Secured Term Loan A (7.46% (LIBOR + 6.00% with 1.00% LIBOR floor), due 5/3/2021)(3)(11)",11/2/2015,3100,,3100,,3100,,0.1%,,,,,,,,,,,
159,"Senior Secured Term Loan B (12.46% (LIBOR + 11.00% with 1.00% LIBOR floor), due 5/3/2021)(3)(11)",11/2/2015,22750,,22750,,22750,,0.8%,,,,,,,,,,,,,
160,,,,,,25850,,25850,,0.9%,,,,,,,,,,,,
161,CP VI Bella Midco,IT Services,"Second Lien Term Loan (7.74% (LIBOR + 6.75%), due 12/29/2025)(3)(8)(13)",2/26/2018,15750,,15709,,15750,,0.5%,,,,,,,,,,,
162,,,,,,15709,,15750,,0.5%,,,,,,,,,,,,
163,"Digital Room, LLC",Commercial Services & Supplies,"First Lien Term Loan (6.45% (LIBOR + 5.00%), due 5/21/2026)(3)(8)(11)",5/29/2019,25,,25,,24,,-%,,,,,,,,,,,
164,"First Lien Term Loan (6.07% (LIBOR + 5.00%), due 5/21/2026)(3)(8)(13)",5/29/2019,9900,,9778,,9341,,0.3%,,,,,,,,,,,,,
165,"Second Lien Term Loan (10.07% (LIBOR + 9.00%), due 5/21/2027)(3)(8)(53)",5/30/2019,70000,,70000,,65510,,2.3%,,,,,,,,,,,,,
166,,,,,,79803,,74875,,2.6%,,,,,,,,,,,,
167,"Dunn Paper, Inc.",Paper & Forest Products,"First Lien Term Loan (5.75% (LIBOR + 4.75% with 1.00% LIBOR floor), due 8/26/2022)(3)(8)(13)",11/27/2019,4488,,4382,,4363,,0.1%,,,,,,,,,,,
168,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(13)",10/7/2016,11500,,11387,,11122,,0.4%,,,,,,,,,,,,,
169,,,,,,15769,,15485,,0.5%,,,,,,,,,,,,
170,"Easy Gardener Products, Inc.",Household Durables,"Senior Secured Term Loan (11.46% (LIBOR + 10.00% with 0.25% LIBOR floor), in non-accrual status effective 10/1/2019, due 09/30/2020)(11)(16)",10/2/2015,15719,,15719,,4799,,0.2%,,,,,,,,,,,
171,,,,,,15719,,4799,,0.2%,,,,,,,,,,,,
172,EDSCO Holding Company LLC,Machinery,"Senior Secured Term Loan (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 1/10/2025)(3)(11)",1/10/2020,20000,,20000,,20000,,0.7%,,,,,,,,,,,
173,,,,,,20000,,20000,,0.7%,,,,,,,,,,,,
174,"Engine Group, Inc.(7)",Media,"Senior Secured Term Loan (7.25% (PRIME + 4.00%), due 9/15/2022)(8)(54)",9/25/2017,4220,,4220,,3619,,0.1%,,,,,,,,,,,
175,"Second Lien Term Loan (11.25% (PRIME + 8.00%), due 9/15/2023)(3)(8)(54)",9/25/2017,35000,,35000,,18380,,0.6%,,,,,,,,,,,,,
176,,,,,,39220,,21999,,0.7%,,,,,,,,,,,,
177,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals","Second Lien Term Loan (9.41% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(3)(8)(11)",12/5/2017,12500,,12411,,11851,,0.4%,,,,,,,,,,,
178,,,,,,12411,,11851,,0.4%,,,,,,,,,,,,
179,"Galaxy XV CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.66%, due 10/15/2030)(5)(14)",3/14/2013,50525,,35628,,23188,,0.8%,,,,,,,,,,,
180,,,,,,35628,,23188,,0.8%,,,,,,,,,,,,
181,"Galaxy XXVII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.13%, due 5/16/2031)(5)(14)",11/5/2013,24575,,16437,,10938,,0.4%,,,,,,,,,,,
182,,,,,,16437,,10938,,0.4%,,,,,,,,,,,,
183,"Galaxy XXVIII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.15%, due 7/15/2031)(5)(14)",6/27/2014,39905,,28629,,16178,,0.6%,,,,,,,,,,,
184,,,,,,28629,,16178,,0.6%,,,,,,,,,,,,
185,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
186,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
187,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit – $3,621 Commitment (10.00% (PRIME+5.25%) , due10/25/2024)(15)(54)",12/12/2019,,769,,,769,,,763.0,,-%,,,,,,,,
188,"First Lien Term Loan (7.88% (LIBOR+6.25% with 1.63% LIBOR floor), due10/25/2024)(3)(13)",12/12/2019,31301,,31138,,31042,,1.1%,,,,,,,,,,,,,
189,,,,,,31907,,31805,,1.1%,,,,,,,,,,,,
