0,1,2,3,4,5,6,7,8,9,10,11,12
NCP Finance Limited Partnership(31),Ohio / Consumer Finance,"Subordinated Secured Term Loan (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(8)(10)(12)(13)",Principal Value,27119,Fair  Value(2),% of Net Assets,26502,1.1%,0,25763.0,0,0.7%
"Nixon, Inc.",California / Durable Consumer Products,"Senior Secured Term Loan (9.50% plus 3.00% PIK, in non-accrual status effective 7/1/2016, due 4/16/2018)(3)(8)(39)",14421,26502,14197,25763,10877,0.7%,0.3%,0,0,0
"Octagon Investment Partners XV, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.99%, due 1/19/2025)(5)(13)",32921,14197,25527,10877,22633,0.3%,0.7%,0,0,0
"Octagon Investment Partners XVIII, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.76%, due 12/16/2024)(5)(6)(13)",28200,25527,19391,22633,17805,0.7%,0.5%,0,0,0
Onyx Payments(32),Texas / Diversified Financial Services,"Revolving Line of Credit – $3,000 Commitment (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/31/2016)(10)(11)(14)",-,19391,-,17805,-,0.5%,-%,0,0,0
Pacific World Corporation,California / Personal & Nondurable Consumer Products,"Revolving Line of Credit – $15,000 Commitment (8.00% (LIBOR + 7.00% with 1.00% LIBOR floor), due 9/26/2020)(10)(12)(14)",5500,152019,5500,152019,5500,4.4%,0.2%,0,0,0
"Pelican Products, Inc.",California / Durable Consumer Products,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 4/9/2021)(3)(8)(10)(12)",17500,201488,17487,183001,16383,5.3%,0.5%,0,0,0
"PeopleConnect Intermediate, LLC (f/k/a Intelius, Inc.)",Washington / Software & Computer Services,"Revolving Line of Credit – $1,000 Commitment (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 8/11/17)(10)(11)(14)",-,17487,-,16383,-,0.5%,-%,0,0,0
"PGX Holdings, Inc.(33)",Utah / Consumer Services,"Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 9/29/2021)(3)(10)(12)",Principal Value,135000,Fair  Value(2),% of Net Assets,135000,1.2%,0,135000.0,0,3.9%
Photonis Technologies SAS,France / Aerospace & Defense,"First Lien Term Loan (8.50% (LIBOR + 7.50% with 1.00% LIBOR floor), due 9/18/2019)(8)(10)(12)(13)",9927,135000,9770,135000,9127,3.9%,0.3%,0,0,0
Pinnacle (US) Acquisition Co. Limited,Texas / Software & Computer Services,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 8/3/2020)(8)(10)(11)",7037,9770,6925,9127,5188,0.3%,0.2%,0,0,0
"PlayPower, Inc.",North Carolina / Durable Consumer Products,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 6/23/2022)(3)(8)(10)(11)",11000,6925,10862,5188,10924,0.2%,0.3%,0,0,0
"Prime Security Services Borrower, LLC",Illinois / Consumer Services,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 7/1/2022)(8)(10)(12)",5192,10862,5067,10924,5192,0.3%,0.2%,0,0,0
"PrimeSport, Inc.","Georgia / Hotels, Restaurants & Leisure","Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 2/11/2021)(3)(10)(11)",53546,5067,53546,5192,53546,0.2%,1.6%,0,0,0
Prince Mineral Holding Corp.,New York / Metal Services & Minerals,"Senior Secured Term Loan (11.50%, due 12/15/2019)(8)",10000,128046,9939,126287,9004,3.7%,0.3%,0,0,0
"Royal Holdings, Inc.",Indiana / Chemicals,"Second Lien Term Loan (8.50% (LIBOR + 7.50% with 1.00% LIBOR floor), due 6/19/2023)(8)(10)(11)",5000,9939,4968,9004,4915,0.3%,0.1%,0,0,0
"SCS Merger Sub, Inc.",Texas / Software & Computer Services,"Second Lien Term Loan (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/30/2023)(3)(8)(10)(12)",20000,4968,19475,4915,19894,0.1%,0.6%,0,0,0
"Security Alarm Financing Enterprises, L.P.(34)",California / Consumer Services,"Subordinated Unsecured Notes (11.50% (LIBOR + 9.50% with 2.00% LIBOR floor), due 12/19/2020)(10)(12)",25000,19475,25000,19894,25000,0.6%,0.7%,0,0,0
SESAC Holdco II LLC,Tennessee / Media,"Second Lien Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 4/22/2021)(3)(8)(10)(11)",10000,25000,9885,25000,9885,0.7%,0.3%,0,0,0
SITEL Worldwide Corporation,Tennessee / Business Services,"Second Lien Term Loan (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 9/18/2022)(3)(8)(10)(11)",16000,9885,15726,9885,15726,0.3%,0.5%,0,0,0
Small Business Whole Loan Portfolio(36),New York / Online Lending,"1,012 Small Business Loans purchased from On Deck Capital, Inc.",15810,15726,15810,15726,15206,0.5%,0.4%,0,0,0
"Spartan Energy Services, Inc.",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 12/28/2017)(10)(12)",Principal Value,13156,Fair  Value(2),% of Net Assets,12657,0.4%,0,11054.0,0,0.3%
"Stryker Energy, LLC",Ohio / Oil & Gas Production,Overriding Royalty Interests(9),-,26326,-,11054,-,0.3%,-%,0,0,0
Sudbury Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.88%, due 1/17/2026)(5)(13)",28200,-,20336,-,15978,-%,0.5%,0,0,0
Symphony CLO XIV Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.47%, due 7/14/2026)(5)(6)(13)",49250,20336,38489,15978,33771,0.5%,1.0%,0,0,0
"Symphony CLO XV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.12%, due 10/17/2026)(5)(13)",50250,38489,42821,33771,37311,1.0%,1.1%,0,0,0
"System One Holdings, LLC",Pennsylvania / Business Services,"Senior Secured Term Loan (11.25% (LIBOR + 10.50% with 0.75% LIBOR floor), due 11/17/2020)(3)(10)(12)",104553,42821,104553,37311,104553,1.1%,3.0%,0,0,0
"TouchTunes Interactive Networks, Inc.",New York / Media,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 5/29/2022)(8)(10)(11)",5000,104553,4938,104553,4938,3.0%,0.1%,0,0,0
Traeger Pellet Grills LLC,Oregon / Durable Consumer Products,"Senior Secured Term Loan A (6.50% (LIBOR + 4.50% with 2.00% LIBOR floor), due 6/18/2018)(3)(10)(11)",34238,4938,34238,4938,34238,0.1%,1.0%,0,0,0
"Transaction Network Services, Inc.",Virginia / Telecommunication Services,"Second Lien Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 8/14/2020)(8)(10)(11)",4410,70650,4393,70650,4393,2.1%,0.1%,0,0,0
"Trinity Services Group, Inc.(37)",Florida / Food Products,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 8/13/2019)(10)(11)",9576,4393,9576,4393,9576,0.1%,0.3%,0,0,0
"United Sporting Companies, Inc.(38)",South Carolina / Durable Consumer Products,"Second Lien Term Loan (12.75% (LIBOR + 11.00% with 1.75% LIBOR floor), due 5/16/2018)(3)(10)(12)",140847,134576,140847,135826,138758,4.1%,4.0%,0,0,0
"Universal Fiber Systems, LLC","Virginia / Textiles, Apparel & Luxury Goods","Second Lien Term Loan (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/02/2022)(3)(8)(10)(12)",37000,140847,36368,138758,37000,4.0%,1.1%,0,0,0
"USG Intermediate, LLC",Texas / Durable Consumer Products,"Revolving Line of Credit – $2,500 Commitment (10.75% (LIBOR + 9.75% with 1.00% LIBOR floor), due 4/15/2017)(10)(12)(14)",Principal Value,1000,Fair  Value(2),% of Net Assets,1000,1.1%,0,1000.0,0,-%
"Universal Turbine Parts, LLC",Alabama / Business Services,"Senior Secured Term Loan A (6.75% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(3)(10)(11)",32500,37523,32500,37522,32500,1.1%,0.9%,0,0,0
Venio LLC,Pennsylvania / Business Services,"Second Lien Term Loan (12.00% (LIBOR + 9.50% with 2.50% LIBOR floor) plus 2.00% default interest, in non-accrual status effective 12/31/15, due 2/19/2020)(10)(11)",17000,65000,16484,65000,12372,1.9%,0.4%,0,0,0
"Voya CLO 2012-2, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 17.13%, due 10/15/2022)(5)(13)",38070,16484,27651,12372,27932,0.4%,0.8%,0,0,0
"Voya CLO 2012-3, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.67%, due 10/15/2022)(5)(13)",46632,27651,34101,27932,33025,0.8%,1.0%,0,0,0
"Voya CLO 2012-4, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 20.55%, due 10/15/2023)(5)(13)",40613,34101,30276,33025,33704,1.0%,1.0%,0,0,0
"Voya CLO 2014-1, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.62%, due 4/18/2026)(5)(6)(13)",40613,32383,30276,33704,25438,1.0%,0,25394.0,0,0.8%
"Voya CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 10/18/2027)(5)(6)(13)",28100,25438,26414,25394,26414,0.8%,0.8%,0,0,0
Washington Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.60%, due 4/20/2026)(5)(6)(13)",22600,26414,17880,26414,14041,0.8%,0.4%,0,0,0
"Water Pik, Inc.",Colorado / Personal & Nondurable Consumer Products,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 1/8/2021)(3)(8)(10)(11)",15156,17880,14832,14041,15156,0.4%,0.5%,0,0,0
"Wheel Pros, LLC",Colorado / Durable Consumer Products,"Senior Subordinated Secured Note (11.00% (LIBOR + 7.00% with 4.00% LIBOR floor), due 6/29/2020)(3)(10)(11)",12000,14832,12000,15156,12000,0.5%,0.3%,0,0,0
