,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
43,"Class A Units (38,550,460 units)",1/31/2013,Senior Subordinated Term Loan to Nationwide Acceptance LLC,-,10.00% plus 10.00% PIK,-,-,6/18/2021,20462,40549,17151,37238,0.6%,1.2%,0.6%,(14)(45),,0.9%,(10),,,,,
44,"NMMB, Inc. (28)",Media,"Delayed Draw Term Loan - $10,000 Commitment",3/25/2020,10.50% (3ML+ 8.50%),2.00,-,12/30/2024,-,40549,-,37238,-,1.2%,-%,(10)(15),,0.9%,(10),,,,,
45,Senior Secured Note,12/30/2019,10.50% (3ML+ 8.50%),2.00,10.50% (3ML+ 8.50%),12/30/2024,5025,12/30/2024,5025,40549,5025,37238,0.2%,(3)(10),-%,(10)(15),,0.9%,(10),,,,,
46,"Common Stock (21,419 shares)",12/30/2019,10.50% (3ML+ 8.50%),-,10.50% (3ML+ 8.50%),12/30/2024,-,12/30/2024,12869,40549,28643,37238,0.9%,(3)(10),-%,(10)(15),,0.9%,(10),,,,,
47,"Common Stock (21,419 shares)",12/30/2019,10.50% (3ML+ 8.50%),-,10.50% (3ML+ 8.50%),12/30/2024,-,12/30/2024,12869,17894,28643,33668,0.9%,1.1%,-%,(10)(15),,0.9%,(10),,,,,
48,Pacific World Corporation (39),Personal Products,"Revolving Line of Credit - $26,000 Commitment",9/26/2014,8.25% (1ML+ 7.25%),1.00,-,9/26/2020,20825,17894,20825,33668,20825,1.1%,0.7%,(10)(15),,0.9%,(10),,,,,
49,Senior Secured Term Loan A,12/31/2014,6.25% PIK (1ML+ 5.25%),1.00,8.25% (1ML+ 7.25%),9/26/2020,39082,9/26/2020,39082,17894,39082,33668,1.3%,(10)(45),0.7%,(10)(15),,0.9%,(10),,,,,
50,"Convertible Preferred Equity (247,330 shares)",6/15/2018,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2020,-,9/26/2020,186795,17894,-,33668,-%,(16),0.7%,(10)(15),,0.9%,(10),,,,,
51,"Common Stock (6,778,414 shares)",9/29/2017,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2020,-,9/26/2020,-,17894,-,33668,-%,(16),0.7%,(10)(15),,0.9%,(10),,,,,
52,"Common Stock (6,778,414 shares)",9/29/2017,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2020,-,9/26/2020,-,246702,-,59907,-%,2.0%,0.7%,(10)(15),,0.9%,(10),,,,,
53,"R-V Industries, Inc.",Machinery,Senior Subordinated Note,6/12/2013,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,28622,246702,28622,59907,28622,2.0%,0.9%,(3)(10),,0.9%,(10),,,,,
54,"Common Stock (745,107 shares)",6/26/2007,Senior Subordinated Note,-,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,6867,246702,9943,59907,0.3%,(16),0.9%,(3)(10),,0.9%,(10),,,,,
55,"Common Stock (745,107 shares)",6/26/2007,Senior Subordinated Note,-,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,6867,35489,9943,38565,0.3%,1.2%,0.9%,(3)(10),,0.9%,(10),,,,,
56,"Universal Turbine Parts, LLC (34)",Trading Companies & Distributors,"Delayed Draw Term Loan - $5,000 Commitment",2/28/2019,10.25% (1ML+ 7.75%),2.50,-,7/22/2021,2887,35489,2887,38565,2887,1.2%,0.1%,(10)(15),,0.9%,(10),,,,,
57,Senior Secured Term Loan A,7/22/2016,6.75% (3ML+ 5.75%),1.00,10.25% (1ML+ 7.75%),7/22/2021,30063,7/22/2021,30063,35489,23712,38565,0.8%,(10),0.1%,(10)(15),,0.9%,(10),,,,,
58,Senior Secured Term Loan B,7/22/2016,12.75% PIK (3ML+ 11.75%),1.00,10.25% (1ML+ 7.75%),7/22/2021,42941,7/22/2021,32500,35489,-,38565,-%,(9)(10),0.1%,(10)(15),,0.9%,(10),,,,,
59,"Common Stock (10,000 units)",12/10/2018,12.75% PIK (3ML+ 11.75%),-,10.25% (1ML+ 7.75%),7/22/2021,-,7/22/2021,-,35489,-,38565,-%,(16),0.1%,(10)(15),,0.9%,(10),,,,,
60,"Common Stock (10,000 units)",12/10/2018,12.75% PIK (3ML+ 11.75%),-,10.25% (1ML+ 7.75%),7/22/2021,-,7/22/2021,-,65450,-,26599,-%,0.9%,0.1%,(10)(15),,0.9%,(10),,,,,
61,USES Corp. (30),Commercial Services & Supplies,Senior Secured Term Loan A,3/31/2014,9.00% PIK,-,-,7/29/2022,50327,65450,30651,26599,17325,0.9%,0.6%,(9),,0.9%,(10),,,,,
62,Senior Secured Term Loan B,3/31/2014,15.50% PIK,-,9.00% PIK,7/29/2022,66283,7/29/2022,35568,65450,-,26599,-%,(9),0.6%,(9),,0.9%,(10),,,,,
63,"Common Stock (268,962 shares)",6/15/2016,15.50% PIK,-,9.00% PIK,7/29/2022,-,7/29/2022,-,65450,-,26599,-%,(16),0.6%,(9),,0.9%,(10),,,,,
64,"Common Stock (268,962 shares)",6/15/2016,15.50% PIK,-,9.00% PIK,7/29/2022,-,7/29/2022,-,66219,-,17325,-%,0.6%,0.6%,(9),,0.9%,(10),,,,,
65,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,17325,-%,0.6%,0.6%,(9),,0.9%,(10),,,,,
66,"Valley Electric Company, Inc. (31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc.",12/31/2012,8.00% (3ML+ 5.00%) plus 2.50% PIK,3.00,Legal Maturity,12/31/2024,Amortized Cost,10430,% of  Net Assets,17325,10430,0.6%,0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
67,Senior Secured Note,6/24/2014,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,33301,12/31/2024,33301,10430,33301,17325,1.1%,(45),0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
68,Consolidated Revenue Interest (2.0%),6/22/2018,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,-,10430,2448,17325,0.1%,(12),0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
69,"Common Stock (50,000 shares)",12/31/2012,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,25143,10430,83117,17325,2.7%,(12),0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
70,"Common Stock (50,000 shares)",12/31/2012,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,25143,68874,83117,129296,2.7%,4.2%,0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
71,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,129296,2.7%,4.2%,0.6%,10430.0,,0.3%,(3)(10)(45),,,,,
72,"Edmentum Ultimate Holdings, LLC (22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. - $7,834 Commitment",6/9/2015,5.00% PIK,-,Legal Maturity,12/9/2021,Amortized Cost,8539,% of  Net Assets,129296,9986,4.2%,0.6%,8539,,0.2%,(15)(45),,,,,
73,Unsecured Senior PIK Note,6/9/2015,8.50% PIK,-,5.00% PIK,12/9/2021,8920,12/9/2021,8920,8539,8920,129296,0.3%,(45),0.6%,8539,,0.2%,(15)(45),,,,,
74,Unsecured Junior PIK Note,6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,43048,12/9/2021,28665,8539,42159,129296,1.4%,(45),0.6%,8539,,0.2%,(15)(45),,,,,
75,"Class A Units (370,964 units)",6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,-,12/9/2021,6577,8539,-,129296,-%,(16),0.6%,8539,,0.2%,(15)(45),,,,,
76,"Class A Units (370,964 units)",6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,-,12/9/2021,6577,54148,-,59618,-%,1.9%,0.6%,8539,,0.2%,(15)(45),,,,,
77,"Nixon, Inc. (38)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,5.00% PIK,-,-,12/9/2021,-,54148,-,59618,-,1.9%,-%,(16),,0.2%,(15)(45),,,,,
78,"Nixon, Inc. (38)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,5.00% PIK,-,-,12/9/2021,-,-,-,-,-,-%,-%,(16),,0.2%,(15)(45),,,,,
79,"PGX Holdings, Inc.",Diversified Consumer Services,1.5 Lien Term Loan,5/27/2020,11.50% PIK (3ML+ 10.50%),1.00,-,3/29/2024,1981,-,1981,-,1981,-%,0.1%,(10)(45),,0.2%,(15)(45),,,,,
80,Second Lien Term Loan,9/29/2014,15.75% PIK (1ML+ 14.75%),1.00,11.50% PIK (3ML+ 10.50%),9/29/2024,104550,3/29/2024,104550,-,98873,-,3.2%,(10)(45),0.1%,(10)(45),,0.2%,(15)(45),,,,,
81,"Common Stock (28,961,715 shares)",5/27/2020,15.75% PIK (1ML+ 14.75%),-,11.50% PIK (3ML+ 10.50%),9/29/2024,-,3/29/2024,-,-,5857,-,0.2%,(16),0.1%,(10)(45),,0.2%,(15)(45),,,,,
82,"Common Stock (28,961,715 shares)",5/27/2020,15.75% PIK (1ML+ 14.75%),-,11.50% PIK (3ML+ 10.50%),9/29/2024,-,3/29/2024,-,106531,5857,106711,0.2%,3.5%,0.1%,(10)(45),,0.2%,(15)(45),,,,,
83,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,11.50% PIK (3ML+ 10.50%),-,-,3/29/2024,-,106531,2805,106711,21208,3.5%,0.7%,(16),,0.2%,(15)(45),,,,,
84,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,11.50% PIK (3ML+ 10.50%),-,-,3/29/2024,-,2805,2805,21208,21208,0.7%,0.7%,(16),,0.2%,(15)(45),,,,,
85,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(50),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of  Net Assets,21208,21208,0.7%,0.7%,(16),,0.2%,(15)(45),,,,,
86,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.93% (1ML+ 7.75%),-,Legal Maturity,10/1/2026,Amortized Cost,25000,% of  Net Assets,21208,24853,0.7%,0.7%,25000,,0.8,%,(3)(8)(10),,,,
87,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.93% (1ML+ 7.75%),-,Legal Maturity,10/1/2026,Amortized Cost,24853,% of  Net Assets,25000,24853,0.8,%,25000,,0.8,%,(3)(8)(10),,,,
88,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,Legal Maturity,12/15/2022,30000,24853,28806,25000,24338,0.8,0.8,%,(8)(14),0.8,%,(3)(8)(10),,,,
89,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,Legal Maturity,12/15/2022,30000,28806,28806,24338,24338,0.8,%,%,(8)(14),0.8,%,(3)(8)(10),,,,
90,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (3ML+ 8.50%),1.50,Legal Maturity,11/8/2025,70000,28806,70000,24338,70000,0.8,2.3,%,(3)(10),0.8,%,(3)(8)(10),,,,
91,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (3ML+ 8.50%),1.50,Legal Maturity,11/8/2025,70000,70000,70000,70000,70000,2.3,%,%,(3)(10),0.8,%,(3)(8)(10),,,,
92,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (3ML+ 8.50%),1.00,Legal Maturity,3/18/2028,10000,70000,9806,70000,9806,2.3,0.3,%,(8)(10),0.8,%,(3)(8)(10),,,,
93,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (3ML+ 8.50%),1.00,Legal Maturity,3/18/2028,10000,9806,9806,9806,9806,0.3,%,%,(8)(10),0.8,%,(3)(8)(10),,,,
94,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 8.74%",-,Legal Maturity,10/17/2030,40500,9806,32650,9806,25211,0.3,0.8,%,(5)(14),0.8,%,(3)(8)(10),,,,
95,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 8.74%",-,Legal Maturity,10/17/2030,40500,32650,32650,25211,25211,0.8,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
96,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.25%",-,Legal Maturity,4/15/2031,52202,32650,38099,25211,29275,0.8,1.0,%,(5)(14),0.8,%,(3)(8)(10),,,,
97,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.25%",-,Legal Maturity,4/15/2031,52202,38099,38099,29275,29275,1.0,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
98,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 12.38%",-,Legal Maturity,4/21/2031,48515,38099,39270,29275,27793,1.0,0.9,%,(5)(14),0.8,%,(3)(8)(10),,,,
99,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 12.38%",-,Legal Maturity,4/21/2031,48515,39270,39270,27793,27793,0.9,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
100,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 15.58%",-,Legal Maturity,4/21/2031,35855,39270,30035,27793,24192,0.9,0.8,%,(5)(14),0.8,%,(3)(8)(10),,,,
101,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 15.58%",-,Legal Maturity,4/21/2031,35855,30035,30035,24192,24192,0.8,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
102,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,"Residual Interest, current yield 15.58%",-,Legal Maturity,4/21/2031,-,30035,-,24192,-,0.8,-,%,(5)(14),0.8,%,(3)(8)(10),,,,
103,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,"Residual Interest, current yield 15.58%",-,Legal Maturity,4/21/2031,-,-,-,-,-,-,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
104,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit - $3,000 Commitment",2/21/2013,10.75% (3ML+ 8.75%),2.00,Legal Maturity,4/30/2021,-,-,-,-,-,-,-,%,(10)(15),0.8,%,(3)(8)(10),,,,
105,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,10.75% (3ML+ 8.75%),4/30/2021,71409,4/30/2021,71409,-,71409,-,2.3,%,(3)(10),%,(10)(15),0.8,%,(3)(8)(10),,,,
106,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,10.75% (3ML+ 8.75%),4/30/2021,71409,4/30/2021,71409,71409,71409,71409,2.3,2.3,%,%,(10)(15),0.8,%,(3)(8)(10),,,,
107,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 3.93%",-,71409,7/20/2029,83098,71409,48464,71409,30106,2.3,1.0,%,(5)(14),0.8,%,(3)(8)(10),,,,
108,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 3.93%",-,71409,7/20/2029,83098,48464,48464,30106,30106,1.0,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
109,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,71409,12/2/2022,166307,48464,166307,30106,164656,1.0,5.4,%,(3)(10),0.8,%,(3)(8)(10),,,,
110,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,71409,12/2/2022,166307,166307,166307,164656,164656,5.4,%,%,(3)(10),0.8,%,(3)(8)(10),,,,
111,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,71409,1/17/2028,36300,166307,17033,164656,11920,5.4,0.4,%,(5)(14)(17),0.8,%,(3)(8)(10),,,,
