0,1,2,3,4,5,6,7,8,9,10,11
National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",203332,48741,203332,52449,203332,0,5.7%,0.0,0
Net Operating Income Interest (5% of Net Operating Income),99133,-,99133,536091,99133,547296,2.7%,15.1%,0,0.0,0
Nationwide Loan Company LLC(36),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(22)",14820,536091,14820,547296,14820,0,0.4%,0.0,0
"Class A Shares (26,974,454.27 shares)(22)",Illinois / Consumer Finance,14794,14820,29614,14820,33838,14820,0.9%,0,0.0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",Principal Value,3714,Fair  Value(2),% of Net Assets,3714,0,0,3714.0,0.1%
"Series B Preferred Stock (5,669 shares)",7000,5669,7200,23583,2306,13020,0.1%,0.4%,0,0.0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(20)",29237,23583,29237,13020,29237,0,0.8%,0.0,0
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,29237,36006,29237,33030,29237,0.9%,0,0.0,0
United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",64506,36006,64506,33030,64506,0,1.8%,0.0,0
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,64506,77671,64506,89947,64506,2.5%,0,0.0,0
"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(20)",10406,77671,10406,89947,10406,0,0.3%,0.0,0
"Common Stock (50,000 shares)",22767,26204,22767,59377,22767,37396,0.6%,1.0%,0,0.0,0
"Wolf Energy, LLC(12)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",32112,59377,-,37396,2326,0,0.1%,0.0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,-,32112,-,-,2411,2326,0.1%,0,0.0,0
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)(21)",Principal Value,7000,Fair  Value(2),% of Net Assets,6931,0,0,7000.0,0.2%
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)(21)",Principal Value,6931,Fair  Value(2),7000,6931,0.2%,0,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",-,6931,376,7000,533,0,-%,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",-,376,376,533,533,-%,0,0.0,0
Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,-,376,5880,533,3901,0,0.1%,0.0,0
Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,-,5880,5880,3901,3901,0.1%,0,0.0,0
"Ajax Rolled Ring & Machine, LLC",South Carolina / Manufacturing,Escrow Receivable,-,5880,1264,3901,2222,0,0.1%,0.0,0
"Ajax Rolled Ring & Machine, LLC",South Carolina / Manufacturing,Escrow Receivable,-,1264,1264,2222,2222,0.1%,0,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)(21)",11771,1264,11601,2222,11733,0,0.3%,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)(21)",11771,11601,11601,11733,11733,0.3%,0,0.0,0
American Gilsonite Company,Utah / Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)(16)",14755,11601,14755,11733,13084,0,0.4%,0.0,0
Membership Interest (99.9999%)(15),-,"Second Lien Term Loan (11.50%, due 9/1/2017)(16)",-,14755,-,13084,-%,0.4%,0,0.0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.60%)(11)(22)",23525,14755,20533,13084,22946,0,0.6%,0.0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.60%)(11)(22)",23525,20533,20533,22946,22946,0.6%,0,0.0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.52%)(11)(22)",38340,20533,30890,22946,30289,0,0.8%,0.0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.52%)(11)(22)",38340,30890,30890,30289,30289,0.8%,0,0.0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.87%)(11)(22)",44063,30890,36762,30289,37440,0,1.0%,0.0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.87%)(11)(22)",44063,36762,36762,37440,37440,1.0%,0,0.0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.12%)(11)(22)",36515,36762,33078,37440,29558,0,0.8%,0.0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.12%)(11)(22)",36515,33078,33078,29558,29558,0.8%,0,0.0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.53%)(11)(22)(48)",31350,33078,26773,29558,26806,0,0.7%,0.0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.53%)(11)(22)(48)",31350,26773,26773,26806,26806,0.7%,0,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(20)",150000,26773,150000,26806,147346,0,4.1%,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(20)",150000,150000,150000,147346,147346,4.1%,0,0.0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(21)",21603,150000,21603,147346,19604,0,0.5%,0.0,0
"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(21)",23544,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(21)",23544,45147,20605,40209,0.6%,1.1%,0,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)(20)",7000,45147,6892,40209,6374,0,0.2%,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)(20)",7000,6892,6892,6374,6374,0.2%,0,0.0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(20)(25)(26)",Principal Value,2350,Fair  Value(2),% of Net Assets,2350,0,0,2350.0,0.1%
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)(20)",38462,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(20)(25)(26)",38462,40812,35863,38213,1.0%,1.1%,0,0.0,0
"BAART Programs, Inc.",California / Healthcare,"Revolving Line of Credit – $5,000 Commitment (8.75% (LIBOR + 8.25% with 0.50% LIBOR floor), due 6/30/2018)(20)(25)(26)",-,40812,-,38213,-,0,-%,0.0,0
"Delayed Draw Term Loan – $10,500 Commitment (expires 12/31/2015)(25)",21500,-,21500,42866,22145,43938,0.6%,1.2%,0,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.11%)(11)(22)(48)",52250,42866,46603,43938,45565,0,1.3%,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.11%)(11)(22)(48)",52250,46603,46603,45565,45565,1.3%,0,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(21)(46)",251075,46603,251075,45565,249164,0,6.9%,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(21)(46)",251075,251075,251075,249164,249164,6.9%,0,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.48%)(11)(22)",26000,251075,20990,249164,22927,0,0.6%,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.48%)(11)(22)",26000,20990,20990,22927,22927,0.6%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,20990,303,22927,-%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,20990,303,22927,-%,0,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)(21)",102500,-,101907,303,101892,0,2.8%,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)(21)",102500,101907,101907,101892,101892,2.8%,0,0.0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.79%)(11)(22)",24870,101907,19907,101892,20167,0,0.6%,0.0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.79%)(11)(22)",24870,19907,19907,20167,20167,0.6%,0,0.0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.51%)(11)(22)",40275,19907,34950,20167,32087,0,0.9%,0.0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.51%)(11)(22)",40275,34950,34950,32087,32087,0.9%,0,0.0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.29%)(11)(22)(48)",48528,34950,41719,32087,40353,0,1.1%,0.0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.29%)(11)(22)(48)",48528,41719,41719,40353,40353,1.1%,0,0.0,0
"CIFC Funding 2011-I, Ltd.",Cayman Islands / Structured Finance,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)(9)(22)(20)",19000,41719,15684,40353,18446,0,0.5%,0.0,0
"Class E Subordinated Notes (7.32% (LIBOR + 7.00%, due 1/19/2023)(4)(9)(22)(20)",15400,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)(9)(22)(20)",13062,28746,14336,32782,0.4%,0.9%,0,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.18%)(11)(22)",44100,28746,34395,32782,33811,0,0.9%,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.18%)(11)(22)",44100,34395,34395,33811,33811,0.9%,0,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.03%)(11)(22)",45500,34395,35246,33811,36772,0,1.0%,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.03%)(11)(22)",45500,35246,35246,36772,36772,1.0%,0,0.0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.72%)(11)(22)(48)",Principal Value,41500,Fair  Value(2),% of Net Assets,33724,0,0,35354.0,1.0%
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.72%)(11)(22)(48)",Principal Value,33724,Fair  Value(2),35354,33724,1.0%,0,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)(6)(20)",67204,33724,67154,35354,67204,0,1.9%,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)(6)(20)",67204,67154,67154,67204,67204,1.9%,0,0.0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)(21)",49600,67154,49600,67204,49600,0,1.4%,0.0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)(21)",49600,49600,49600,49600,49600,1.4%,0,0.0,0
Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.00% (LIBOR + 8.70% with 0.30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(21)",52761,49600,52761,49600,52129,0,1.4%,0.0,0
"Senior Secured Term Loan B (16.00% (LIBOR + 15.70% with 0.30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(21)",40199,"Senior Secured Term Loan A (9.00% (LIBOR + 8.70% with 0.30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(21)",40199,92960,39251,91380,1.1%,2.5%,0,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),-,92960,-,91380,-,0,-%,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),-,-,-,-,-,-%,0,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,-,15544,-,13818,0,0.4%,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,15544,15544,13818,13818,0.4%,0,0.0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(4)(20)",24446,15544,24446,13818,24446,0,0.7%,0.0,0
"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(25)",New Jersey / Business Services,-,24446,24446,24446,24446,24446,0.7%,0,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)(21)",18000,24446,17834,24446,18000,0,0.5%,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)(21)",18000,17834,17834,18000,18000,0.5%,0,0.0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.67%)(11)(22)",39275,17834,30079,18000,31905,0,0.9%,0.0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.67%)(11)(22)",39275,30079,30079,31905,31905,0.9%,0,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.39%)(11)(22)",24575,30079,20073,31905,19910,0,0.6%,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.39%)(11)(22)",24575,20073,20073,19910,19910,0.6%,0,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.96%)(11)(22)(48)",39905,20073,32681,19910,32168,0,0.9%,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.96%)(11)(22)(48)",39905,32681,32681,32168,32168,0.9%,0,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)(21)",49567,32681,49567,32168,49567,0,1.4%,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)(21)",49567,49567,49567,49567,49567,1.4%,0,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 25.29%)(11)(22)",23188,49567,19661,49567,23249,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 25.29%)(11)(22)",23188,19661,19661,23249,23249,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 23.47%)(11)(22)",40400,19661,34345,23249,38136,0,1.1%,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 23.47%)(11)(22)",40400,34345,34345,38136,38136,1.1%,0,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.30%)(11)(22)",24500,34345,20436,38136,21719,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.30%)(11)(22)",24500,20436,20436,21719,21719,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.63%)(11)(22)(48)",Principal Value,41164,Fair  Value(2),% of Net Assets,33869,0,0,36727.0,1.0%
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.63%)(11)(22)(48)",Principal Value,33869,Fair  Value(2),36727,33869,1.0%,0,0.0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.91%)(11)(22)(48)",39598,33869,38415,36727,37639,0,1.0%,0.0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.91%)(11)(22)(48)",39598,38415,38415,37639,37639,1.0%,0,0.0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.08%)(11)(22)(48)",19025,38415,14826,37639,13908,0,0.4%,0.0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.08%)(11)(22)(48)",19025,14826,14826,13908,13908,0.4%,0,0.0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)(20)",9000,14826,8861,13908,8855,0,0.2%,0.0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)(20)",9000,8861,8861,8855,8855,0.2%,0,0.0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)(21)",22388,8861,22388,8855,22063,0,0.6%,0.0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)(21)",22388,22388,22388,22063,22063,0.6%,0,0.0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",16100,22388,16081,22063,16016,0,0.4%,0.0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",16100,16081,16081,16016,16016,0.4%,0,0.0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),-,16081,1639,16016,2439,0,0.1%,0.0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),-,1639,1639,2439,2439,0.1%,0,0.0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)(20)",116424,1639,116424,2439,116424,0,3.2%,0.0,0
"Delayed Draw Term Loan – $16,000 Commitment (expires 5/29/2016)(25)",27000,-,27000,293524,27000,293524,0.7%,8.1%,0,0.0,0
"Intelius, Inc.",27000,"Revolving Line of Credit – $1,500 Commitment (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 7/1/2016)(4)(20)",-,293524,-,293524,-,0,-%,0.0,0
"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), due 7/1/2020)(4)(20)",21500,"Revolving Line of Credit – $1,500 Commitment (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 7/1/2016)(4)(20)",21500,43000,21500,43000,0.6%,1.2%,0,0.0,0
"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.25% with 1.00% LIBOR floor), due 8/3/2017)(4)(21)",80200,43000,80200,43000,80200,0,2.2%,0.0,0
