,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
22,"Senior Secured Term Loan A (6.49% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.6%,,,,,,,,,,,,,
23,"Senior Secured Term Loan B (10.00% PIK, due 9/5/2020)(46)",8/3/2012,125276,,125276,,110358,,3.8%,,,,,,,,,,,,,
24,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,46800,,35766,,-,,-%,,,,,,,,,,,,,
25,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,8834,,8751,,-,,-%,,,,,,,,,,,,,
26,"Common Stock (99,900 shares)(16)",5/3/2019,,,1,,-,,-%,,,,,,,,,,,,,
27,,,,,,,261788,,202352,,6.9%,,,,,,,,,,,
28,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
29,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
30,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,,,,2378,,,3838,,0.1%,,,,,,,,,
31,,,,,,,2378,,3838,,0.1%,,,,,,,,,,,
32,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 6/30/2020)(3)(11)",9/19/2013,,26250,,26250,,26250,,0.9%,,,,,,,,,,
33,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",9/19/2013,32187,,32187,,28923,,1.0%,,,,,,,,,,,,,
34,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5683,,6488,,-,,-%,,,,,,,,,,,,,
35,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-%,,,,,,,,,,,,,
36,,,,,,,71774,,55173,,1.9%,,,,,,,,,,,
37,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,311218,,311218,,311218,,10.6%,,,,,,,,,,,
38,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,59316,,59316,,57639,,2.0%,,,,,,,,,,,,,
39,"Senior Secured Term Loan C (13.46% (LIBOR + 12.00% with 1.00% LIBOR floor) plus 2.25% PIK, due 12/31/2023)(11)(46)",10/31/2019,78359,,78359,,78359,,2.7%,,,,,,,,,,,,,
40,Residual Profit Interest(37),12/31/2018,,,-,,36934,,1.2%,,,,,,,,,,,,,
41,"Common Stock (3,253,060 shares)(52)",12/31/2013,,,183426,,415862,,14.2%,,,,,,,,,,,,,
42,,,,,,,632319,,900012,,30.7%,,,,,,,,,,,
43,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,19588,,19588,,19588,,0.7%,,,,,,,,,,,
44,"Class A Units (38,550,460 units)(14)",1/31/2013,,,20462,,15678,,0.5%,,,,,,,,,,,,,
45,,,,,,,40050,,35266,,1.2%,,,,,,,,,,,
46,"NMMB, Inc.(28)",Media,"Delayed Draw Term Loan – $10,000 Commitment (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)(15)",3/25/2020,-,,-,,-,,-%,,,,,,,,,,,
47,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 12/30/2024)(11)",12/30/2019,5062,,5062,,5062,,0.1%,,,,,,,,,,,,,
48,"Common Stock (21,419 shares)",12/30/2019,-,,12869,,31498,,1.1%,,,,,,,,,,,,,
49,,,,,,,17931,,36560,,1.2%,,,,,,,,,,,
50,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (8.25% (LIBOR + 7.25% with 1.00% LIBOR floor), in non-accrual status effective 10/1/2019, due 9/26/2020)(13)(15)",9/26/2014,19625,,19625,,19625,,0.7%,,,,,,,,,,,
51,"Senior Secured Term Loan A (6.25% PIK (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,105045,,92277,,33599,,1.1%,,,,,,,,,,,,,
52,"Senior Secured Term Loan B (11.20% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,119927,,96500,,-,,-%,,,,,,,,,,,,,
53,"Convertible Preferred Equity (247,330 shares)(16)",6/15/2018,,,37100,,-,,-%,,,,,,,,,,,,,
54,"Common Stock (6,778,414 shares)(16)",9/29/2017,,,-,,-,,-%,,,,,,,,,,,,,
55,,,,,,,245502,,53224,,1.8%,,,,,,,,,,,
56,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (10.46% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,,28622,,28622,,1.0%,,,,,,,,,,,
57,"Common Stock (745,107 shares)(16)",6/26/2007,,,6866,,9221,,0.3%,,,,,,,,,,,,,
58,,,,,,,35488,,37843,,1.3%,,,,,,,,,,,
59,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
60,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,,,,,,,,,,,
61,"Universal Turbine Parts, LLC(34)",Trading Companies & Distributors,"Delayed Draw Term Loan – $5,000 Commitment (10.25% (LIBOR + 7.75% with 2.50% LIBOR floor), due 7/22/2021)(13)(15)",2/28/2019,,2894,,,2894,,,2894.0,,0.1%,,,,,,,,
62,"Senior Secured Term Loan A (7.21% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(11)",7/22/2016,30225,,30225,,25339,,0.9%,,,,,,,,,,,,,
63,"Senior Secured Term Loan B (13.21% PIK (LIBOR + 11.75% with 1.00% LIBOR floor), in non-accrual status effective 7/1/2018, due 7/22/2021)(11)",7/22/2016,41553,,32500,,-,,-%,,,,,,,,,,,,,
64,"Common Stock (10,000 units)(16)",12/10/2018,,,-,,-,,-%,,,,,,,,,,,,,
65,,,,,,,65619,,28233,,1.0%,,,,,,,,,,,
66,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,49199,,30651,,16182,,0.6%,,,,,,,,,,,
67,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/29/2022)",3/31/2014,63752,,35568,,-,,-%,,,,,,,,,,,,,
68,"Common Stock (268,962 shares)(16)",6/15/2016,,,-,,-,,-%,,,,,,,,,,,,,
69,,,,,,,66219,,16182,,0.6%,,,,,,,,,,,
70,"Valley Electric Company, Inc.(31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",12/31/2012,10430,,10430,,10430,,0.4%,,,,,,,,,,,
71,"Senior Secured Note (8.00% plus 10.00% PIK, due 6/23/2024)(46)",6/24/2014,33301,,33301,,33301,,1.1%,,,,,,,,,,,,,
72,Consolidated Revenue Interest (2.0%)(38),6/22/2018,,,-,,2616,,0.1%,,,,,,,,,,,,,
73,"Common Stock (50,000 shares)",12/31/2012,,,25143,,75643,,2.6%,,,,,,,,,,,,,
74,,,,,,,68874,,121990,,4.2%,,,,,,,,,,,
75,Total Control Investments,,,2290680,,,2208472,,75.3%,,,,,,,,,,,,,
76,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
77,Affiliate Investments (5.00% to 24.99% voting control)(48),,,,,,,,,,,,,,,,,,,,,
78,"Edmentum Ultimate Holdings, LLC(22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00% PIK, due 12/9/2021)(15)(46)",6/9/2015,,8434,,,8434,,,8434.0,,0.3%,,,,,,,,
79,"Unsecured Senior PIK Note (8.50% PIK, due 12/9/2021)(46)",6/9/2015,8734,,8734,,8734,,0.3%,,,,,,,,,,,,,
80,"Unsecured Junior PIK Note (10.00% PIK, due 12/9/2021)(46)",6/9/2015,41998,,27614,,39529,,1.3%,,,,,,,,,,,,,
81,"Class A Units (370,964 units)(16)",6/9/2015,-,,6577,,-,,-%,,,,,,,,,,,,,
82,,,,,,51359,,56697,,1.9%,,,,,,,,,,,,
83,"Nixon, Inc.(39)","Textiles, Apparel & Luxury Goods",Common Stock (857 units)(16),5/12/2017,-,,-,,-,,-%,,,,,,,,,,,
84,,,,,,-,,-,,-%,,,,,,,,,,,,
85,Targus Cayman HoldCo Limited(33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,-,,2805,,18042,,0.6%,,,,,,,,,,,
86,,,,,,2805,,18042,,0.6%,,,,,,,,,,,,
87,"United Sporting Companies, Inc.(18)",Distributors,"Second Lien Term Loan (13.25% (LIBOR + 11.00% with 1.75% LIBOR floor) plus 2.00% PIK, in non-accrual status effective 4/1/2017, due 11/16/2019)(13)",9/28/2012,147470,,105478,,4716,,0.2%,,,,,,,,,,,
88,"Common Stock (218,941 shares)(16)",5/2/2017,-,,-,,-,,-%,,,,,,,,,,,,,
89,,,,,,105478,,4716,,0.2%,,,,,,,,,,,,
90,Total Affiliate Investments,,,159642,,,79455,,2.7%,,,,,,,,,,,,,
91,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
92,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
93,"8th Avenue Food & Provisions, Inc.",Food Products,"Second Lien Term Loan (8.55% (LIBOR + 7.75%), due 10/1/2026)(3)(8)(13)",10/10/2018,,25000,,,24847,,,25000.0,,0.9%,,,,,,,,
94,,,,,,24847,,25000,,0.9%,,,,,,,,,,,,
95,"ACE Cash Express, Inc.",Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",12/15/2017,30000,,28685,,24651,,0.8%,,,,,,,,,,,
96,,,,,,28685,,24651,,0.8%,,,,,,,,,,,,
97,"Ahead Data Blue, LLC",IT Services,"Second Lien Term Loan (10.00% (LIBOR + 8.50% with 1.50% LIBOR floor), due 11/8/2025)(3)(13)",12/13/2019,70000,,70000,,70000,,2.4%,,,,,,,,,,,
98,,,,,,70000,,70000,,2.4%,,,,,,,,,,,,
99,Apidos CLO XI,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 8.47%, due 10/17/2030)(5)(14)",1/17/2013,40500,,32907,,25004,,0.9%,,,,,,,,,,,
100,,,,,,32907,,25004,,0.9%,,,,,,,,,,,,
101,Apidos CLO XII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.71%, due 4/15/2031)(5)(14)",4/18/2013,52203,,37578,,28408,,1.0%,,,,,,,,,,,
102,,,,,,37578,,28408,,1.0%,,,,,,,,,,,,
103,Apidos CLO XV,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.13%, due 4/21/2031)(5)(14)",10/16/2013,48515,,38910,,27649,,0.9%,,,,,,,,,,,
104,,,,,,38910,,27649,,0.9%,,,,,,,,,,,,
105,Apidos CLO XXII,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 14.15%, due 4/21/2031)(5)(14)",10/14/2015,35855,,29998,,23429,,0.8%,,,,,,,,,,,
106,,,,,,29998,,23429,,0.8%,,,,,,,,,,,,
107,"Ark-La-Tex Wireline Services, LLC",Energy Equipment & Services,Escrow Receivable,4/8/2014,,,-,,-,,-%,,,,,,,,,,,
108,,,,,,-,,-,,-%,,,,,,,,,,,,
109,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit – $3,000 Commitment (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 4/30/2021)(11)(15)",2/21/2013,2000,,2000,,2000,,0.1%,,,,,,,,,,,
110,"Senior Secured Term Loan (10.75% (LIBOR + 8.75% with 2.00% LIBOR floor), due 4/30/2021)(3)(11)",2/21/2013,72215,,72215,,72215,,2.5%,,,,,,,,,,,,,
111,,,,,,74215,,74215,,2.6%,,,,,,,,,,,,
112,Barings CLO 2018-III,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 5.11%, due 7/20/2029)(5)(14)",11/18/2014,83098,,48635,,30372,,1.0%,,,,,,,,,,,
113,,,,,,48635,,30372,,1.0%,,,,,,,,,,,,
114,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods","Senior Secured Note (9.77% (LIBOR + 8.50% with 1.25% LIBOR floor), due 12/02/2022)(3)(11)",12/4/2017,171927,,171927,,170497,,5.8%,,,,,,,,,,,
115,,,,,,171927,,170497,,5.8%,,,,,,,,,,,,
116,Brookside Mill CLO Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 0.00%, due 1/17/2028)(5)(14)(17)",5/23/2013,36300,,17553,,11212,,0.4%,,,,,,,,,,,
117,,,,,,17553,,11212,,0.4%,,,,,,,,,,,,
118,California Street CLO IX Ltd.,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.41%, due 7/16/2032)(5)(14)",5/8/2012,58915,,41325,,27670,,0.9%,,,,,,,,,,,
119,,,,,,41325,,27670,,0.9%,,,,,,,,,,,,
120,"Candle-Lite Company, LLC",Household Products,"Senior Secured Term Loan A (7.09% (LIBOR + 5.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12000,,12000,,11943,,0.4%,,,,,,,,,,,
121,"Senior Secured Term Loan B (11.09% (LIBOR + 9.50% with 1.25% LIBOR floor), due 1/23/2023)(3)(11)",1/23/2018,12500,,12500,,11905,,0.4%,,,,,,,,,,,,,
122,,,,,,,24500,,23848,,0.8%,,,,,,,,,,,
123,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
124,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
125,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,"Second Lien Term Loan (9.32% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(53)",10/7/2014,,98982,,,98769,,,98982.0,,3.4%,,,,,,,,
126,,,,,,98769,,98982,,3.4%,,,,,,,,,,,,
127,Carlyle C17 CLO Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 19.27%, due 4/30/2031)(5)(14)",2/21/2013,24870,,15090,,12316,,0.4%,,,,,,,,,,,
128,,,,,,15090,,12316,,0.4%,,,,,,,,,,,,
129,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 19.32%, due 7/15/2030)(5)(14)",4/12/2017,25534,,17885,,15788,,0.5%,,,,,,,,,,,
130,,,,,,,17885,,15788,,0.5%,,,,,,,,,,,
131,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 12.03%, due 10/20/2029)(5)(14)",9/13/2016,32200,,32966,,24910,,0.8%,,,,,,,,,,,
132,,,,,,,32966,,24910,,0.8%,,,,,,,,,,,
133,CCPI Inc.(19),"Electronic Equipment, Instruments & Components",Escrow Receivable,2/28/2019,,,-,,2337,,0.1%,,,,,,,,,,,
134,,,,,,,-,,2337,,0.1%,,,,,,,,,,,
135,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,"First Lien Term Loan (7.28% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(11)",5/23/2019,3639,,3588,,3492,,0.1%,,,,,,,,,,,
136,"First Lien Term Loan (6.57% (LIBOR + 5.50%), due 10/1/2025)(3)(8)(53)",5/23/2019,6009,,5925,,5765,,0.2%,,,,,,,,,,,,,
137,"Second Lien Term Loan (10.78% (LIBOR + 9.00%), due 10/1/2026)(3)(8)(11)",10/12/2018,37000,,36421,,35752,,1.2%,,,,,,,,,,,,,
138,,,,,,,45934,,45009,,1.5%,,,,,,,,,,,
139,Cent CLO 21 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 10.64%, due 7/27/2030)(5)(14)",6/18/2014,49552,,38925,,25563,,0.9%,,,,,,,,,,,
140,,,,,,38925,,25563,,0.9%,,,,,,,,,,,,
141,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.21%, due 4/24/2031)(5)(14)",9/12/2013,44100,,29695,,20909,,0.7%,,,,,,,,,,,
142,,,,,,29695,,20909,,0.7%,,,,,,,,,,,,
143,"CIFC Funding 2013-IV, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 12.90%, due 4/28/2031)(5)(14)",11/14/2013,45500,,32887,,27111,,0.9%,,,,,,,,,,,
144,,,,,,32887,,27111,,0.9%,,,,,,,,,,,,
145,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 15.31%, due 10/17/2030)(5)(14)",9/3/2014,44467,,31251,,22535,,0.8%,,,,,,,,,,,
146,,,,,,31251,,22535,,0.8%,,,,,,,,,,,,
147,"CIFC Funding 2016-I, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.23%, due 10/21/2031)(5)(14)",12/21/2016,34000,,30149,,26028,,0.9%,,,,,,,,,,,
148,,,,,,30149,,26028,,0.9%,,,,,,,,,,,,
149,"Cinedigm DC Holdings, LLC",Entertainment,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(11)(46)",2/28/2013,12205,,12155,,12205,,0.4%,,,,,,,,,,,
150,,,,,,,12155,,12205,,0.4%,,,,,,,,,,,
151,"Class Valuation, LLC",Real Estate Management & Development,"Senior Secured Term Loan (9.75% (LIBOR + 8.25% with 1.50% LIBOR floor), due 3/10/2023)(3)(11)",3/12/2018,38222,,38222,,38222,,1.3%,,,,,,,,,,,
152,,,,,,,38222,,38222,,1.3%,,,,,,,,,,,
153,"Collections Acquisition Company, Inc.",Diversified Financial Services,"Senior Secured Term Loan (10.15% (LIBOR + 7.65% with 2.50% LIBOR floor), due 6/3/2024)(3)(11)",12/3/2019,30216,,30216,,30216,,1.0%,,,,,,,,,,,
154,,,,,,,30216,,30216,,1.0%,,,,,,,,,,,
155,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
156,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
157,Columbia Cent CLO 27 Limited,Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 13.12%, due 10/25/2028)(5)(14)",1/15/2014,,40275,,,23121,,,20941.0,,0.7%,,,,,,,,
158,,,,,,,23121,,20941,,0.7%,,,,,,,,,,,
159,"Coverall North America, Inc.",Commercial Services & Supplies,"Senior Secured Term Loan A (7.46% (LIBOR + 6.00% with 1.00% LIBOR floor), due 5/3/2021)(3)(11)",11/2/2015,3100,,3100,,3100,,0.1%,,,,,,,,,,,
160,"Senior Secured Term Loan B (12.46% (LIBOR + 11.00% with 1.00% LIBOR floor), due 5/3/2021)(3)(11)",11/2/2015,22750,,22750,,22750,,0.8%,,,,,,,,,,,,,
161,,,,,,25850,,25850,,0.9%,,,,,,,,,,,,
162,CP VI Bella Midco,IT Services,"Second Lien Term Loan (7.74% (LIBOR + 6.75%), due 12/29/2025)(3)(8)(13)",2/26/2018,15750,,15709,,15750,,0.5%,,,,,,,,,,,
163,,,,,,15709,,15750,,0.5%,,,,,,,,,,,,
164,"Digital Room, LLC",Commercial Services & Supplies,"First Lien Term Loan (6.45% (LIBOR + 5.00%), due 5/21/2026)(3)(8)(11)",5/29/2019,25,,25,,24,,-%,,,,,,,,,,,
165,"First Lien Term Loan (6.07% (LIBOR + 5.00%), due 5/21/2026)(3)(8)(13)",5/29/2019,9900,,9778,,9341,,0.3%,,,,,,,,,,,,,
166,"Second Lien Term Loan (10.07% (LIBOR + 9.00%), due 5/21/2027)(3)(8)(53)",5/30/2019,70000,,70000,,65510,,2.3%,,,,,,,,,,,,,
167,,,,,,79803,,74875,,2.6%,,,,,,,,,,,,
168,"Dunn Paper, Inc.",Paper & Forest Products,"First Lien Term Loan (5.75% (LIBOR + 4.75% with 1.00% LIBOR floor), due 8/26/2022)(3)(8)(13)",11/27/2019,4488,,4382,,4363,,0.1%,,,,,,,,,,,
169,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(13)",10/7/2016,11500,,11387,,11122,,0.4%,,,,,,,,,,,,,
170,,,,,,15769,,15485,,0.5%,,,,,,,,,,,,
171,"Easy Gardener Products, Inc.",Household Durables,"Senior Secured Term Loan (11.46% (LIBOR + 10.00% with 0.25% LIBOR floor), in non-accrual status effective 10/1/2019, due 09/30/2020)(11)(16)",10/2/2015,15719,,15719,,4799,,0.2%,,,,,,,,,,,
172,,,,,,15719,,4799,,0.2%,,,,,,,,,,,,
173,EDSCO Holding Company LLC,Machinery,"Senior Secured Term Loan (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 1/10/2025)(3)(11)",1/10/2020,20000,,20000,,20000,,0.7%,,,,,,,,,,,
174,,,,,,20000,,20000,,0.7%,,,,,,,,,,,,
175,"Engine Group, Inc.(7)",Media,"Senior Secured Term Loan (7.25% (PRIME + 4.00%), due 9/15/2022)(8)(54)",9/25/2017,4220,,4220,,3619,,0.1%,,,,,,,,,,,
176,"Second Lien Term Loan (11.25% (PRIME + 8.00%), due 9/15/2023)(3)(8)(54)",9/25/2017,35000,,35000,,18380,,0.6%,,,,,,,,,,,,,
177,,,,,,39220,,21999,,0.7%,,,,,,,,,,,,
178,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals","Second Lien Term Loan (9.41% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(3)(8)(11)",12/5/2017,12500,,12411,,11851,,0.4%,,,,,,,,,,,
179,,,,,,12411,,11851,,0.4%,,,,,,,,,,,,
180,"Galaxy XV CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 9.66%, due 10/15/2030)(5)(14)",3/14/2013,50525,,35628,,23188,,0.8%,,,,,,,,,,,
181,,,,,,35628,,23188,,0.8%,,,,,,,,,,,,
182,"Galaxy XXVII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.13%, due 5/16/2031)(5)(14)",11/5/2013,24575,,16437,,10938,,0.4%,,,,,,,,,,,
183,,,,,,16437,,10938,,0.4%,,,,,,,,,,,,
184,"Galaxy XXVIII CLO, Ltd.",Structured Finance,"Subordinated Structured Note (Residual Interest, current yield 7.15%, due 7/15/2031)(5)(14)",6/27/2014,39905,,28629,,16178,,0.6%,,,,,,,,,,,
185,,,,,,28629,,16178,,0.6%,,,,,,,,,,,,
186,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,
187,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,
188,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit – $3,621 Commitment (10.00% (PRIME+5.25%) , due10/25/2024)(15)(54)",12/12/2019,,769,,,769,,,763.0,,-%,,,,,,,,
189,"First Lien Term Loan (7.88% (LIBOR+6.25% with 1.63% LIBOR floor), due10/25/2024)(3)(13)",12/12/2019,31301,,31138,,31042,,1.1%,,,,,,,,,,,,,
