0,1,2,3,4,5,6,7,8,9,10,11
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2015)(4)(25)(26)",Principal Value,2350,Fair  Value(2),% of Net Assets,2350,0,0,2350.0,0.1%
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)",38759,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2015)(4)(25)(26)",38759,41109,34264,36614,0.9%,1.0%,0,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.71%)(11)(22)",52250,41109,51031,36614,50301,0,1.4%,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.71%)(11)(22)",52250,51031,51031,50301,50301,1.4%,0,0.0,0
"Blue Coat Systems, Inc.",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)(16)",11000,51031,10908,50301,10908,0,0.3%,0.0,0
"Blue Coat Systems, Inc.",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)(16)",11000,10908,10908,10908,10908,0.3%,0,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",254800,10908,254800,10908,253883,0,6.8%,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",254800,254800,254800,253883,253883,6.8%,0,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.84%)(11)(22)",26000,254800,22345,253883,24453,0,0.7%,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.84%)(11)(22)",26000,22345,22345,24453,24453,0.7%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,22345,242,24453,-%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,22345,242,24453,-%,0,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",65000,-,64363,242,64363,0,1.7%,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",65000,64363,64363,64363,64363,1.7%,0,0.0,0
Cent CLO 17 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.49%)(11)(22)",24870,64363,21054,64363,23164,0,0.6%,0.0,0
Cent CLO 17 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.49%)(11)(22)",24870,21054,21054,23164,23164,0.6%,0,0.0,0
Cent CLO 20 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.31%)(11)(22)",40275,21054,37296,23164,38076,0,1.0%,0.0,0
Cent CLO 20 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.31%)(11)(22)",40275,37296,37296,38076,38076,1.0%,0,0.0,0
Cent CLO 21 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.55%)(11)(22)",48528,37296,47382,38076,44694,0,1.2%,0.0,0
Cent CLO 21 Limited,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.55%)(11)(22)",48528,47382,47382,44694,44694,1.2%,0,0.0,0
"CIFC Funding 2011-I, Ltd.",Cayman Islands / Diversified Financial Services,"Class D Senior Secured Notes (5.23% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",19000,47382,15452,44694,18136,0,0.5%,0.0,0
"Class E Subordinated Notes (7.23% (LIBOR + 7.00%, due 1/19/2023)(4)(22)",15400,"Class D Senior Secured Notes (5.23% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",12910,28362,15241,33377,0.4%,0.9%,0,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.66%)(11)(22)",44100,28362,37432,33377,41626,0,1.1%,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.66%)(11)(22)",44100,37432,37432,41626,41626,1.1%,0,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.40%)(11)(22)",45500,37432,38250,41626,39781,0,1.1%,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.40%)(11)(22)",45500,38250,38250,39781,39781,1.1%,0,0.0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 11.32%)(11)(22)",Principal Value,41500,Fair  Value(2),% of Net Assets,39555,0,0,37873.0,1.0%
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 11.32%)(11)(22)",Principal Value,39555,Fair  Value(2),37873,39555,1.0%,0,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68798,39555,68748,37873,68798,0,1.9%,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68798,68748,68748,68798,68798,1.9%,0,0.0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68798,-,68748,119,68798,-%,0,0.0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68798,-,68748,119,68798,-%,0,0.0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50566,-,50566,119,50566,0,1.4%,0.0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50566,50566,50566,50566,50566,1.4%,0,0.0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,50566,40000,50566,37516,0,1.0%,0.0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,40000,40000,37516,37516,1.0%,0,0.0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",46754,40000,46754,37516,46754,0,1.3%,0.0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",46754,46754,46754,46754,46754,1.3%,0,0.0,0
"Deltek, Inc.",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)(16)",12000,46754,11863,46754,12000,0,0.3%,0.0,0
"Deltek, Inc.",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)(16)",12000,11863,11863,12000,12000,0.3%,0,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11863,-,12000,-%,0,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11863,-,12000,-%,0,0.0,0
"Edmentum, Inc.",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)(16)",50000,-,48561,-,43107,0,1.2%,0.0,0
"Edmentum, Inc.",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)(16)",50000,48561,48561,43107,43107,1.2%,0,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,48561,15467,43107,13850,0,0.4%,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,15467,15467,13850,13850,0.4%,0,0.0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15467,121,13850,-%,0,0.0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15467,121,13850,-%,0,0.0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",24750,-,24750,121,24750,0,0.7%,0.0,0
"Delayed Draw Term Loan – $15,000 Commitment (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 4/30/2019)(4)(25)",-,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",-,49750,-,49750,-%,1.4%,0,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,49750,17799,49750,18000,0,0.5%,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,17799,17799,18000,18000,0.5%,0,0.0,0
"Focus Products Group International, LLC",Illinois / Durable Consumer Products,"Common Stock (5,638 shares)",18000,17799,27,18000,-,0,-%,0.0,0
"Focus Products Group International, LLC",Illinois / Durable Consumer Products,"Common Stock (5,638 shares)",18000,27,27,-,-,-%,0,0.0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.88%)(11)(22)",Principal Value,35025,Fair  Value(2),% of Net Assets,28583.0,0,0,30629.0,0.8%
"Galaxy XV CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.88%)(11)(22)",Principal Value,28583,Fair  Value(2),30629,28583.0,0.8%,0,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.23%)(11)(22)",22575,28583,19801,30629,19861.0,0,0.5%,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.23%)(11)(22)",22575,19801,19801,19861,19861.0,0.5%,0,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.31%)(11)(22)",39905,19801,37390,19861,34809.0,0,0.9%,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.31%)(11)(22)",39905,37390,37390,34809,34809.0,0.9%,0,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28393,37390,28393,34809,28393.0,0,0.8%,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28393,28393,28393,28393,28393.0,0.8%,0,0.0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",119970,28393,119970,28393,119970.0,0,3.2%,0.0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",119970,119970,119970,119970,119970.0,3.2%,0,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 26.02%)(11)(22)",23188,119970,20454,119970,22870.0,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 26.02%)(11)(22)",23188,20454,20454,22870,22870.0,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.31%)(11)(22)",40400,20454,36781,22870,40448.0,0,1.1%,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.31%)(11)(22)",40400,36781,36781,40448,40448.0,1.1%,0,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.74%)(11)(22)",24500,36781,21694,40448,22925.0,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.74%)(11)(22)",24500,21694,21694,22925,22925.0,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.89%)(11)(22)",41164,21694,37185,22925,39340.0,0,1.1%,0.0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.89%)(11)(22)",41164,37185,37185,39340,39340.0,1.1%,0,0.0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",9000,37185,8843,39340,8843.0,0,0.2%,0.0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",9000,8843,8843,8843,8843.0,0.2%,0,0.0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(4)",22500,8843,22500,8843,22500.0,0,0.6%,0.0,0
