0,1,2,3,4,5,6,7,8,9,10,11
Nationwide Acceptance LLC(22)(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)",14820,165280,14820,166830,14820,0,0.4%,0,0
"Class A Shares (24,029,326 shares)",Illinois / Consumer Finance,12248,14820,27068,14820,27832,14820,0.8%,0,0,0
"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,27068,3714,27832,1864,0,0.1%,0,0
"Series A Preferred Stock (7,200 shares)",7000,12486,7000,23200,3514,5378,0.1%,0.2%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,23200,30411,5378,30411,0,0.8%,0,0
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,30411,37180,30411,56213,30411,1.5%,0,0,0
United Property  REIT Corp.(41),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",66704,37180,66704,56213,66704,0,1.8%,0,0
"Common Stock (70,689 shares)",Various /  Real Estate,13421,66704,80125,66704,79634,66704,2.2%,0,0,0
"Valley Electric  Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10146,80125,10146,79634,10146,0,0.3%,0,0
"Common Stock (50,000 shares)",20935,26205,20935,57286,19285,29431,0.5%,0.8%,0,0,0
"Wolf Energy, LLC(12)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",26966,57286,-,29431,2110,0,0.1%,0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,-,26966,512,-,2139,2110,0.1%,0,0,0
"Yatesville Coal  Company, LLC(8)",Kentucky / Energy,Senior Secured Note (in non-accrual status effective 1/1/2009),1449,512,1449,2139,-,0,-%,0,0
Membership Interest (100%),Kentucky / Energy,-,1449,1449,1449,-,-,-%,0,0,0
"Aderant North America, Inc.(16)",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)",Principal Value,7000,Fair  Value(2),% of Net Assets,6917,0,0,7000.0,0.2%
"Aderant North America, Inc.(16)",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)",Principal Value,6917,Fair  Value(2),7000,6917,0.2%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),498,6917,-%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),498,6917,-%,0,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5881,Fair  Value(2),3601,6917,0.1%,0,0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5881,Fair  Value(2),3601,6917,0.1%,0,0,0
"ALG USA Holdings, LLC(16)","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)",12000,5881,11799,3601,12000,0,0.3%,0,0
"ALG USA Holdings, LLC(16)","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)",12000,11799,11799,12000,12000,0.3%,0,0,0
"Allied Defense Group, Inc.",Virginia / Aerospace & Defense,"Common Stock (10,000 shares)",12000,5,11799,-,12000,-%,0,0,0
"Allied Defense Group, Inc.",Virginia / Aerospace & Defense,"Common Stock (10,000 shares)",12000,5,11799,-,12000,-%,0,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,5,74654,-,74654,0,2.0%,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,74654,74654,74654,74654,2.0%,0,0,0
American Gilsonite Company,Utah / Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)",38500,74654,38500,74654,38500,0,1.1%,0,0
Membership Interest (99.9999%)(15),Utah / Metal Services & Minerals,-,38500,38500,38500,42518,38500,1.2%,0,0,0
Apidos CLO IX(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 17.90%)(11)",20525,38500,18324,42518,19659,0,0.5%,0,0
Apidos CLO IX(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 17.90%)(11)",20525,18324,18324,19659,19659,0.5%,0,0,0
Apidos CLO XI(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.79%)(11)",38340,18324,33440,19659,36790,0,1.0%,0,0
Apidos CLO XI(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.79%)(11)",38340,33440,33440,36790,36790,1.0%,0,0,0
Apidos CLO XII(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.16%)(11)",44063,33440,40964,36790,42344,0,1.2%,0,0
Apidos CLO XII(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 16.16%)(11)",44063,40964,40964,42344,42344,1.2%,0,0,0
Apidos CLO XV(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.43%)(11)",36515,40964,36403,42344,36496,0,1.0%,0,0
Apidos CLO XV(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.43%)(11)",36515,36403,36403,36496,36496,1.0%,0,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,36403,150000,36496,150000,0,4.1%,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,150000,150000,150000,150000,4.1%,0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil and Gas Production,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",26831,150000,26831,150000,26831,0,0.7%,0,0
"Delayed Draw Term Loan – $5,000 Commitment (due 4/8/2019)(25)",-,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",-,53662,-,53662,-%,1.4%,0,0,0
Armor Holding II LLC(16),New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)",Principal Value,7000,Fair  Value(2),% of Net Assets,6878,0,0,6878.0,0.2%
Armor Holding II LLC(16),New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)",Principal Value,6878,Fair  Value(2),6878,6878,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2015)(4)(25)(26)",2350,6878,2350,6878,2350,0,0.1%,0,0
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)",38858,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2015)(4)(25)(26)",38858,41208,34128,36478,0.9%,1.0%,0,0,0
Babson CLO Ltd. 2011-I(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 5.76%)(11)",35000,41208,34541,36478,31433,0,0.9%,0,0
Babson CLO Ltd. 2011-I(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 5.76%)(11)",35000,34541,34541,31433,31433,0.9%,0,0,0
Babson CLO Ltd. 2012-I(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.60%)(11)",29075,34541,22950,31433,25167,0,0.7%,0,0
Babson CLO Ltd. 2012-I(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.60%)(11)",29075,22950,22950,25167,25167,0.7%,0,0,0
Babson CLO Ltd. 2012-II(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.71%)(11)",27850,22950,26329,25167,27113,0,0.7%,0,0
Babson CLO Ltd. 2012-II(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 11.71%)(11)",27850,26329,26329,27113,27113,0.7%,0,0,0
"Blue Coat Systems, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)",11000,26329,10905,27113,11000,0,0.3%,0,0
"Blue Coat Systems, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)",11000,10905,10905,11000,11000,0.3%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)",256275,10905,256275,11000,256275,0,7.0%,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)",256275,256275,256275,256275,256275,7.0%,0,0,0
Brookside Mill CLO Ltd.(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.56%)(11)",26000,256275,22677,256275,25139,0,0.7%,0,0
Brookside Mill CLO Ltd.(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 19.56%)(11)",26000,22677,22677,25139,25139,0.7%,0,0,0
"Caleel + Hayden, LLC(14)(31)",Colorado / Personal & Nondurable Consumer Products,Membership Interest,26000,-,22677,183,25139,-%,0,0,0
"Caleel + Hayden, LLC(14)(31)",Colorado / Personal & Nondurable Consumer Products,Membership Interest,26000,-,22677,183,25139,-%,0,0,0
Cent CLO 17 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.40%)(11)",24870,-,21569,183,23720,0,0.7%,0,0
Cent CLO 17 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.40%)(11)",24870,21569,21569,23720,23720,0.7%,0,0,0
Cent CLO 20 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.90%)(11)",40275,21569,38140,23720,39310,0,1.1%,0,0
Cent CLO 20 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 10.90%)(11)",40275,38140,38140,39310,39310,1.1%,0,0,0
Cent CLO 21 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.07%)(11)",48528,38140,47070,39310,46287,0,1.3%,0,0
Cent CLO 21 Limited(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 15.07%)(11)",48528,47070,47070,46287,46287,1.3%,0,0,0
"CIFC Funding 2011-I, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)",19000,47070,15377,46287,18048,0,0.5%,0,0
"Class E Subordinated Notes (7.32% (LIBOR + 7.00%, due 1/19/2023)(4)",15400,"Class D Senior Secured Notes (5.32% (LIBOR + 5.00%, due 1/19/2023)(4)",12862,28239,15171,33219,0.4%,0.9%,0,0,0
"CIFC Funding 2013-III, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.96%)(11)",Principal Value,44100,Fair  Value(2),% of Net Assets,38415,0,0,42745.0,1.2%
"CIFC Funding 2013-III, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.96%)(11)",Principal Value,38415,Fair  Value(2),42745,38415,1.2%,0,0,0
"CIFC Funding 2013-IV, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.66%)(11)",45500,38415,39150,42745,40625,0,1.1%,0,0
"CIFC Funding 2013-IV, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 12.66%)(11)",45500,39150,39150,40625,40625,1.1%,0,0,0
"CIFC Funding 2014-IV Investor, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 13.98%)(11)",41500,39150,39505,40625,39222,0,1.1%,0,0
"CIFC Funding 2014-IV Investor, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Income Notes (Residual Interest, current yield 13.98%)(11)",41500,39505,39505,39222,39222,1.1%,0,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68975,39505,68925,39222,68975,0,1.9%,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68975,68925,68925,68975,68975,1.9%,0,0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68975,-,68925,117,68975,-%,0,0,0
"The Copernicus Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68975,-,68925,117,68975,-%,0,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50888,-,50888,117,50888,0,1.4%,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",50888,50888,50888,50888,50888,1.4%,0,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,50888,40000,50888,39245,0,1.1%,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,40000,40000,39245,39245,1.1%,0,0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",47129,40000,47129,39245,47129,0,1.3%,0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",47129,47129,47129,47129,47129,1.3%,0,0,0
"Deltek, Inc.(16)",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)",12000,47129,11857,47129,12000,0,0.3%,0,0
"Deltek, Inc.(16)",Virginia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)",12000,11857,11857,12000,12000,0.3%,0,0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions),12000,-,11857,-,12000,-%,0,0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions),12000,-,11857,-,12000,-%,0,0,0
"Edmentum, Inc.(16)",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)",50000,-,48499,-,50000,0,1.4%,0,0
"Edmentum, Inc.(16)",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)",50000,48499,48499,50000,50000,1.4%,0,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)",15700,48499,15443,50000,15700,0,0.4%,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)",15700,15443,15443,15700,15700,0.4%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15443,118,15700,-%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15443,118,15700,-%,0,0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",24875,-,24875,118,24875,0,0.7%,0,0
"Delayed Draw Term Loan – $15,000 Commitment (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 4/30/2019)(4)(25)",-,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/30/2019)(4)",-,49875,-,49875,-%,1.4%,0,0,0
"Focus Brands, Inc.(16)",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)",Principal Value,18000,Fair  Value(2),% of Net Assets,17787.0,0,0,18000.0,0.5%
"Focus Brands, Inc.(16)",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)",Principal Value,17787,Fair  Value(2),18000,17787.0,0.5%,0,0,0
"Focus Products Group International, LLC",Illinois / Durable Consumer Products,"Senior Secured Term Loan (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 1/20/2017)(3)(4)",20021,17787,20021,18000,17805.0,0,0.5%,0,0
"Common Stock (5,638 shares)",Illinois / Durable Consumer Products,27,20021,20048,20021,17805,17805.0,0.5%,0,0,0
"Galaxy XII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.50%)(11)",22000,20048,19238,17805,20427.0,0,0.6%,0,0
"Galaxy XII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.50%)(11)",22000,19238,19238,20427,20427.0,0.6%,0,0,0
"Galaxy XV CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.80%)(11)",35025,19238,29152,20427,31835.0,0,0.9%,0,0
"Galaxy XV CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.80%)(11)",35025,29152,29152,31835,31835.0,0.9%,0,0,0
"Galaxy XVI CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.06%)(11)",22575,29152,20407,31835,20818.0,0,0.6%,0,0
"Galaxy XVI CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 13.06%)(11)",22575,20407,20407,20818,20818.0,0.6%,0,0,0
"Galaxy XVII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.76%)(11)",39905,20407,38194,20818,36485.0,0,1.0%,0,0
"Galaxy XVII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 14.76%)(11)",39905,38194,38194,36485,36485.0,1.0%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28429,38194,28429,36485,28429.0,0,0.8%,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(3)(4)",28429,28429,28429,28429,28429.0,0.8%,0,0,0
"Grocery Outlet, Inc.(16)",California / Retail,"Second Lien Term Loan (11.50% (PRIME + 8.25% with 3.25% PRIME floor), due 6/17/2019)(4)",14457,28429,14179,28429,14746.0,0,0.4%,0,0
"Grocery Outlet, Inc.(16)",California / Retail,"Second Lien Term Loan (11.50% (PRIME + 8.25% with 3.25% PRIME floor), due 6/17/2019)(4)",14457,14179,14179,14746,14746.0,0.4%,0,0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",112258,14179,112258,14746,112258.0,0,3.1%,0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",112258,112258,112258,112258,112258.0,3.1%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 24.62%)(11)",23188,112258,20376,112258,22889.0,0,0.6%,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.(22),Cayman Islands / Diversified Financial Services,"Subordinated Notes (Residual Interest, current yield 24.62%)(11)",23188,20376,20376,22889,22889.0,0.6%,0,0,0
