,0,1,2,3,4,5,6,7,8,9,10,11,12
35,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(10)(11)(39)",16442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",16442,18250,16442,% of Net Assets,0.5%,0.2%,,,,
36,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5646,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",7200,18250,5646,% of Net Assets,0.2%,0.2%,,,,
37,"Common Stock (42,053 shares)",5646,6849,7200,13177,5646,0.4%,0.2%,0.2%,,,,
38,"Common Stock (42,053 shares)",5646,6849,7200,48741,5646,53515,0.2%,1.6%,,,,
39,National Property REIT Corp.(23),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",283972,48741,283972,53515,283972,1.6%,8.3%,,,
40,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(39)",212819,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",212819,48741,212819,53515,6.2%,1.6%,,,,
41,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",135818,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",135818,48741,135818,53515,4.0%,1.6%,,,,
42,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(39)",11508,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",11508,48741,11508,53515,0.3%,1.6%,,,,
43,"Common Stock (1,656,276 shares)",-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",188444,48741,267511,53515,7.7%,1.6%,,,,
44,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",-,48741,68362,53515,2.0%,1.6%,,,,
45,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",-,832561,68362,979990,2.0%,28.5%,,,,
46,Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(39)",16819,832561,16819,979990,16819,28.5%,0.5%,,,
47,"Class A Shares (29,559,899 shares)(13)",Illinois / Consumer Finance,16292,16819,20690,16819,0.6%,16819,28.5%,,,,
48,"Class A Shares (29,559,899 shares)(13)",Illinois / Consumer Finance,16292,16819,33111,16819,37509,16819,1.1%,,,,
49,"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,33111,3714,37509,3404,1.1%,0.1%,,,
50,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,"Senior Secured Note (14.00%, due 5/6/2021)",7000,33111,6416,37509,0.2%,1.1%,,,,
51,"Series A Preferred Stock (7,200 shares)",7000,7200,7000,28,6416,-%,0.2%,1.1%,,,,
52,"Series B Preferred Stock (5,669 shares)",7000,5669,7000,35,6416,-%,0.2%,1.1%,,,,
53,"Series B Preferred Stock (5,669 shares)",7000,5669,7000,23583,6416,9883,0.2%,0.3%,,,,
54,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,23583,28622,9883,28622,0.3%,0.8%,,,
55,"Common Stock (545,107 shares)",Pennsylvania / Manufacturing,5087,28622,4824,28622,0.1%,28622,0.3%,,,,
56,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1681,28622,1769,28622,0.1%,28622,0.3%,,,,
57,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1681,28622,35390,28622,35215,28622,1.0%,,,,
58,USES Corp.(26),Texas / Commercial Services,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",26683,35390,26158,35215,26683,1.0%,0.8%,,,
59,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",36905,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",35568,35390,15704,35215,0.4%,1.0%,,,,
60,"Common Stock (268,962 shares)",36905,-,35568,-,15704,-%,0.4%,1.0%,,,,
61,"Common Stock (268,962 shares)",36905,-,35568,61726,15704,42387,0.4%,1.2%,,,,
62,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,0.4%,1.2%,,,,
63,"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(39)",Principal Value,10430,Fair  Value(2),% of Net Assets,10430,1.2%,,10430.0,,0.3%
64,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2019)(39)",24199,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(39)",24199,10430,20101,% of Net Assets,0.6%,1.2%,,,,
65,"Common Stock (50,000 shares)",24199,26204,24199,-,20101,-%,0.6%,1.2%,,,,
66,"Common Stock (50,000 shares)",24199,26204,24199,60833,20101,30531,0.6%,0.9%,,,,
67,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",38257,60833,-,30531,-,0.9%,-%,,,
68,Membership Interest (100%),Kansas / Oil & Gas Production,-,38257,-,-,-%,-,0.9%,,,,
69,Net Profits Interest (8% of Equity Distributions)(4),Kansas / Oil & Gas Production,-,38257,16,-,-%,-,0.9%,,,,
70,Net Profits Interest (8% of Equity Distributions)(4),Kansas / Oil & Gas Production,-,38257,-,-,16,-,-%,,,,
71,Net Profits Interest (8% of Equity Distributions)(4),Kansas / Oil & Gas Production,1870228,38257,-,1867823,16,54.3%,-%,,,,
72,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,54.3%,-%,,,,
73,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,Amortized Cost,309,% of Net Assets,54.3%,617,,-%,,
74,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,309,309,617,54.3%,-%,,,,
75,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,309,11640,617,11771,-%,0.3%,,,
76,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,11640,11640,11771,11771,0.3%,,,,
77,American Gilsonite Company(29),Utah / Metal Services & Minerals,Membership Interest (1.93%),11771,-,11640,-,11771,-%,,,,
78,American Gilsonite Company(29),Utah / Metal Services & Minerals,Membership Interest (1.93%),11771,-,11640,-,11771,-%,,,,
79,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.72%, due 7/15/2023)(5)(13)",23525,-,19651,-,18919,-%,0.6%,,,
80,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.72%, due 7/15/2023)(5)(13)",23525,19651,19651,18919,18919,0.6%,,,,
81,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.36%, due 1/17/2023)(5)(13)",38340,19651,29137,18919,25439,0.6%,0.7%,,,
82,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.36%, due 1/17/2023)(5)(13)",38340,29137,29137,25439,25439,0.7%,,,,
83,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.25%, due 4/15/2025)(5)(13)",44063,29137,33470,25439,29888,0.7%,0.9%,,,
84,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.25%, due 4/15/2025)(5)(13)",44063,33470,33470,29888,29888,0.9%,,,,
85,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.22%, due 10/20/2025)(5)(13)",36515,33470,30624,29888,24264,0.9%,0.7%,,,
86,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.22%, due 10/20/2025)(5)(13)",36515,30624,30624,24264,24264,0.7%,,,,
87,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.19%, due 10/20/2027)(5)(6)(13)",31350,30624,26735,24264,24751,0.7%,0.7%,,,
88,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.19%, due 10/20/2027)(5)(6)(13)",31350,26735,26735,24751,24751,0.7%,,,,
89,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,26735,150000,24751,149324,0.7%,4.3%,,,
90,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,150000,150000,149324,149324,4.3%,,,,
91,"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",21322,150000,20706,149324,149324,9568,,0.3%,,
92,"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",24755,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",23239,150000,-,149324,-%,9568,,,,
93,"Senior Secured Term Loan B (12.50% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",24755,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",23239,43945,-,9568,-%,0.3%,,,,
94,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,43945,6912,9568,6912,0.3%,0.2%,,,
95,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,6912,6912,6912,6912,0.2%,,,,
96,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(10)(11)(14)",2350,6912,2350,6912,2350,0.2%,0.1%,,,
97,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(10)(11)",38067,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(10)(11)(14)",38067,6912,38067,6912,1.1%,0.2%,,,,
98,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(10)(11)",38067,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(10)(11)(14)",38067,40417,38067,40417,1.1%,1.2%,,,,
99,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.09%, due 1/15/2026)(5)(6)(13)",52250,40417,42771,40417,40630,1.2%,1.2%,,,
100,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.09%, due 1/15/2026)(5)(6)(13)",52250,42771,42771,40630,40630,1.2%,,,,
101,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,40630,1.2%,,,,
102,"BNN Holdings, Corp.",Michigan / Healthcare,Escrow Receivable,Principal Value,Amortized Cost,Fair  Value(2),-,40630,1.2%,486,,-%,
103,"BNN Holdings, Corp.",Michigan / Healthcare,Escrow Receivable,Principal Value,-,Fair  Value(2),486,40630,-%,,,,
104,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",119999,-,119999,486,40630,119999,,3.5%,,
105,"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(10)(12)",120983,"Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",120983,-,120983,486,3.5%,119999,,,,
106,"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(10)(12)",120983,"Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",120983,240982,120983,240982,3.5%,7.0%,,,,
107,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.67%, due 4/17/2025)(5)(13)",26000,240982,19432,240982,18083,7.0%,0.5%,,,
108,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.67%, due 4/17/2025)(5)(13)",26000,19432,19432,18083,18083,0.5%,,,,
109,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 15.77%, due 4/16/2022)(5)(13)",57000,19432,37813,18083,34132,0.5%,1.0%,,,
110,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 15.77%, due 4/16/2022)(5)(13)",57000,37813,37813,34132,34132,1.0%,,,,
111,"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(12)",101828,37813,101319,34132,101033,1.0%,2.9%,,,
112,"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(12)",101828,101319,101319,101033,101033,2.9%,,,,
113,"Carlyle Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.69%, due 10/20/2029)(5)(6)(13)",32200,101319,29854,101033,29717,2.9%,0.9%,,,
114,"Carlyle Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.69%, due 10/20/2029)(5)(6)(13)",32200,29854,29854,29717,29717,0.9%,,,,
115,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.17%, due 1/30/2025)(5)(13)",24870,29854,18616,29717,16504,0.9%,0.5%,,,
116,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.17%, due 1/30/2025)(5)(13)",24870,18616,18616,16504,16504,0.5%,,,,
117,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.27%, due 1/25/2026)(5)(13)",40275,18616,32288,16504,25591,0.5%,0.7%,,,
118,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.27%, due 1/25/2026)(5)(13)",40275,32288,32288,25591,25591,0.7%,,,,
119,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.66%, due 7/27/2026)(5)(6)(13)",48528,32288,37278,25591,28947,0.7%,0.8%,,,
120,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.66%, due 7/27/2026)(5)(6)(13)",48528,37278,37278,28947,28947,0.8%,,,,
121,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.62%, due 10/24/2025)(5)(13)",44100,37278,31703,28947,28775,0.8%,0.8%,,,
122,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.62%, due 10/24/2025)(5)(13)",44100,31703,31703,28775,28775,0.8%,,,,
123,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.24%, due 11/27/2024)(5)(13)",45500,31703,33065,28775,32209,0.8%,0.9%,,,
124,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.24%, due 11/27/2024)(5)(13)",45500,33065,33065,32209,32209,0.9%,,,,
125,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.72%, due 10/17/2026)(5)(6)(13)",41500,33065,30980,32209,29141,0.9%,0.8%,,,
126,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.72%, due 10/17/2026)(5)(6)(13)",41500,30980,30980,29141,29141,0.8%,,,,
127,"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(39)",65640,30980,65590,29141,65640,0.8%,1.9%,,,
128,"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(39)",65640,65590,65590,65640,65640,1.9%,,,,
129,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,65640,1.9%,,,,
130,"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",Principal Value,24000,Fair  Value(2),% of Net Assets,24000,1.9%,,24000.0,,0.7%
131,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",25000,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",25000,24000,25000,% of Net Assets,0.7%,1.9%,,,,
132,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",25000,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",25000,49000,25000,49000,0.7%,1.4%,,,,
133,Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.22% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(10)(12)(39)",54673,49000,54673,49000,54673,1.4%,1.6%,,,
134,"Senior Secured Term Loan B (16.22% (LIBOR + 15.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(10)(12)(39)",41656,"Senior Secured Term Loan A (9.22% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(10)(12)(39)",41656,49000,41656,49000,1.2%,1.4%,,,,
135,"Senior Secured Term Loan B (16.22% (LIBOR + 15.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(10)(12)(39)",41656,"Senior Secured Term Loan A (9.22% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(10)(12)(39)",41656,96329,41656,96329,1.2%,2.8%,,,,
136,CURO Group Holdings Corp. (f/k/a Speedy Cash Holdings Corp.),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)(8)(13)",15000,96329,15000,96329,7076,2.8%,0.2%,,,
137,CURO Group Holdings Corp. (f/k/a Speedy Cash Holdings Corp.),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)(8)(13)",15000,15000,15000,7076,7076,0.2%,,,,
138,"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.84% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(10)(11)",17325,15000,17325,7076,17325,0.2%,0.5%,,,
