0,1,2,3,4,5,6,7,8,9,10,11
"Manx Energy, Inc.(12)",Kansas /  Oil & Gas Production,"Senior Secured Note to Manx Energy, Inc. (13.00%, in non-accrual status effective 1/19/2010, past due)",225,3831,225,-,-,0,-%,0,0
"Common Stock of Manx Energy, Inc. (17,082 shares)",Kansas /  Oil & Gas Production,-,225,225,225,-,-,-%,0,0,0
MITY Holdings  of Delaware Inc.(17),Utah /  Durable Consumer Products,"Senior Secured Note to MITY Holdings of Delaware Inc. (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 9/19/2019)(4)",22968,225,22968,-,22968,0,0.7%,0,0
Common Stock of MITY Holdings of Delaware Inc. (100 shares),18250,6943,18250,48161,18250,49383,0.5%,1.4%,0,0,0
Nationwide Acceptance Holdings LLC(22)(36),Illinois /  Consumer Finance,"Senior Secured Revolving Credit Facility to Nationwide Acceptance Holdings LLC – $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)(4)(25)",24708,48161,24708,49383,24708,0,0.7%,0,0
Net Revenue Interest in Nationwide Acceptance Holdings LLC (5% of Net Revenue),Illinois /  Consumer Finance,-,24708,29151,24708,30752,24708,0.9%,0,0,0
"NMMB Holdings, Inc.(24)",New York / Media,"Senior Secured Note to NMMB Acquisition, Inc. (14.00%, due 5/6/2016)",10714,29151,10714,30752,9715,0,0.3%,0,0
"Series B Convertible Preferred Stock of NMMB Holdings, Inc. (8,086 shares)",New York / Media,12486,10714,23200,10714,9715,9715,0.3%,0,0,0
"NPH Property  Holdings, LLC(40)",Texas /  Real Estate,"Senior Term Loan to NPH Property Holdings, LLC (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",Principal Value,104441,Fair  Value(2),% of Net Assets,104441,0,0,104441.0,2.9%
"Membership Interest in NPH Property Holdings, LLC",Texas /  Real Estate,21040,Principal Value,125481,Fair  Value(2),124213,104441,3.5%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note to R-V Industries, Inc. (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,125481,30411,124213,30411,0,0.9%,0,0
"Warrant (to purchase 200,000 shares of Common Stock of R-V Industries, Inc., expires 6/30/2017)",Pennsylvania / Manufacturing,1682,30411,37180,30411,57136,30411,1.6%,0,0,0
"STI Holding, Inc.  (f/k/a Borga, Inc.)(21)",California / Manufacturing,"Revolving Line of Credit to Borga, Inc. – $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 3/2/2010, past due)(4)(25)",1150,37180,1095,57136,503,0,-%,0,0
"Warrant (to purchase 33,750 shares of Common Stock of STI Holding, Inc., expires 5/6/2015)",10040,-,707,3303,-,503,-%,-%,0,0,0
"UPH Property  Holdings, LLC(41)",Georgia /  Real Estate,"Senior Term Loan to UPH Property Holdings, LLC (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",19027,3303,19027,503,19027,0,0.5%,0,0
"Membership Interest in UPH Property Holdings, LLC",Georgia /  Real Estate,3707,19027,22734,19027,24419,19027,0.7%,0,0,0
"Valley Electric  Holdings I, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Holdings I, Inc. (9.00% (LIBOR + 6.00% with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)(4)",36450,22734,36450,24419,25199,0,0.7%,0,0
"Net Revenue Interest in Valley Electric Holdings I, Inc. (5% of Net Revenue)",10067,-,10067,56043,10067,35761,0.3%,1.0%,0,0,0
Wolf Energy  Holdings Inc.(12),Kansas /  Oil & Gas Production,"Senior Secured Promissory Note to Wolf Energy, LLC secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",Principal Value,22000,Fair  Value(2),% of Net Assets,-,0,0,3529.0,0.1%
"Net Profits Interest in Wolf Energy, LLC  (8% of Equity Distributions)(7)",8424,-,5991,8041,-,3759,-%,0.1%,0,0,0
"Aderant North  America, Inc.(16)",Georgia /  Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)",Principal Value,7000,Fair  Value(2),% of Net Assets,6910,0,0,7000.0,0.2%
"Aderant North  America, Inc.(16)",Georgia /  Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)",Principal Value,6910,Fair  Value(2),7000,6910,0.2%,0,0,0
"Aircraft Fasteners International, LLC",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),505,6910,-%,0,0,0
"Aircraft Fasteners International, LLC",California / Machinery,"Class A Units (32,500 units)",Principal Value,396,Fair  Value(2),505,6910,-%,0,0,0
"ALG USA  Holdings, LLC(16)","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)",12000,396,11785,505,12000,0,0.3%,0,0
"ALG USA  Holdings, LLC(16)","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)",12000,11785,11785,12000,12000,0.3%,0,0,0
"Allied Defense  Group, Inc.",Virginia / Aerospace & Defense,"Common Stock (10,000 shares)",12000,5,11785,-,12000,-%,0,0,0
"Allied Defense  Group, Inc.",Virginia / Aerospace & Defense,"Common Stock (10,000 shares)",12000,5,11785,-,12000,-%,0,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,5,74654,-,74654,0,2.1%,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",North Carolina / Telecommunication Services,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)",74654,74654,74654,74654,74654,2.1%,0,0,0
American Gilsonite Company,Utah /  Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)",38500,74654,38500,74654,38500,0,1.1%,0,0
Membership Interest(15),Utah /  Metal Services & Minerals,-,38500,38500,38500,40799,38500,1.2%,0,0,0
Apidos CLO IX(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),20525,38500,18781,40799,19979,0,0.6%,0,0
Apidos CLO IX(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),20525,18781,18781,19979,19979,0.6%,0,0,0
Apidos CLO XI(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),38340,18781,34733,19979,38035,0,1.1%,0,0
Apidos CLO XI(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),38340,34733,34733,38035,38035,1.1%,0,0,0
Apidos CLO XII(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),44063,34733,42529,38035,42505,0,1.2%,0,0
Apidos CLO XII(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),44063,42529,42529,42505,42505,1.2%,0,0,0
Apidos CLO XV(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),36515,42529,37837,42505,37004,0,1.0%,0,0
Apidos CLO XV(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),36515,37837,37837,37004,37004,1.0%,0,0,0
"Arctic Glacier  U.S.A., Inc.",Minnesota /  Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,37837,150000,37004,150000,0,4.2%,0,0
"Arctic Glacier  U.S.A., Inc.",Minnesota /  Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,150000,150000,150000,150000,4.2%,0,0,0
Armor Holding  II LLC(16),New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)",7000,150000,6871,150000,6871,0,0.2%,0,0
Armor Holding  II LLC(16),New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)",7000,6871,6871,6871,6871,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $3,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2014)(4)(25)(26)",2350,6871,2350,6871,2350,0,0.1%,0,0
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)",39056,"Revolving Line of Credit – $3,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2014)(4)(25)(26)",39056,41406,34068,36418,1.0%,1.1%,0,0,0
Babson CLO Ltd.  2011-I(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,35000,Fair  Value(2),% of Net Assets,33965,0,0,35326.0,1.0%
Babson CLO Ltd.  2011-I(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,33965,Fair  Value(2),35326,33965,1.0%,0,0,0
Babson CLO Ltd.  2012-I(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),29075,33965,23867,35326,27435,0,0.8%,0,0
Babson CLO Ltd.  2012-I(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),29075,23867,23867,27435,27435,0.8%,0,0,0
Babson CLO Ltd.  2012-II(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),27850,23867,27344,27435,27879,0,0.8%,0,0
Babson CLO Ltd.  2012-II(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),27850,27344,27344,27879,27879,0.8%,0,0,0
"Blue Coat  Systems, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)",11000,27344,10899,27879,11000,0,0.3%,0,0
"Blue Coat  Systems, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 6/28/2020)(3)(4)",11000,10899,10899,11000,11000,0.3%,0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)",258875,10899,258875,11000,258875,0,7.3%,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)",258875,258875,258875,258875,258875,7.3%,0,0,0
Brookside Mill  CLO Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),26000,258875,23043,258875,25338,0,0.7%,0,0
Brookside Mill  CLO Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),26000,23043,23043,25338,25338,0.7%,0,0,0
Byrider Systems Acquisition Corp.(22),Indiana / Auto Finance,"Senior Subordinated Notes (12.00% plus 2.00% PIK, due 11/3/2016)(3)",11083,23043,11083,25338,11083,0,0.3%,0,0
Byrider Systems Acquisition Corp.(22),Indiana / Auto Finance,"Senior Subordinated Notes (12.00% plus 2.00% PIK, due 11/3/2016)(3)",11083,11083,11083,11083,11083,0.3%,0,0,0
"Caleel + Hayden, LLC(14)(31)",Colorado / Personal & Nondurable Consumer Products,Membership Interest,11083,-,11083,168,11083,-%,0,0,0
Escrow Receivable,Colorado / Personal & Nondurable Consumer Products,-,11083,-,11083,260,11083,-%,0,0,0
"Capstone Logistics, LLC",Georgia / Commercial Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.00% with 1.50% LIBOR floor), due 9/16/2016)(4)",95466,-,95466,260,95466,0,2.7%,0,0
"Senior Secured Term Loan B (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 9/16/2016)(3)(4)",100000,"Senior Secured Term Loan A (6.50% (LIBOR + 5.00% with 1.50% LIBOR floor), due 9/16/2016)(4)",100000,195466,100000,195466,2.8%,5.5%,0,0,0
Cent CLO 17 Limited(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),24870,195466,22548,195466,24945,0,0.7%,0,0
Cent CLO 17 Limited(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),24870,22548,22548,24945,24945,0.7%,0,0,0
Cent CLO 20 Limited(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),40275,22548,41101,24945,40592,0,1.1%,0,0
Cent CLO 20 Limited(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),40275,41101,41101,40592,40592,1.1%,0,0,0
"CIFC Funding  2011-I, Ltd.(22)",Cayman Islands / Diversified Financial Services,"Class D Senior Secured Notes (5.24% (LIBOR + 5.00%, due 1/19/2023)(4)",19000,41101,15233,40592,18233,0,0.5%,0,0
"Class E Subordinated Notes (7.24% (LIBOR + 7.00%, due 1/19/2023)(4)",15400,"Class D Senior Secured Notes (5.24% (LIBOR + 5.00%, due 1/19/2023)(4)",12769,28002,15321,33554,0.4%,0.9%,0,0,0
"CIFC Funding  2013-III, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),44100,28002,42898,33554,43780,0,1.2%,0,0
"CIFC Funding  2013-III, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),44100,42898,42898,43780,43780,1.2%,0,0,0
"CIFC Funding  2013-IV, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,45500,Fair  Value(2),% of Net Assets,41136.0,0,0,40964.0,1.2%
"CIFC Funding  2013-IV, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,41136,Fair  Value(2),40964,41136.0,1.2%,0,0,0
"Cinedigm DC  Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68454,41136,68454,40964,68454.0,0,1.9%,0,0
"Cinedigm DC  Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",68454,68454,68454,68454,68454.0,1.9%,0,0,0
"The Copernicus  Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68454,-,68454,137,68454.0,-%,0,0,0
"The Copernicus  Group, Inc.",North Carolina / Healthcare,Escrow Receivable,68454,-,68454,137,68454.0,-%,0,0,0
"Correctional Healthcare Holding Company, Inc.",Colorado / Healthcare,"Second Lien Term Loan (11.25%, due 1/11/2020)(3)",27100,-,27100,137,27100.0,0,0.8%,0,0
"Correctional Healthcare Holding Company, Inc.",Colorado / Healthcare,"Second Lien Term Loan (11.25%, due 1/11/2020)(3)",27100,27100,27100,27100,27100.0,0.8%,0,0,0
"Coverall North  America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",52661,27100,52661,27100,52661.0,0,1.5%,0,0
"Coverall North  America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",52661,52661,52661,52661,52661.0,1.5%,0,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,52661,40000,52661,40000.0,0,1.1%,0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,40000,40000,40000,40000.0,1.1%,0,0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",69981,40000,69981,40000,69981.0,0,2.0%,0,0
"CRT MIDCO, LLC",Wisconsin / Media,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 6/30/2017)(3)(4)",69981,69981,69981,69981,69981.0,2.0%,0,0,0
"Deltek, Inc.(16)",Virginia /  Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)",12000,69981,11847,69981,12240.0,0,0.3%,0,0
"Deltek, Inc.(16)",Virginia /  Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 10/10/2019)(3)(4)",12000,11847,11847,12240,12240.0,0.3%,0,0,0
"Diamondback  Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11847,-,12240.0,-%,0,0,0
"Diamondback  Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),12000,-,11847,-,12240.0,-%,0,0,0
"Edmentum, Inc.  (f/k/a Archipelago Learning, Inc.)(16)",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)",50000,-,48381,-,50000.0,0,1.4%,0,0
"Edmentum, Inc.  (f/k/a Archipelago Learning, Inc.)(16)",Minnesota / Consumer Services,"Second Lien Term Loan (11.25% (LIBOR + 9.75% with 1.50% LIBOR floor), due 5/17/2019)(3)(4)",50000,48381,48381,50000,50000.0,1.4%,0,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)",15700,48381,15397,50000,15700.0,0,0.4%,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)",15700,15397,15397,15700,15700.0,0.4%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15397,237,15700.0,-%,0,0,0
"Fischbein, LLC",North Carolina / Machinery,Escrow Receivable,15700,-,15397,237,15700.0,-%,0,0,0
"Focus Brands, Inc.(16)",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)",18000,-,17765,237,18000.0,0,0.5%,0,0
"Focus Brands, Inc.(16)",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)",18000,17765,17765,18000,18000.0,0.5%,0,0,0
"Focus Products Group International, LLC  (f/k/a FPG, LLC)",Illinois /  Durable Consumer Products,"Senior Secured Term Loan (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 1/20/2017)(3)(4)",20573,17765,20573,18000,20422.0,0,0.6%,0,0
"Common Stock (5,638 shares)",Illinois /  Durable Consumer Products,27,20573,20600,20573,20442,20422.0,0.6%,0,0,0
"Galaxy XII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),22000,20600,19794,20442,20527.0,0,0.6%,0,0
"Galaxy XII CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),22000,19794,19794,20527,20527.0,0.6%,0,0,0
"Galaxy XV CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,35025,Fair  Value(2),% of Net Assets,30320,0,0,31989.0,0.9%
"Galaxy XV CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),Principal Value,30320,Fair  Value(2),31989,30320,0.9%,0,0,0
"Galaxy XVI CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),22575,30320,21413,31989,20755,0,0.6%,0,0
"Galaxy XVI CLO, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),22575,21413,21413,20755,20755,0.6%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(4)",28500,21413,28500,20755,28500,0,0.8%,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/25/2019)(4)",28500,28500,28500,28500,28500,0.8%,0,0,0
"Grocery Outlet, Inc.(16)",California / Retail,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 6/17/2019)(4)",14456,28500,14156,28500,14456,0,0.4%,0,0
"Grocery Outlet, Inc.(16)",California / Retail,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 6/17/2019)(4)",14456,14156,14156,14456,14456,0.4%,0,0,0
"GTP Operations, LLC  (f/k/a CI (Transplace) Holdings, LLC)(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",113850,14156,113850,14456,113850,0,3.2%,0,0
"GTP Operations, LLC  (f/k/a CI (Transplace) Holdings, LLC)(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",113850,113850,113850,113850,113850,3.2%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),23188,113850,20792,113850,22540,0,0.6%,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),23188,20792,20792,22540,22540,0.6%,0,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),40400,20792,39703,22540,40808,0,1.1%,0,0
