0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,Common Stock (100 shares),Investments  (1),7933,Principal  Value,8581,Cost,8012,0,0.3%,0,0
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,Net Revenue Interest (4% of Net Revenue),Investments  (1),7933,Principal  Value,-,Cost,428,0,0.0%,0,0
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,Net Revenue Interest (4% of Net Revenue),Investments  (1),7933,Principal  Value,34064,Cost,33923,0,1.2%,0,0
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,Net Revenue Interest (4% of Net Revenue),Investments  (1),7933,Principal  Value,34064,Cost,33923,Fair  Value  (2),0,% of Net  Assets,0
CP Holdings of Delaware LLC  (38),Portfolio Company,Oklahoma / Oil & Gas Production,Locale / Industry,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 8/2/2018)  (4)",Investments  (1),"$ 58,773",Principal  Value,"$ 58,773",Cost,"$ 58,773",0,2.0%,0,0
CP Holdings of Delaware LLC  (38),Portfolio Company,Oklahoma / Oil & Gas Production,Locale / Industry,"Senior Secured Note (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor), due 8/2/2018)  (4)",Investments  (1),22500,Principal  Value,22500,Cost,22500,0,0.8%,0,0
CP Holdings of Delaware LLC  (38),Portfolio Company,Oklahoma / Oil & Gas Production,Locale / Industry,Common Stock (100 shares),Investments  (1),22500,Principal  Value,12741,Cost,10750,0,0.4%,0,0
CP Holdings of Delaware LLC  (38),Portfolio Company,Oklahoma / Oil & Gas Production,Locale / Industry,Common Stock (100 shares),Investments  (1),22500,Principal  Value,94014,Cost,92023,0,3.2%,0,0
"Credit Central Holdings of Delaware, LLC  (22), (34)",Portfolio Company,Ohio / Consumer Finance,Locale / Industry,"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2022)  (4), (25)",Investments  (1),38082,Principal  Value,38082,Cost,38082,0,1.3%,0,0
"Credit Central Holdings of Delaware, LLC  (22), (34)",Portfolio Company,Ohio / Consumer Finance,Locale / Industry,Common Stock (100 shares),Investments  (1),38082,Principal  Value,9581,Cost,12237,0,0.4%,0,0
"Credit Central Holdings of Delaware, LLC  (22), (34)",Portfolio Company,Ohio / Consumer Finance,Locale / Industry,Net Revenue Interest (5% of Net Revenue),Investments  (1),38082,Principal  Value,-,Cost,3040,0,0.1%,0,0
"Credit Central Holdings of Delaware, LLC  (22), (34)",Portfolio Company,Ohio / Consumer Finance,Locale / Industry,Net Revenue Interest (5% of Net Revenue),Investments  (1),38082,Principal  Value,47663,Cost,53359,0,1.8%,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,Locale / Industry,"Junior Secured Note (18.00%, due 12/12/2016)",Investments  (1),4250,Principal  Value,4250,Cost,4250,0,0.2%,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Junior Secured Note (18.00%, due 12/12/2016)",3500,4250,3500,4250,3500,4250,0.1%,0,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Subordinated Secured Note to Freedom Marine Holdings, LLC (12.00% (LIBOR + 6.11% with 5.89% LIBOR floor) plus 4.00% PIK, in non-accrual status effective 10/1/2010, past due)  (4)",3500,14048,3500,12504,3500,9750,0,0.3%,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",3500,1449,3500,1449,3500,-,0,0.0%,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",Common Stock (100 shares),3500,1449,3500,8318,3500,6090,0,0.2%,0,0
"Energy Solutions Holdings, Inc.  (8)",Portfolio Company,Texas / Energy,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",Common Stock (100 shares),3500,1449,3500,30021,3500,23590,0,0.8%,0,0
"First Tower Holdings of Delaware, LLC  (22), (29)",Portfolio Company,Mississippi / Consumer Finance,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Senior Secured Revolving Credit Facility - $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)  (4), (25)",3500,264760,3500,264760,3500,264760,0,9.1%,0,0
"First Tower Holdings of Delaware, LLC  (22), (29)",Portfolio Company,Mississippi / Consumer Finance,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Common Stock (83,729,323 shares)",3500,264760,3500,43193,3500,34937,0,1.2%,0,0
"First Tower Holdings of Delaware, LLC  (22), (29)",Portfolio Company,Mississippi / Consumer Finance,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",Net Revenue Interest (5% of Net Revenue & Distributions),3500,264760,3500,-,3500,13976,0,0.5%,0,0
"First Tower Holdings of Delaware, LLC  (22), (29)",Portfolio Company,Mississippi / Consumer Finance,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",Net Revenue Interest (5% of Net Revenue & Distributions),3500,264760,3500,307953,3500,313673,0,10.8%,0,0
"The Healing Staff, Inc.  (9)",Portfolio Company,North Carolina / Contracting,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Secured Promissory Notes (15.00%, in non-accrual status effective 12/22/2010, past due)",3500,1688,3500,1686,3500,-,0,0.0%,0,0
"The Healing Staff, Inc.  (9)",Portfolio Company,North Carolina / Contracting,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Senior Demand Note (15.00%, in non-accrual status effective 11/1/2010, past due)",3500,1170,3500,1170,3500,-,0,0.0%,0,0
"The Healing Staff, Inc.  (9)",Portfolio Company,North Carolina / Contracting,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Common Stock (1,000 shares)",3500,1170,3500,975,3500,-,0,0.0%,0,0
"The Healing Staff, Inc.  (9)",Portfolio Company,North Carolina / Contracting,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Common Stock (1,000 shares)",3500,1170,3500,3831,3500,-,0,0.0%,0,0
"Manx Energy, Inc.  (12)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",3500,500,3500,500,3500,413,0,0.0%,0,0
"Manx Energy, Inc.  (12)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Preferred Stock (6,635 shares)",3500,500,3500,-,3500,-,0,0.0%,0,0
"Manx Energy, Inc.  (12)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Common Stock (17,082 shares)",3500,500,3500,-,3500,-,0,0.0%,0,0
"Manx Energy, Inc.  (12)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)","Common Stock (17,082 shares)",3500,500,3500,500,3500,413,0,0.0%,0,0
"Manx Energy, Inc.  (12)",Portfolio Company,Kansas / Oil & Gas Production,Locale / Industry,"Common Stock (17,082 shares)",Investments  (1),500,Principal  Value,500,Cost,413,Fair  Value  (2),0,% of Net  Assets,0
MITY Holdings of Delaware Inc.  (17),Portfolio Company,Utah / Durable Consumer Products,Locale / Industry,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 9/19/2019)  (4)",Investments  (1),"$ 22,792",Principal  Value,"$ 22,792",Cost,"$ 22,792",0,0.8%,0,0
MITY Holdings of Delaware Inc.  (17),Portfolio Company,Utah / Durable Consumer Products,Locale / Industry,"Senior Secured Note (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)  (4)",Investments  (1),18250,Principal  Value,18250,Cost,18250,0,0.6%,0,0
MITY Holdings of Delaware Inc.  (17),Portfolio Company,Utah / Durable Consumer Products,Locale / Industry,Common Stock (100 shares),Investments  (1),18250,Principal  Value,6943,Cost,6943,0,0.2%,0,0
MITY Holdings of Delaware Inc.  (17),Portfolio Company,Utah / Durable Consumer Products,Locale / Industry,Common Stock (100 shares),Investments  (1),18250,Principal  Value,47985,Cost,47985,0,1.6%,0,0
"Nationwide Acceptance Holdings, LLC  (22), (36)",Portfolio Company,Illinois / Consumer Finance,Locale / Industry,"Senior Secured Revolving Credit Facility - $30,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 1/31/2023)  (4), (25)",Investments  (1),21308,Principal  Value,21308,Cost,21308,0,0.7%,0,0
"Nationwide Acceptance Holdings, LLC  (22), (36)",Portfolio Company,Illinois / Consumer Finance,Locale / Industry,Membership Units (100 shares),Investments  (1),21308,Principal  Value,3843,Cost,3843,0,0.1%,0,0
"Nationwide Acceptance Holdings, LLC  (22), (36)",Portfolio Company,Illinois / Consumer Finance,Locale / Industry,Net Revenue Interest (5% of Net Revenue),Investments  (1),21308,Principal  Value,-,Cost,1869,0,0.1%,0,0
"Nationwide Acceptance Holdings, LLC  (22), (36)",Portfolio Company,Illinois / Consumer Finance,Locale / Industry,Net Revenue Interest (5% of Net Revenue),Investments  (1),21308,Principal  Value,25151,Cost,27020,0,0.9%,0,0
"NMMB Holdings, Inc.  (24)",Portfolio Company,New York / Media,Locale / Industry,"Senior Term Loan (14.00%, due 5/6/2016)",Investments  (1),16000,Principal  Value,16000,Cost,10727,0,0.4%,0,0
"NMMB Holdings, Inc.  (24)",Portfolio Company,New York / Media,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Senior Term Loan (14.00%, due 5/6/2016)",2800,16000,2800,16000,-,10727,0.0%,0,0,0
"NMMB Holdings, Inc.  (24)",Portfolio Company,New York / Media,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Series A Preferred Stock (4,400 shares)",2800,16000,2800,4400,-,-,0,0.0%,0,0
"NMMB Holdings, Inc.  (24)",Portfolio Company,New York / Media,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Series A Preferred Stock (4,400 shares)",2800,16000,2800,23200,-,10727,0,0.4%,0,0
"R-V Industries, Inc.",Portfolio Company,Pennsylvania / Manufacturing,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)  (3), (4)",2800,32750,2800,32750,-,32750,0,1.1%,0,0
"R-V Industries, Inc.",Portfolio Company,Pennsylvania / Manufacturing,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Warrants (200,000 warrants, expiring 6/30/2017)",2800,32750,2800,1682,-,6754,0,0.2%,0,0
"R-V Industries, Inc.",Portfolio Company,Pennsylvania / Manufacturing,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Common Stock (545,107 shares)",2800,32750,2800,5087,-,18409,0,0.7%,0,0
"R-V Industries, Inc.",Portfolio Company,Pennsylvania / Manufacturing,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Common Stock (545,107 shares)",2800,32750,2800,39519,-,57913,0,2.0%,0,0
"Valley Electric Holdings I, Inc.  (35)",Portfolio Company,Washington / Construction & Engineering,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Senior Secured Note (9.00% (LIBOR + 6.00%, with 3.00% LIBOR floor) plus 9.00% PIK, due 12/31/2018)  (4)",2800,34846,2800,34846,-,33533,0,1.2%,0,0
"Valley Electric Holdings I, Inc.  (35)",Portfolio Company,Washington / Construction & Engineering,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Senior Secured Note (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)  (3), (4)",2800,10040,2800,10040,-,10040,0,0.3%,0,0
"Valley Electric Holdings I, Inc.  (35)",Portfolio Company,Washington / Construction & Engineering,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Common Stock (50,000 shares)",2800,10040,2800,9526,-,3139,0,0.1%,0,0
"Valley Electric Holdings I, Inc.  (35)",Portfolio Company,Washington / Construction & Engineering,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",Net Revenue Interest (5% of Net Revenue),2800,10040,2800,-,-,899,0,0.0%,0,0
"Valley Electric Holdings I, Inc.  (35)",Portfolio Company,Washington / Construction & Engineering,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",Net Revenue Interest (5% of Net Revenue),2800,10040,2800,54412,-,47611,0,1.6%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",2800,22000,2800,-,-,4210,0,0.2%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status effective 1/19/2010, past due)",2800,2698,2800,2000,-,474,0,0.0%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Appalachian Energy Holdings, LLC (“AEH”) - Senior Secured First Lien Note (8.00%, in non-accrual status, past due)",2800,52,2800,50,-,52,0,0.0%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)","Coalbed, LLC - Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)  (6)",2800,8098,2800,5991,-,-,0,0.0%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",Common Stock (100 shares),2800,8098,2800,-,-,-,0,0.0%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",Net Profits Interest (8.00% payable on Equity distributions)  (7),2800,8098,2800,-,-,520,0,0.0%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,"Senior Subordinated Term Loan (15.00%, due 5/6/2016)",Net Profits Interest (8.00% payable on Equity distributions)  (7),2800,8098,2800,8041,-,5256,0,0.2%,0,0
"Wolf Energy Holdings, Inc.  (12), (37)",Portfolio Company,Kansas / Oil & Gas Production,Locale / Industry,Total Control Investments,Investments  (1),970400,Principal  Value,947572,Cost,32.6%,Fair  Value  (2),0,% of Net  Assets,0
BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),Portfolio Company,Michigan / Healthcare,Locale / Industry,"Senior Secured Note (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 12/17/2017)  (3), (4)",Investments  (1),"$ 29,400",Principal  Value,"$ 29,400",Cost,"$ 29,400",0,1.0%,0,0
BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),Portfolio Company,Michigan / Healthcare,Locale / Industry,"Preferred Stock Series A (9,925.455 shares)  (13)",Investments  (1),"$ 29,400",Principal  Value,2300,Cost,1805,0,0.1%,0,0
BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),Portfolio Company,Michigan / Healthcare,Locale / Industry,"Preferred Stock Series B (1,753.64 shares)  (13)",Investments  (1),"$ 29,400",Principal  Value,579,Cost,384,0,0.0%,0,0
BNN Holdings Corp. (f/k/a Biotronic NeuroNetwork),Portfolio Company,Michigan / Healthcare,Locale / Industry,"Preferred Stock Series B (1,753.64 shares)  (13)",Investments  (1),"$ 29,400",Principal  Value,32279,Cost,31589,0,1.1%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Senior Secured Term Loan A (10.00% plus 1.00% PIK, due 9/15/2015)",Investments  (1),1717,Principal  Value,1717,Cost,1717,0,0.1%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Senior Secured Term Loan B (10.00% plus 1.00% PIK, due 9/15/2015)",Investments  (1),4905,Principal  Value,4905,Cost,3801,0,0.1%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Senior Secured Term Loan C (10.00% plus 1.00% PIK, due 9/15/2015)",Investments  (1),2377,Principal  Value,2377,Cost,-,0,0.0%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Senior Secured Term Loan (10.00% plus 1.00% PIK, due 9/15/2015)",Investments  (1),8346,Principal  Value,8046,Cost,-,0,0.0%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Preferred Stock (1,000,000 shares)",Investments  (1),8346,Principal  Value,-,Cost,-,0,0.0%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Common Stock (10,000 shares)",Investments  (1),8346,Principal  Value,-,Cost,-,0,0.0%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Warrants (1 warrant, expiring 8/31/2022)",Investments  (1),8346,Principal  Value,-,Cost,-,0,0.0%,0,0
Boxercraft Incorporated  (20),Portfolio Company,Georgia / Textiles & Leather,Locale / Industry,"Warrants (1 warrant, expiring 8/31/2022)",Investments  (1),8346,Principal  Value,17045,Cost,5518,0,0.2%,0,0
"Smart, LLC  (14)",Portfolio Company,New York / Diversified / Conglomerate Service,Locale / Industry,Membership Interest,Investments  (1),8346,Principal  Value,-,Cost,318,0,0.0%,0,0
"Smart, LLC  (14)",Portfolio Company,New York / Diversified / Conglomerate Service,Locale / Industry,Membership Interest,Investments  (1),8346,Principal  Value,-,Cost,318,0,0.0%,0,0
"ADAPCO, Inc.",Portfolio Company,Florida / Ecological,Locale / Industry,"Common Stock (5,000 shares)",Investments  (1),49324,Principal  Value,-,Cost,-,0,0.0%,0,0
"ADAPCO, Inc.",Portfolio Company,Florida / Ecological,Locale / Industry,"Common Stock (5,000 shares)",Investments  (1),49324,Principal  Value,-,Cost,-,0,0.0%,0,0
"Aderant North America, Inc.",Portfolio Company,Georgia / Software & Computer Services,Locale / Industry,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)  (4)",Investments  (1),7000,Principal  Value,6904,Cost,7000,0,0.2%,0,0
"Aderant North America, Inc.",Portfolio Company,Georgia / Software & Computer Services,Locale / Industry,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)  (4)",Investments  (1),7000,Principal  Value,6904,Cost,7000,0,0.2%,0,0
"Aircraft Fasteners International, LLC",Portfolio Company,California / Machinery,Locale / Industry,"Convertible Preferred Stock (32,500 units)",Investments  (1),7000,Principal  Value,396,Cost,570,0,0.0%,0,0
"Aircraft Fasteners International, LLC",Portfolio Company,California / Machinery,Locale / Industry,"Convertible Preferred Stock (32,500 units)",Investments  (1),7000,Principal  Value,396,Cost,570,0,0.0%,0,0
"ALG USA Holdings, LLC",Portfolio Company,"Pennsylvania / Hotels, Restaurants & Leisure",Locale / Industry,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)  (4)",Investments  (1),12000,Principal  Value,11772,Cost,12000,0,0.4%,0,0
"ALG USA Holdings, LLC",Portfolio Company,"Pennsylvania / Hotels, Restaurants & Leisure",Locale / Industry,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)  (4)",Investments  (1),12000,Principal  Value,11772,Cost,12000,0,0.4%,0,0
"Allied Defense Group, Inc.",Portfolio Company,Virginia / Aerospace & Defense,Locale / Industry,"Common Stock (10,000 shares)",Investments  (1),12000,Principal  Value,56,Cost,-,0,0.0%,0,0
"Allied Defense Group, Inc.",Portfolio Company,Virginia / Aerospace & Defense,Locale / Industry,"Common Stock (10,000 shares)",Investments  (1),12000,Principal  Value,56,Cost,-,0,0.0%,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",Portfolio Company,North Carolina / Telecommunication Services,Locale / Industry,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)  (4)",Investments  (1),75000,Principal  Value,75000,Cost,75000,0,2.6%,0,0
"American Broadband Holding Company and Cameron Holdings of NC, Inc.",Portfolio Company,North Carolina / Telecommunication Services,Locale / Industry,"Senior Secured Term Loan B (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)  (4)",Investments  (1),75000,Principal  Value,75000,Cost,75000,0,2.6%,0,0
American Gilsonite Company,Portfolio Company,Utah / Specialty Minerals,Locale / Industry,"Second Lien Term Loan (11.50%, due 9/1/2017)",Investments  (1),38500,Principal  Value,38500,Cost,38500,0,1.3%,0,0
American Gilsonite Company,"Membership Interest in AGC/PEP, LLC (99.9999%)  (15)",Utah / Specialty Minerals,Locale / Industry,"Second Lien Term Loan (11.50%, due 9/1/2017)",-,38500,3169,38500,0.1%,41669,0,1.4%,0,0
