,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,Net Revenues Interest (25% of Net Revenues),1/28/2015,Subordinated Term Loan,-,10.00% plus 10.00% PIK,-,-,6/26/2024,-,37870,82570,,78324,%,2.5,%,(14)(39),1.1,%,(10)(39),,,,
11,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,-,3/31/2022,48160,37870,48160,,48160,%,1.5,%,(10)(39),1.1,%,(10)(39),,,,
12,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,21637,3/31/2022,21637,37870,21637,,0.7,%,(10)(39),%,(10)(39),1.1,%,(10)(39),,,,
13,Membership Interest (100%),3/31/2014,11.00% (1ML+ 9.00%) plus 1.00% PIK,-,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,-,3/31/2022,22738,37870,22327,,0.7,%,(16),%,(10)(39),1.1,%,(10)(39),,,,
14,Membership Interest (100%),3/31/2014,11.00% (1ML+ 9.00%) plus 1.00% PIK,-,11.75% (1ML+ 9.75%) plus 2.25% PIK,12/7/2024,-,3/31/2022,22738,37870,92535,,92124,%,2.9,%,(10)(39),1.1,%,(10)(39),,,,
15,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 12.00% PIK,-,-,6/24/2024,272158,37870,272158,,272158,%,8.6,%,(14)(39),1.1,%,(10)(39),,,,
16,"Class A Units (95,709,910 units)",6/14/2012,"Subordinated Term Loan to First Tower, LLC",-,10.00% plus 12.00% PIK,-,-,6/24/2024,81146,37870,237942,,7.5,%,(14)(16),%,(14)(39),1.1,%,(10)(39),,,,
17,"Class A Units (95,709,910 units)",6/14/2012,"Subordinated Term Loan to First Tower, LLC",-,10.00% plus 12.00% PIK,-,-,6/24/2024,81146,37870,353304,,510100,%,16.1,%,(14)(39),1.1,%,(10)(39),,,,
18,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,10.00% plus 12.00% PIK,-,-,6/24/2024,-,37870,43892,,12351,%,0.4,%,(16),1.1,%,(10)(39),,,,
19,"Freedom Marine Solutions, LLC (24)",Energy Equipment & Services,Membership Interest (100%),11/9/2006,10.00% plus 12.00% PIK,-,-,6/24/2024,-,37870,43892,,12351,%,0.4,%,(16),1.1,%,(10)(39),,,,
20,"InterDent, Inc. (29)",Health Care Providers & Services,Senior Secured Term Loan A/B,8/1/2018,11.85% (1ML+ 9.85%),2.00,-,9/5/2022,14250,37870,14249,,14249,%,0.4,%,(10)(39),1.1,%,(10)(39),,,,
21,Senior Secured Term Loan A,8/3/2012,6.50% (1ML+ 5.50%),1.00,11.85% (1ML+ 9.85%),9/5/2022,79242,9/5/2022,79242,37870,79242,,2.5,%,-10,%,(10)(39),1.1,%,(10)(39),,,,
22,Senior Secured Term Loan B,8/3/2012,10.00% PIK,-,11.85% (1ML+ 9.85%),9/5/2022,131725,9/5/2022,131725,37870,131725,,4.1,%,-10,%,(10)(39),1.1,%,(10)(39),,,,
23,"Common Stock (99,900 shares)",5/3/2019,10.00% PIK,-,11.85% (1ML+ 9.85%),9/5/2022,-,9/5/2022,45118,37870,11768,,0.4,%,(16),%,(10)(39),1.1,%,(10)(39),,,,
24,"Common Stock (99,900 shares)",5/3/2019,10.00% PIK,-,11.85% (1ML+ 9.85%),9/5/2022,-,9/5/2022,45118,37870,270334,,236984,%,7.4,%,(10)(39),1.1,%,(10)(39),,,,
25,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,11.85% (1ML+ 9.85%),-,-,9/5/2022,-,37870,2378,,3000,%,0.1,%,(16),1.1,%,(10)(39),,,,
26,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,11.85% (1ML+ 9.85%),-,-,9/5/2022,-,37870,2378,,3000,%,0.1,%,(16),1.1,%,(10)(39),,,,
27,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,-,4/30/2025,26250,37870,26250,,26250,%,0.8,%,(10),1.1,%,(10)(39),,,,
28,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,10.00% (3ML+ 7.00%),4/30/2025,33859,4/30/2025,33859,37870,22729,,0.7,%,(10)(39),%,(10),1.1,%,(10)(39),,,,
29,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,7200,4/30/2025,6205,37870,-,,-,%,(14),%,(10),1.1,%,(10)(39),,,,
30,"Common Stock (42,053 shares)",9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,-,4/30/2025,6849,37870,-,,-,%,(16),%,(10),1.1,%,(10)(39),,,,
31,"Common Stock (42,053 shares)",9/19/2013,10.00%,-,10.00% (3ML+ 7.00%),1/1/2028,-,4/30/2025,6849,37870,73163,,48979,%,1.5,%,(10),1.1,%,(10)(39),,,,
32,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,-,12/31/2023,319379,37870,319379,,319379,%,10.0,%,(10)(39),1.1,%,(10)(39),,,,
33,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,30621,12/31/2023,30621,37870,30621,,1.0,%,(10)(39),%,(10)(39),1.1,%,(10)(39),,,,
34,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,101200,12/31/2023,101200,37870,101200,,3.2,%,(10)(39),%,(10)(39),1.1,%,(10)(39),,,,
35,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,183425,12/31/2023,183425,37870,183425,,5.8,%,(10)(39),%,(10)(39),1.1,%,(10)(39),,,,
36,Residual Profit Interest,12/31/2018,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,-,37870,-,,-,%,(35),%,(10)(39),1.1,%,(10)(39),,,,
37,"Common Stock (3,254,594 shares)",12/31/2013,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,210,37870,278955,,8.8,%,(45),%,(10)(39),1.1,%,(10)(39),,,,
38,"Common Stock (3,254,594 shares)",12/31/2013,3.50% (3ML+ 0.50%) plus 2.50% PIK,-,4.44% (3ML+ 1.44%) plus 3.53% PIK,12/31/2023,-,12/31/2023,210,37870,634835,,913580,%,28.8,%,(10)(39),1.1,%,(10)(39),,,,
39,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,913580,%,28.8,%,(10)(39),1.1,%,(10)(39),,,,
40,Nationwide Loan Company LLC (27),Consumer Finance,Senior Subordinated Term Loan to Nationwide Acceptance LLC,6/18/2014,10.00% plus 10.00% PIK,-,Legal Maturity,6/18/2021,Amortized Cost,20260,% of Net Assets,,20260,%,28.8,20260,(10)(39),0.6,%,(14)(39),,,,
41,"Class A Units (38,550,460 units)",1/31/2013,Senior Subordinated Term Loan to Nationwide Acceptance LLC,-,10.00% plus 10.00% PIK,-,-,6/18/2021,20462,20260,16836,,0.5,%,(14)(16),20260,(10)(39),0.6,%,(14)(39),,,,
42,"Class A Units (38,550,460 units)",1/31/2013,Senior Subordinated Term Loan to Nationwide Acceptance LLC,-,10.00% plus 10.00% PIK,-,-,6/18/2021,20462,20260,40722,,37096,%,1.1,%,(10)(39),0.6,%,(14)(39),,,,
43,"NMMB, Inc. (28)",Media,"Delayed Draw Term Loan - $10,000 Commitment",3/25/2020,10.50% (3ML+ 8.50%),2.00,-,12/30/2024,-,20260,-,,-,%,-,%,(10)(15),0.6,%,(14)(39),,,,
44,Senior Secured Note,12/30/2019,10.50% (3ML+ 8.50%),2.00,10.50% (3ML+ 8.50%),12/30/2024,4987,12/30/2024,4987,20260,4987,,0.2,%,(3)(10),%,(10)(15),0.6,%,(14)(39),,,,
45,"Common Stock (21,419 shares)",12/30/2019,10.50% (3ML+ 8.50%),-,10.50% (3ML+ 8.50%),12/30/2024,-,12/30/2024,12869,20260,23113,,0.7,%,(3)(10),%,(10)(15),0.6,%,(14)(39),,,,
46,"Common Stock (21,419 shares)",12/30/2019,10.50% (3ML+ 8.50%),-,10.50% (3ML+ 8.50%),12/30/2024,-,12/30/2024,12869,20260,17856,,28100,%,0.9,%,(10)(15),0.6,%,(14)(39),,,,
47,Pacific World Corporation (36),Personal Products,"Revolving Line of Credit - $26,000 Commitment",9/26/2014,8.25% (1ML+ 7.25%),1.00,-,9/26/2025,20825,20260,20825,,20825,%,0.7,%,(10)(15),0.6,%,(14)(39),,,,
48,Senior Secured Term Loan A,12/31/2014,6.25% PIK (1ML+ 5.25%),1.00,8.25% (1ML+ 7.25%),9/26/2025,39716,9/26/2025,39716,20260,39716,,1.2,%,(10)(39),%,(10)(15),0.6,%,(14)(39),,,,
49,"Convertible Preferred Equity (273,400 shares)",6/15/2018,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2025,-,9/26/2025,186795,20260,6433,,0.2,%,(16),%,(10)(15),0.6,%,(14)(39),,,,
50,"Common Stock (6,778,414 shares)",9/29/2017,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2025,-,9/26/2025,-,20260,-,,-,%,(16),%,(10)(15),0.6,%,(14)(39),,,,
51,"Common Stock (6,778,414 shares)",9/29/2017,6.25% PIK (1ML+ 5.25%),-,8.25% (1ML+ 7.25%),9/26/2025,-,9/26/2025,-,20260,247336,,66974,%,2.1,%,(10)(15),0.6,%,(14)(39),,,,
52,"R-V Industries, Inc.",Machinery,Senior Subordinated Note,6/12/2013,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,28623,20260,28623,,28622,%,0.9,%,(3)(10),0.6,%,(14)(39),,,,
53,"Common Stock (745,107 shares)",6/26/2007,Senior Subordinated Note,-,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,6866,20260,12477,,0.4,%,(16),%,(3)(10),0.6,%,(14)(39),,,,
54,"Common Stock (745,107 shares)",6/26/2007,Senior Subordinated Note,-,10.00% (3ML+ 9.00%),1.00,-,3/31/2022,6866,20260,35489,,41099,%,1.3,%,(3)(10),0.6,%,(14)(39),,,,
55,"Universal Turbine Parts, LLC (34)",Trading Companies & Distributors,"Delayed Draw Term Loan - $5,000 Commitment",2/28/2019,10.25% (1ML+ 7.75%),2.50,-,7/22/2021,2880,20260,2880,,2880,%,0.1,%,(10)(15),0.6,%,(14)(39),,,,
56,Senior Secured Term Loan A,7/22/2016,6.75% (3ML+ 5.75%),1.00,10.25% (1ML+ 7.75%),7/22/2021,29900,7/22/2021,29900,20260,25586,,0.8,%,(10),%,(10)(15),0.6,%,(14)(39),,,,
57,Senior Secured Term Loan B,7/22/2016,12.75% PIK (3ML+ 11.75%),1.00,10.25% (1ML+ 7.75%),7/22/2021,44340,7/22/2021,32500,20260,-,,-,%,(9)(10),%,(10)(15),0.6,%,(14)(39),,,,
58,"Common Stock (10,000 units)",12/10/2018,12.75% PIK (3ML+ 11.75%),-,10.25% (1ML+ 7.75%),7/22/2021,-,7/22/2021,-,20260,-,,-,%,(16),%,(10)(15),0.6,%,(14)(39),,,,
59,"Common Stock (10,000 units)",12/10/2018,12.75% PIK (3ML+ 11.75%),-,10.25% (1ML+ 7.75%),7/22/2021,-,7/22/2021,-,20260,65280,,28466,%,0.9,%,(10)(15),0.6,%,(14)(39),,,,
60,USES Corp. (30),Commercial Services & Supplies,Senior Secured Term Loan A,3/31/2014,9.00% PIK,-,-,7/29/2022,51493,20260,30651,,22462,%,0.7,%,(9),0.6,%,(14)(39),,,,
61,Senior Secured Term Loan B,3/31/2014,15.50% PIK,-,9.00% PIK,7/29/2022,68943,7/29/2022,35568,20260,-,,-,%,(9),%,(9),0.6,%,(14)(39),,,,
62,"Common Stock (268,962 shares)",6/15/2016,15.50% PIK,-,9.00% PIK,7/29/2022,-,7/29/2022,-,20260,-,,-,%,(16),%,(9),0.6,%,(14)(39),,,,
63,"Common Stock (268,962 shares)",6/15/2016,15.50% PIK,-,9.00% PIK,7/29/2022,-,7/29/2022,-,20260,66219,,22462,%,0.7,%,(9),0.6,%,(14)(39),,,,
64,"Valley Electric Company, Inc. (31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc.",12/31/2012,8.00% (3ML+ 5.00%) plus 2.50% PIK,3.00,-,12/31/2024,10430,20260,10430,,10430,%,0.3,%,(3)(10)(39),0.6,%,(14)(39),,,,
65,Senior Secured Note,6/24/2014,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,33301,12/31/2024,33301,20260,33301,,1.0,%,(39),%,(3)(10)(39),0.6,%,(14)(39),,,,
66,Consolidated Revenue Interest (2.0%),6/22/2018,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,-,20260,2332,,0.1,%,(12),%,(3)(10)(39),0.6,%,(14)(39),,,,
67,"Common Stock (50,000 shares)",12/31/2012,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,25143,20260,87561,,2.8,%,(12),%,(3)(10)(39),0.6,%,(14)(39),,,,
68,"Common Stock (50,000 shares)",12/31/2012,8.00% plus 10.00% PIK,-,8.00% (3ML+ 5.00%) plus 2.50% PIK,6/23/2024,-,12/31/2024,25143,68874,87561,133624,2.8,4.2,%,%,(3)(10)(39),0.6,%,(14)(39),,,,
69,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,133624,2.8,4.2,%,%,(3)(10)(39),0.6,%,(14)(39),,,,
70,"Edmentum Ultimate Holdings, LLC (22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. - $7,834 Commitment",6/9/2015,5.00% PIK,-,Legal Maturity,12/9/2021,Amortized Cost,8648,% of Net Assets,133624,8648,4.2,%,8648,(3)(10)(39),0.2,%,(15)(39),,,,
71,Unsecured Senior PIK Note,6/9/2015,8.50% PIK,-,5.00% PIK,12/9/2021,9114,12/9/2021,9114,8648,9114,133624,0.3,%,(39),8648,(3)(10)(39),0.2,%,(15)(39),,,,
72,Unsecured Junior PIK Note,6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,44148,12/9/2021,32875,8648,44148,133624,1.4,%,(39),8648,(3)(10)(39),0.2,%,(15)(39),,,,
73,"Class A Units (370,964 units)",6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,-,12/9/2021,6577,8648,5698,133624,0.2,%,(16),8648,(3)(10)(39),0.2,%,(15)(39),,,,
74,"Class A Units (370,964 units)",6/9/2015,10.00% PIK,-,5.00% PIK,12/9/2021,-,12/9/2021,6577,57214,5698,67608,0.2,2.1,%,8648,(3)(10)(39),0.2,%,(15)(39),,,,
75,"Nixon, Inc. (32)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,5.00% PIK,-,-,12/9/2021,-,57214,-,67608,-,2.1,-,%,(16),0.2,%,(15)(39),,,,
76,"Nixon, Inc. (32)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,5.00% PIK,-,-,12/9/2021,-,-,-,-,-,-,%,%,(16),0.2,%,(15)(39),,,,
77,"PGX Holdings, Inc. (6)",Diversified Consumer Services,1.5 Lien Term Loan,5/27/2020,11.50% PIK (12ML+ 10.50%),1.00,-,3/29/2024,2873,-,2873,-,2873,-,0.1,%,(10)(39),0.2,%,(15)(39),,,,
78,Second Lien Term Loan,9/29/2014,15.75% PIK (1ML+ 14.75%),1.00,11.50% PIK (12ML+ 10.50%),9/29/2024,108758,3/29/2024,108757,-,108757,-,3.4,%,(10)(39),%,(10)(39),0.2,%,(15)(39),,,,
79,"Common Stock (40,780,359 shares)",5/27/2020,15.75% PIK (1ML+ 14.75%),-,11.50% PIK (12ML+ 10.50%),9/29/2024,-,3/29/2024,-,-,57951,-,1.8,%,(16),%,(10)(39),0.2,%,(15)(39),,,,
80,"Common Stock (40,780,359 shares)",5/27/2020,15.75% PIK (1ML+ 14.75%),-,11.50% PIK (12ML+ 10.50%),9/29/2024,-,3/29/2024,-,111630,57951,169581,1.8,5.3,%,%,(10)(39),0.2,%,(15)(39),,,,
81,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,11.50% PIK (12ML+ 10.50%),-,-,3/29/2024,-,111630,2805,169581,24986,5.3,0.8,%,(16),0.2,%,(15)(39),,,,
82,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,11.50% PIK (12ML+ 10.50%),-,-,3/29/2024,2805,111630,24986,169581,0.8,%,0.8,%,(16),0.2,%,(15)(39),,,,
83,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,169581,0.8,%,0.8,%,(16),0.2,%,(15)(39),,,,
84,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.90% (1ML+ 7.75%),-,Legal Maturity,10/1/2026,Amortized Cost,25000,% of Net Assets,169581,24859,%,0.8,25000,(16),0.8,%,(3)(8)(10),,,,
85,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.90% (1ML+ 7.75%),-,Legal Maturity,10/1/2026,Amortized Cost,24859,% of Net Assets,25000,24859,0.8,%,25000,(16),0.8,%,(3)(8)(10),,,,
86,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,Legal Maturity,12/15/2022,34498,24859,32156,25000,29210,0.8,0.9,%,(8)(14),0.8,%,(3)(8)(10),,,,
87,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,Legal Maturity,12/15/2022,34498,32156,32156,29210,29210,0.9,%,%,(8)(14),0.8,%,(3)(8)(10),,,,
88,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (1ML+ 8.50%),1.50,Legal Maturity,11/8/2025,70000,32156,70000,29210,70000,0.9,2.2,%,(3)(10),0.8,%,(3)(8)(10),,,,
89,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (1ML+ 8.50%),1.50,Legal Maturity,11/8/2025,70000,70000,70000,70000,70000,2.2,%,%,(3)(10),0.8,%,(3)(8)(10),,,,
90,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (6ML+ 8.50%),1.00,Legal Maturity,3/18/2028,14250,70000,13978,70000,13978,2.2,0.4,%,(8)(10),0.8,%,(3)(8)(10),,,,
91,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (6ML+ 8.50%),1.00,Legal Maturity,3/18/2028,14250,13978,13978,13978,13978,0.4,%,%,(8)(10),0.8,%,(3)(8)(10),,,,
92,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 10.40%",-,Legal Maturity,10/17/2030,40500,13978,32862,13978,26231,0.4,0.8,%,(5)(14),0.8,%,(3)(8)(10),,,,
93,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 10.40%",-,Legal Maturity,10/17/2030,40500,32862,32862,26231,26231,0.8,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
94,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.79%",-,Legal Maturity,4/15/2031,52203,32862,39315,26231,30351,0.8,1.0,%,(5)(14),0.8,%,(3)(8)(10),,,,
95,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.79%",-,Legal Maturity,4/15/2031,52203,39315,39315,30351,30351,1.0,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
96,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 13.20%",-,Legal Maturity,4/21/2031,48515,39315,40149,30351,28846,1.0,0.9,%,(5)(14),0.8,%,(3)(8)(10),,,,
97,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 13.20%",-,Legal Maturity,4/21/2031,48515,40149,40149,28846,28846,0.9,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
98,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 16.74%",-,Legal Maturity,4/21/2031,35855,40149,30678,28846,25133,0.9,0.8,%,(5)(14),0.8,%,(3)(8)(10),,,,
99,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 16.74%",-,Legal Maturity,4/21/2031,35855,30678,30678,25133,25133,0.8,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
100,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit - $3,000 Commitment",2/21/2013,10.75% (3ML+ 8.75%),2.00,Legal Maturity,4/30/2021,-,30678,-,25133,-,0.8,-,%,(10)(15),0.8,%,(3)(8)(10),,,,
101,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,10.75% (3ML+ 8.75%),4/30/2021,71205,4/30/2021,71205,30678,71205,25133,2.2,%,(3)(10),%,(10)(15),0.8,%,(3)(8)(10),,,,
102,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,10.75% (3ML+ 8.75%),4/30/2021,71205,4/30/2021,71205,71205,71205,71205,2.2,2.2,%,%,(10)(15),0.8,%,(3)(8)(10),,,,
103,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 5.58%",-,71205,7/20/2029,83098,71205,47714,71205,31875,2.2,1.0,%,(5)(14),0.8,%,(3)(8)(10),,,,
104,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 5.58%",-,71205,7/20/2029,83098,47714,47714,31875,31875,1.0,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
105,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,71205,12/2/2022,165390,47714,165390,31875,165390,1.0,5.2,%,(3)(10),0.8,%,(3)(8)(10),,,,
106,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,71205,12/2/2022,165390,165390,165390,165390,165390,5.2,%,%,(3)(10),0.8,%,(3)(8)(10),,,,
107,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,71205,1/17/2028,36300,165390,17033,165390,12204,5.2,0.4,%,(5)(14)(17),0.8,%,(3)(8)(10),,,,
108,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,71205,1/17/2028,36300,17033,17033,12204,12204,0.4,%,%,(5)(14)(17),0.8,%,(3)(8)(10),,,,
109,California Street CLO IX Ltd.,Structured Finance,Subordinated Structured Note,4/19/2012,"Residual Interest, current yield 8.25%",-,71205,7/16/2032,58915,17033,41677,12204,27920,0.4,0.9,%,(5)(14),0.8,%,(3)(8)(10),,,,
110,California Street CLO IX Ltd.,Structured Finance,Subordinated Structured Note,4/19/2012,"Residual Interest, current yield 8.25%",-,71205,7/16/2032,58915,41677,41677,27920,27920,0.9,%,%,(5)(14),0.8,%,(3)(8)(10),,,,
111,"Candle-Lite Company, LLC",Household Products,Senior Secured Term Loan A,1/23/2018,6.75% (3ML+ 5.50%),1.25,71205,1/23/2023,11875,41677,11875,27920,11875,0.9,0.4,%,(3)(10),0.8,%,(3)(8)(10),,,,
112,Senior Secured Term Loan B,1/23/2018,10.75% (3ML+ 9.50%),1.25,6.75% (3ML+ 5.50%),1/23/2023,12500,1/23/2023,12500,41677,12500,27920,0.4,%,(3)(10),%,(3)(10),0.8,%,(3)(8)(10),,,,
113,Senior Secured Term Loan B,1/23/2018,10.75% (3ML+ 9.50%),1.25,6.75% (3ML+ 5.50%),1/23/2023,12500,1/23/2023,12500,24375,12500,24375,0.4,0.8,%,%,(3)(10),0.8,%,(3)(8)(10),,,,
