,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
71,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,
72,United Property REIT Corp.(21),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",,67252,,,67252,,,67252.0,,2.0%,,,,,,,
73,"Common Stock (83,470 shares)",-,,15907,,20734,,0.6%,,,,,,,,,,,,
74,Net Operating Income Interest (5% of Net Operating Income),-,,-,,17646,,0.5%,,,,,,,,,,,,
75,,,,,83159,,105632,,3.1%,,,,,,,,,,,
76,"Valley Electric Company, Inc.(22)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)(6)(30)",10430,,10430,,10430,,0.3%,,,,,,,,,,
77,"Senior Secured Note (10.00% plus 8.50% PIK, due 12/31/2018)(6)",23601,,23601,,20929,,0.6%,,,,,,,,,,,,
78,"Common Stock (50,000 shares)",-,,26204,,-,,-%,,,,,,,,,,,,
79,,,,,60235,,31359,,0.9%,,,,,,,,,,,
80,"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",35050,,-,,674,,-%,,,,,,,,,,
81,Membership Interest (100%),-,,-,,-,,-%,,,,,,,,,,,,
82,Net Profits Interest (8% of Equity Distributions)(7),-,,-,,19,,-%,,,,,,,,,,,,
83,,,,,-,,693,,-%,,,,,,,,,,,
84,Total Control Investments,,,1959243,,,1998023,,58.9%,,,,,,,,,,,
85,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
86,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
87,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,
88,"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",,-,,,349,,,482.0,,-%,,,,,,,
89,,,,,349,,482,,-%,,,,,,,,,,,
90,Airmall Inc.,Pennsylvania / Property Management,Escrow Receivable,-,,4160,,3061,,0.1%,,,,,,,,,,
91,,,,,4160,,3061,,0.1%,,,,,,,,,,,
92,"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable(42),-,,1264,,2312,,0.1%,,,,,,,,,,
93,,,,,1264,,2312,,0.1%,,,,,,,,,,,
94,"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(27)(30)",11771,,11620,,11771,,0.3%,,,,,,,,,,
95,,,,,11620,,11771,,0.3%,,,,,,,,,,,
96,American Gilsonite Company,Utah / Metal Services & Minerals,Membership Interest (1.93%)(36),-,,-,,-,,-%,,,,,,,,,,
97,,,,,-,,-,,-%,,,,,,,,,,,
98,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.56%)(24)(32)",23525,,20097,,19490,,0.6%,,,,,,,,,,
99,,,,,20097,,19490,,0.6%,,,,,,,,,,,
100,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.94%)(24)(32)",38340,,30111,,25358,,0.7%,,,,,,,,,,
101,,,,,30111,,25358,,0.7%,,,,,,,,,,,
102,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.55%)(24)(32)",44063,,35179,,29742,,0.9%,,,,,,,,,,
103,,,,,35179,,29742,,0.9%,,,,,,,,,,,
104,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.42%)(24)(32)",36515,,31908,,24179,,0.7%,,,,,,,,,,
105,,,,,31908,,24179,,0.7%,,,,,,,,,,,
106,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.61%)(24)(25)(32)",31350,,27868,,24461,,0.7%,,,,,,,,,,
107,,,,,27868,,24461,,0.7%,,,,,,,,,,,
108,"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)(30)",150000,,150000,,145015,,4.2%,,,,,,,,,,
109,,,,,150000,,145015,,4.2%,,,,,,,,,,,
110,"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",21322,,21322,,14781,,0.4%,,,,,,,,,,
111,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)(31)",23239,,23239,,-,,-%,,,,,,,,,,,,
112,,,,,44561,,14781,,0.4%,,,,,,,,,,,
113,Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(4)(27)(30)",7000,,6901,,6913,,0.2%,,,,,,,,,,
114,,,,,6901,,6913,,0.2%,,,,,,,,,,,
115,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
116,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
117,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,
118,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(4)(30)(33)",,2350,,,2350,,,2350.0,,0.1%,,,,,,,
119,"Senior Term Loan (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)(30)",38265,,38265,,38008,,1.1%,,,,,,,,,,,,
120,,,,,40615,,40358,,1.2%,,,,,,,,,,,
121,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.71%)(24)(25)(32)",52250,,44678,,38113,,1.1%,,,,,,,,,,
122,,,,,44678,,38113,,1.1%,,,,,,,,,,,
123,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(4)(31)",121475,,121475,,121475,,3.5%,,,,,,,,,,
124,"Senior Secured Term Loan B (13.50% (LIBOR + 12.25% with 1.25% LIBOR floor), due 6/03/2021)(4)(31)",121966,,121966,,121966,,3.6%,,,,,,,,,,,,
125,,,,,243441,,243441,,7.1%,,,,,,,,,,,
126,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.23%)(24)(32)",26000,,20131,,18490,,0.5%,,,,,,,,,,
127,,,,,20131,,18490,,0.5%,,,,,,,,,,,
128,"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)(27)(31)",102500,,101948,,98169,,2.9%,,,,,,,,,,
129,,,,,101948,,98169,,2.9%,,,,,,,,,,,
130,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.54%)(24)(32)",24870,,19206,,16208,,0.5%,,,,,,,,,,
131,,,,,19206,,16208,,0.5%,,,,,,,,,,,
132,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.58%)(24)(32)",40275,,33574,,25023,,0.7%,,,,,,,,,,
133,,,,,33574,,25023,,0.7%,,,,,,,,,,,
134,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.70%)(24)(25)(32)",48528,,39614,,29616,,0.9%,,,,,,,,,,
135,,,,,39614,,29616,,0.9%,,,,,,,,,,,
136,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.80%)(24)(32)",44100,,32902,,29752,,0.9%,,,,,,,,,,
137,,,,,32902,,29752,,0.9%,,,,,,,,,,,
138,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.45%)(24)(32)",45500,,34078,,33278,,1.0%,,,,,,,,,,
139,,,,,34078,,33278,,1.0%,,,,,,,,,,,
140,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 15.41%)(24)(25)(32)",41500,,32303,,29486,,0.9%,,,,,,,,,,
141,,,,,32303,,29486,,0.9%,,,,,,,,,,,
142,"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)(6)(30)",66543,,66493,,66543,,1.9%,,,,,,,,,,
143,,,,,66493,,66543,,1.9%,,,,,,,,,,,
144,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
145,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
146,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,
147,"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(4)(30)",,24500,,,24500,,,24500.0,,0.7%,,,,,,,
148,"Senior Secured Term Loan B(12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(4)(30)",25000,,25000,,25000,,0.7%,,,,,,,,,,,,
149,,,,,49500,,49500,,1.4%,,,,,,,,,,,
150,Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.13% (LIBOR + 8.70% with 0.3% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(4)(6)(31)",53707,,53707,,51660,,1.5%,,,,,,,,,,
151,"Senior Secured Term Loan B (16.13% (LIBOR + 15.70% with 0.3% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(4)(6)(31)",40920,,40920,,38396,,1.1%,,,,,,,,,,,,
152,,,,,94627,,90056,,2.6%,,,,,,,,,,,
153,"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.63% (LIBOR + 10.00% with 0.25% LIBOR floor), due 09/30/2020)(3)(4)(30)",17413,,17413,,17413,,0.5%,,,,,,,,,,
154,,,,,17413,,17413,,0.5%,,,,,,,,,,,
155,"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(27)",15700,,15602,,15700,,0.5%,,,,,,,,,,
156,,,,,15602,,15700,,0.5%,,,,,,,,,,,
157,"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(4)(30)",24446,,24446,,24117,,0.7%,,,,,,,,,,
158,"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(4)(33)",-,,-,,(202,,-%,,,,,,,,,,,,
159,,,,,24446,,23915,,0.7%,,,,,,,,,,,
160,"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(27)(31)",18000,,17862,,18000,,0.5%,,,,,,,,,,
161,,,,,17862,,18000,,0.5%,,,,,,,,,,,
162,"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.15%)(24)(32)",39275,,29195,,29001,,0.8%,,,,,,,,,,
163,,,,,29195,,29001,,0.8%,,,,,,,,,,,
164,"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.96%)(24)(32)",24575,,19420,,18092,,0.5%,,,,,,,,,,
165,,,,,19420,,18092,,0.5%,,,,,,,,,,,
166,"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.67%)(24)(25)(32)",39905,,31376,,29034,,0.8%,,,,,,,,,,
167,,,,,31376,,29034,,0.8%,,,,,,,,,,,
168,"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)(31)",49379,,49379,,48893,,1.4%,,,,,,,,,,
169,,,,,49379,,48893,,1.4%,,,,,,,,,,,
170,Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.06%)(24)(32)",23188,,18672,,18969,,0.6%,,,,,,,,,,
171,,,,,18672,,18969,,0.6%,,,,,,,,,,,
172,Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 23.80%)(24)(32)",40400,,32563,,33415,,1.0%,,,,,,,,,,
173,,,,,32563,,33415,,1.0%,,,,,,,,,,,
174,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
175,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
176,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,
177,Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.25%)(24)(32)",,24500,,,18853,,,17435.0,,0.5%,,,,,,,
178,,,,,18853,,17435,,0.5%,,,,,,,,,,,
179,Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.67%)(24)(25)(32)",41164,,31691,,31344,,0.9%,,,,,,,,,,
180,,,,,31691,,31344,,0.9%,,,,,,,,,,,
181,Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.00%)(24)(25)(32)",39598,,40552,,38102,,1.1%,,,,,,,,,,
182,,,,,40552,,38102,,1.1%,,,,,,,,,,,
183,"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.12%)(24)(25)(32)",19025,,14516,,12179,,0.4%,,,,,,,,,,
184,,,,,14516,,12179,,0.4%,,,,,,,,,,,
185,"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(27)(30)",9000,,8878,,8878,,0.3%,,,,,,,,,,
186,,,,,8878,,8878,,0.3%,,,,,,,,,,,
187,"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)(30)",22275,,22275,,21396,,0.6%,,,,,,,,,,
188,,,,,22275,,21396,,0.6%,,,,,,,,,,,
189,"ICV-CAS Holdings, LLC",New York / Transportation,Escrow Receivable,-,,-,,58,,-%,,,,,,,,,,
190,,,,-,,-,,58,,-%,,,,,,,,,,
191,"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)(30)",115442,,115442,,115442,,3.4%,,,,,,,,,,
192,"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 3/28/2019)(3)(4)(30)",150100,,150100,,150100,,4.3%,,,,,,,,,,,,
193,"Senior Secured Term Loan C (12.75% (LIBOR + 11.75% with 1.00% LIBOR floor), due 3/28/2019)(4)(30)",27000,,27000,,27000,,0.8%,,,,,,,,,,,,
194,"Delayed Draw Term Loan – $16,000 Commitment (expires 5/29/2016)(33)",-,,-,,-,,-%,,,,,,,,,,,,
195,,,,,292542,,292542,,8.5%,,,,,,,,,,,
196,"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(4)(31)",79759,,79759,,79759,,2.3%,,,,,,,,,,
197,"Senior Secured Term Loan B (11.25% (LIBOR + 10.50% with 0.75% LIBOR floor), due 8/3/2017)(3)(4)(31)",131125,,131125,,129979,,3.8%,,,,,,,,,,,,
198,,,,,210884,,209738,,6.1%,,,,,,,,,,,
199,JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(27)",2868,,2868,,2777,,0.1%,,,,,,,,,,
200,,,,,2868,,2777,,0.1%,,,,,,,,,,,
201,Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.40%)(24)(25)(32)",19500,,16925,,12241,,0.4%,,,,,,,,,,
202,,,,,16925,,12241,,0.4%,,,,,,,,,,,
203,"JHH Holdings, Inc.",Texas / Healthcare,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor) plus 0.50% PIK, due 3/30/2019)(3)(4)(6)(30)",35432,,35432,,35432,,1.0%,,,,,,,,,,
204,,,,,35432,,35432,,1.0%,,,,,,,,,,,
205,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
206,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
207,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,
208,"LaserShip, Inc.",Virginia / Transportation,"Senior Secured Term Loan A (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor) plus 2.00% PIK, due 3/18/2019)(4)(6)(31)",,34629,,,34629,,,29495.0,,0.9%,,,,,,,
209,"Senior Secured Term Loan B (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor) plus 2.00% PIK, due 3/18/2019)(3)(4)(6)(31)",21245,,21245,,18095,,0.5%,,,,,,,,,,,,
210,,,,,55874,,47590,,1.4%,,,,,,,,,,,
211,LCM XIV Ltd.,Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 17.71%)(24)(32)",30500,,23256,,22225,,0.6%,,,,,,,,,,
212,,,,,23256,,22225,,0.6%,,,,,,,,,,,
