,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
70,"Common Stock (50,000 shares)(16)",-,,26204,,3777,,0.1%,,,,,,,,,
71,,,,,,63358,,40931,,1.2%,,,,,,,
72,"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),-,,-,,-,,-%,,,,,,,
73,"Membership Interest in Wolf Energy Services Company, LLC (100%)(16)",-,,3704,,283,,-%,,,,,,,,,
74,Net Profits Interest (8% of Equity Distributions)(4)(16),-,,-,,10,,-%,,,,,,,,,
75,,,,,,3704,,293,,-%,,,,,,,
76,Total Control Investments (Level 3),,,1895360,,,2011922,,60.1%,,,,,,,,
77,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
78,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
79,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
80,Ability Network Inc.,Minnesota / Health Care Technology,"Second Lien Term Loan (9.21% (LIBOR + 7.75% with 1.00% LIBOR floor), due 12/13/2025)(8)(10)(11)",,15000,,,14926,,,14926.0,,0.4%,,,,
81,,,,,14926,,14926,,0.4%,,,,,,,,
82,"ACE Cash Express, Inc.",Texas / Consumer Finance,"Senior Secured Note (12.00%, due 12/15/2022)(8)(14)",20000,,19702,,20000,,0.6%,,,,,,,
83,,,,,19702,,20000,,0.6%,,,,,,,,
84,"AgaMatrix, Inc.",New Hampshire / Healthcare Equipment and Supplies,"Senior Secured Term Loan (10.44% (LIBOR + 8.75% with 1.25% LIBOR floor), due 9/29/2022)(3)(10)(11)",31625,,31625,,31625,,0.9%,,,,,,,
85,,,,,31625,,31625,,0.9%,,,,,,,,
86,Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,,66,,66,,-%,,,,,,,
87,,,,,66,,66,,-%,,,,,,,,
88,Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.89%, due 10/17/28)(5)(14)",40500,,31379,,25091,,0.7%,,,,,,,
89,,,,,31379,,25091,,0.7%,,,,,,,,
90,Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",44063,,29043,,17865,,0.5%,,,,,,,
91,,,,,29043,,17865,,0.5%,,,,,,,,
92,Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.39%, due 10/20/2025)(5)(14)",36515,,28041,,20984,,0.6%,,,,,,,
93,,,,,28041,,20984,,0.6%,,,,,,,,
94,Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.57%, due 10/20/2027)(5)(6)(14)",31350,,27293,,24907,,0.7%,,,,,,,
95,,,,,27293,,24907,,0.7%,,,,,,,,
96,"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (13.19% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",25595,,1145,,743,,-%,,,,,,,
97,,,,,1145,,743,,-%,,,,,,,,
98,Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.70% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,,6938,,7000,,0.2%,,,,,,,
99,,,,,6938,,7000,,0.2%,,,,,,,,
100,"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",7000,,7000,,6779,,0.2%,,,,,,,
101,"Senior Term Loan (9.69% (LIBOR + 8.00% with 1.50% LIBOR floor), due 2/21/2020)(10)(11)",79153,,79153,,76649,,2.3%,,,,,,,,,
102,,,,,86153,,83428,,2.5%,,,,,,,,
103,"Autodata, Inc./ Autodata Solutions, Inc.",Canada / Software,"Second Lien Term Loan (8.82% (LIBOR + 7.25% with 1.00% LIBOR floor), due 12/14/2025)(8)(10)(11)",6000,,5970,,5970,,0.2%,,,,,,,
104,,,,,5970,,5970,,-%,,,,,,,,
105,Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.87%, due 1/15/2026)(5)(6)(14)",52250,,40909,,36185,,1.1%,,,,,,,
106,,,,,40909,,36185,,1.1%,,,,,,,,
107,"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Note (9.69% (LIBOR + 8.00% with 1.25% LIBOR floor), due 12/02/2022)(10)(11)",459425,,459425,,459425,,13.7%,,,,,,,
108,,,,,459425,,459425,,13.7%,,,,,,,,
109,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
110,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
111,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
112,Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/17/2025)(5)(14)(17)",,26000,,,15673,,,12635.0,,0.4%,,,,
113,,,,,15673,,12635,,0.4%,,,,,,,,
114,California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 14.34%, due 10/16/2028)(5)(14)",58915,,41046,,36239,,1.1%,,,,,,,
115,,,,,41046,,36239,,1.1%,,,,,,,,
116,"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.82% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,,101113,,97457,,2.9%,,,,,,,
117,,,,,101113,,97457,,2.9%,,,,,,,,
118,"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 20.85%, due 10/15/2026)(5)(6)(14)",25534,,19701,,19766,,0.6%,,,,,,,
119,,,,,19701,,19766,,0.6%,,,,,,,,
120,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.32%, due 10/20/2029)(5)(6)(14)",32200,,31624,,28476,,0.9%,,,,,,,
121,,,,,31624,,28476,,0.9%,,,,,,,,
122,Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.20%, due 1/30/2025)(5)(14)",24870,,17813,,17264,,0.5%,,,,,,,
123,,,,,17813,,17264,,0.5%,,,,,,,,
124,Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.79%, due 1/25/2026)(5)(14)",40275,,31793,,31008,,0.9%,,,,,,,
125,,,,,31793,,31008,,0.9%,,,,,,,,
126,Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.21%, due 7/27/2026)(5)(6)(14)",48528,,36174,,34667,,1.0%,,,,,,,
127,,,,,36174,,34667,,1.0%,,,,,,,,
128,Centerfield Media Holding Company(35),California / Internet Software and Services,"Senior Secured Term Loan A (8.34% (LIBOR + 7.00% with 1.00% LIBOR floor), due 1/17/2022)(3)(8)(10)(11)",66640,,66640,,66640,,2.0%,,,,,,,
129,"Senior Secured Term Loan B (13.84% (LIBOR + 12.50% with 1.00% LIBOR floor), due 1/17/2022)(8)(10)(11)",68000,,68000,,68000,,2.0%,,,,,,,,,
130,,,,,134640,,134640,,4.0%,,,,,,,,
131,"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.16%, due 10/24/2025)(5)(14)",44100,,29970,,26242,,0.8%,,,,,,,
132,,,,,29970,,26242,,0.8%,,,,,,,,
133,"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.67%, due 11/27/2024)(5)(14)",45500,,31970,,29428,,0.9%,,,,,,,
134,,,,,31970,,29428,,0.9%,,,,,,,,
135,"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 7.43%, due 10/17/2026)(5)(6)(14)",41500,,29064,,24456,,0.7%,,,,,,,
136,,,,,29064,,24456,,0.7%,,,,,,,,
137,"CIFC Funding 2016-I, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.43%, due 10/21/2028)(5)(6)(14)",34000,,31172,,27636,,0.8%,,,,,,,
138,,,,,31172,,27636,,0.8%,,,,,,,,
139,"Cinedigm DC Holdings, LLC",New York / Media,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(46)",40210,,40160,,40210,,1.2%,,,,,,,
140,,,,,40160,,40210,,1.2%,,,,,,,,
141,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
142,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
143,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
144,"Coverall North America, Inc.",Florida / Commercial Services & Supplies,"Senior Secured Term Loan A (7.34% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",,21720,,,21720,,,21720.0,,0.7%,,,,
145,"Senior Secured Term Loan B (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",24875,,24875,,24875,,0.7%,,,,,,,,,
146,,,,,46595,,46595,,1.4%,,,,,,,,
147,CURO Financial Technologies Corp.,Canada / Consumer Finance,"Senior Secured Notes (12.00%, due 3/1/2022)(8)(14)",12500,,12433,,12500,,0.4%,,,,,,,
148,,,,,12433,,12500,,0.4%,,,,,,,,
149,"Dunn Paper, Inc.",Georgia / Paper & Forest Products,"Second Lien Term Loan (10.32% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(8)(10)(13)",11500,,11312,,11500,,0.3%,,,,,,,
150,,,,,11312,,11500,,0.3%,,,,,,,,
151,"Easy Gardener Products, Inc.",Texas / Household Durables,"Senior Secured Term Loan (11.34% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(10)(11)",17106,,17106,,16643,,0.5%,,,,,,,
152,,,,,17106,,16643,,0.5%,,,,,,,,
153,"Engine Group, Inc.(7)",California / Media,"Senior Secured Term Loan (6.44% (LIBOR + 4.75% with 1.00% LIBOR floor), due 9/15/2022)(8)(9)(10)(11)",4938,,4938,,4938,,0.1%,,,,,,,
154,"Second Lien Term Loan (10.44% (LIBOR + 8.75% with 1.00% LIBOR floor), due 9/15/2023)(3)(8)(10)(11)",35000,,35000,,35000,,0.1%,,,,,,,,,
155,,,,,39938,,39938,,1.1%,,,,,,,,
156,EXC Holdings III Corp,"Massachusetts / Technology Hardware, Storage & Peripherals","Second Lien Term Loan (9.16% (LIBOR + 7.50% with 1.00% LIBOR floor), due 12/01/2025)(8)(10)(11)",12500,,12376,,12376,,0.4%,,,,,,,
157,,,,,12376,,12376,,-%,,,,,,,,
158,"Fleetwash, Inc.",New Jersey / Commercial Services & Supplies,"Senior Secured Term Loan B (10.34% (LIBOR + 9.00% with 1.00% LIBOR floor), due 4/30/2022)(3)(10)(11)",21544,,21544,,21544,,0.6%,,,,,,,
159,"Delayed Draw Term Loan – $15,000 Commitment (9.84% (LIBOR + 8.50% with 1.00% LIBOR floor) expires 4/30/2022)(10)(11)(15)",-,,-,,-,,-%,,,,,,,,,
160,,,,,21544,,21544,,0.6%,,,,,,,,
161,"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.89%, due 10/15/2030)(5)(14)",50525,,33831,,30827,,0.9%,,,,,,,
162,,,,,33831,,30827,,0.9%,,,,,,,,
163,"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.26%, due 11/16/2025)(5)(14)",24575,,17077,,14609,,0.4%,,,,,,,
164,,,,,17077,,14609,,0.4%,,,,,,,,
165,"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.66%, due 7/15/2026)(5)(6)(14)",39905,,28497,,24072,,0.7%,,,,,,,
166,,,,,28497,,24072,,0.7%,,,,,,,,
167,Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",23188,,3987,,5510,,0.2%,,,,,,,
168,,,,,3987,,5510,,0.2%,,,,,,,,
169,Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 2.23%, due 4/15/2025)(5)(14)",40400,,24295,,19914,,0.6%,,,,,,,
170,,,,,24295,,19914,,0.6%,,,,,,,,
171,Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.88%, due 4/18/2026)(5)(14)",24500,,15129,,13325,,0.4%,,,,,,,
172,,,,,15129,,13325,,0.4%,,,,,,,,
173,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
174,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
175,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
176,Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.61%, due 4/28/2025)(5)(6)(14)",,41164,,,26102,,,23051.0,,0.7%,,,,
177,,,,,26102,,23051,,0.7%,,,,,,,,
178,Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.67%, due 10/18/2027)(5)(6)(14)",39598,,34191,,33690,,1.0%,,,,,,,
179,,,,,34191,,33690,,1.0%,,,,,,,,
180,"Harbortouch Payments, LLC",Pennsylvania / Commercial Services & Supplies,Escrow Receivable,-,,-,,856,,-%,,,,,,,
181,,,,,-,,856,,-%,,,,,,,,
182,"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.00%, due 11/18/2026)(5)(6)(14)",19025,,15187,,13988,,0.4%,,,,,,,
183,,,,,15187,,13988,,0.4%,,,,,,,,
184,"Harley Marine Services, Inc.",Washington / Marine,"Second Lien Term Loan (10.63% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,,8935,,8935,,0.3%,,,,,,,
185,,,,,8935,,8935,,0.3%,,,,,,,,
186,"Ingenio, LLC",California / Internet Software and Services,"Senior Secured Term Loan (8.88% (LIBOR + 7.50% with 1.25% LIBOR floor), due 9/26/2022)(3)(8)(10)(11)",10000,,10000,,10000,,0.3%,,,,,,,
187,,,,,10000,,10000,,0.3%,,,,,,,,
188,"Inpatient Care Management Company, LLC",Florida / Health Care Providers & Services,"Senior Secured Term Loan (9.34% (LIBOR + 8.00% with 1.00% LIBOR floor), due 6/8/2021)(3)(10)(11)",24927,,24927,,24927,,0.7%,,,,,,,
189,,,,,24927,,24927,,0.7%,,,,,,,,
190,"InterDent, Inc.",California / Health Care Providers & Services,"Senior Secured Term Loan A (7.07% (LIBOR + 5.50% with 0.75% LIBOR floor), due 12/31/2017)(10)(13)",78215,,78215,,78215,,2.3%,,,,,,,
191,"Senior Secured Term Loan B (12.07% (LIBOR + 10.50% with 0.75% LIBOR floor), due 12/31/2017)(3)(10)(13)",131125,,131125,,131125,,3.9%,,,,,,,,,
192,,,,,209340,,209340,,6.2%,,,,,,,,
193,JD Power and Associates,California / Capital Markets,"Second Lien Term Loan (10.19% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(3)(8)(10)(11)",20000,,19785,,20000,,0.6%,,,,,,,
194,,,,,19785,,20000,,0.6%,,,,,,,,
195,Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.72%, due 7/20/2027)(5)(6)(14)",19500,,16244,,12518,,0.4%,,,,,,,
196,,,,,16244,,12518,,0.4%,,,,,,,,
197,"K&N Parent, Inc.",California / Auto Components,"Second Lien Term Loan (10.32% (LIBOR + 8.75% with 1.00% LIBOR floor), due 10/21/2024)(3)(8)(10)(13)",13000,,12778,,12834,,0.4%,,,,,,,
198,,,,,12778,,12834,,0.4%,,,,,,,,
199,Keystone Acquisition Corp.(36),Pennsylvania / Health Care Providers & Services,"Second Lien Term Loan (10.94% (LIBOR + 9.25% with 1.00% LIBOR floor), due 5/1/2025)(3)(8)(10)(11)",50000,,50000,,50000,,1.5%,,,,,,,
200,,,,,50000,,50000,,1.5%,,,,,,,,
201,"LaserShip, Inc.",Virginia / Air Freight & Logistics,"Senior Secured Term Loan A (9.07% (LIBOR + 7.50% with 1.25% LIBOR floor), due 11/22/2022)(3)(10)(13)",22990,,22990,,22990,,0.7%,,,,,,,
202,"Senior Secured Term Loan B (9.07% (LIBOR + 7.50% with 1.25% LIBOR floor), due 11/22/2022)(3)(10)(13)",14124,,14124,,14124,,0.4%,,,,,,,,,
203,,,,,37114,,37114,,1.1%,,,,,,,,
204,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
205,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
206,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
207,LCM XIV Ltd.,Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 5.86%, due 7/15/2025)(5)(14)",,30500,,,20157,,,17876.0,,0.5%,,,,
208,,,,,20157,,17876,,0.5%,,,,,,,,
209,"Madison Park Funding IX, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.67%, due 8/15/2022)(5)(14)",43110,,2285,,2329,,0.1%,,,,,,,
210,,,,,2285,,2329,,0.1%,,,,,,,,
211,"Maverick Healthcare Equity, LLC",Arizona / Health Care Providers & Services,"Preferred Units (10.00%,1,250,000 units)(16)",,1252,,555,,-%,,,,,,,,
212,"Class A Common Units (1,250,000 units)(16)",,-,,-,,-%,,,,,,,,,,
213,,,,,1252,,555,,-%,,,,,,,,
