0,1,2,3,4,5,6,7,8,9,10,11,12
Net Operating Income Interest (5% of Net Operating Income),116547,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",-,26250,819729,% of Net Assets,1013009,0,30.8%,0.0,0,0
Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",16964,26250,16964,% of Net Assets,16964,0,0.5%,0.0,0,0
"Class A Units (32,456,159 units)(14)(16)",Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",18183,26250,35147,% of Net Assets,36152,0,1.1%,0.0,0,0
"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,26250,3714,% of Net Assets,3714,0,0.1%,0.0,0,0
"Series B Preferred Stock (5,669 shares)(16)",6900,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5669,26250,23483,% of Net Assets,21499,0,0.6%,0.0,0,0
"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,26250,28622,% of Net Assets,27094,0,0.8%,0.0,0,0
"Common Stock (745,107 shares)(16)",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",6866,26250,35488,% of Net Assets,27858,0,0.8%,0.0,0,0
"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",6866,26250,-,% of Net Assets,982,0,-%,0.0,0,0
Common Stock (100 shares)(16),Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,26250,-,% of Net Assets,982,0,-%,0.0,0,0
USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",Principal Value,33051,Fair  Value(2),% of Net Assets,30102,0,0,5384.0,0,0.2%
"Common Stock (268,962 shares)(16)",42590,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",-,33051,65670,% of Net Assets,5384,0,0.2%,0.0,0,0
"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",10430,33051,10430,% of Net Assets,10430,0,0.3%,0.0,0,0
"Common Stock (50,000 shares)(16)",26168,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",26204,33051,62802,% of Net Assets,36578,0,1.1%,0.0,0,0
"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),26204,33051,-,% of Net Assets,-,0,-%,0.0,0,0
Net Profits Interest (8% of Equity Distributions)(4)(16),Kansas / Energy Equipment & Services,Membership Interest (100%)(16),-,33051,4029,% of Net Assets,1757,0,0.1%,0.0,0,0
"AgaMatrix, Inc.",New Hampshire / Healthcare Equipment and Supplies,"Senior Secured Term Loan (10.08% (LIBOR + 8.75% with 1.25% LIBOR floor), due 9/29/2022)(10)(11)",Principal Value,32000,Fair  Value(2),% of Net Assets,32000,0,0,32000.0,0,1.0%
American Gilsonite Company(34),Utah / Chemicals,Membership Interest (1.93%)(16),Principal Value,32000,-,32000,-,1.0%,-%,0.0,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 7/15/2023)(5)(14)(17)",23525,-,3450,-,1147,-%,-%,0.0,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.64%, due 10/17/28)(5)(14)",40500,3450,30812,1147,23514,-%,0.7%,0.0,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 4/15/2025)(5)(14)(17)",44063,30812,29926,23514,22202,0.7%,0.7%,0.0,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 5.29%, due 10/20/2025)(5)(14)",36515,29926,28862,22202,22671,0.7%,0.7%,0.0,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.06%, due 10/20/2027)(5)(6)(14)",31350,28862,27118,22671,25342,0.7%,0.8%,0.0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan B (12.74% (LIBOR + 11.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(13)",26080,27118,1630,25342,1372,0.8%,-%,0.0,0,0
Armor Holding II LLC,New York / Commercial Services & Supplies,"Second Lien Term Loan (10.34% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,1630,6933,1372,7000,-%,0.2%,0.0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Health Care Providers & Services,"Revolving Line of Credit – $7,000 Commitment (9.50% (LIBOR + 8.00% with 1.50% LIBOR floor), due 8/21/2018)(10)(11)(15)",5200,6933,5200,7000,5200,0.2%,0.2%,0.0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.65%, due 1/15/2026)(5)(6)(14)",52250,84556,41425,84556,36550,2.6%,1.1%,0.0,0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.08% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(11)",110138,41425,110138,36550,110138,1.1%,3.4%,0.0,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.32%, due 4/17/2025)(5)(14)",26000,224547,16476,224547,13483,6.8%,0.4%,0.0,0,0
California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 13.31%, due 10/16/2028)(5)(14)",Principal Value,58915,Fair  Value(2),% of Net Assets,40827,0.4%,0,35582.0,0,1.1%
"Capstone Logistics Acquisition, Inc.",Georgia / Commercial Services & Supplies,"Second Lien Term Loan (9.49% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(13)",101517,40827,101092,35582,97382,1.1%,3.0%,0.0,0,0
"Carlyle Global Market Strategies CLO 2014-4, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.48%, due 10/15/2026)(5)(6)(14)",25534,101092,19600,97382,19860,3.0%,0.6%,0.0,0,0
"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.12%, due 10/20/2029)(5)(6)(14)",32200,19600,31405,19860,27914,0.6%,0.8%,0.0,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 1/30/2025)(5)(14)(17)",24870,31405,17723,27914,11862,0.8%,0.4%,0.0,0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.32%, due 1/25/2026)(5)(14)",40275,17723,31893,11862,31093,0.4%,0.9%,0.0,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.43%, due 7/27/2026)(5)(6)(14)",48528,31893,36334,31093,34914,0.9%,1.1%,0.0,0,0
Centerfield Media Holding Company(35),California / Internet Software and Services,"Senior Secured Term Loan A (8.34% (LIBOR + 7.00% with 1.00% LIBOR floor), due 1/17/2022)(3)(8)(10)(11)",66980,36334,66980,34914,66980,1.1%,2.0%,0.0,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.93%, due 10/24/2025)(5)(14)",44100,134980,30659,134980,28043,4.1%,0.9%,0.0,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.42%, due 11/27/2024)(5)(14)",45500,30659,32393,28043,30702,0.9%,0.9%,0.0,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 9.79%, due 10/17/2026)(5)(6)(14)",41500,32393,29454,30702,26111,0.9%,0.8%,0.0,0,0
"CIFC Funding 2016-I, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.99%, due 10/21/2028)(5)(6)(14)",34000,29454,31312,26111,28040,0.8%,0.9%,0.0,0,0
"Cinedigm DC Holdings, LLC",New York / Media,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(46)",44056,31312,44006,28040,44056,0.9%,1.3%,0.0,0,0
"Coverall North America, Inc.",Florida / Commercial Services & Supplies,"Senior Secured Term Loan A (7.34% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",Principal Value,22658,Fair  Value(2),% of Net Assets,22658,1.3%,0,22658.0,0,0.7%
CURO Financial Technologies Corp.,Canada / Consumer Finance,"Senior Secured Notes (12.00%, due 3/1/2022)(8)(14)",10000,47596,9840,47596,10000,1.4%,0.3%,0.0,0,0
Digital Room LLC,California / Commercial Services & Supplies,"Second Lien Term Loan (11.24% (LIBOR + 10.00% with 1.00% LIBOR floor), due 5/21/2023)(3)(8)(10)(13)",34000,9840,33415,10000,34000,0.3%,1.0%,0.0,0,0
"Dunn Paper, Inc.",Georgia / Paper & Forest Products,"Second Lien Term Loan (9.99% (LIBOR + 8.75% with 1.00% LIBOR floor), due 8/26/2023)(3)(8)(10)(13)",11500,33415,11303,34000,11500,1.0%,0.3%,0.0,0,0
"Easy Gardener Products, Inc.",Texas / Household Durables,"Senior Secured Term Loan (11.30% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(10)(11)",17194,11303,17194,11500,16683,0.3%,0.5%,0.0,0,0
"Engine Group, Inc.(7)",California / Media,"Senior Secured Term Loan (5.95% (LIBOR + 4.75% with 1.00% LIBOR floor), due 9/15/2022)(8)(9)(10)(11)",5000,17194,5000,16683,5000,0.5%,0.2%,0.0,0,0
"Fleetwash, Inc.",New Jersey / Commercial Services & Supplies,"Senior Secured Term Loan B (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 4/30/2022)(3)(10)(11)",21544,40000,21544,40000,21544,1.2%,0.7%,0.0,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.86%, due 4/15/2025)(5)(14)",50525,21544,33768,21544,33118,0.7%,1.0%,0.0,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.31%, due 11/16/2025)(5)(14)",24575,33768,17579,33118,15324,1.0%,0.5%,0.0,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.38%, due 7/15/2026)(5)(6)(14)",39905,17579,28985,15324,24897,0.5%,0.8%,0.0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2023)(5)(14)(17)",23188,28985,4351,24897,4714,0.8%,0.1%,0.0,0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.34%, due 4/15/2025)(5)(14)",40400,4351,25749,4714,21925,0.1%,0.7%,0.0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.02%, due 4/18/2026)(5)(14)",24500,25749,15910,21925,14637,0.7%,0.4%,0.0,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.00%, due 4/28/2025)(5)(6)(14)",Principal Value,41164,Fair  Value(2),% of Net Assets,26946,0.4%,0,25257.0,0,0.8%
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.65%, due 10/18/2027)(5)(6)(14)",39598,26946,33779,25257,34298,0.8%,1.0%,0.0,0,0
"Harbortouch Payments, LLC",Pennsylvania / Commercial Services & Supplies,Escrow Receivable,39598,33779,-,34298,862,1.0%,-%,0.0,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.53%, due 11/18/2026)(5)(6)(14)",19025,-,15016,862,13626,-%,0.4%,0.0,0,0
"Harley Marine Services, Inc.",Washington / Marine,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,15016,8927,13626,8853,0.4%,0.3%,0.0,0,0
"Ingenio, LLC",California / Internet Software and Services,"Senior Secured Term Loan (8.82% (LIBOR + 7.50% with 1.25% LIBOR floor), due 9/26/2022)(8)(10)(11)",10000,8927,10000,8853,10000,0.3%,0.3%,0.0,0,0
"Inpatient Care Management Company, LLC",Florida / Health Care Providers & Services,"Senior Secured Term Loan (9.30% (LIBOR + 8.00% with 1.00% LIBOR floor), due 6/8/2021(3)(10)(11)",25196,10000,25196,10000,25191,0.3%,0.8%,0.0,0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.80% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",120948,25196,120948,25191,120948,0.8%,3.7%,0.0,0,0
"InterDent, Inc.",California / Health Care Providers & Services,"Senior Secured Term Loan A (6.74% (LIBOR + 5.50% with 0.75% LIBOR floor), due 12/31/2017)(10)(13)",78435,353048,78435,353048,78435,10.8%,2.4%,0.0,0,0
JD Power and Associates,California / Capital Markets,"Second Lien Term Loan (9.83% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(3)(8)(10)(11)",20000,209560,19778,204722,20000,6.2%,0.6%,0.0,0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.10%, due 7/20/2027)(5)(6)(14)",19500,19778,16362,20000,12863,0.6%,0.4%,0.0,0,0
"K&N Parent, Inc.",California / Auto Components,"Second Lien Term Loan (9.99% (LIBOR + 8.75% with 1.00% LIBOR floor), due 10/21/2024)(3)(8)(10)(13)",Principal Value,13000,Fair  Value(2),% of Net Assets,12770,0.4%,0,13000.0,0,0.4%
Keystone Acquisition Corp.(36),Pennsylvania / Health Care Providers & Services,"Second Lien Term Loan (10.58% (LIBOR + 9.25% with 1.00% LIBOR floor), due 5/1/2025)(3)(8)(10)(11)",50000,12770,50000,13000,50000,0.4%,1.5%,0.0,0,0
"LaserShip, Inc.",Virginia / Air Freight & Logistics,"Senior Secured Term Loan A (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 3/18/2019)(3)(10)(13)",31960,50000,31960,50000,31960,1.5%,1.0%,0.0,0,0
LCM XIV Ltd.,Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 12.18%, due 7/15/2025)(5)(14)",30500,51595,20730,51595,20077,1.6%,0.6%,0.0,0,0
"Madison Park Funding IX, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 0.00%, due 8/15/2022)(5)(14)(17)",43110,20730,6834,20077,8655,0.6%,0.3%,0.0,0,0
"Matrixx Initiatives, Inc.",New Jersey / Pharmaceuticals,"Senior Secured Term Loan A (7.84% (LIBOR + 6.50% with 1.00% LIBOR floor), due 9/22/2020)(3)(10)(11)",86427,6834,86427,8655,86427,0.3%,2.6%,0.0,0,0
"Memorial MRI & Diagnostic, LLC",Texas / Health Care Providers & Services,"Senior Secured Term Loan (9.83% (LIBOR + 8.50% with 1.00% LIBOR floor), due 3/16/2022)(10)(11)",37620,1252,37620,697,37620,-%,1.1%,0.0,0,0
Mountain View CLO 2013-I Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.01%, due 4/12/2024)(5)(14)",43650,37620,27464,37620,24695,1.1%,0.8%,0.0,0,0
Mountain View CLO IX Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.85%, due 7/15/2027)(5)(6)(14)",47830,27464,40597,24695,38942,0.8%,1.2%,0.0,0,0
National Home Healthcare Corp.,Michigan / Health Care Providers & Services,"Second Lien Term Loan (10.24% (LIBOR + 9.00% with 1.00% LIBOR floor), due 12/8/2022)(3)(8)(10)(13)",15407,40597,15209,38942,15407,1.2%,0.5%,0.0,0,0
NCP Finance Limited Partnership(38),Ohio / Consumer Finance,"Subordinated Secured Term Loan (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(8)(10)(13)(14)",26800,15209,26440,15407,26269,0.5%,0.8%,0.0,0,0
"Octagon Investment Partners XV, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 14.48%, due 7/19/2030)(5)(14)",42064,26440,30368,26269,24346,0.8%,0.7%,0.0,0,0
"Octagon Investment Partners XVIII, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 11.58%, due 12/16/2024)(5)(6)(14)",Principal Value,28200,Fair  Value(2),% of Net Assets,17927,0.7%,0,15900.0,0,0.5%
Pacific World Corporation,California / Personal Products,"Revolving Line of Credit – $21,000 Commitment (8.49% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(10)(13)(15)",14725,17927,14725,15900,14725,0.5%,0.4%,0.0,0,0
"Pelican Products, Inc.",California / Chemicals,"Second Lien Term Loan (9.58% (LIBOR + 8.25% with 1.00% LIBOR floor), due 4/9/2021)(3)(8)(10)(11)",17500,209225,17490,182913,16905,5.6%,0.5%,0.0,0,0
"PeopleConnect Intermediate, LLC (f/k/a Intelius, Inc.)",Washington / Internet Software & Services,"Revolving Line of Credit – $1,000 Commitment (9.80% (LIBOR + 8.50% with 1.00% LIBOR floor), due 8/11/2018)(10)(11)(15)",17500,17490,-,16905,-,0.5%,-%,0.0,0,0
"PGX Holdings, Inc.(40)",Utah / Diversified Consumer Services,"Second Lien Term Loan (10.24% (LIBOR + 9.00% with 1.00% LIBOR floor), due 9/29/2021)(3)(10)(13)",134668,39890,134668,39890,134668,1.2%,4.1%,0.0,0,0
Photonis Technologies SAS,"France / Electronic Equipment, Instruments & Components","First Lien Term Loan (8.83% (LIBOR + 7.50% with 1.00% LIBOR floor), due 9/18/2019)(8)(10)(11)(14)",9872,134668,9768,134668,8480,4.1%,0.3%,0.0,0,0
Pinnacle (US) Acquisition Co. Limited,Texas / Software,"Second Lien Term Loan (10.55% (LIBOR + 9.25% with 1.25% LIBOR floor), in non-accrual status effective 7/1/2017, due 8/3/2020)(8)(10)(11)",7037,9768,6947,8480,6333,0.3%,0.2%,0.0,0,0
"PlayPower, Inc.",North Carolina / Leisure Products,"Second Lien Term Loan (10.08% (LIBOR + 8.75% with 1.00% LIBOR floor), due 6/23/2022)(3)(8)(10)(11)",11000,6947,10886,6333,11000,0.2%,0.3%,0.0,0,0
"PrimeSport, Inc.","Georgia / Hotels, Restaurants & Leisure","Senior Secured Term Loan A (8.30% (LIBOR + 7.00% with 1.00% LIBOR floor), due 2/11/2021)(3)(10)(11)",53000,10886,53000,11000,47693,0.3%,1.5%,0.0,0,0
Prince Mineral Holding Corp.,New York / Metals & Mining,"Senior Secured Term Loan (11.50%, due 12/15/2019)(8)",10000,127500,9958,108146,10000,3.3%,0.3%,0.0,0,0
"RGIS Services, LLC",Michigan / Commercial Services & Supplies,"Senior Secured Term Loan (8.83% (LIBOR + 7.50% with 1.00% LIBOR floor), due 3/31/2023)(8)(10)(11)",Principal Value,30884,Fair  Value(2),% of Net Assets,30208,0.3%,0,28832.0,0,0.9%
RME Group Holding Company,Florida / Media,"Senior Secured Term Loan A (7.33% (LIBOR + 6.00% with 1.00% LIBOR floor), due 5/4/2022)(3)(10)(11)",37313,30208,37313,28832,37313,0.9%,1.1%,0.0,0,0
"Rocket Software, Inc.",Massachusetts / Software,"Second Lien Term Loan (10.83% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/14/2024)(3)(8)(10)(11)",50000,62251,49125,62251,50000,1.9%,1.5%,0.0,0,0
"SCS Merger Sub, Inc.",Texas / IT Services,"Second Lien Term Loan (10.74% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/30/2023)(3)(8)(10)(13)",20000,49125,19549,50000,20000,1.5%,0.6%,0.0,0,0
SESAC Holdco II LLC,Tennessee / Media,"Second Lien Term Loan (8.49% (LIBOR + 7.25% with 1.00% LIBOR floor), due 2/23/2025)(8)(10)(13)",3000,19549,2972,20000,2972,0.6%,0.1%,0.0,0,0
Small Business Whole Loan Portfolio(41),New York / Online Lending,"436 Small Business Loans purchased from On Deck Capital, Inc.",6050,2972,6050,2972,5669,0.1%,0.2%,0.0,0,0
"Spartan Energy Services, Inc.",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan A (7.24% (LIBOR + 6.00% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 12/28/2018)(10)(13)",13156,6050,11678,5669,8946,0.2%,0.3%,0.0,0,0
"Stryker Energy, LLC","Ohio / Oil, Gas & Consumable Fuels",Overriding Royalty Interests (43),13669,25347,-,8946,-,0.3%,-%,0.0,0,0
"Stryker Energy, LLC","Ohio / Oil, Gas & Consumable Fuels",Overriding Royalty Interests (43),13669,25347,-,8946,-,0.3%,-%,0.0,0,0
Sudbury Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.82%, due 1/17/2026)(5)(14)",28200,25347,19256,8946,16027,0.3%,0.5%,0.0,0,0
Symphony CLO XIV Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.35%, due 7/14/2026)(5)(6)(14)",49250,19256,35886,16027,30386,0.5%,0.9%,0.0,0,0
"Symphony CLO XV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.46%, due 10/17/2026)(5)(14)",50250,35886,40711,30386,34932,0.9%,1.1%,0.0,0,0
"TouchTunes Interactive Networks, Inc.",New York / Internet Software & Services,"Second Lien Term Loan (9.57% (LIBOR + 8.25% with 1.00% LIBOR floor), due 5/29/2022)(3)(8)(10)(11)",14000,40711,13912,34932,14000,1.1%,0.4%,0.0,0,0
TGP HOLDINGS III LLC,Oregon / Household Durables,"Second Lien Term Loan (9.83% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/25/2025)(8)(10)(11)",3000,13912,2955,14000,3000,0.4%,0.1%,0.0,0,0
"Turning Point Brands, Inc.(42)",Kentucky / Tobacco,"Second Lien Term Loan (11.00%, due 8/17/2022)(3)(8)",Principal Value,14500,Fair  Value(2),% of Net Assets,14372,0.1%,0,14263.0,0,0.4%
