,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
24,"Common Stock (99,900 shares)",5/3/2019,,-,,,-,,45118,,11768,,0.4,%,(16),,,,,,,,,
25,,,,,,,,,,,270334,,236984,,7.4,%,,,,,,,,
26,Kickapoo Ranch Pet Resort,Diversified Consumer Services,Membership Interest (100%),8/26/2019,,-,,,-,,2378,,3000,,0.1,%,(16),,,,,,,
27,,,,,,,,,,,2378,,3000,,0.1,%,,,,,,,,
28,"MITY, Inc. (25)",Commercial Services & Supplies,Senior Secured Note A,9/19/2013,10.00% (3ML+ 7.00%),3.00,,4/30/2025,26250,,26250,,26250,,0.8,%,(10),,,,,,,
29,Senior Secured Note B,6/23/2014,10.00% (3ML+ 7.00%) plus 10.00% PIK,3.00,,4/30/2025,33859,,33859,,22729,,0.7,%,(10)(39),,,,,,,,,
30,Subordinated Unsecured Note to Broda Enterprises ULC,9/19/2013,10.00%,-,,1/1/2028,7200,,6205,,-,,-,%,(14),,,,,,,,,
31,"Common Stock (42,053 shares)",9/19/2013,,-,,,-,,6849,,-,,-,%,(16),,,,,,,,,
32,,,,,,,,,,,73163,,48979,,1.5,%,,,,,,,,
33,National Property REIT Corp. (26),Equity Real Estate Investment Trusts (REITs) / Online Lending / Structured Finance,Senior Secured Term Loan A,12/31/2018,4.44% (3ML+ 1.44%) plus 3.53% PIK,3.00,,12/31/2023,319379,,319379,,319379,,10.0,%,(10)(39),,,,,,,
34,Senior Secured Term Loan B,12/31/2018,5.00% (3ML+ 2.00%) plus 5.50% PIK,3.00,,12/31/2023,30621,,30621,,30621,,1.0,%,(10)(39),,,,,,,,,
35,Senior Secured Term Loan C,10/31/2019,11.00% (3ML+ 10.00%) plus 2.25% PIK,1.00,,12/31/2023,101200,,101200,,101200,,3.2,%,(10)(39),,,,,,,,,
36,Senior Secured Term Loan D,6/19/2020,3.50% (3ML+ 0.50%) plus 2.50% PIK,3.00,,12/31/2023,183425,,183425,,183425,,5.8,%,(10)(39),,,,,,,,,
37,Residual Profit Interest,12/31/2018,,-,,,-,,-,,-,,-,%,(35),,,,,,,,,
38,"Common Stock (3,254,594 shares)",12/31/2013,,-,,,-,,210,,278955,,8.8,%,(45),,,,,,,,,
39,,,,,,,,,,,634835,,913580,,28.8,%,,,,,,,,
40,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
41,Control Investments (greater than 25.00% voting control)(40),,,,,,,,,,,,,,,,,,,,,,,
42,Nationwide Loan Company LLC (27),Consumer Finance,Senior Subordinated Term Loan to Nationwide Acceptance LLC,6/18/2014,10.00% plus 10.00% PIK,-,,6/18/2021,,20260,,,20260,,,20260,,0.6,%,(14)(39),,,,
43,"Class A Units (38,550,460 units)",1/31/2013,,-,,,-,,20462,,16836,,0.5,%,(14)(16),,,,,,,,,
44,,,,,,,,,,,40722,,37096,,1.1,%,,,,,,,,
45,"NMMB, Inc. (28)",Media,"Delayed Draw Term Loan - $10,000 Commitment",3/25/2020,10.50% (3ML+ 8.50%),2.00,,12/30/2024,-,,-,,-,,-,%,(10)(15),,,,,,,
46,Senior Secured Note,12/30/2019,10.50% (3ML+ 8.50%),2.00,,12/30/2024,4987,,4987,,4987,,0.2,%,(3)(10),,,,,,,,,
47,"Common Stock (21,419 shares)",12/30/2019,,-,,,-,,12869,,23113,,0.7,%,,,,,,,,,,
48,,,,,,,,,,,17856,,28100,,0.9,%,,,,,,,,
49,Pacific World Corporation (36),Personal Products,"Revolving Line of Credit - $26,000 Commitment",9/26/2014,8.25% (1ML+ 7.25%),1.00,,9/26/2025,20825,,20825,,20825,,0.7,%,(10)(15),,,,,,,
50,Senior Secured Term Loan A,12/31/2014,6.25% PIK (1ML+ 5.25%),1.00,,9/26/2025,39716,,39716,,39716,,1.2,%,(10)(39),,,,,,,,,
51,"Convertible Preferred Equity (273,400 shares)",6/15/2018,,-,,,-,,186795,,6433,,0.2,%,(16),,,,,,,,,
52,"Common Stock (6,778,414 shares)",9/29/2017,,-,,,-,,-,,-,,-,%,(16),,,,,,,,,
53,,,,,,,,,,,247336,,66974,,2.1,%,,,,,,,,
54,"R-V Industries, Inc.",Machinery,Senior Subordinated Note,6/12/2013,10.00% (3ML+ 9.00%),1.00,,3/31/2022,28623,,28623,,28622,,0.9,%,(3)(10),,,,,,,
55,"Common Stock (745,107 shares)",6/26/2007,,-,,,-,,6866,,12477,,0.4,%,(16),,,,,,,,,
56,,,,,,,,,,,35489,,41099,,1.3,%,,,,,,,,
57,"Universal Turbine Parts, LLC (34)",Trading Companies & Distributors,"Delayed Draw Term Loan - $5,000 Commitment",2/28/2019,10.25% (1ML+ 7.75%),2.50,,7/22/2021,2880,,2880,,2880,,0.1,%,(10)(15),,,,,,,
58,Senior Secured Term Loan A,7/22/2016,6.75% (3ML+ 5.75%),1.00,,7/22/2021,29900,,29900,,25586,,0.8,%,(10),,,,,,,,,
59,Senior Secured Term Loan B,7/22/2016,12.75% PIK (3ML+ 11.75%),1.00,,7/22/2021,44340,,32500,,-,,-,%,(9)(10),,,,,,,,,
60,"Common Stock (10,000 units)",12/10/2018,,-,,,-,,-,,-,,-,%,(16),,,,,,,,,
61,,,,,,,,,,,65280,,28466,,0.9,%,,,,,,,,
62,USES Corp. (30),Commercial Services & Supplies,Senior Secured Term Loan A,3/31/2014,9.00% PIK,-,,7/29/2022,51493,,30651,,22462,,0.7,%,(9),,,,,,,
63,Senior Secured Term Loan B,3/31/2014,15.50% PIK,-,,7/29/2022,68943,,35568,,-,,-,%,(9),,,,,,,,,
64,"Common Stock (268,962 shares)",6/15/2016,,-,,,-,,-,,-,,-,%,(16),,,,,,,,,
65,,,,,,,,,,,66219,,22462,,0.7,%,,,,,,,,
66,"Valley Electric Company, Inc. (31)",Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc.",12/31/2012,8.00% (3ML+ 5.00%) plus 2.50% PIK,3.00,,12/31/2024,10430,,10430,,10430,,0.3,%,(3)(10)(39),,,,,,,
67,Senior Secured Note,6/24/2014,8.00% plus 10.00% PIK,-,,6/23/2024,33301,,33301,,33301,,1.0,%,(39),,,,,,,,,
68,Consolidated Revenue Interest (2.0%),6/22/2018,,-,,,-,,-,,2332,,0.1,%,(12),,,,,,,,,
69,"Common Stock (50,000 shares)",12/31/2012,,-,,,-,,25143,,87561,,2.8,%,,,,,,,,,,
70,,,,,,,,,,68874,,133624,,4.2,%,,,,,,,,,
71,Total Control Investments (Level 3),,,2321471,,,2307572,,72.5,%,,,,,,,,,,,,,,
72,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
73,Affiliate Investments (5.00% to 24.99% voting control)(41),,,,,,,,,,,,,,,,,,,,,,,
74,"Edmentum Ultimate Holdings, LLC (22)",Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. - $7,834 Commitment",6/9/2015,5.00% PIK,-,,12/9/2021,,8648,,,8648,,,8648,,0.2,%,(15)(39),,,,
75,Unsecured Senior PIK Note,6/9/2015,8.50% PIK,-,,12/9/2021,9114,,9114,,9114,,0.3,%,(39),,,,,,,,,
76,Unsecured Junior PIK Note,6/9/2015,10.00% PIK,-,,12/9/2021,44148,,32875,,44148,,1.4,%,(39),,,,,,,,,
77,"Class A Units (370,964 units)",6/9/2015,,-,,,-,,6577,,5698,,0.2,%,(16),,,,,,,,,
78,,,,,,,,,,57214,,67608,,2.1,%,,,,,,,,,
79,"Nixon, Inc. (32)","Textiles, Apparel & Luxury Goods",Common Stock (857 units),5/12/2017,,-,,,-,,-,,-,,-,%,(16),,,,,,,
80,,,,,,,,,,-,,-,,-,%,,,,,,,,,
81,"PGX Holdings, Inc. (6)",Diversified Consumer Services,1.5 Lien Term Loan,5/27/2020,11.50% PIK (12ML+ 10.50%),1.00,,3/29/2024,2873,,2873,,2873,,0.1,%,(10)(39),,,,,,,
82,Second Lien Term Loan,9/29/2014,15.75% PIK (1ML+ 14.75%),1.00,,9/29/2024,108758,,108757,,108757,,3.4,%,(10)(39),,,,,,,,,
83,"Common Stock (40,780,359 shares)",5/27/2020,,-,,,-,,-,,57951,,1.8,%,(16),,,,,,,,,
84,,,,,,,,,,111630,,169581,,5.3,%,,,,,,,,,
85,Targus Cayman HoldCo Limited (33),"Textiles, Apparel & Luxury Goods","Common Stock (7,383,395 shares)",2/12/2016,,-,,,-,,2805,,24986,,0.8,%,(16),,,,,,,
86,,,,,,,,,2805,,24986,,0.8,%,,,,,,,,,,
87,Total Affiliate Investments (Level 3),,,171649,,,262175,,8.2,%,,,,,,,,,,,,,,
88,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
89,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
90,"8th Avenue Food & Provisions, Inc.",Food Products,Second Lien Term Loan,10/10/2018,7.90% (1ML+ 7.75%),-,,10/1/2026,,25000,,,24859,,,25000,,0.8,%,(3)(8)(10),,,,
91,,,,,,,,,,24859,,25000,,0.8,%,,,,,,,,,
92,"ACE Cash Express, Inc.",Consumer Finance,Senior Secured Note,12/15/2017,12.00%,-,,12/15/2022,34498,,32156,,29210,,0.9,%,(8)(14),,,,,,,
93,,,,,,,,,,32156,,29210,,0.9,%,,,,,,,,,
94,"Ahead Data Blue, LLC",IT Services,Second Lien Term Loan,12/13/2019,10.00% (1ML+ 8.50%),1.50,,11/8/2025,70000,,70000,,70000,,2.2,%,(3)(10),,,,,,,
95,,,,,,,,,,70000,,70000,,2.2,%,,,,,,,,,
96,"AmeriLife Holdings, LLC",Insurance,Second Lien Term Loan,4/2/2020,9.50% (6ML+ 8.50%),1.00,,3/18/2028,14250,,13978,,13978,,0.4,%,(8)(10),,,,,,,
97,,,,,,,,,,13978,,13978,,0.4,%,,,,,,,,,
98,Apidos CLO XI,Structured Finance,Subordinated Structured Note,12/6/2012,"Residual Interest, current yield 10.40%",-,,10/17/2030,40500,,32862,,26231,,0.8,%,(5)(14),,,,,,,
99,,,,,,,,,,32862,,26231,,0.8,%,,,,,,,,,
100,Apidos CLO XII,Structured Finance,Subordinated Structured Note,3/15/2013,"Residual Interest, current yield 14.79%",-,,4/15/2031,52203,,39315,,30351,,1.0,%,(5)(14),,,,,,,
101,,,,,,,,,,39315,,30351,,1.0,%,,,,,,,,,
102,Apidos CLO XV,Structured Finance,Subordinated Structured Note,9/13/2013,"Residual Interest, current yield 13.20%",-,,4/21/2031,48515,,40149,,28846,,0.9,%,(5)(14),,,,,,,
103,,,,,,,,,,40149,,28846,,0.9,%,,,,,,,,,
104,Apidos CLO XXII,Structured Finance,Subordinated Structured Note,9/16/2015,"Residual Interest, current yield 16.74%",-,,4/21/2031,35855,,30678,,25133,,0.8,%,(5)(14),,,,,,,
105,,,,,,,,,,30678,,25133,,0.8,%,,,,,,,,,
106,"Atlantis Health Care Group (Puerto Rico), Inc.",Health Care Providers & Services,"Revolving Line of Credit - $3,000 Commitment",2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,-,,-,,-,,-,%,(10)(15),,,,,,,
107,Senior Secured Term Loan,2/21/2013,10.75% (3ML+ 8.75%),2.00,,4/30/2021,71205,,71205,,71205,,2.2,%,(3)(10),,,,,,,,,
108,,,,,,,,,,71205,,71205,,2.2,%,,,,,,,,,
109,Barings CLO 2018-III,Structured Finance,Subordinated Structured Note,10/9/2014,"Residual Interest, current yield 5.58%",-,,7/20/2029,83098,,47714,,31875,,1.0,%,(5)(14),,,,,,,
110,,,,,,,,,,47714,,31875,,1.0,%,,,,,,,,,
111,"Broder Bros., Co.","Textiles, Apparel & Luxury Goods",Senior Secured Note,12/4/2017,9.75% (3ML+ 8.50%),1.25,,12/2/2022,165390,,165390,,165390,,5.2,%,(3)(10),,,,,,,
112,,,,,,,,,,165390,,165390,,5.2,%,,,,,,,,,
113,Brookside Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,4/25/2013,"Residual Interest, current yield 0.00%",-,,1/17/2028,36300,,17033,,12204,,0.4,%,(5)(14)(17),,,,,,,
114,,,,,,,,,,17033,,12204,,0.4,%,,,,,,,,,
115,California Street CLO IX Ltd.,Structured Finance,Subordinated Structured Note,4/19/2012,"Residual Interest, current yield 8.25%",-,,7/16/2032,58915,,41677,,27920,,0.9,%,(5)(14),,,,,,,
116,,,,,,,,,,41677,,27920,,0.9,%,,,,,,,,,
117,"Candle-Lite Company, LLC",Household Products,Senior Secured Term Loan A,1/23/2018,6.75% (3ML+ 5.50%),1.25,,1/23/2023,11875,,11875,,11875,,0.4,%,(3)(10),,,,,,,
118,Senior Secured Term Loan B,1/23/2018,10.75% (3ML+ 9.50%),1.25,,1/23/2023,12500,,12500,,12500,,0.4,%,(3)(10),,,,,,,,,
119,,,,,,,,,,24375,,24375,,0.8,%,,,,,,,,,
120,"Capstone Logistics Acquisition, Inc.",Commercial Services & Supplies,Second Lien Term Loan,10/7/2014,9.25% (1ML+ 8.25%),1.00,,10/7/2022,98982,,98811,,98982,,3.1,%,(3)(8)(10),,,,,,,
121,,,,,,,,,,98811,,98982,,3.1,%,,,,,,,,,
122,Carlyle C17 CLO Limited,Structured Finance,Subordinated Structured Note,1/24/2013,"Residual Interest, current yield 19.82%",-,,4/30/2031,24870,,15599,,13480,,0.4,%,(5)(14),,,,,,,
123,,,,,,,,,,15599,,13480,,0.4,%,,,,,,,,,
124,"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",Structured Finance,Subordinated Structured Note,4/7/2017,"Residual Interest, current yield 16.36%",-,,7/15/2030,25534,,19436,,16156,,0.5,%,(5)(14),,,,,,,
125,,,,,,,,,,19436,,16156,,0.5,%,,,,,,,,,
126,"Carlyle Global Market Strategies CLO 2016-3, Ltd.",Structured Finance,Subordinated Structured Note,8/9/2016,"Residual Interest, current yield 10.76%",-,,10/22/2029,32200,,34433,,26191,,0.8,%,(5)(14),,,,,,,
127,,,,,,,,,,34433,,26191,,0.8,%,,,,,,,,,
128,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
129,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
130,"CCS-CMGC Holdings, Inc.",Health Care Providers & Services,First Lien Term Loan,5/23/2019,5.76% (3ML+ 5.50%),-,,10/1/2025,,3615,,,3568,,,3615,,0.1,%,(3)(8)(10),,,,
131,First Lien Term Loan,5/23/2019,5.72% (3ML+ 5.50%),-,,10/1/2025,5984,,5908,,5984,,0.2,%,(3)(8)(10),,,,,,,,,
132,Second Lien Term Loan,10/12/2018,9.26% (3ML+ 9.00%),-,,10/1/2026,37000,,36466,,37000,,1.2,%,(3)(8)(10),,,,,,,,,
133,,,,,,,,,,45942,,46599,,1.5,%,,,,,,,,,
134,Cent CLO 21 Limited,Structured Finance,Subordinated Structured Note,5/15/2014,"Residual Interest, current yield 7.79%",-,,7/29/2030,49552,,39083,,27016,,0.8,%,(5)(14),,,,,,,
135,,,,,,,,,,39083,,27016,,0.8,%,,,,,,,,,
136,"CIFC Funding 2013-III-R, Ltd.",Structured Finance,Subordinated Structured Note,8/2/2013,"Residual Interest, current yield 12.54%",-,,4/24/2031,44100,,30064,,22175,,0.7,%,(5)(14),,,,,,,
137,,,,,,,,,,30064,,22175,,0.7,%,,,,,,,,,
138,"CIFC Funding 2013-IV, Ltd.",Structured Finance,Subordinated Structured Note,10/22/2013,"Residual Interest, current yield 15.49%",-,,4/28/2031,45500,,33730,,28626,,0.9,%,(5)(14),,,,,,,
139,,,,,,,,,,33730,,28626,,0.9,%,,,,,,,,,
140,"CIFC Funding 2014-IV-R, Ltd.",Structured Finance,Subordinated Structured Note,8/5/2014,"Residual Interest, current yield 10.76%",-,,10/17/2030,44467,,31478,,21047,,0.7,%,(5)(14),,,,,,,
141,,,,,,,,,,31478,,21047,,0.7,%,,,,,,,,,
142,"CIFC Funding 2016-I, Ltd.",Structured Finance,Subordinated Structured Note,12/9/2016,"Residual Interest, current yield 9.78%",-,,10/21/2031,34000,,30301,,27045,,0.9,%,(5)(14),,,,,,,
143,,,,,,,,,,30301,,27045,,0.9,%,,,,,,,,,
144,"Cinedigm DC Holdings, LLC",Entertainment,Senior Secured Term Loan,2/28/2013,11.00% (3ML+ 9.00%) plus 2.50% PIK,2.00,,3/31/2021,12107,,12057,,12038,,0.4,%,(10)(39),,,,,,,
145,,,,,,,,,,12057,,12038,,0.4,%,,,,,,,,,
146,"Class Valuation, LLC",Real Estate Management & Development,Senior Secured Term Loan,3/12/2018,9.75% (3ML+ 8.25%),1.50,,3/10/2023,31537,,31537,,31537,,1.0,%,(3)(10),,,,,,,
147,,,,,,,,,,31537,,31537,,1.0,%,,,,,,,,,
148,"Collections Acquisition Company, Inc.",Diversified Financial Services,Senior Secured Term Loan,12/3/2019,10.15% (3ML+ 7.65%),2.50,,6/3/2024,30165,,30165,,30165,,0.9,%,(3)(10),,,,,,,
149,,,,,,,,,,30165,,30165,,0.9,%,,,,,,,,,
150,Columbia Cent CLO 27 Limited,Structured Finance,Subordinated Structured Note,12/18/2013,"Residual Interest, current yield 6.24%",-,,10/25/2028,40275,,23202,,18935,,0.6,%,(5)(14),,,,,,,
151,,,,,,,,,,23202,,18935,,0.6,%,,,,,,,,,
152,"Coverall North America, Inc.",Commercial Services & Supplies,Senior Secured Term Loan A,11/2/2015,7.00% (3ML+ 6.00%),1.00,,5/3/2021,-,,-,,-,,-,%,(3)(10),,,,,,,
153,,,,,,,,,21872,,21872,,0.7,%,,,,,,,,,,
154,CP VI Bella Midco,IT Services,Second Lien Term Loan,2/26/2018,6.90% (1ML+ 6.75%),-,,12/29/2025,15750,,15712,,15750,,0.5,%,(3)(8)(10),,,,,,,
155,,,,,,,,,,15712,,15750,,0.5,%,,,,,,,,,
156,Curo Group Holdings Corp.,Consumer Finance,Second Lien Term Loan,7/30/2020,-,-,,9/1/2025,3421,,2757,,2870,,0.1,%,,,,,,,,
157,,,,,,,,,2757,,2870,,0.1,%,,,,,,,,,,
158,"Digital Room, LLC",Commercial Services & Supplies,First Lien Term Loan,5/29/2019,5.27% (6ML+ 5.00%),-,,5/21/2026,9875,,9769,,9631,,0.3,%,(3)(8)(10),,,,,,,
159,Second Lien Term Loan,5/30/2019,9.27% (6ML+ 9.00%),-,,5/21/2027,70000,,70000,,68199,,2.1,%,(3)(8)(10),,,,,,,,,
160,,,,,,,,,,79769,,77830,,2.4,%,,,,,,,,,
161,"Dunn Paper, Inc.",Paper & Forest Products,First Lien Term Loan,11/27/2019,5.75% (2ML+ 4.75%),1.00,,8/26/2022,3541,,3475,,3475,,0.1,%,(3)(8)(10),,,,,,,
162,First Lien Term Loan,11/27/2019,5.75% (1ML+ 4.75%),1.00,,8/26/2022,947,,929,,929,,-,%,(3)(8)(10),,,,,,,,,
163,Second Lien Term Loan,10/7/2016,9.75% (1ML+ 8.75%),1.00,,8/26/2023,11500,,11404,,11404,,0.4,%,(3)(8)(10),,,,,,,,,
164,,,,,,,,,,15808,,15808,,0.5,%,,,,,,,,,
165,"Easy Gardener Products, Inc.",Household Durables,Third Lien Term Loan,6/11/2020,10.25% (3ML+ 10.00%),0.25,,9/30/2024,3980,,3980,,3980,,0.1,%,(10),,,,,,,
166,"Class A Units of EZG Holdings, Inc. (200 units)",6/11/2020,,-,,,-,,312,,781,,-,%,(16),,,,,,,,,
167,"Class B Units of EZG Holdings, Inc. (12,525 units)",6/11/2020,,-,,,-,,1688,,5029,,0.2,%,(16),,,,,,,,,
168,,,,,,,,,,,5980,,9790,,0.3,%,,,,,,,,
169,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
170,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
171,EDSCO Holding Company LLC,Machinery,Senior Secured Term Loan,1/10/2020,7.50% (1ML+ 6.00%),1.50,,1/10/2025,,17703,,,17703,,,17703,,0.6,%,(3)(10),,,,
172,,,,,,,,,,,17703,,17703,,0.6,%,,,,,,,,
173,"Engine Group, Inc. (7)",Media,Senior Secured Term Loan,9/25/2017,6.00% (1ML+ 5.00%),1.00,,9/15/2022,4220,,4220,,3204,,0.1,%,(8)(9)(10),,,,,,,
174,Second Lien Term Loan,9/25/2017,10.00% (1ML+ 9.00%),1.00,,9/15/2023,35000,,35000,,7386,,0.2,%,(8)(9)(10),,,,,,,,,
175,,,,,,,,,,,39220,,10590,,0.3,%,,,,,,,,
176,EXC Holdings III Corp,"Technology Hardware, Storage & Peripherals",Second Lien Term Loan,12/5/2017,8.50% (3ML+ 7.50%),1.00,,12/1/2025,12500,,12419,,12377,,0.4,%,(3)(8)(10),,,,,,,
177,,,,,,,,,,,12419,,12377,,0.4,%,,,,,,,,
178,First Brands Group,Auto Components,First Lien Term Loan,8/6/2020,8.50% (2ML+ 7.50%),1.00,,2/2/2024,27179,,25724,,26477,,0.8,%,(3)(8)(10),,,,,,,
179,,,,,,,,,,,25724,,26477,,0.8,%,,,,,,,,
180,"Galaxy XV CLO, Ltd.",Structured Finance,Subordinated Structured Note,2/13/2013,"Residual Interest, current yield 13.37%",-,,10/15/2030,50525,,35931,,25611,,0.8,%,(5)(14),,,,,,,
181,,,,,,,,,,,35931,,25611,,0.8,%,,,,,,,,
182,"Galaxy XXVII CLO, Ltd.",Structured Finance,Subordinated Structured Note,9/30/2013,"Residual Interest, current yield 12.40%",-,,5/16/2031,24575,,16679,,11559,,0.4,%,(5)(14),,,,,,,
183,,,,,,,,,,,16679,,11559,,0.4,%,,,,,,,,
184,"Galaxy XXVIII CLO, Ltd.",Structured Finance,Subordinated Structured Note,5/30/2014,"Residual Interest, current yield 11.41%",-,,7/15/2031,39905,,29154,,16170,,0.5,%,(5)(14),,,,,,,
185,,,,,,,,,,,29154,,16170,,0.5,%,,,,,,,,
186,"GEON Performance Solutions, LLC",Chemicals,"Revolving Line of Credit - $3,621 Commitment",12/12/2019,7.88% (1ML+ 6.25%),1.63,,10/25/2024,-,,-,,-,,-,%,(10)(15),,,,,,,
187,First Lien Term Loan,12/12/2019,7.88% (1ML+ 6.25%),1.63,,10/25/2024,31222,,31077,,31222,,1.0,%,(3)(10),,,,,,,,,
188,,,,,,,,,,,31077,,31222,,1.0,%,,,,,,,,
189,Global Tel*Link Corporation,Diversified Telecommunication Services,First Lien Term Loan,8/20/2019,4.40% (1ML+ 4.25%),-,,11/29/2025,9874,,9536,,9471,,0.3,%,(3)(8)(10),,,,,,,
190,Second Lien Term Loan,12/4/2018,8.40% (1ML+ 8.25%),-,,11/29/2026,40170,,39424,,39082,,1.2,%,(3)(8)(10),,,,,,,,,
191,,,,,,,,,,,48960,,48553,,1.5,%,,,,,,,,
192,"GlobalTranz Enterprises, Inc.",Air Freight & Logistics,Second Lien Term Loan,5/15/2019,8.39% (1ML+ 8.25%),-,,5/15/2027,12500,,12500,,10386,,0.3,%,(3)(8)(10),,,,,,,
193,,,,,,,,,,,12500,,10386,,0.3,%,,,,,,,,
194,"Eze Castle Integration, Inc. (f/k/a/ H.I.G. ECI Merger Sub, Inc.)",IT Services,First Lien Term Loan,7/15/2020,10.00% (1ML+ 8.50%),1.50,,7/15/2025,48094,,48094,,48094,,1.5,%,(3)(10),,,,,,,
195,"Delayed Draw Term Loan - $1,786 Commitment",7/15/2020,10.00% (1ML+ 8.50%),1.50,,7/15/2025,-,,-,,-,,-,%,(3)(10)(15),,,,,,,,,
196,,,,,,,,,,,48094,,48094,,1.5,%,,,,,,,,
