0,1,2,3,4,5,6,7,8,9,10,11
"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",Pennsylvania / Manufacturing,1682,29237,36006,29237,40508,29237,1.1%,0,0.0,0
United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",62768,36006,62768,40508,62768,0,1.7%,0.0,0
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,62768,75628,62768,84685,62768,2.3%,0,0.0,0
"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10340,75628,10340,84685,10340,0,0.3%,0.0,0
"Common Stock (50,000 shares)",22293,26204,22293,58837,20157,30497,0.5%,0.8%,0,0.0,0
"Wolf Energy, LLC(12)",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)(37)",32112,58837,-,30497,-,0,-%,0.0,0
Net Profits Interest (8% of Equity Distributions)(7),Kansas / Oil & Gas Production,-,32112,-,-,22,-,-%,0,0.0,0
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,7000,Fair  Value(2),% of Net Assets,6928,0,0,7000.0,0.2%
"Aderant North America, Inc.",Georgia / Software & Computer Services,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 6/20/2019)(4)(16)",Principal Value,6928,Fair  Value(2),7000,6928,0.2%,0,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,376,Fair  Value(2),563,6928,-%,0,0.0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,376,Fair  Value(2),563,6928,-%,0,0.0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3814,6928,0.1%,0,0.0,0
Airmall Inc.(27),Pennsylvania / Property Management,Escrow Receivable,Principal Value,5880,Fair  Value(2),3814,6928,0.1%,0,0.0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,1264,Fair  Value(2),2170,6928,0.1%,0,0.0,0
"Ajax Rolled Ring & Machine, LLC(42)",South Carolina / Manufacturing,Escrow Receivable,Principal Value,1264,Fair  Value(2),2170,6928,0.1%,0,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",11771,1264,11593,2170,11771,0,0.3%,0.0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(4)(16)",11771,11593,11593,11771,11771,0.3%,0,0.0,0
American Gilsonite Company,Utah / Metal Services & Minerals,"Second Lien Term Loan (11.50%, due 9/1/2017)(16)",15755,11593,15755,11771,14287,0,0.4%,0.0,0
Membership Interest (99.9999%)(15),Utah / Metal Services & Minerals,-,15755,15755,15755,14287,14287,0.4%,0,0.0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.56%)(11)(22)",23525,15755,20644,14287,22325,0,0.6%,0.0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 22.56%)(11)(22)",23525,20644,20644,22325,22325,0.6%,0,0.0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.64%)(11)(22)",38340,20644,31485,22325,32108,0,0.9%,0.0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.64%)(11)(22)",38340,31485,31485,32108,32108,0.9%,0,0.0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.68%)(11)(22)",44063,31485,37751,32108,38817,0,1.0%,0.0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.68%)(11)(22)",44063,37751,37751,38817,38817,1.0%,0,0.0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.07%)(11)(22)",36515,37751,33958,38817,30911,0,0.8%,0.0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.07%)(11)(22)",36515,33958,33958,30911,30911,0.8%,0,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,33958,150000,30911,149180,0,4.0%,0.0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(4)",150000,150000,150000,149180,149180,4.0%,0,0.0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",21743,150000,21743,149180,20042,0,0.5%,0.0,0
"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",23697,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 4/8/2019)(4)",23697,45440,21675,41717,0.6%,1.1%,0,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,45440,6888,41717,6480,0,0.2%,0.0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(4)(16)",7000,6888,6888,6480,6480,0.2%,0,0.0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(25)(26)",2350,6888,2350,6480,2350,0,0.1%,0.0,0
"Senior Term Loan (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor), due 2/21/2018)(3)(4)",38561,"Revolving Line of Credit – $4,000 Commitment (13.00% (LIBOR + 11.00% with 2.00% LIBOR floor), due 8/21/2016)(4)(25)(26)",38561,40911,35189,37539,0.9%,1.0%,0,0.0,0
"BAART Programs, Inc.",California / Healthcare,"Revolving Line of Credit – $5,000 Commitment (8.75% (LIBOR + 8.25% with 0.50% LIBOR floor), due 6/30/2018)(25)(26)",Principal Value,1000,Fair  Value(2),% of Net Assets,1000,0,0,1000.0,-%
"Delayed Draw Term Loan – $10,500 Commitment (expires 12/31/2015)(25)",-,"Revolving Line of Credit – $5,000 Commitment (8.75% (LIBOR + 8.25% with 0.50% LIBOR floor), due 6/30/2018)(25)(26)",-,44000,-,44000,-%,1.2%,0,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.25%)(11)(22)(48)",52250,44000,47799,44000,47148,0,1.3%,0.0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.25%)(11)(22)(48)",52250,47799,47799,47148,47148,1.3%,0,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",252200,47799,252200,47148,252200,0,6.8%,0.0,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Notes (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 4/8/2019)(3)(4)(46)",252200,252200,252200,252200,252200,6.8%,0,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.25%)(11)(22)",26000,252200,21432,252200,24566,0,0.7%,0.0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 19.25%)(11)(22)",26000,21432,21432,24566,24566,0.7%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,21432,227,24566,-%,0,0.0,0
"Caleel + Hayden, LLC",Colorado / Personal & Nondurable Consumer Products,Membership Interest(31),26000,-,21432,227,24566,-%,0,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",102500,-,101891,227,101891,0,2.8%,0.0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(4)",102500,101891,101891,101891,101891,2.8%,0,0.0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.90%)(11)(22)",24870,101891,20309,101891,20922,0,0.6%,0.0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.90%)(11)(22)",24870,20309,20309,20922,20922,0.6%,0,0.0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.49%)(11)(22)",40275,20309,35724,20922,33505,0,0.9%,0.0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.49%)(11)(22)",40275,35724,35724,33505,33505,0.9%,0,0.0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.42%)(11)(22)(48)",48528,35724,43038,33505,41910,0,1.1%,0.0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.42%)(11)(22)(48)",48528,43038,43038,41910,41910,1.1%,0,0.0,0
"CIFC Funding 2011-I, Ltd.",Cayman Islands / Structured Finance,"Class D Senior Secured Notes (5.28% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",19000,43038,15604,41910,18175,0,0.5%,0.0,0
"Class E Subordinated Notes (7.28% (LIBOR + 7.00%, due 1/19/2023)(4)(22)",15400,"Class D Senior Secured Notes (5.28% (LIBOR + 5.00%, due 1/19/2023)(4)(22)",13009,28613,14223,32398,0.4%,0.9%,0,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.56%)(11)(22)",44100,28613,35412,32398,35599,0,1.0%,0.0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.56%)(11)(22)",44100,35412,35412,35599,35599,1.0%,0,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.87%)(11)(22)",45500,35412,36124,35599,38265,0,1.0%,0.0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.87%)(11)(22)",45500,36124,36124,38265,38265,1.0%,0,0.0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.83%)(11)(22)(48)",41500,36124,34921,38265,36195,0,1.0%,0.0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.83%)(11)(22)(48)",41500,34921,34921,36195,36195,1.0%,0,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",67449,34921,67399,36195,67449,0,1.8%,0.0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(4)",67449,67399,67399,67449,67449,1.8%,0,0.0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",Principal Value,49922,Fair  Value(2),% of Net Assets,49922,0,0,49922.0,1.3%
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor), due 12/17/2017)(3)(4)",Principal Value,49922,Fair  Value(2),49922,49922,1.3%,0,0.0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,49922,40000,49922,35973,0,1.0%,0.0,0
Crosman Corporation,New York / Manufacturing,"Second Lien Term Loan (12.00% (LIBOR + 10.50% with 1.50% LIBOR floor), due 12/30/2019)(3)(4)",40000,40000,40000,35973,35973,1.0%,0,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),40000,-,40000,-,35973,-%,0,0.0,0
"Diamondback Operating, LP",Oklahoma / Oil & Gas Production,Net Profits Interest (15% of Equity Distributions)(7),40000,-,40000,-,35973,-%,0,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,-,15518,-,13070,0,0.4%,0.0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(16)",15700,15518,15518,13070,13070,0.4%,0,0.0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(4)",24446,15518,24446,13070,24446,0,0.7%,0.0,0
"Delayed Draw Term Loan – $15,000 Commitment (expires 4/30/2019)(25)",-,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(4)",-,24446,-,24446,-%,0.7%,0,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,24446,17821,24446,18000,0,0.5%,0.0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(4)(16)",18000,17821,17821,18000,18000,0.5%,0,0.0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.65%)(11)(22)",35025,17821,27762,18000,29739,0,0.8%,0.0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.65%)(11)(22)",35025,27762,27762,29739,29739,0.8%,0,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.97%)(11)(22)",24575,27762,20434,29739,20849,0,0.6%,0.0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.97%)(11)(22)",24575,20434,20434,20849,20849,0.6%,0,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.43%)(11)(22)(48)",39905,20434,33493,20849,33742,0,0.9%,0.0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.43%)(11)(22)(48)",39905,33493,33493,33742,33742,0.9%,0,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)",49567,33493,49567,33742,49567,0,1.3%,0.0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(4)",49567,49567,49567,49567,49567,1.3%,0,0.0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",116411,49567,116411,49567,116411,0,3.1%,0.0,0
"GTP Operations, LLC(10)",Texas / Software & Computer Services,"Senior Secured Term Loan (10.00% (LIBOR + 5.00% with 5.00% LIBOR floor), due 12/11/2018)(3)(4)",116411,116411,116411,116411,116411,3.1%,0,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 30.89%)(11)(22)",23188,116411,19941,116411,23172,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 30.89%)(11)(22)",23188,19941,19941,23172,23172,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.41%)(11)(22)",40400,19941,34936,23172,39208,0,1.1%,0.0,0
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.41%)(11)(22)",40400,34936,34936,39208,39208,1.1%,0,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.17%)(11)(22)",24500,34936,21020,39208,22096,0,0.6%,0.0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.17%)(11)(22)",24500,21020,21020,22096,22096,0.6%,0,0.0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.73%)(11)(22)(48)",41164,21020,34723,22096,37555,0,1.0%,0.0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 18.73%)(11)(22)(48)",41164,34723,34723,37555,37555,1.0%,0,0.0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.84%)(11)(22)(48)",19025,34723,15252,37555,15197,0,0.4%,0.0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 17.84%)(11)(22)(48)",19025,15252,15252,15197,15197,0.4%,0,0.0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",Principal Value,9000,Fair  Value(2),% of Net Assets,8855,0,0,8748.0,0.2%
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(4)(16)",Principal Value,8855,Fair  Value(2),8748,8855,0.2%,0,0.0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)",22444,8855,22444,8748,22444,0,0.6%,0.0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(4)",22444,22444,22444,22444,22444,0.6%,0,0.0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",16100,22444,16103,22444,16100,0,0.4%,0.0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(16)",16100,16103,16103,16100,16100,0.4%,0,0.0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),16100,1639,16103,2400,16100,0.1%,0,0.0,0
"ICV-CSI Holdings, LLC",New York / Transportation,Membership Units (1.6 units),16100,1639,16103,2400,16100,0.1%,0,0.0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)",146363,1639,146363,2400,146363,0,4.0%,0.0,0
"Delayed Draw Term Loan – $16,000 Commitment (expires 5/29/2016)(25)",-,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)",-,323463,-,323463,-%,8.7%,0,0.0,0
"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.25% with 1.00% LIBOR floor), due 8/3/2017)(4)",125350,323463,125350,323463,125350,0,3.4%,0.0,0
"Senior Secured Term Loan B (11.25% (LIBOR + 10.25% with 1.00% LIBOR floor), due 8/3/2017)(3)(4)",131125,"Senior Secured Term Loan A (6.25% (LIBOR + 5.25% with 1.00% LIBOR floor), due 8/3/2017)(4)",131125,256475,131125,256475,3.5%,6.9%,0,0.0,0
JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(16)",3000,256475,3000,256475,3000,0,0.1%,0.0,0
JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(16)",3000,3000,3000,3000,3000,0.1%,0,0.0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.65%)(11)(22)(48)",19500,3000,16928,3000,16928,0,0.5%,0.0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.65%)(11)(22)(48)",19500,16928,16928,16928,16928,0.5%,0,0.0,0
