,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10,11,12,13
79,No value,115,Surfside Coffee Company LLC,One stop,L + 5.25(c),6.57,,30.0,30.0,0.0,30,,,
80,No value,116,"Tate's Bake Shop, Inc.  ^",Senior loan,L + 5.00(c),6.33,,591.0,588.0,0.1,591,,,
81,No value,117,Uinta Brewing Company  ^,One stop,L + 8.50(a),9.74,,3734.0,3720.0,0.4,3622,,,
82,No value,118,Uinta Brewing Company,One stop,L + 8.50(a),9.74,,539.0,535.0,0.1,517,,,
83,No value,119,Uinta Brewing Company,102184.0,101141,10.6,101196.0,,,,,,,
84,No value,120,Broadcasting and Entertainment,,,,,,,,,,,
85,No value,121,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,L + 4.75(a),5.99,,1462.0,1458.0,0.2,1469,,,
86,No value,122,Building and Real Estate,,,,,,,,,,,
87,No value,123,"Brooks Equipment Company, LLC  *^",One stop,L + 5.00(b)(c),6.32,,21846.0,21687.0,2.3,21846,,,
88,No value,124,"Brooks Equipment Company, LLC  *",One stop,L + 5.00(c),6.32,,5400.0,5366.0,0.6,5400,,,
89,No value,125,"Brooks Equipment Company, LLC",One stop,L + 5.00(a),6.24,,890.0,880.0,0.1,890,,,
90,No value,126,"Jensen Hughes, Inc.  #",Senior loan,L + 5.00(d),6.45,,153.0,152.0,0.0,153,,,
91,No value,127,MRI Software LLC  ^,One stop,L + 6.00(c),7.33,,23923.0,23312.0,2.5,23683,,,
92,No value,128,MRI Software LLC  #,One stop,L + 6.00(c),7.33,,13883.0,13744.0,1.4,13744,,,
93,No value,129,MRI Software LLC,One stop,L + 6.00(c),7.32,,167.0,165.0,0.0,165,,,
94,No value,130,MRI Software LLC  (4),One stop,L + 6.00,N/A  (5),,0.0,,,0,(2,),
95,No value,132,Building and Real Estate - (continued),,,,,,,,,,,
96,No value,133,MRI Software LLC  (4),One stop,L + 6.00(c),N/A  (5),,0.0,,,0,(5,),
97,No value,134,MRI Software LLC  (4),66262.0,65296,6.9,65874.0,,,,,,,
98,No value,135,"Chemicals, Plastics and Rubber",,,,,,,,,,,
99,No value,136,"Flexan, LLC  *",One stop,L + 5.75(c),7.08,,2333.0,2316.0,0.2,2333,,,
100,No value,137,"Flexan, LLC",One stop,P + 4.50(e),8.75,,2.0,1.0,0.0,2,,,
101,No value,138,"Flexan, LLC",2335.0,2317,0.2,2335.0,,,,,,,
102,No value,139,Diversified/Conglomerate Manufacturing,,,,,,,,,,,
103,No value,140,"Chase Industries, Inc.  *^#",One stop,L + 5.75(c),7.05,,31371.0,31164.0,3.3,31371,,,
104,No value,141,"Chase Industries, Inc.  #",One stop,L + 5.75(c),7.05,,4771.0,4747.0,0.5,4771,,,
105,No value,142,"Chase Industries, Inc.",One stop,L + 5.75(a),6.99,,324.0,313.0,0.0,324,,,
106,No value,143,"Inventus Power, Inc.  *^",One stop,L + 6.50(a),7.74,,8140.0,8098.0,0.7,7326,,,
107,No value,144,"Inventus Power, Inc.",One stop,L + 6.50(a),7.74,,251.0,248.0,0.0,198,,,
108,No value,145,Onicon Incorporated  *^#,One stop,L + 6.00(c),7.33,,12878.0,12782.0,1.3,12878,,,
109,No value,146,Onicon Incorporated  (4),One stop,L + 6.00,N/A  (5),,0.0,,,0,0,,
110,No value,147,"PetroChoice Holdings, Inc.  ^",Senior loan,L + 5.00(b),6.28,,1750.0,1.0,1709.0,0.2,1750,,
111,No value,148,"Plex Systems, Inc.  *^",One stop,L + 7.50(d),8.96,,18797.0,1.0,18527.0,2.0,18797,,
112,No value,149,"Plex Systems, Inc.  (4)",One stop,L + 7.50,N/A  (5),,0.0,1.0,,),0,0,
113,No value,150,"Reladyne, Inc.  *^#",Senior loan,L + 5.00(a),6.24,,17049.0,1.0,16812.0,1.8,16879,,
114,No value,151,"Reladyne, Inc.  (4)",Senior loan,L + 5.00,N/A  (5),,0.0,1.0,,),0,(2,)
115,No value,152,"Reladyne, Inc.  (4)",Senior loan,L + 5.00,N/A  (5),,0.0,1.0,,),0,(5,)
116,No value,153,"Sunless Merger Sub, Inc.  #",Senior loan,L + 5.00(a)(e),6.27,,1457.0,1.0,1463.0,0.2,1457,,
117,No value,154,"Sunless Merger Sub, Inc.",Senior loan,P + 3.75(e),8.00,,326.0,1.0,326.0,0,326,,
118,No value,155,"Sunless Merger Sub, Inc.",97114.0,96156,10.0,96070.0,,,,,,,
119,No value,156,Diversified/Conglomerate Service,,,,,,,,,,,
120,No value,157,"Accela, Inc.  #",One stop,L + 6.25(c),7.58,,5842.0,1.0,5754.0,0.6,5783,,
121,No value,158,"Accela, Inc.",One stop,P + 5.25(e),9.50,,1.0,1.0,0.0,0,1,,
122,No value,159,"Actiance, Inc.  *^",One stop,L + 9.00(a),10.24,,3962.0,1.0,3862.0,0.4,3962,,
123,No value,160,"Actiance, Inc.",One stop,L + 9.00(a),10.24,,20.0,1.0,20.0,0,20,,
124,No value,161,Agility Recovery Solutions Inc.  *^,One stop,L + 6.50(c),7.81,,13924.0,1.0,13823.0,1.4,13924,,
125,No value,162,Agility Recovery Solutions Inc.  (4),One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
126,No value,163,"Anaqua, Inc.  #",One stop,L + 6.50(c),7.81,,7018.0,1.0,6917.0,0.7,6948,,
127,No value,164,"Anaqua, Inc.  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,(1,)
128,No value,165,Bomgar Corporation  ^,One stop,L + 7.50(c),8.83,,4839.0,1.0,4762.0,0.5,4839,,
129,No value,166,Bomgar Corporation  (4),One stop,L + 7.50,N/A  (5),,0.0,1.0,,),0,0,
130,No value,167,"Clearwater Analytics, LLC  *^",One stop,L + 7.50(a),8.74,,9594.0,1.0,9451.0,1.0,9594,,
131,No value,168,"Clearwater Analytics, LLC",One stop,L + 7.50(a),8.74,,9.0,1.0,8.0,0,9,,
132,No value,169,Daxko Acquisition Corporation  *^,One stop,L + 6.50(a),7.74,,8472.0,1.0,8366.0,0.9,8472,,
133,No value,170,Daxko Acquisition Corporation,One stop,L + 6.50,N/A  (5),,0.0,1.0,0.0,0,0,,
134,No value,171,"EGD Security Systems, LLC",One stop,L + 6.25(c),7.55,,11114.0,1.0,10918.0,1.1,11114,,
135,No value,172,"EGD Security Systems, LLC  ^",One stop,L + 6.25(a),7.49,,98.0,1.0,97.0,0,98,,
136,No value,173,"EGD Security Systems, LLC",One stop,L + 6.25(a)(c),7.55,,35.0,1.0,34.0,0,35,,
137,No value,174,"EGD Security Systems, LLC  (4)",One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
138,No value,175,"HealthcareSource HR, Inc.  *",One stop,L + 6.75(c),8.08,,20719.0,1.0,20439.0,2.1,20719,,
139,No value,176,"HealthcareSource HR, Inc.  (4)",One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
140,No value,177,"Host Analytics, Inc.",One stop,No Value,8.50 cash/2.25 PIK,,3098.0,1.0,3055.0,0.3,3098,,
141,No value,178,"Host Analytics, Inc.",One stop,No Value,8.50 cash/2.25 PIK,,2597.0,1.0,2470.0,0.3,2597,,
142,No value,179,"Host Analytics, Inc.  (4)",One stop,No Value,N/A  (5),,0.0,1.0,,),0,0,
143,No value,181,Diversified/Conglomerate Service - (continued),,,,,,,,,,,
144,No value,182,"III US Holdings, LLC  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
145,No value,183,"Integration Appliance, Inc.  *^",One stop,L + 8.25(c),9.57,,16123.0,1.0,16020.0,1.7,16123,,
146,No value,184,"Integration Appliance, Inc.",One stop,L + 8.25(c),9.57,,7914.0,1.0,7806.0,0.8,7914,,
147,No value,185,"Integration Appliance, Inc.",One stop,L + 8.25(c),9.57,,5396.0,1.0,5329.0,0.6,5396,,
148,No value,186,"Integration Appliance, Inc.",One stop,L + 8.25(c),9.57,,2484.0,1.0,2462.0,0.3,2484,,
149,No value,187,"Integration Appliance, Inc.",One stop,L + 8.25(c),9.57,,924.0,1.0,917.0,0.1,924,,
150,No value,188,"Integration Appliance, Inc.  *",One stop,L + 8.25(c),9.57,,719.0,1.0,712.0,0.1,719,,
151,No value,189,Maverick Bidco Inc.  *#,One stop,L + 6.25(c),7.56,,17645.0,1.0,17311.0,1.8,17645,,
152,No value,190,Maverick Bidco Inc.,One stop,L + 6.25(c),7.57,,27.0,1.0,25.0,0,27,,
153,No value,191,Maverick Bidco Inc.  (4),One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
154,No value,192,MMan Acquisition Co.  #,One stop,L + 6.00(b),7.26,,9824.0,1.0,9680.0,1.0,9726,,
155,No value,193,MMan Acquisition Co.,One stop,L + 6.00(c),7.33,,10.0,1.0,9.0,0,9,,
156,No value,194,"Netsmart Technologies, Inc.  #",Senior loan,L + 4.50(c),5.83,,1755.0,1.0,1740.0,0.2,1779,,
157,No value,195,"Netsmart Technologies, Inc.  (4)",Senior loan,L + 4.75,N/A  (5),,0.0,1.0,,),0,0,
158,No value,196,"PT Intermediate Holdings III, LLC",One stop,L + 6.50(a),7.74,,22028.0,1.0,21594.0,2.3,22028,,
159,No value,197,"PT Intermediate Holdings III, LLC  *",One stop,L + 6.50(a),7.74,,2177.0,1.0,2157.0,0.2,2177,,
160,No value,198,"PT Intermediate Holdings III, LLC",One stop,L + 6.50(a)(e),7.90,,200.0,1.0,197.0,0,200,,
161,No value,199,"Saba Software, Inc.  #",One stop,L + 5.50(a),6.74,,20297.0,1.0,19967.0,2.1,20297,,
162,No value,200,"Saba Software, Inc.  (4)",One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,0,
163,No value,201,"Saldon Holdings, Inc.  *",Senior loan,L + 4.50(a)(b),5.77,,803.0,1.0,793.0,0.1,793,,
164,No value,202,"Secure-24, LLC  *^",One stop,L + 5.00(c),6.33,,21653.0,1.0,21479.0,2.3,21653,,
165,No value,203,"Secure-24, LLC  (4)",One stop,L + 5.00,N/A  (5),,0.0,1.0,,),0,0,
166,No value,204,"Severin Acquisition, LLC  ^",Senior loan,L + 5.38(a),6.62,,883.0,1.0,873.0,0.1,898,,
167,No value,205,"Severin Acquisition, LLC  ^",Senior loan,L + 5.00(a),6.24,,786.0,1.0,778.0,0.1,789,,
168,No value,206,"Severin Acquisition, LLC  ^",Senior loan,L + 5.38(a),6.62,,601.0,1.0,594.0,0.1,611,,
169,No value,207,"Severin Acquisition, LLC  ^",Senior loan,L + 4.88(a),6.12,,194.0,1.0,192.0,0,194,,
170,No value,208,"Switchfly, Inc.",One stop,L + 10.00(c),9.80 cash/1.50 PIK,,2398.0,1.0,2296.0,0.3,2398,,
171,No value,209,"Switchfly, Inc.",One stop,L + 10.00,N/A  (5),,0.0,1.0,0.0,0,0,,
172,No value,210,"Telesoft, LLC  #",One stop,L + 5.50(c),6.81,,4192.0,1.0,4152.0,0.4,4150,,
173,No value,211,"Telesoft, LLC  (4)",One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,(1,)
174,No value,212,"Trintech, Inc.  *^#",One stop,L + 6.00(c),7.31,,12096.0,1.0,11987.0,1.3,12096,,
175,No value,213,"Trintech, Inc.",One stop,L + 6.00,N/A  (5),,0.0,1.0,0.0,0,0,,
176,No value,214,"Vendavo, Inc.",One stop,L + 8.50(c),9.80,,17982.0,1.0,17804.0,1.9,17982,,
177,No value,215,"Vendavo, Inc.  (4)",One stop,L + 8.50,N/A  (5),,0.0,1.0,,),0,0,
178,No value,216,Vendor Credentialing Service LLC  ^,One stop,L + 6.00(a),7.24,,12239.0,1.0,12018.0,1.3,12239,,
179,No value,217,Vendor Credentialing Service LLC  (4),One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
180,No value,218,Verisys Corporation  *,One stop,L + 6.75(c),8.08,,3926.0,1.0,3873.0,0.4,3926,,
181,No value,219,Verisys Corporation  (4),One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
182,No value,220,"Workforce Software, LLC  ^",One stop,L + 10.50(c),4.80 cash/7.00 PIK,,5343.0,1.0,5315.0,0.6,5343,,
183,No value,221,"Workforce Software, LLC",One stop,L + 10.50(c),4.80 cash/7.00 PIK,,50.0,1.0,50.0,0,50,,
184,No value,222,"Xmatters, Inc. and Alarmpoint, Inc.",One stop,L + 9.25(a),9.74 cash/0.75 PIK,,4874.0,1.0,4803.0,0.5,4874,,
185,No value,223,"Xmatters, Inc. and Alarmpoint, Inc.",One stop,L + 9.25(a),9.74 cash/0.75 PIK,,20.0,1.0,20.0,0,20,,
186,No value,224,"Xmatters, Inc. and Alarmpoint, Inc.",286905.0,282887,29.9,286675.0,,,,,,,
187,No value,225,Ecological,,,,,,,,,,,
188,No value,226,"Pace Analytical Services, LLC",One stop,L + 6.00(a),7.24,,15345.0,1.0,14994.0,1.6,15345,,
189,No value,227,"Pace Analytical Services, LLC  ^",One stop,L + 6.00(a),7.24,,1427.0,1.0,1406.0,0.2,1427,,
190,No value,228,"Pace Analytical Services, LLC",One stop,L + 6.00(a),7.24,,349.0,1.0,344.0,0,349,,
191,No value,230,Ecological - (continued),,,,,,,,,,,
192,No value,231,"Pace Analytical Services, LLC",One stop,L + 6.00(a),7.24,,25.0,1.0,24.0,0,25,,
193,No value,232,"Pace Analytical Services, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
194,No value,233,WRE Holding Corp.  #,Senior loan,L + 4.75(a),5.99,,1019.0,1.0,1008.0,0.1,1019,,
195,No value,234,WRE Holding Corp.,Senior loan,L + 4.75(a)(c),6.00,,7.0,1.0,7.0,0,7,,
196,No value,235,WRE Holding Corp.,Senior loan,L + 4.75,N/A  (5),,0.0,1.0,0.0,0,0,,
197,No value,236,WRE Holding Corp.  (4),Senior loan,L + 4.75,N/A  (5),,0.0,1.0,,),0,0,
198,No value,237,WRE Holding Corp.  (4),18172.0,17777,1.9,18172.0,,,,,,,
199,No value,238,Electronics,,,,,,,,,,,
200,No value,239,"Appriss Holdings, Inc.  *^",Senior loan,L + 5.25(c),6.58,,15295.0,1.0,15157.0,1.6,15295,,
201,No value,240,"Appriss Holdings, Inc.",Senior loan,L + 5.25(b),6.53,,1892.0,1.0,1869.0,0.2,1892,,
202,No value,241,"Compusearch Software Holdings, Inc.  ^",Senior loan,L + 4.25(c),5.58,,1735.0,1.0,1733.0,0.2,1735,,
203,No value,242,Diligent Corporation  #,One stop,L + 6.25(c),7.58,,4928.0,1.0,4860.0,0.5,4928,,
204,No value,243,Diligent Corporation  *,One stop,L + 6.25(c),7.58,,4839.0,1.0,4735.0,0.5,4839,,
205,No value,244,Diligent Corporation  *^,One stop,L + 6.25(c),7.58,,2648.0,1.0,2609.0,0.3,2648,,
206,No value,245,Diligent Corporation  (4),One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
207,No value,246,"Gamma Technologies, LLC  ^",One stop,L + 4.75(a),5.99,,7555.0,1.0,7508.0,0.8,7555,,
208,No value,247,"Gamma Technologies, LLC  (4)",One stop,L + 5.00,N/A  (5),,0.0,1.0,,),0,0,
209,No value,248,"LD Intermediate Holdings, Inc.  *^",Senior loan,L + 5.88(c),7.19,,2540.0,1.0,2362.0,0.2,2390,,
210,No value,249,Park Place Technologies LLC  *^,Senior loan,L + 5.00(c),6.33,,15751.0,1.0,15587.0,1.6,15594,,
211,No value,250,Park Place Technologies LLC  (4),One stop,L + 5.00,N/A  (5),,0.0,1.0,,),0,(2,)
212,No value,251,"Sloan Company, Inc., The  #",One stop,L + 7.25(c),8.58,,7437.0,1.0,7364.0,0.7,7065,,
213,No value,252,"Sloan Company, Inc., The",One stop,L + 7.25(c),8.57,,33.0,1.0,32.0,0,30,,
214,No value,253,Sovos Compliance  *^,One stop,L + 6.00(a),7.24,,9328.0,1.0,9186.0,1.0,9235,,
215,No value,254,Sovos Compliance  (4),One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,(1,)
216,No value,255,"Sovos Compliance Formerly Taxware, LLC  ^",One stop,L + 6.00(a),7.24,,1569.0,1.0,1546.0,0.2,1553,,
217,No value,256,"Sovos Compliance Formerly Taxware, LLC",One stop,L + 6.00,N/A  (5),,0.0,1.0,0.0,0,0,,
218,No value,257,"Watchfire Enterprises, Inc.",Second Lien,L + 8.00(c),9.33,,9434.0,1.0,9306.0,1.0,9434,,
219,No value,258,"Watchfire Enterprises, Inc.",84984.0,83847,8.8,84190.0,,,,,,,
220,No value,259,Grocery,,,,,,,,,,,
221,No value,260,"MyWebGrocer, Inc.  *",One stop,L + 8.75(a),10.00,,14271.0,1.0,14265.0,1.5,14271,,
222,No value,261,"Healthcare, Education and Childcare",,,,,,,,,,,
223,No value,262,"Active Day, Inc.",One stop,L + 6.00(a),7.24,,13401.0,1.0,13145.0,1.4,13401,,
224,No value,263,"Active Day, Inc.  ^",One stop,L + 6.00(a),7.24,,1034.0,1.0,1021.0,0.1,1034,,
225,No value,264,"Active Day, Inc.",One stop,L + 6.00(a),7.24,,666.0,1.0,660.0,0.1,666,,
226,No value,265,"Active Day, Inc.",One stop,L + 6.00(a),7.24,,460.0,1.0,455.0,0,460,,
227,No value,266,"Active Day, Inc.  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
228,No value,267,"Active Day, Inc.  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
229,No value,268,"Acuity Eyecare Holdings, LLC",One stop,L + 6.75(b)(c),8.04,,3614.0,1.0,3533.0,0.4,3614,,
230,No value,269,"Acuity Eyecare Holdings, LLC",One stop,L + 6.75(c),8.06,,38.0,1.0,36.0,0,38,,
231,No value,270,"Acuity Eyecare Holdings, LLC  (4)",One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
232,No value,271,"ADCS Clinics Intermediate Holdings, LLC",One stop,L + 5.75(c),7.08,,21281.0,1.0,20788.0,2.2,20855,,
233,No value,272,"ADCS Clinics Intermediate Holdings, LLC  *",One stop,L + 5.75(c),7.08,,108.0,1.0,107.0,0,106,,
234,No value,273,"ADCS Clinics Intermediate Holdings, LLC",One stop,P + 4.75(e),9.00,,95.0,1.0,93.0,0,93,,
235,No value,274,"ADCS Clinics Intermediate Holdings, LLC  *",One stop,L + 5.75(c),7.08,,32.0,1.0,31.0,0,31,,
236,No value,275,"ADCS Clinics Intermediate Holdings, LLC",One stop,P + 4.75(e),9.00,,5.0,1.0,2.0,0,5,,
237,No value,276,"Agilitas USA, Inc.  #",One stop,L + 6.00(c),7.30,,8439.0,1.0,8362.0,0.9,8439,,
238,No value,278,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,
239,No value,279,"Agilitas USA, Inc.",One stop,L + 6.00(c),7.30,,10.0,1.0,9.0,0,10,,
240,No value,280,"Agilitas USA, Inc.  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
